time,open,high,low,close,tick_volume
1472477400,16.47000,17.17000,16.09000,16.85000,643100
1472563800,15.93000,17.08000,15.93000,16.99000,274800
1472650200,17.06000,17.25000,16.67000,16.85000,367900
1472736600,16.94000,17.45000,16.64000,17.14000,259900
1472823000,17.36000,17.85000,17.17000,17.51000,352100
1473168600,17.39000,17.64000,17.04000,17.41000,286100
1473255000,21.15000,21.18000,19.58000,19.85000,1721200
1473341400,20.40000,20.40000,19.64000,20.02000,537300
1473427800,20.10000,20.53000,19.57000,19.63000,629100
1473687000,19.31000,20.63000,18.70000,20.42000,811000
1473773400,20.07000,20.46000,19.67000,20.30000,394800
1473859800,20.23000,21.72000,20.05000,21.60000,893200
1473946200,21.64000,22.32000,21.31000,21.65000,589000
1474032600,21.41000,21.75000,20.91000,21.70000,449200
1474291800,21.81000,22.30000,21.66000,22.03000,421300
1474378200,22.10000,22.18000,20.65000,21.26000,631300
1474464600,21.32000,21.81000,21.20000,21.76000,507600
1474551000,22.00000,22.47000,20.63000,20.84000,757900
1474637400,20.76000,21.54000,20.70000,21.14000,427800
1474896600,21.11000,21.60000,20.85000,21.01000,409300
1474983000,21.04000,21.49000,21.04000,21.31000,242400
1475069400,21.35000,21.62000,20.96000,21.22000,398700
1475155800,21.22000,21.32000,20.90000,20.96000,187900
1475242200,20.77000,22.40000,20.77000,22.21000,636400
1475501400,22.00000,22.08000,21.13000,21.44000,282400
1475587800,21.58000,22.03000,21.26500,21.63000,262200
1475674200,22.06000,24.18000,21.78600,23.26000,763200
1475760600,23.02000,23.40000,22.91000,23.05000,317200
1475847000,23.05000,23.10000,22.62000,22.72000,162800
1476106200,23.04000,23.35000,22.93000,23.15000,198600
1476192600,23.08000,23.20000,21.82000,22.04000,358500
1476279000,22.00000,22.06200,20.57000,21.43000,348100
1476365400,21.20000,21.20000,19.83000,20.16000,502700
1476451800,20.40000,21.22000,20.17000,20.29000,207100
1476711000,20.25000,20.33800,20.00000,20.03000,143800
1476797400,20.10000,20.36000,19.81400,20.05000,443600
1476883800,20.01000,20.33000,19.98000,20.29500,241400
1476970200,20.13000,21.03000,20.13000,20.75000,194500
1477056600,20.63000,20.71000,20.22000,20.56500,181100
1477315800,20.72000,21.61000,20.66200,21.59000,216200
1477402200,21.52000,21.61300,20.83000,21.15000,142700
1477488600,21.25000,21.86900,20.97500,21.39000,131100
1477575000,21.63000,21.89000,19.91000,19.99000,347000
1477661400,19.80000,20.37000,19.55000,19.69000,156400
1477920600,19.50000,20.01000,19.15000,19.23000,332000
1478007000,19.25000,19.86000,18.85000,19.15000,249200
1478093400,19.51000,21.10000,19.20500,20.10000,612200
1478179800,20.50000,21.01000,19.71700,20.85000,505500
1478266200,23.30000,23.30000,20.63000,21.65000,1533500
1478529000,22.25000,23.67000,22.05400,23.50000,884600
1478615400,23.18000,23.37000,22.01000,22.76000,706500
1478701800,22.00000,23.78000,21.66000,23.55000,443000
1478788200,23.62000,24.06600,22.73000,23.58000,474900
1478874600,23.25000,25.20000,23.25000,24.97000,704500
1479133800,25.22000,25.50000,24.47000,24.60000,547700
1479220200,24.14000,25.27000,24.03000,24.70000,443200
1479306600,25.30000,26.09000,24.70000,26.08000,635000
1479393000,25.98000,26.15000,25.36000,26.15000,532300
1479479400,26.13000,26.87000,25.90000,26.63000,379000
1479738600,26.90000,27.28000,25.54000,26.21000,301500
1479825000,26.20000,26.43000,24.85000,26.00000,1509400
1479911400,25.85000,25.85000,24.85000,25.15000,559400
1480084200,25.14000,25.50000,25.06000,25.47000,153500
1480343400,25.30000,25.57000,24.92000,25.14000,218900
1480429800,25.07000,25.41000,24.95000,25.04000,301400
1480516200,25.18000,25.62400,24.64000,24.77000,285400
1480602600,24.79000,25.11000,23.21000,23.39500,373800
1480689000,23.40000,23.74000,22.90400,23.27000,456200
1480948200,23.27000,24.00000,23.14000,23.90000,424300
1481034600,23.93000,23.93000,22.92000,23.40000,280400
1481121000,23.65000,24.55000,23.63000,24.39000,552100
1481207400,24.50000,25.33000,24.39800,24.90000,358900
1481293800,25.58000,26.26000,24.23000,24.74000,581400
1481553000,24.70000,24.94000,23.73000,24.13000,261000
1481639400,23.86000,24.72000,23.73000,24.29000,215600
1481725800,24.30000,24.45000,23.38000,23.77000,300700
1481812200,23.82000,24.45000,23.81000,24.40000,332000
1481898600,24.59000,24.85000,24.03000,24.68000,483400
1482157800,24.75000,25.52000,24.75000,24.96000,321500
1482244200,25.17000,25.20000,24.24000,24.42000,219700
1482330600,24.49000,24.96000,24.23000,24.74000,148600
1482417000,24.78000,25.45000,24.33000,24.84000,193300
1482503400,24.73000,25.10000,24.34000,24.82000,200200
1482849000,24.95000,25.45000,24.63000,24.72000,249000
1482935400,24.90000,24.93000,24.31000,24.39000,240900
1483021800,24.41000,24.94400,23.86000,24.27000,112400
1483108200,24.25000,24.25000,23.21000,23.44000,197100
1483453800,23.71000,24.09000,22.87000,23.10000,268200
1483540200,23.13000,23.61000,23.13000,23.51000,199100
1483626600,23.50000,23.51000,22.61100,22.81000,160800
1483713000,22.99000,23.07500,22.27100,22.42000,221100
1483972200,22.36000,22.73000,21.88000,22.24000,346800
1484058600,22.36000,23.32000,22.31000,22.87000,197900
1484145000,22.86000,23.46000,22.50000,22.72000,382500
1484231400,27.10000,30.50000,26.11000,29.86000,4415900
1484317800,30.50000,30.54000,27.82000,28.22000,1532400
1484663400,28.89000,30.90000,28.09000,30.44000,1412500
1484749800,30.49000,31.61000,29.81000,30.84000,911400
1484836200,31.15000,31.15000,30.03000,30.48000,350600
1484922600,30.58000,31.07000,29.78000,30.58000,547700
1485181800,30.58000,31.39000,30.01000,31.29000,410300
1485268200,31.25000,32.56000,31.08000,32.00000,758100
1485354600,32.25000,32.25000,31.20000,31.71000,445800
1485441000,31.88000,32.16000,31.26000,31.28000,364400
1485527400,31.20000,31.46500,30.30500,31.15000,339800
1485786600,31.32000,31.44500,29.54000,30.41000,491200
1485873000,30.11000,30.92000,29.40000,30.76000,520500
1485959400,31.30000,31.36000,30.51000,30.93000,256500
1486045800,30.95000,31.70000,30.44400,31.31000,384500
1486132200,31.41000,32.68000,31.11000,32.60000,418300
1486391400,31.91000,32.79000,31.37600,31.79000,439500
1486477800,32.20000,32.21000,31.23000,31.56000,383500
1486564200,31.50000,31.57500,30.68000,31.34000,387000
1486650600,31.40000,32.60000,31.15000,31.75000,441400
1486737000,31.74000,32.88000,31.04000,32.66000,527800
1486996200,33.53000,35.57000,33.12000,33.92000,1043100
1487082600,34.01000,36.70000,34.01000,36.38000,1005300
1487169000,36.65000,36.65000,35.36000,35.97000,709800
1487255400,36.18000,36.18000,35.16000,35.79000,357500
1487341800,35.43000,37.73000,35.05700,37.27000,628900
1487687400,38.03000,38.89000,37.18000,37.57000,974200
1487773800,37.70000,38.30000,37.07000,37.12000,654900
1487860200,37.73000,38.26000,36.33000,37.47000,1023400
1487946600,42.11000,49.34000,40.55000,45.98000,6549800
1488205800,46.05000,47.78000,44.42000,47.46000,1876200
1488292200,47.56000,48.75000,45.60000,45.92000,1405700
1488378600,46.42000,47.72000,45.89800,46.85000,1025100
1488465000,46.97000,49.25000,46.69000,49.23000,1533700
1488551400,50.00000,53.98000,49.88000,53.32000,2676100
1488810600,52.75000,52.75000,50.50000,51.46000,1296200
1488897000,51.31000,56.14000,50.54000,54.54000,1902200
1488983400,54.85000,54.94700,51.50000,52.56000,1283100
1489069800,52.44000,54.31000,51.52000,52.66000,1019800
1489156200,52.01000,52.46000,49.42000,50.92000,1418100
1489411800,51.15000,51.55000,49.81000,51.06000,766500
1489498200,50.57000,50.65000,47.87000,48.19000,1139400
1489584600,48.27000,49.15000,46.90000,47.40000,1448200
1489671000,47.80000,48.30000,46.61000,47.96000,1216100
1489757400,48.00000,50.99000,47.70100,50.77000,1828500
1490016600,51.37000,51.49000,49.09000,50.33000,1098400
1490103000,50.48000,51.97000,48.06000,48.23000,1315000
1490189400,48.02000,53.09000,47.06000,52.63000,2207300
1490275800,52.90000,53.15000,50.91000,51.51000,1399500
1490362200,51.78000,55.71900,51.78000,55.02000,2127600
1490621400,53.84000,60.19000,52.57000,59.88000,3697700
1490707800,60.02000,60.09000,57.12000,58.56000,2109400
1490794200,59.18000,59.41800,57.50000,58.02000,1129300
1490880600,58.07000,58.53700,53.28000,55.35000,2586100
1490967000,55.35000,56.54000,54.17100,56.15000,2467500
1491226200,56.92000,57.90000,53.17000,53.47000,1627400
1491312600,53.21000,53.90000,50.56000,51.19000,1896700
1491399000,51.30000,51.55000,44.54000,44.68000,6126900
1491485400,44.76000,47.71000,44.60000,46.31000,2988700
1491571800,46.00000,47.13800,44.02000,44.68000,1867700
1491831000,45.32000,46.10000,43.70000,44.46000,1386300
1491917400,44.43000,44.70000,41.79000,42.38000,1960500
1492003800,42.04000,42.48900,40.28000,40.82000,2503000
1492090200,49.85000,50.00000,44.64000,45.30000,13208400
1492435800,45.51000,46.36900,43.19000,43.33000,3987100
1492522200,42.60000,44.65000,42.43000,44.20000,2232900
1492608600,44.34000,44.89900,43.08000,43.73000,1678300
1492695000,43.93000,44.35000,43.50000,44.31000,972600
1492781400,45.86000,47.14000,44.75000,45.54000,4223900
1493040600,46.83000,48.89000,45.83000,48.78000,6052100
1493127000,48.21000,49.85000,47.74000,49.40000,3409800
1493213400,49.45000,49.84000,46.75000,47.47000,3035300
1493299800,47.85000,49.83000,46.92000,49.36000,2356200
1493386200,48.84000,49.80000,48.20000,49.39000,1383200
1493645400,50.25000,52.10000,49.33000,50.13000,3243700
1493731800,49.98000,50.30000,46.27000,47.30000,2694000
