time,open,high,low,close,tick_volume
1472477400,26.65500,26.86000,26.57250,26.70500,99881200
1472563800,26.45000,26.62500,26.37500,26.50000,99455600
1472650200,26.41500,26.64250,26.41000,26.52500,118649600
1472736600,26.53500,26.70000,26.40500,26.68250,106806000
1472823000,26.92500,27.00000,26.70500,26.93250,107210000
1473168600,26.97500,27.07500,26.87750,26.92500,107521600
1473255000,26.95750,27.19000,26.76750,27.09000,169457200
1473341400,26.81250,26.81750,26.31000,26.38000,212008000
1473427800,26.16000,26.43000,25.78250,25.78250,186228000
1473687000,25.66250,26.43000,25.63250,26.36000,181171200
1473773400,26.87750,27.19750,26.81000,26.98750,248704800
1473859800,27.18250,28.25750,27.15000,27.94250,443554800
1473946200,28.46500,28.93250,28.37250,28.89250,359934400
1474032600,28.78000,29.03250,28.51000,28.73000,319547600
1474291800,28.79750,29.04500,28.31250,28.39500,188092000
1474378200,28.26250,28.53000,28.12750,28.39250,138057200
1474464600,28.46250,28.49750,28.11000,28.38750,144012800
1474551000,28.58750,28.73500,28.50000,28.65500,124296000
1474637400,28.60500,28.69750,27.88750,28.17750,209924800
1474896600,27.91000,28.34750,27.88750,28.22000,119477600
1474983000,28.25000,28.29500,28.08500,28.27250,98429600
1475069400,28.42250,28.66000,28.35750,28.48750,118564400
1475155800,28.29000,28.45000,27.95000,28.04500,143548000
1475242200,28.11500,28.34250,27.95000,28.26250,145516400
1475501400,28.17750,28.26250,28.07000,28.13000,86807200
1475587800,28.26500,28.57750,28.15750,28.25000,118947200
1475674200,28.35000,28.41500,28.17250,28.26250,85812400
1475760600,28.42500,28.58500,28.28250,28.47250,115117200
1475847000,28.57750,28.64000,28.37750,28.51500,97433600
1476106200,28.75500,29.18750,28.68000,29.01250,144944000
1476192600,29.42500,29.67250,29.05000,29.07500,256164000
1476279000,29.33750,29.49500,29.18750,29.33500,150347200
1476365400,29.19750,29.36000,28.93000,29.24500,140769600
1476451800,29.47000,29.54250,29.28250,29.40750,142608800
1476711000,29.33250,29.46000,29.19500,29.38750,94499600
1476797400,29.54500,29.55250,29.36250,29.36750,98214000
1476883800,29.31250,29.44000,28.45000,29.28000,80138400
1476970200,29.21500,29.34500,29.08250,29.26500,96503200
1477056600,29.20250,29.22750,29.07000,29.15000,92770800
1477315800,29.27500,29.43500,29.25000,29.41250,94154800
1477402200,29.48750,29.59000,29.32750,29.56250,192516000
1477488600,28.57750,28.92500,28.32750,28.89750,264536800
1477575000,28.84750,28.96500,28.52500,28.62000,138248000
1477661400,28.46750,28.80250,28.36250,28.43000,151446800
1477920600,28.41250,28.55750,28.30000,28.38500,105677600
1478007000,28.36500,28.44250,27.63250,27.87250,175303200
1478093400,27.85000,28.08750,27.80750,27.89750,113326800
1478179800,27.74500,27.86500,27.38750,27.45750,107730400
1478266200,27.13250,27.56250,27.02750,27.21000,123348000
1478529000,27.52000,27.62750,27.36500,27.60250,130240000
1478615400,27.57750,27.93000,27.42500,27.76500,97016800
1478701800,27.47000,27.83000,27.01250,27.72000,236705600
1478788200,27.77250,27.77250,26.45750,26.94750,228538000
1478874600,26.78000,27.21750,26.63750,27.10750,136575600
1479133800,26.92750,26.95250,26.02000,26.42750,204702000
1479220200,26.64250,26.92000,26.54000,26.77750,129058000
1479306600,26.67500,27.55750,26.65000,27.49750,235362000
1479393000,27.45250,27.58750,27.20750,27.48750,110528000
1479479400,27.43000,27.63500,27.41500,27.51500,113715600
1479738600,27.53000,27.99750,27.50250,27.93250,117058400
1479825000,27.98750,28.10500,27.85000,27.95000,103862000
1479911400,27.84000,27.87750,27.58250,27.80750,109705600
1480084200,27.78250,27.96750,27.73750,27.94750,45903600
1480343400,27.85750,28.11750,27.84750,27.89250,108776000
1480429800,27.69500,28.00750,27.51750,27.86500,114115200
1480516200,27.90000,28.05000,27.56750,27.63000,144649200
1480602600,27.59250,27.73500,27.25750,27.37250,148347600
1480689000,27.29250,27.52250,27.21250,27.47500,106112000
1480948200,27.50000,27.50750,27.06250,27.27750,137298000
1481034600,27.37500,27.59000,27.29750,27.48750,104782000
1481121000,27.31500,27.79750,27.29000,27.75750,119994800
1481207400,27.71500,28.10750,27.65000,28.03000,108273200
1481293800,28.07750,28.67500,28.07750,28.48750,137610400
1481553000,28.32250,28.75000,28.12250,28.32500,105497600
1481639400,28.46000,28.98000,28.43750,28.79750,174935200
1481725800,28.76000,29.05000,28.74500,28.79750,136127200
1481812200,28.84500,29.18250,28.80750,28.95500,186098000
1481898600,29.11750,29.12500,28.91250,28.99250,177404400
1482157800,28.95000,29.34500,28.93750,29.16000,111117600
1482244200,29.18500,29.37500,29.17000,29.23750,85700000
1482330600,29.20000,29.35000,29.19500,29.26500,95132800
1482417000,29.08750,29.12750,28.91000,29.07250,104343600
1482503400,28.89750,29.13000,28.89750,29.13000,56998000
1482849000,29.13000,29.45000,29.12250,29.31500,73187600
1482935400,29.38000,29.50500,29.05000,29.19000,83623600
1483021800,29.11250,29.27750,29.10000,29.18250,60158000
1483108200,29.16250,29.30000,28.85750,28.95500,122345200
1483453800,28.95000,29.08250,28.69000,29.03750,115127600
1483540200,28.96250,29.12750,28.93750,29.00500,84472400
1483626600,28.98000,29.21500,28.95250,29.15250,88774400
1483713000,29.19500,29.54000,29.11750,29.47750,127007600
1483972200,29.48750,29.85750,29.48500,29.74750,134247600
1484058600,29.69250,29.84500,29.57500,29.77750,97848400
1484145000,29.68500,29.98250,29.65000,29.93750,110354400
1484231400,29.72500,29.82500,29.55250,29.81250,108344800
1484317800,29.77750,29.90500,29.70250,29.76000,104447600
1484663400,29.58500,30.06000,29.55500,30.00000,137759200
1484749800,30.00000,30.12500,29.92750,29.99750,94852000
1484836200,29.85000,30.02250,29.84250,29.94500,102389200
1484922600,30.11250,30.11250,29.93250,30.00000,130391600
