time,open,high,low,close,tick_volume
1472477400,24.05403,24.65478,24.03000,24.65478,5668664
1472563800,24.65478,24.65478,24.17418,24.43851,4690096
1472650200,24.22224,24.46254,24.07806,24.22224,6611735
1472736600,24.24627,24.48657,24.15015,24.34239,5593758
1472823000,24.51060,24.67881,24.05403,24.34239,7058261
1473168600,24.46254,24.79896,24.31836,24.79896,5311569
1473255000,24.75090,24.82299,24.34239,24.53463,5682605
1473341400,24.65478,24.65478,24.15015,24.31836,5691344
1473427800,24.15015,24.15015,22.80447,23.06880,14041781
1473687000,22.87656,23.54940,22.66029,23.50134,9022680
1473773400,23.14089,23.18895,22.70835,22.87656,7701831
1473859800,23.28507,23.28507,22.49208,22.56417,6540949
1473946200,22.58820,22.87656,22.51611,22.75641,6256929
1474032600,22.56417,22.75641,22.44402,22.68432,6780483
1474291800,22.94865,22.94865,22.34790,22.49208,8627174
1474378200,22.49208,22.78044,22.37193,22.68432,6501873
1474464600,22.92462,23.26104,22.70835,23.23701,6508864
1474551000,23.54940,23.93388,23.42925,23.50134,6374532
1474637400,23.40522,23.76567,23.30910,23.45328,5054765
1474896600,23.45328,23.69358,23.26104,23.26104,4207907
1474983000,23.11686,23.21298,22.82850,23.18895,4773325
1475069400,23.28507,23.74164,23.02074,23.74164,7385809
1475155800,23.74164,24.27030,23.62149,23.93388,11186850
1475242200,23.98194,24.48657,23.90985,24.36642,9525135
1475501400,24.36642,24.41448,23.93388,24.31836,6817603
1475587800,24.17418,24.53463,24.00597,24.51060,13312776
1475674200,24.63075,25.01523,24.43851,24.99120,12374865
1475760600,24.88707,25.64802,24.88707,25.45578,12517478
1475847000,25.64802,25.71210,24.85503,25.12737,9810986
1476106200,25.28757,25.59996,25.12737,25.23951,11384519
1476192600,23.81373,23.81373,22.33989,22.35591,40784270
1476279000,22.04352,22.04352,21.64302,21.71511,23879900
1476365400,21.17043,21.56292,21.00222,21.42675,16025094
1476451800,21.58695,21.65904,21.09033,21.17844,11702247
1476711000,21.17844,21.30660,21.05028,21.10635,10594382
1476797400,21.28257,21.36267,20.52963,21.23451,16567915
1476883800,21.18645,21.97143,21.12237,21.65904,12456679
1476970200,21.60297,21.77118,21.32262,21.37869,9917978
1477056600,21.28257,21.67506,21.09033,21.53088,7769288
1477315800,21.63501,21.66705,21.43476,21.51486,7109988
1477402200,21.83526,22.22775,21.61899,21.85929,12088514
1477488600,21.81123,22.33188,21.68307,22.25979,9730587
1477575000,22.30785,22.62024,22.27581,22.60422,11574782
1477661400,22.49208,22.85253,22.48407,22.72437,11158052
1477920600,22.78044,23.33313,22.70034,23.00472,13269413
1478007000,22.10000,23.55000,21.78000,23.00000,32216900
1478093400,22.67000,23.26500,22.63600,22.91000,10755300
1478179800,22.96000,24.34900,22.94000,24.15000,8084200
1478266200,23.82000,25.50000,23.56000,25.20000,6878700
1478529000,25.54000,26.41000,24.89000,25.08000,8377000
1478615400,24.30000,26.59000,24.30000,26.40000,6471300
1478701800,26.83000,29.14000,26.00000,28.72000,10675900
1478788200,29.08000,29.70000,28.30000,29.10000,8189900
1478874600,29.18000,29.99000,27.63000,29.30000,5337200
1479133800,29.50000,29.94000,28.61000,29.62000,5156700
1479220200,28.94000,30.23000,28.83000,30.21000,3668900
1479306600,29.69000,31.69000,29.66000,31.42000,6153000
1479393000,31.30000,32.02000,30.77000,31.85000,4693200
1479479400,31.73000,31.77000,30.16000,30.42000,4421700
1479738600,30.89000,30.98000,29.50100,30.69000,2986000
1479825000,31.10000,31.91000,30.54000,31.34000,4182800
1479911400,31.00000,31.93000,30.00000,31.51000,4111400
1480084200,31.24000,32.19000,31.11000,31.70000,3109500
1480343400,31.48000,31.80000,30.70000,30.86000,5121900
1480429800,30.02000,30.50000,29.73000,29.73000,4928200
1480516200,30.06000,30.44000,28.85000,28.97000,5131700
1480602600,28.84000,29.42000,28.60000,28.88000,5006200
1480689000,28.86000,29.62500,28.73000,29.04000,3870300
1480948200,29.03000,31.27700,28.89000,31.22000,7034100
1481034600,30.71000,31.19000,30.21000,31.15000,3248600
1481121000,31.30000,31.89000,30.76500,30.90000,5778300
1481207400,31.28000,31.84000,30.80000,31.31000,3064500
1481293800,31.31000,32.11000,31.04000,32.05000,4344300
1481553000,32.16000,32.35000,30.85000,31.24000,3416400
1481639400,31.40000,31.73000,30.03000,30.24000,4215100
1481725800,30.11000,31.32000,30.03000,30.45000,3176100
1481812200,30.16000,30.44000,29.65000,29.79000,3753200
1481898600,29.65000,30.42000,29.16000,29.40000,8133000
1482157800,28.89000,29.49000,28.75000,29.29000,2572500
1482244200,29.90000,30.33000,29.77000,30.16000,3827000
1482330600,30.19000,30.43000,30.02000,30.43000,1811200
1482417000,30.21000,30.35000,29.54000,29.75000,3767400
1482503400,29.79000,30.13000,29.34000,29.71000,2881800
1482849000,29.58000,30.04000,29.40000,29.65000,1708900
1482935400,29.78000,30.17000,29.35000,29.43000,2751100
1483021800,29.43000,29.44000,28.60000,28.89000,3224400
1483108200,28.97000,29.37800,28.01000,28.08000,2686000
1483453800,28.60000,28.87000,28.17000,28.83000,2746400
1483540200,29.02000,30.30000,29.02000,30.26000,3339500
1483626600,30.18000,30.93000,30.11500,30.65000,2444600
1483713000,30.69000,31.10000,30.31000,30.68000,2086300
1483972200,30.88000,30.88000,29.21500,29.48000,4205100
1484058600,29.83000,31.10000,29.73000,30.98000,3823600
1484145000,31.08000,32.00000,31.08000,31.97000,3068300
1484231400,33.00000,33.50000,32.51000,33.04000,4521700
1484317800,32.82000,33.43000,32.53000,33.01000,3026200
1484663400,32.97000,33.04000,32.52000,32.64000,1381800
1484749800,32.95000,34.83000,32.64000,34.81000,6420100
1484836200,34.22000,35.63000,34.18000,35.42000,5050100
1484922600,35.40000,35.74000,34.93000,35.66000,5330900
1485181800,35.92000,36.39500,35.45500,36.29000,5245000
1485268200,37.18000,38.38000,37.18000,37.50000,11911100
1485354600,38.58000,38.94000,36.31000,36.53000,13583300
1485441000,36.22000,37.07000,35.51000,36.30000,5735400
1485527400,36.30000,37.39000,36.27000,36.67000,3617600
1485786600,36.48000,36.59000,35.77000,36.55000,3002400
1485873000,36.78000,37.23000,36.01000,36.45000,2690300
1485959400,36.58000,37.19000,36.20000,36.26000,2905400
1486045800,36.70000,38.37000,36.63000,37.68000,5049700
1486132200,37.87000,38.05000,36.83000,36.86000,5243300
1486391400,36.90000,38.00000,36.80000,37.75000,2833900
1486477800,38.04000,38.25000,37.31000,37.97000,3270000
1486564200,37.93000,38.50000,37.11000,37.54000,3121700
1486650600,37.41000,37.75000,36.99400,37.42000,3392400
1486737000,37.92000,38.54000,37.50500,38.30000,3628600
1486996200,38.79000,39.78000,38.45000,38.48000,5365800
1487082600,38.57000,39.25000,38.18000,38.56000,3818600
1487169000,38.25000,38.30000,37.73000,37.87000,11488900
1487255400,37.82000,37.83000,36.35000,36.46000,7040700
1487341800,36.24000,36.61000,35.79000,36.21000,4516800
1487687400,36.31000,37.01000,36.23000,36.71000,3393400
1487773800,36.40000,36.71000,36.21000,36.60000,2585700
1487860200,36.86000,36.88000,34.26000,34.32000,7140000
1487946600,33.81000,34.64000,33.35000,34.48000,5763800
1488205800,34.52000,35.38000,34.19000,34.78000,3898400
1488292200,34.73000,35.33000,34.40000,34.59000,4034100
1488378600,35.93000,38.15000,35.85000,37.99000,10564500
1488465000,37.64000,38.17000,35.83000,35.85000,5099300
1488551400,36.06000,36.89000,35.75000,36.38000,3238100
1488810600,36.80000,37.48000,35.80000,36.93000,5764000
1488897000,36.81000,36.89000,35.75000,35.80000,3753400
1488983400,35.90000,36.82000,35.90000,35.99000,4485700
1489069800,36.07000,36.55000,34.89000,35.36000,4826200
1489156200,35.90000,36.00000,34.23500,34.53000,4052400
1489411800,35.21000,35.52000,34.53000,34.70000,2491400
1489498200,34.45000,34.58000,33.77000,34.19000,3112200
1489584600,34.40000,35.29000,33.95000,35.14000,3753400
1489671000,35.66000,35.99000,34.98000,35.38000,3644300
1489757400,35.57000,35.98000,34.95000,34.97000,3824700
1490016600,34.90000,35.36000,34.10000,34.90000,2688900
1490103000,34.90000,35.25000,33.17000,33.22000,4536900
1490189400,33.35000,34.15000,33.01000,33.69000,2877900
1490275800,33.41000,33.69000,33.11000,33.31000,3072000
1490362200,33.61000,33.86000,32.36500,32.56000,4111000
1490621400,31.74000,32.57000,31.29000,32.47000,3654000
1490707800,32.50000,33.63700,32.45000,32.92000,4039700
1490794200,32.91000,33.29000,32.73000,32.91000,2611700
1490880600,33.15000,35.14000,32.96000,33.49000,7122600
1490967000,34.06000,34.74000,33.60000,34.40000,5188400
1491226200,34.62000,35.00000,33.50200,34.22000,4204800
1491312600,34.03000,34.50000,33.82100,34.23000,2297000
1491399000,34.79000,35.09000,33.75500,33.85000,4016800
1491485400,33.85000,34.16000,33.19000,33.65000,3626800
1491571800,33.25000,34.13000,33.15100,33.73000,3674100
1491831000,33.66000,33.78000,33.20000,33.66000,2575500
1491917400,33.57000,34.46000,33.15000,34.39000,3142600
1492003800,33.86000,34.29000,32.03000,32.05000,7603400
1492090200,32.11000,32.47000,30.99000,30.99000,6143300
1492435800,31.17000,31.79000,30.97000,31.31000,4099700
1492522200,30.78000,32.37000,30.45000,31.76000,5018300
1492608600,32.18000,32.44000,31.28000,31.30000,2465500
1492695000,31.89000,32.30000,31.46000,32.04000,5429500
1492781400,32.20000,32.55000,31.65000,31.70000,5041900
1493040600,32.24000,33.44000,32.15000,33.31000,7907300
1493127000,34.23000,36.55000,34.23000,36.49000,11203200
1493213400,36.00000,37.20000,35.85000,36.45000,7528300
1493299800,35.75000,35.90000,34.15500,34.52000,14773500
1493386200,34.81000,34.94500,33.68000,33.73000,5240000
1493645400,33.95000,34.13000,32.90000,33.28000,4985500
1493731800,33.31000,34.33000,33.30000,33.33000,3912500
1493818200,32.90000,32.90000,31.51000,31.69000,7334500
1493904600,31.22000,31.36000,30.42000,31.04000,7917800
1493991000,31.35000,31.96000,31.05000,31.82000,4191200
1494250200,31.37000,31.37000,30.66000,31.02000,3795700
1494336600,31.22000,31.24000,30.46000,30.82000,3415300
1494423000,30.95000,31.46000,30.70000,31.08000,3487500
1494509400,31.23000,31.31000,30.45000,31.16000,4109300
1494595800,31.00000,32.13000,30.96000,31.79000,3380800
1494855000,32.17000,32.50000,31.97000,32.03000,2384000
1494941400,32.10000,32.40000,31.75000,32.16000,3001800
1495027800,31.88000,32.22000,31.58000,31.63000,3739800
1495114200,31.45000,32.17000,31.10000,31.92000,2396800
1495200600,32.16000,32.88000,32.10000,32.29000,2625900
1495459800,32.65000,33.20000,32.47000,32.96000,3456700
1495546200,32.98000,33.36000,32.56000,33.26000,2964200
1495632600,33.27000,33.92000,33.04500,33.51000,3338200
1495719000,33.68000,34.09000,33.03000,33.09000,2324900
1495805400,32.87000,33.36000,32.87000,33.27000,2410600
1496151000,33.03000,33.16000,32.53000,32.99000,3223500
1496237400,32.88000,33.05000,31.76000,32.94000,4547000
1496323800,32.84000,33.45000,32.45000,32.94000,2372200
1496410200,32.39000,33.00000,32.35000,32.86000,2639900
1496669400,32.65000,33.58000,32.65000,33.32000,2605000
1496755800,33.11000,33.49000,32.78000,32.94000,3631100
1496842200,33.15000,33.17000,32.40000,32.82000,3330700
1496928600,32.60000,33.65000,32.59000,33.50000,3286500
1497015000,33.64000,34.00000,32.85000,33.01000,3073600
1497274200,32.82000,33.21000,31.78000,31.78000,4719500
1497360600,31.97000,32.54800,31.55000,32.48000,2997100
1497447000,32.57000,32.68000,31.21000,31.54000,3726600
1497533400,31.12000,31.45000,30.61000,30.74000,3226900
1497619800,30.80000,30.86300,29.55000,30.00000,4767100
1497879000,30.37000,31.30000,30.16000,30.89000,3909100
1497965400,30.69000,31.09500,30.41000,30.45000,2567600
1498051800,30.59000,30.59000,29.63500,29.69000,3489600
