time,open,high,low,close,tick_volume
1472477400,63.09000,63.45000,62.81000,62.89000,1512900
1472563800,63.06000,63.35000,62.65000,62.90000,1432500
1472650200,62.90000,62.97000,62.36000,62.56000,1860600
1472736600,62.10000,63.07000,61.60000,63.06000,1814000
1472823000,63.29000,63.53000,62.91000,63.15000,1989300
1473168600,63.24000,63.43000,62.51000,62.73000,1779400
1473255000,62.54000,62.86000,61.44000,61.65000,2215400
1473341400,61.66000,61.80000,61.12000,61.41000,2025800
1473427800,60.83000,61.12000,59.37000,59.62000,3609600
1473687000,59.13000,60.67000,59.01000,60.62000,2520700
1473773400,60.39000,60.87000,59.94000,60.45000,3161700
1473859800,60.51000,61.18000,60.12000,60.92000,1906400
1473946200,60.88000,62.72000,60.87000,62.65000,3235500
1474032600,62.77000,62.85000,61.46000,62.05000,2947800
1474291800,62.42000,63.05000,62.21000,62.46000,2167200
1474378200,62.69000,62.91000,62.25000,62.34000,2304200
1474464600,62.60000,63.40000,62.52000,63.30000,2042300
1474551000,63.89000,64.02000,63.37000,63.68000,2323900
1474637400,63.70000,63.82000,63.23000,63.23000,3185500
1474896600,62.79000,62.98000,62.22000,62.28000,3196400
1474983000,62.28000,63.93000,61.81000,63.81000,2551000
1475069400,64.02000,64.13000,63.27000,63.93000,2313200
1475155800,63.99000,64.27000,62.93000,63.74000,1820100
1475242200,64.14000,64.97000,63.41000,64.45000,3104700
1475501400,64.29000,64.74000,64.06000,64.25000,1921100
1475587800,64.21000,64.93000,63.98000,64.24000,1571300
1475674200,64.48000,65.18000,63.80000,64.68000,2089100
1475760600,64.60000,64.83000,64.04000,64.74000,1355300
1475847000,64.62000,64.62000,63.74000,64.42000,1851900
1476106200,64.78000,64.88000,63.34000,63.35000,2117300
1476192600,63.31000,63.65000,61.64000,62.10000,3533100
1476279000,62.15000,62.16000,60.70000,61.19000,3305100
1476365400,60.80000,60.86000,59.54000,60.71000,3570700
1476451800,61.11000,62.71000,60.97000,62.06000,3834700
1476711000,61.65000,62.29000,61.33000,61.70000,2475900
1476797400,62.33000,62.84000,62.02000,62.14000,2759200
1476883800,61.84000,62.07000,61.27000,61.91000,1380400
1476970200,62.28000,63.68000,61.67000,63.47000,4556300
1477056600,63.13000,63.33000,62.22000,62.91000,1827100
1477315800,63.53000,64.05000,63.44000,64.02000,1316300
1477402200,64.02000,64.26000,63.74000,64.06000,3078000
1477488600,63.57000,63.75000,63.10000,63.44000,2576100
1477575000,63.87000,64.16000,63.06000,63.27000,2067200
1477661400,63.45000,64.29000,63.35000,63.53000,2412200
1477920600,64.04000,64.44000,63.74000,64.10000,2175500
1478007000,64.40000,64.40000,62.84000,63.60000,3643400
1478093400,63.79000,64.18000,63.40000,63.66000,2359000
1478179800,63.75000,64.03000,63.34000,63.85000,2329000
1478266200,62.89000,64.02000,62.89000,63.43000,2136500
1478529000,64.53000,64.55000,63.96000,64.36000,2982700
1478615400,64.08000,65.40000,63.71000,64.85000,2224500
1478701800,63.08000,65.29000,62.50000,64.97000,2448800
1478788200,65.21000,65.97000,63.45000,64.25000,2189000
1478874600,64.29000,65.44000,64.11000,65.32000,2172200
1479133800,65.42000,66.83000,65.33000,66.46000,4326300
1479220200,66.73000,68.49000,66.47000,68.21000,3345000
1479306600,68.14000,68.50000,67.68000,67.88000,3532300
1479393000,67.89000,68.32000,67.38000,68.21000,1610800
1479479400,67.92000,68.58000,67.62000,68.47000,1580100
1479738600,68.75000,69.91000,68.71000,69.82000,3583500
1479825000,73.05000,74.87000,72.52000,72.89000,7844300
1479911400,73.67000,74.11000,72.61000,73.59000,5922900
1480084200,73.45000,74.32000,72.91000,74.20000,1998300
1480343400,74.01000,74.46000,73.53000,74.16000,3126700
1480429800,74.17000,74.86000,73.45000,74.53000,2918000
1480516200,74.36000,74.75000,73.62000,74.24000,3803300
1480602600,73.56000,74.18000,68.67000,69.01000,5518200
1480689000,68.66000,70.26000,68.42000,70.11000,3248100
1480948200,70.84000,71.23000,70.15000,70.60000,2445000
1481034600,71.02000,71.50000,70.26000,71.00000,2196800
1481121000,70.98000,72.96000,70.52000,72.94000,2648400
1481207400,72.99000,74.25000,72.75000,73.88000,2153600
1481293800,74.54000,74.82000,72.49000,73.14000,2106700
1481553000,72.85000,73.26000,72.20000,72.90000,2194600
1481639400,73.11000,73.73000,72.79000,73.10000,2171900
1481725800,73.23000,73.43000,72.29000,72.54000,2482200
1481812200,72.81000,73.94000,72.54000,73.61000,2165700
1481898600,73.77000,74.00000,71.97000,72.09000,5131300
1482157800,72.41000,73.00000,72.15000,72.81000,1947700
1482244200,72.92000,73.59000,72.81000,73.40000,1729600
1482330600,73.69000,74.29000,73.27000,73.60000,1868000
1482417000,73.89000,73.95000,73.01000,73.45000,1680600
1482503400,73.37000,73.87000,73.34000,73.84000,1229100
1482849000,73.81000,74.62000,73.81000,74.31000,897000
1482935400,74.54000,74.60000,73.53000,73.56000,1851000
1483021800,73.38000,73.88000,73.23000,73.58000,1331000
1483108200,73.80000,74.02000,72.39000,72.62000,1758500
1483453800,72.60000,74.13000,72.09000,72.51000,2687200
1483540200,72.77000,73.03000,72.25000,72.36000,1971000
1483626600,72.41000,72.61000,71.28000,71.32000,2067300
1483713000,71.58000,71.95000,71.00000,71.60000,2069700
1483972200,71.64000,72.51000,71.52000,71.94000,2399500
1484058600,71.87000,72.51000,71.85000,72.35000,2403200
1484145000,72.27000,72.66000,72.07000,72.62000,1580900
1484231400,72.42000,72.42000,71.00000,72.22000,2099200
1484317800,72.36000,72.88000,72.11000,72.67000,1509100
1484663400,72.23000,73.41000,71.85000,72.28000,2374600
1484749800,72.64000,73.63000,72.22000,73.01000,2107100
1484836200,72.88000,73.39000,72.29000,72.44000,1988200
1484922600,72.09000,73.65000,72.09000,72.88000,1811600
1485181800,72.74000,73.24000,72.41000,72.78000,2205600
1485268200,73.01000,73.68000,72.56000,73.51000,3312900
1485354600,74.69000,75.59000,74.51000,74.54000,3944300
1485441000,74.37000,74.54000,73.77000,74.20000,4172100
1485527400,74.55000,76.94000,74.25000,76.93000,3820600
1485786600,76.76000,76.76000,75.23000,76.28000,2476300
1485873000,76.14000,76.19000,74.60000,74.94000,2609900
1485959400,75.76000,76.73000,75.42000,76.17000,2588600
1486045800,75.66000,76.03000,75.14000,75.23000,2490000
1486132200,75.52000,75.73000,75.26000,75.52000,2143100
1486391400,75.65000,75.65000,74.94000,75.53000,1789200
1486477800,75.69000,76.58000,75.39000,76.31000,2136100
1486564200,77.00000,77.75000,76.78000,77.48000,3397800
1486650600,77.77000,77.77000,76.48000,76.51000,2192300
1486737000,76.78000,76.78000,75.54000,76.53000,1667900
1486996200,77.01000,78.03000,76.81000,77.92000,2637600
1487082600,77.84000,77.97000,77.07000,77.84000,2589600
1487169000,80.80000,81.63000,77.96000,81.60000,7032700
1487255400,81.00000,82.57000,80.75000,81.97000,3465000
1487341800,81.80000,82.50000,81.48000,82.48000,2933200
1487687400,82.50000,82.87000,81.99000,82.82000,2375600
1487773800,82.31000,82.39000,81.52000,82.06000,3679500
1487860200,82.15000,82.16000,81.03000,81.61000,2277500
1487946600,80.97000,81.70000,80.82000,81.68000,2841100
1488205800,81.65000,82.43000,81.24000,82.28000,1793100
1488292200,82.18000,82.24000,81.58000,81.93000,2045400
1488378600,82.45000,83.79000,82.15000,83.76000,2265100
1488465000,83.39000,84.08000,83.04000,83.65000,2714300
1488551400,83.62000,83.65000,83.04000,83.18000,2357200
1488810600,83.00000,84.24000,82.35000,83.85000,3717400
1488897000,83.70000,84.17000,83.21000,83.41000,2892700
1488983400,83.77000,83.85000,83.18000,83.48000,2381400
1489069800,83.38000,83.66000,82.80000,83.17000,2005300
1489156200,83.87000,83.87000,82.03000,82.20000,7495200
1489411800,82.15000,82.99000,82.05000,82.76000,4873800
1489498200,82.52000,83.73000,82.40000,83.68000,4881100
1489584600,83.45000,83.67000,82.56000,83.51000,4499200
1489671000,83.29000,83.50000,82.41000,82.72000,4107700
1489757400,83.31000,83.34000,82.73000,83.26000,4184000
1490016600,83.26000,83.70000,82.88000,82.90000,2714000
1490103000,83.25000,83.46000,81.69000,81.80000,3316600
1490189400,81.84000,82.26000,81.65000,82.12000,2604300
1490275800,82.24000,82.33000,81.31000,81.54000,3395000
1490362200,81.86000,82.95000,81.40000,81.64000,2223500
1490621400,81.00000,81.54000,80.39000,81.40000,2450700
1490707800,81.31000,82.51000,81.07000,82.20000,2916400
1490794200,81.89000,82.22000,81.47000,81.91000,2040500
1490880600,81.87000,82.61000,81.63000,82.20000,1337700
1490967000,82.05000,82.48000,81.77000,81.95000,2337300
1491226200,82.02000,82.27000,80.86000,81.24000,3084400
1491312600,80.81000,81.39000,80.50000,81.24000,5040800
1491399000,81.59000,81.65000,80.00000,80.04000,3513800
1491485400,80.11000,80.66000,79.59000,80.32000,3970800
