time,open,high,low,close,tick_volume
1472477400,64.87000,65.37000,64.82000,65.18000,2269300
1472563800,65.21000,65.50000,64.26000,64.32000,3295000
1472650200,64.55000,64.61000,64.07000,64.57000,3163300
1472736600,64.41000,64.70000,64.22000,64.41000,2030800
1472823000,64.57000,65.37000,64.48000,65.24000,2209500
1473168600,65.51000,66.17000,65.40000,66.04000,2431000
1473255000,65.97000,66.24000,65.65000,66.05000,1992800
1473341400,65.89000,66.35000,65.77000,66.10000,1834100
1473427800,65.51000,65.60000,63.62000,63.71000,3341300
1473687000,63.68000,64.89000,63.68000,64.71000,2815100
1473773400,64.52000,64.90000,63.56000,63.81000,3845800
1473859800,64.76000,64.76000,63.70000,64.02000,2820600
1473946200,63.94000,64.47000,63.71000,64.30000,2450900
1474032600,64.16000,64.88000,63.88000,64.81000,3751500
1474291800,65.00000,65.49000,64.81000,65.42000,2185900
1474378200,65.23000,65.69000,65.01000,65.01000,2232900
1474464600,64.95000,66.27000,64.91000,66.19000,3380800
1474551000,66.51000,66.79000,66.20000,66.60000,2582500
1474637400,66.48000,66.87000,66.09000,66.66000,2031100
1474896600,66.66000,66.74000,66.15000,66.36000,1745800
1474983000,66.66000,66.96000,65.37000,65.50000,2229800
1475069400,65.65000,65.78000,64.78000,65.36000,2515900
1475155800,65.42000,65.42000,64.10000,64.50000,3632100
1475242200,64.80000,65.07000,63.75000,64.21000,4152600
1475501400,64.04000,64.06000,63.05000,63.51000,2813400
1475587800,63.47000,63.47000,61.82000,62.18000,3586500
1475674200,62.19000,63.03000,61.98000,62.18000,3825400
1475760600,62.07000,62.51000,61.72000,62.25000,3195800
1475847000,62.70000,63.15000,61.75000,61.79000,3345100
1476106200,61.97000,62.31000,61.73000,62.21000,1633700
1476192600,61.98000,62.28000,61.28000,61.34000,2157700
1476279000,61.43000,62.19000,61.43000,62.00000,2648400
1476365400,61.86000,63.01000,61.80000,62.53000,3457000
1476451800,62.25000,62.84000,61.97000,62.30000,2490100
1476711000,62.50000,63.14000,62.43000,62.97000,2767900
1476797400,63.27000,63.48000,62.46000,63.37000,2833900
1476883800,63.38000,63.44000,62.86000,63.19000,2351300
