time,open,high,low,close,tick_volume
1472477400,59.15000,59.74000,59.15000,59.43000,3675900
1472563800,59.43000,59.74000,59.22000,59.64000,4218500
1472650200,59.70000,59.89000,59.35000,59.83000,6090000
1472736600,59.91000,59.99000,58.99000,59.41000,4677300
1472823000,59.72000,59.97000,59.55000,59.86000,4399200
1473168600,59.63000,59.84000,58.99000,59.45000,7066200
1473255000,59.32000,59.51000,58.94000,59.37000,4488200
1473341400,59.38000,59.58000,58.97000,59.04000,5279600
1473427800,58.86000,59.29000,58.66000,58.67000,6937300
1473687000,58.28000,59.22000,57.54000,58.99000,9222400
1473773400,58.03000,58.37000,57.71000,58.23000,7098500
1473859800,58.18000,58.63000,57.89000,58.08000,5978800
1473946200,58.00000,58.90000,57.88000,58.59000,6494500
1474032600,58.21000,58.26000,57.72000,57.90000,22310200
1474291800,58.15000,58.54000,57.66000,57.84000,6684700
1474378200,58.09000,58.12000,57.78000,57.84000,5092400
1474464600,58.12000,58.36000,57.54000,58.09000,8334300
1474551000,58.24000,59.04000,58.17000,58.99000,6619100
1474637400,58.92000,59.12000,58.64000,58.73000,6306900
1474896600,58.44000,58.44000,58.06000,58.25000,4895500
1474983000,58.14000,58.93000,57.90000,58.51000,5388300
1475069400,58.78000,59.53000,58.64000,59.50000,6052700
1475155800,59.35000,59.86000,58.23000,58.40000,7291900
1475242200,58.80000,59.60000,58.80000,59.34000,6408500
1475501400,59.19000,59.30000,58.49000,58.92000,4412200
1475587800,58.82000,59.26000,58.62000,59.08000,5990100
1475674200,59.39000,60.28000,59.34000,59.90000,5219900
1475760600,59.96000,60.13000,59.51000,59.95000,4921300
1475847000,60.00000,60.44000,59.61000,60.06000,4733000
1476106200,60.33000,60.73000,60.33000,60.44000,3435900
1476192600,60.11000,60.38000,59.51000,59.86000,5170900
1476279000,60.09000,60.87000,59.90000,60.44000,5565500
1476365400,59.80000,59.93000,58.93000,59.59000,6131100
1476451800,60.14000,60.69000,59.77000,59.86000,5207800
1476711000,60.03000,60.48000,59.90000,60.29000,5158600
1476797400,60.71000,61.01000,60.38000,60.49000,4105600
1476883800,60.46000,61.00000,60.46000,60.71000,4546800
1476970200,60.49000,60.69000,59.81000,60.07000,4380800
1477056600,59.53000,60.09000,59.40000,60.00000,4218300
1477315800,60.28000,60.50000,60.19000,60.32000,3458600
1477402200,60.30000,60.60000,60.16000,60.55000,3493800
1477488600,60.30000,61.37000,60.16000,61.11000,6584600
1477575000,61.44000,62.03000,61.12000,61.42000,9922400
1477661400,61.64000,61.91000,60.96000,61.28000,7016900
1477920600,61.55000,61.96000,61.44000,61.70000,5901500
1478007000,61.77000,61.81000,59.91000,60.68000,8322800
1478093400,60.63000,61.12000,60.24000,60.55000,7359300
1478179800,58.14000,58.36000,57.35000,58.15000,13088100
1478266200,58.23000,58.34000,57.37000,57.38000,8737100
1478529000,58.20000,59.31000,58.12000,59.28000,9849100
1478615400,59.11000,59.87000,58.71000,59.50000,9238500
1478701800,60.09000,61.16000,59.70000,60.93000,13021000
1478788200,61.52000,63.47000,61.50000,63.21000,12562000
1478874600,62.93000,63.48000,62.72000,63.32000,9673700
1479133800,63.66000,64.72000,63.55000,64.45000,9557500
1479220200,63.93000,64.60000,63.73000,64.60000,8588100
1479306600,63.94000,64.52000,63.45000,64.10000,6185300
1479393000,63.95000,64.46000,63.95000,64.23000,6260700
1479479400,64.14000,64.23000,63.45000,63.91000,4462000
1479738600,64.02000,64.25000,63.66000,63.92000,4177700
1479825000,64.03000,64.12000,63.09000,64.00000,6626700
1479911400,64.14000,64.49000,63.82000,64.33000,4498200
1480084200,64.02000,64.58000,64.02000,64.44000,2074000
1480343400,63.98000,64.50000,63.29000,63.31000,6385300
1480429800,63.48000,63.58000,63.25000,63.28000,4841400
1480516200,63.69000,64.06000,63.33000,63.33000,7627200
1480602600,63.66000,64.15000,63.60000,64.11000,5942700
1480689000,64.09000,64.20000,63.69000,63.75000,5651000
1480948200,64.14000,64.22000,63.83000,64.22000,4706000
1481034600,64.21000,64.36000,63.76000,64.20000,4942600
1481121000,64.29000,64.99000,64.21000,64.92000,5113100
1481207400,64.98000,66.10000,64.80000,65.82000,5196500
1481293800,65.80000,65.99000,65.47000,65.83000,6553000
1481553000,66.08000,66.22000,64.98000,65.62000,6568400
1481639400,65.93000,66.33000,65.42000,66.31000,5225900
1481725800,65.74000,67.00000,65.42000,66.01000,6613400
1481812200,66.26000,67.03000,66.13000,66.19000,6148700
1481898600,66.33000,66.68000,65.99000,66.30000,14776700
1482157800,66.33000,66.68000,65.60000,66.54000,7628700
1482244200,66.74000,66.98000,66.32000,66.60000,4075700
1482330600,66.58000,66.87000,66.22000,66.66000,3091500
1482417000,66.23000,66.78000,65.95000,66.23000,3047500
1482503400,66.23000,66.50000,66.05000,66.41000,2061000
1482849000,66.54000,66.92000,66.42000,66.70000,3263700
1482935400,66.68000,66.77000,65.87000,65.88000,2449800
1483021800,66.00000,66.19000,65.44000,65.50000,3336800
1483108200,65.40000,65.72000,65.12000,65.31000,4497200
1483453800,65.95000,66.01000,64.69000,65.12000,7321900
1483540200,65.49000,66.21000,65.28000,65.97000,4927500
1483626600,65.81000,66.07000,64.93000,65.60000,4107900
1483713000,66.57000,67.08000,66.19000,66.81000,5603700
1483972200,66.69000,66.87000,66.07000,66.38000,4345000
1484058600,66.41000,67.47000,66.26000,67.20000,4952500
1484145000,66.84000,67.27000,66.32000,66.95000,4762000
1484231400,66.56000,66.61000,65.75000,66.25000,5558700
1484317800,66.14000,66.91000,66.12000,66.35000,5391500
1484663400,65.70000,66.41000,65.46000,66.06000,5155000
1484749800,66.34000,66.47000,65.86000,66.24000,4953900
1484836200,66.45000,66.65000,65.96000,66.29000,4406400
1484922600,66.29000,67.45000,66.26000,66.54000,9070900
1485181800,66.52000,66.53000,65.44000,65.49000,5707100
1485268200,65.84000,65.93000,65.34000,65.50000,6524900
1485354600,65.72000,66.07000,65.43000,65.72000,6799000
1485441000,66.01000,66.40000,65.55000,66.02000,4866900
1485527400,66.00000,66.05000,64.99000,65.21000,5612800
1485786600,64.95000,64.95000,64.02000,64.89000,5149900
1485873000,64.75000,65.14000,64.05000,64.26000,6201100
1485959400,64.75000,65.00000,64.06000,64.27000,4690400
1486045800,63.87000,64.61000,63.75000,64.12000,4532800
1486132200,64.97000,65.18000,64.50000,64.94000,4380500
1486391400,64.54000,65.05000,64.50000,64.90000,2871500
1486477800,65.19000,65.25000,64.76000,64.88000,3645700
1486564200,64.70000,65.04000,64.50000,64.91000,3181900
1486650600,64.91000,65.58000,64.91000,65.32000,5373100
1486737000,65.41000,65.88000,65.35000,65.61000,5076200
1486996200,65.74000,66.30000,65.65000,66.14000,4568700
1487082600,66.43000,66.93000,66.26000,66.89000,7933700
1487169000,62.54000,62.99000,60.41000,60.85000,38234900
1487255400,60.80000,62.69000,60.70000,62.27000,14253600
1487341800,62.09000,62.52000,61.81000,62.50000,7797900
1487687400,62.76000,63.58000,62.51000,63.41000,9402400
1487773800,63.10000,64.44000,63.03000,63.83000,10006600
1487860200,64.24000,64.27000,63.88000,64.02000,6081400
1487946600,63.69000,63.71000,63.22000,63.63000,6466500
1488205800,63.55000,64.51000,63.53000,64.00000,8548800
1488292200,63.76000,64.29000,63.70000,63.92000,8014700
1488378600,64.73000,64.90000,64.37000,64.63000,10137000
1488465000,64.59000,64.73000,63.85000,63.90000,6833700
1488551400,63.86000,64.37000,63.77000,64.22000,4639900
1488810600,63.80000,64.01000,63.37000,63.78000,5305700
1488897000,63.69000,63.76000,62.66000,63.45000,8144800
1488983400,63.85000,64.05000,63.29000,63.44000,5863800
1489069800,64.54000,64.75000,62.95000,63.21000,8564500
1489156200,63.29000,63.40000,62.87000,63.08000,5005600
1489411800,61.97000,63.33000,61.81000,63.18000,8328100
1489498200,62.75000,63.02000,62.41000,62.88000,5131200
1489584600,63.09000,63.39000,62.88000,63.23000,5862600
1489671000,63.15000,63.47000,62.78000,62.91000,5185800
1489757400,62.64000,63.05000,62.03000,62.42000,16458400
1490016600,62.21000,62.84000,61.88000,62.37000,4596600
1490103000,62.68000,62.68000,61.56000,61.76000,7307300
1490189400,61.58000,61.83000,61.10000,61.24000,7417700
1490275800,61.31000,61.90000,61.20000,61.34000,6894600
1490362200,61.50000,61.77000,60.44000,60.88000,8466700
1490621400,60.14000,61.12000,59.89000,60.93000,6639300
1490707800,60.69000,62.25000,60.62000,61.86000,6491000
1490794200,61.60000,61.89000,61.51000,61.77000,5369800
1490880600,61.73000,62.89000,61.68000,62.57000,4706600
1490967000,62.41000,62.84000,62.25000,62.43000,5296000
1491226200,62.43000,62.56000,61.34000,61.79000,5158800
1491312600,61.71000,62.26000,61.50000,62.18000,4553200
1491399000,62.53000,62.77000,61.55000,61.62000,4605300
1491485400,61.50000,62.07000,61.39000,61.84000,3862600
1491571800,61.52000,61.82000,61.29000,61.34000,4847200
1491831000,61.41000,61.89000,61.27000,61.48000,4760900
1491917400,61.28000,61.41000,60.56000,60.79000,6147800
1492003800,60.19000,60.46000,59.74000,60.17000,7518300
1492090200,59.99000,60.30000,59.50000,59.55000,5956100
1492435800,59.61000,60.06000,59.37000,59.93000,5939400
1492522200,59.59000,59.92000,59.30000,59.50000,4841300
1492608600,59.82000,59.98000,58.71000,58.98000,6125700
1492695000,59.15000,60.49000,58.93000,59.67000,9397700
1492781400,59.56000,59.70000,59.08000,59.13000,6473200
1493040600,59.90000,59.96000,59.41000,59.69000,7930500
1493127000,60.01000,60.30000,59.90000,60.07000,8367500
1493213400,60.01000,60.82000,59.92000,60.16000,12413500
1493299800,60.21000,61.41000,60.12000,61.15000,6860400
1493386200,61.05000,61.32000,60.87000,60.91000,4822600
1493645400,61.19000,61.88000,61.07000,61.61000,5778700
1493731800,61.50000,62.06000,61.39000,61.53000,5205000
1493818200,61.40000,61.91000,61.26000,61.54000,7526900
1493904600,62.92000,63.48000,62.60000,62.67000,8490500
1493991000,62.76000,62.95000,62.61000,62.71000,6056900
1494250200,62.76000,62.80000,61.75000,61.92000,6488100
1494336600,61.90000,62.44000,61.66000,61.82000,6299900
1494423000,61.65000,61.80000,61.22000,61.37000,3964100
1494509400,62.88000,62.90000,61.72000,61.79000,9098400
1494595800,61.58000,61.81000,60.92000,60.99000,14479100
1494855000,61.25000,61.86000,61.25000,61.82000,9583200
1494941400,62.33000,62.37000,61.83000,62.08000,7962500
1495027800,62.08000,62.08000,61.18000,61.56000,13252200
1495114200,61.48000,61.88000,61.16000,61.39000,9934800
1495200600,61.51000,61.79000,61.12000,61.20000,9709600
1495459800,61.61000,61.91000,61.17000,61.38000,9260300
1495546200,61.36000,62.28000,61.21000,62.17000,7968900
1495632600,62.23000,62.84000,62.17000,62.60000,11406200
1495719000,62.85000,63.24000,62.55000,63.12000,9920700
1495805400,63.00000,63.90000,62.91000,63.55000,8817100
1496151000,63.30000,64.32000,63.26000,64.10000,6358300
1496237400,64.19000,64.19000,63.52000,63.63000,7493000
1496323800,63.81000,64.04000,63.63000,63.90000,5146700
1496410200,63.56000,64.35000,63.45000,64.24000,5736900
