time,open,high,low,close,tick_volume
1472477400,55.25000,55.30000,54.66000,55.04000,1173300
1472563800,55.05000,55.56000,54.61000,54.89000,1168100
1472650200,54.97000,55.14000,54.29000,54.90000,1304200
1472736600,54.82000,55.08000,54.16000,55.07000,1769500
1472823000,55.40000,55.78000,55.01000,55.33000,1149100
1473168600,55.29000,55.83000,55.08000,55.50000,1737400
1473255000,55.37000,55.43000,53.91000,54.08000,2394700
1473341400,53.90000,54.31000,53.24000,53.50000,3483400
1473427800,53.04000,53.73000,52.43000,52.50000,2209000
1473687000,52.38000,53.28000,52.31000,53.09000,2117100
1473773400,52.50000,52.82000,51.43000,51.87000,1905000
1473859800,51.81000,52.46000,51.33000,51.65000,2363400
1473946200,51.31000,51.71000,50.91000,51.38000,3072000
1474032600,51.20000,51.40000,50.76000,50.98000,2415000
1474291800,51.18000,51.90000,51.14000,51.62000,2430000
1474378200,51.98000,52.26000,51.36000,51.36000,1907500
1474464600,51.48000,52.30000,51.28000,52.21000,1690200
1474551000,52.70000,52.93000,52.17000,52.43000,2073300
1474637400,52.11000,52.63000,52.11000,52.25000,1307400
1474896600,51.84000,52.25000,51.51000,51.76000,1298500
1474983000,51.85000,52.83000,51.80000,52.65000,1562400
1475069400,52.57000,52.70000,51.36000,52.28000,1967100
1475155800,52.27000,53.64000,52.27000,52.41000,2268600
1475242200,52.63000,53.19000,52.13000,52.99000,1354700
1475501400,52.96000,53.75000,52.63000,53.71000,1848300
1475587800,53.75000,54.78000,53.20000,54.64000,2633600
1475674200,54.90000,56.05000,54.73000,55.98000,2973100
1475760600,55.80000,55.91000,54.60000,54.86000,1973500
1475847000,55.33000,55.33000,54.58000,54.95000,1162200
1476106200,55.22000,55.74000,55.07000,55.31000,1256900
1476192600,55.30000,55.30000,53.61000,54.13000,1795800
1476279000,54.03000,54.36000,53.57000,54.28000,993800
1476365400,53.87000,54.58000,53.19000,54.45000,1400000
1476451800,54.80000,55.24000,54.07000,54.66000,1521000
1476711000,54.52000,54.99000,54.11000,54.94000,1266000
1476797400,55.69000,56.30000,55.58000,55.92000,1937300
1476883800,56.18000,56.98000,56.00000,56.62000,1698000
1476970200,56.57000,56.88000,56.33000,56.73000,1072500
1477056600,56.73000,57.81000,56.25000,57.67000,1800600
1477315800,57.97000,59.18000,57.84000,58.84000,2852900
1477402200,59.00000,59.20000,58.44000,59.07000,3407400
1477488600,64.36000,68.47000,64.10000,67.70000,13754500
1477575000,68.09000,69.95000,67.02000,68.81000,6585200
1477661400,68.63000,70.10000,68.47000,69.91000,4018100
1477920600,69.76000,71.04000,69.35000,69.47000,3711100
1478007000,69.39000,69.55000,67.52000,68.10000,5326000
1478093400,68.00000,68.22000,67.21000,67.31000,3684900
1478179800,67.42000,67.54000,66.48000,66.52000,2483600
1478266200,66.33000,67.04000,65.69000,65.81000,3087700
1478529000,67.32000,67.50000,66.21000,66.52000,2617300
1478615400,66.31000,66.76000,65.75000,66.37000,2761700
