time,open,high,low,close,tick_volume
1472477400,92.98000,93.82000,92.74000,93.45000,571200
1472563800,93.51000,93.72000,92.45000,93.19000,868600
1472650200,93.05000,93.44000,92.34000,92.90000,670200
1472736600,93.20000,93.92000,92.40000,93.76000,643300
1472823000,94.43000,95.94000,94.43000,95.78000,869900
1473168600,96.23000,96.57000,94.39000,95.26000,653100
1473255000,95.38000,96.48000,95.38000,96.29000,819800
1473341400,96.25000,96.90000,95.20000,95.40000,473600
1473427800,94.57000,95.44000,91.51000,91.79000,988200
1473687000,91.57000,93.35000,91.02000,93.12000,975800
1473773400,92.61000,93.60000,91.32000,91.98000,577700
1473859800,92.10000,92.59000,91.45000,92.35000,662300
1473946200,92.95000,93.59000,92.04000,92.93000,928300
1474032600,92.86000,94.10000,92.47000,93.84000,1032700
1474291800,93.89000,95.44000,93.50000,94.13000,521200
1474378200,94.79000,94.98000,93.67000,93.70000,919800
1474464600,93.76000,95.70000,93.47000,95.34000,1333100
1474551000,95.98000,96.23000,95.46000,95.67000,1132600
1474637400,95.30000,95.55000,93.73000,94.13000,422800
1474896600,94.07000,94.13000,92.86000,93.09000,504400
1474983000,93.49000,94.65000,93.07000,94.44000,578000
1475069400,94.54000,94.70000,93.59000,94.60000,318100
1475155800,94.51000,94.51000,91.64000,92.41000,557900
1475242200,92.50000,94.52000,92.33000,93.75000,615900
1475501400,92.04000,92.30000,88.20000,90.21000,1614400
1475587800,90.58000,91.68000,88.75000,89.46000,840200
1475674200,89.51000,90.34000,89.18000,89.48000,749700
1475760600,89.09000,90.15000,88.92000,89.44000,871400
1475847000,89.77000,90.00000,88.50000,89.68000,698300
1476106200,89.71000,92.18000,89.71000,91.08000,535500
1476192600,91.32000,92.04000,88.80000,89.61000,654800
1476279000,90.02000,90.56000,89.11000,90.26000,499900
1476365400,89.96000,91.44000,89.47000,90.95000,641900
1476451800,91.05000,91.82000,90.57000,90.88000,630800
1476711000,90.72000,91.27000,89.35000,89.79000,644400
1476797400,90.90000,91.18000,90.29000,90.41000,537300
1476883800,91.11000,91.52000,90.25000,91.01000,501700
1476970200,91.00000,91.61000,90.67000,91.53000,400800
1477056600,90.50000,90.62000,88.86000,89.50000,1010300
1477315800,90.00000,91.05000,89.04000,89.26000,845000
1477402200,89.99000,89.99000,87.12000,87.50000,699100
1477488600,87.00000,87.00000,84.18000,84.52000,1181800
1477575000,84.90000,84.90000,83.27000,84.14000,807000
1477661400,83.80000,86.63000,83.30000,85.17000,753500
1477920600,85.31000,86.35000,83.63000,85.92000,1377400
1478007000,85.86000,86.73000,83.77000,84.56000,1308400
1478093400,84.48000,86.73000,84.21000,85.21000,1150600
1478179800,85.71000,87.01000,85.42000,86.08000,585300
1478266200,86.09000,86.54000,85.56000,85.73000,719100
1478529000,87.14000,88.69000,86.38000,87.86000,1237200
1478615400,89.89000,91.96000,86.72000,88.79000,2245900
1478701800,87.77000,91.38000,87.19000,90.88000,1182900
1478788200,91.77000,92.62000,88.74000,90.60000,911900
1478874600,90.51000,92.15000,89.82000,91.54000,925200
1479133800,92.06000,92.87000,89.99000,90.22000,1109600
1479220200,90.52000,94.56000,90.52000,93.95000,1372700
1479306600,93.42000,95.34000,93.21000,94.04000,987400
1479393000,93.75000,97.28000,93.72000,97.24000,1291300
1479479400,97.73000,98.62000,94.80000,94.84000,951300
1479738600,94.75000,97.10000,94.25000,96.18000,878200
1479825000,95.00000,95.11000,93.19000,94.46000,1101900
1479911400,94.05000,96.08000,94.05000,95.55000,765400
1480084200,96.44000,96.88000,95.73000,96.19000,510800
1480343400,96.33000,98.11000,95.01000,95.34000,1035900
1480429800,95.95000,96.23000,94.94000,95.51000,1086200
1480516200,95.00000,95.45000,92.31000,93.05000,4981800
1480602600,93.12000,93.68000,91.46000,92.54000,1439500
1480689000,92.30000,94.16000,92.25000,92.46000,789200
1480948200,93.26000,94.71000,93.21000,94.01000,880300
1481034600,94.65000,96.37000,92.74000,96.24000,1175900
1481121000,98.17000,98.22000,95.25000,98.14000,1484600
1481207400,97.89000,99.58000,97.47000,99.30000,925000
1481293800,99.84000,100.67000,98.43000,98.62000,1192000
1481553000,97.99000,99.48000,97.62000,98.53000,1030900
1481639400,99.69000,100.50000,97.94000,99.15000,752500
1481725800,99.05000,99.93000,98.05000,98.60000,725200
1481812200,98.93000,100.59000,98.25000,100.27000,829900
1481898600,100.18000,101.79000,100.02000,101.14000,1401900
1482157800,101.56000,102.10000,100.09000,100.25000,738700
1482244200,100.13000,100.90000,99.05000,99.39000,616400
1482330600,99.76000,99.76000,98.35000,98.71000,530200
1482417000,98.93000,99.16000,97.99000,98.21000,563500
1482503400,98.39000,98.69000,97.91000,98.50000,419700
1482849000,98.71000,99.45000,98.59000,98.66000,385500
1482935400,98.60000,99.24000,96.50000,96.80000,505600
1483021800,97.09000,97.59000,96.55000,96.96000,457200
1483108200,97.12000,97.35000,95.84000,96.13000,489400
1483453800,96.49000,98.33000,95.80000,96.96000,816700
1483540200,96.85000,98.82000,96.80000,97.77000,675500
1483626600,97.52000,97.77000,94.41000,94.82000,731700
1483713000,94.82000,95.74000,93.60000,94.08000,998400
1483972200,94.13000,95.87000,93.51000,94.79000,1033000
1484058600,94.61000,96.79000,94.15000,96.13000,781200
