time,open,high,low,close,tick_volume
1472477400,15.37500,15.60000,15.35250,15.52000,4835200
1472563800,15.52250,15.59750,15.49750,15.56750,4976800
1472650200,15.52750,15.61250,15.50500,15.57750,5012400
1472736600,15.54250,15.61000,15.46250,15.58250,4221200
1472823000,15.61500,15.66500,15.58500,15.64500,3176800
1473168600,15.65000,15.73500,15.61500,15.66500,3922800
1473255000,15.73750,15.77000,15.63000,15.71750,5462800
1473341400,15.64500,15.77250,15.64000,15.72250,7153600
1473427800,15.53750,15.61000,15.32000,15.32250,8226000
1473687000,15.25250,15.58000,15.24250,15.54250,5592000
1473773400,15.40500,15.54750,15.35250,15.40250,4502000
1473859800,15.39000,15.46500,15.34500,15.44500,3477200
1473946200,15.45000,15.74750,15.44000,15.69750,4545600
1474032600,15.64000,15.74750,15.59000,15.73750,7469200
1474291800,15.76250,15.95250,15.74500,15.94000,6420000
1474378200,16.27500,16.29500,16.02750,16.03250,10486800
1474464600,16.07000,16.24250,16.02000,16.22500,4593600
1474551000,16.24500,16.44250,16.24500,16.42000,4455200
1474637400,16.37750,16.37750,16.10250,16.10500,4854400
1474896600,16.06750,16.12250,15.99500,16.01000,5262400
1474983000,15.99250,16.12500,15.88750,16.12500,10248000
1475069400,16.17750,16.25750,16.11250,16.24500,6828000
1475155800,16.24250,16.26500,16.12000,16.17000,5168800
1475242200,16.20500,16.29750,16.18250,16.23000,6064800
1475501400,16.17000,16.25000,16.09500,16.10000,4804000
1475587800,16.14750,16.18250,16.02500,16.07500,3450000
1475674200,16.16500,16.29000,16.07500,16.22500,3931200
1475760600,16.23500,16.39000,16.17500,16.38000,4055600
1475847000,16.35750,16.37500,16.20750,16.34250,6523600
1476106200,16.41000,16.44750,16.18500,16.21500,4190800
1476192600,16.17000,16.21250,15.91500,16.00000,4976400
1476279000,16.01250,16.08000,15.91000,15.99000,3518000
1476365400,15.85000,15.86500,15.66000,15.82500,6017600
1476451800,15.91250,16.03000,15.84250,15.89000,4789600
1476711000,15.93000,15.94750,15.74250,15.76250,4524800
1476797400,15.90750,15.94000,15.68000,15.80250,6943200
1476883800,16.25000,16.33250,16.03000,16.17750,8812800
1476970200,16.25750,16.69500,16.24000,16.60750,13976400
1477056600,16.46750,16.57000,16.32500,16.49000,9875200
1477315800,16.62000,16.66250,16.42750,16.49750,6687600
1477402200,16.49750,16.50250,16.20250,16.29750,5469600
1477488600,16.24750,16.43750,16.23250,16.38250,4362000
1477575000,16.44750,16.47250,16.33250,16.34250,5487600
1477661400,16.37500,16.52250,16.29500,16.37250,4248800
1477920600,16.42750,16.52750,16.41250,16.48250,5664000
1478007000,16.52500,16.61500,16.39000,16.50500,7331600
1478093400,16.44500,16.53250,16.23250,16.27750,6604400
1478179800,16.28500,16.31750,16.18250,16.22250,3990000
1478266200,16.23000,16.35750,16.20750,16.22750,3337600
1478529000,16.44750,16.63750,16.44750,16.63500,4243600
1478615400,16.61500,16.73500,16.54000,16.70250,2785200
1478701800,16.41000,16.89500,16.23000,16.83750,6874400
1478788200,16.88750,16.97500,16.59750,16.61750,7521200
1478874600,16.55250,16.70750,16.51500,16.65750,4989600
1479133800,16.71500,16.77750,16.58750,16.65750,4542400
1479220200,16.71750,16.79750,16.62250,16.78250,3902800
1479306600,16.77000,16.96500,16.67250,16.95000,4741600
1479393000,16.96750,17.02750,16.85000,17.00250,5217600
1479479400,17.02750,17.13000,16.92000,17.01000,9712800
1479738600,17.05750,17.13000,16.90000,16.99250,5153600
1479825000,17.04750,17.05750,16.95000,17.00500,3279600
1479911400,16.98750,17.05500,16.94000,17.01000,2621600
1480084200,16.98750,17.16750,16.95250,17.16750,1509200
1480343400,17.15000,17.20000,17.10000,17.12250,6068400
1480429800,17.08750,17.19250,17.07250,17.10750,5189600
1480516200,17.16250,17.29750,17.04750,17.06500,5532000
1480602600,17.05750,17.10750,16.58750,16.68500,8952000
1480689000,16.72500,16.87250,16.71750,16.83500,6492800
1480948200,16.99250,17.04000,16.89500,16.96250,5297600
1481034600,16.97000,17.02000,16.85500,16.90000,4244400
1481121000,16.91000,17.03750,16.82250,17.01750,6750000
1481207400,17.05500,17.23750,17.01750,17.20750,3415200
1481293800,17.18750,17.20750,17.08000,17.12750,3018800
1481553000,17.03250,17.08500,16.87000,16.91500,5892000
1481639400,16.97000,17.10750,16.88750,16.97750,6267200
1481725800,16.97750,17.15500,16.91250,16.94000,5064000
1481812200,16.95500,17.11250,16.90000,16.99500,7262000
1481898600,17.02500,17.09500,16.80250,16.85000,9487600
1482157800,16.85000,17.00250,16.84250,17.00000,3639600
1482244200,17.05000,17.11000,16.98500,17.08250,3167600
1482330600,17.10000,17.11000,17.01000,17.05500,3594000
1482417000,17.05750,17.09750,16.89000,17.07000,3602000
1482503400,17.05500,17.14000,17.00750,17.07500,2004800
1482849000,17.08000,17.13500,17.05000,17.08500,1508400
1482935400,17.09000,17.09000,16.88250,16.89250,2186000
1483021800,16.91500,17.00500,16.78750,16.90000,2348000
1483108200,16.97000,16.97000,16.74250,16.80000,3506800
1483453800,16.89250,17.05500,16.77250,16.85750,3305200
1483540200,16.88250,17.03500,16.86750,16.98250,3468400
1483626600,17.00250,17.10250,16.85000,16.89250,3368000
1483713000,16.93750,17.07000,16.84750,17.02000,2550800
1483972200,17.00500,17.06000,16.84000,16.84500,2836000
1484058600,16.85500,16.99500,16.78000,16.94750,2699200
1484145000,16.89000,16.95500,16.83750,16.95500,3008800
1484231400,16.88750,17.00500,16.72750,16.99250,3076400
1484317800,17.02250,17.12500,17.00250,17.02750,3366800
1484663400,16.94500,17.03000,16.82500,16.92500,2870000
1484749800,17.00250,17.12500,16.94250,17.07000,3242800
1484836200,17.03000,17.11500,16.95750,17.05250,3433600
1484922600,17.12500,17.19750,17.07250,17.15000,4756400
1485181800,17.08750,17.19750,16.84000,16.99500,4932800
1485268200,17.07250,17.23500,17.00250,17.19000,8990000
1485354600,17.20000,17.31250,16.60250,16.75750,12655600
1485441000,16.87250,16.87250,16.56500,16.66000,5505600
1485527400,16.72000,16.85500,16.67000,16.73000,5702800
1485786600,16.74750,16.76500,16.57500,16.74500,5277200
1485873000,16.74250,16.90250,16.58500,16.87250,7429200
1485959400,16.88000,16.91500,16.59000,16.65000,5969200
1486045800,16.63000,16.84250,16.50000,16.78750,5383600
1486132200,16.85000,16.92000,16.74750,16.86500,5703600
1486391400,16.82500,16.92750,16.74250,16.76750,6824800
1486477800,16.83250,16.95500,16.79500,16.82250,5561200
1486564200,16.82250,17.10250,16.81500,17.00500,6232800
1486650600,17.00750,17.19500,17.00500,17.07250,5292800
1486737000,17.06000,17.23500,17.02000,17.19250,4463600
1486996200,17.25750,17.30500,17.20250,17.24250,4273200
1487082600,17.20750,17.28500,17.14000,17.28250,4198400
1487169000,17.21250,17.30500,17.14250,17.25500,5854400
1487255400,17.29000,17.36000,17.21500,17.34500,3534000
1487341800,17.35000,17.36500,17.18000,17.36500,4413200
1487687400,17.34500,17.42250,17.28750,17.39500,4214000
1487773800,17.39000,17.49750,17.38500,17.45500,3237200
1487860200,17.50500,17.56000,17.29500,17.49250,9816400
1487946600,17.38750,17.55750,17.35250,17.54500,5253600
1488205800,17.50250,17.56500,17.34750,17.36750,4762400
1488292200,17.34000,17.35250,17.24750,17.30250,5386000
1488378600,17.38750,17.75000,17.37500,17.72000,6047600
1488465000,17.69250,17.74500,17.60000,17.62000,3262000
1488551400,17.60250,17.66250,17.55750,17.61750,3642400
1488810600,17.51750,17.60500,17.51000,17.53250,3656000
1488897000,17.55500,17.62500,17.49000,17.56750,2674800
1488983400,17.53500,17.64750,17.48000,17.59500,3728400
1489069800,17.55750,17.65750,17.45000,17.53500,2875600
