time,open,high,low,close,tick_volume
1472477400,4.39000,4.39000,4.25000,4.38000,175600
1472563800,4.35000,4.40000,4.31000,4.34000,96100
1472650200,4.33000,4.36000,4.25000,4.27000,81900
1472736600,4.22000,4.34000,4.22000,4.29000,69500
1472823000,4.31000,4.39000,4.31000,4.37000,89700
1473168600,4.33000,4.48000,4.31000,4.45000,173700
1473255000,4.39000,4.47000,4.38000,4.39000,101900
1473341400,4.33000,4.33000,4.26000,4.31000,90000
1473427800,4.26000,4.30000,4.14000,4.15000,82400
1473687000,4.09000,4.20000,3.85000,4.12000,168400
1473773400,4.15000,4.30000,4.07000,4.23000,129900
1473859800,4.27000,4.33000,4.17000,4.31000,114200
1473946200,4.31000,4.49000,4.27000,4.44000,140900
1474032600,4.45000,4.95000,4.38000,4.75000,1446200
1474291800,4.90000,4.90000,4.74000,4.80000,503500
1474378200,4.82000,4.82000,4.75000,4.78000,250300
1474464600,4.78000,5.08000,4.78000,4.99000,822600
1474551000,4.99000,5.04000,4.91000,4.99000,405300
1474637400,5.03000,5.03000,4.86000,4.87000,167300
1474896600,4.82000,4.95000,4.78000,4.86000,116900
1474983000,4.81000,4.95000,4.81000,4.87000,152700
1475069400,4.91000,5.00000,4.82000,4.99000,257000
1475155800,5.00000,5.01000,4.92000,4.94000,217900
1475242200,5.00000,5.21000,4.94000,5.19000,494300
1475501400,5.23000,5.63000,5.22000,5.54000,999200
1475587800,5.54000,5.62000,5.40000,5.50000,338900
1475674200,5.49000,5.70000,5.41000,5.70000,424200
1475760600,5.73000,5.97000,5.50000,5.93000,693000
1475847000,5.84000,5.94000,5.73000,5.85000,405100
1476106200,5.84000,5.90000,5.75000,5.76000,308700
1476192600,5.76000,5.80000,5.55000,5.64000,223900
1476279000,5.65000,5.66000,5.47000,5.52000,261600
1476365400,5.43000,5.45000,5.20000,5.32000,417600
1476451800,5.35000,5.56000,5.35000,5.55000,230900
1476711000,5.48000,5.63000,5.33000,5.59000,182800
1476797400,5.48000,5.70000,5.36000,5.50000,243500
1476883800,5.48000,5.64000,5.40000,5.59000,207100
1476970200,5.48000,5.57000,5.47000,5.52000,168300
1477056600,5.48000,5.79000,5.43000,5.75000,521400
1477315800,5.70000,5.90000,5.69000,5.74000,449900
1477402200,5.65000,5.70000,5.44000,5.60000,301500
1477488600,5.60000,5.80000,5.57000,5.73000,478900
1477575000,5.38000,5.39000,4.76000,5.17000,883000
1477661400,5.19000,5.43000,5.17000,5.21000,287900
1477920600,5.10000,5.30000,4.95000,5.15000,393600
1478007000,5.20000,5.30000,5.00000,5.00000,204200
1478093400,5.00000,5.15000,4.90000,5.00000,338500
1478179800,5.00000,5.10000,4.75000,4.80000,224200
1478266200,4.75000,5.30000,4.56000,5.15000,982000
1478529000,5.30000,5.50000,5.20000,5.20000,355800
1478615400,5.25000,5.40000,4.93000,5.00000,266400
1478701800,4.75000,5.30000,4.70000,5.05000,242700
1478788200,5.20000,5.20000,4.80000,4.90000,221600
1478874600,4.80000,4.90000,4.75000,4.75000,185000
1479133800,4.80000,4.95000,4.75000,4.85000,223900
1479220200,4.95000,5.05000,4.85000,5.05000,215000
1479306600,5.05000,5.25000,5.02000,5.20000,323700
1479393000,5.25000,5.25000,4.97000,5.05000,97800
1479479400,5.05000,5.25000,5.00000,5.10000,87200
1479738600,5.20000,5.30000,5.10000,5.25000,352900
1479825000,5.25000,5.30000,4.95000,5.05000,292200
1479911400,5.10000,5.18000,4.96000,5.10000,140200
1480084200,5.20000,5.20000,5.05000,5.10000,97000
1480343400,5.15000,5.20000,5.00000,5.10000,235500
1480429800,5.05000,5.10000,4.85000,4.95000,204800
1480516200,4.95000,5.10000,4.70000,4.80000,298600
1480602600,4.75000,4.90000,4.35000,4.35000,412100
1480689000,4.35000,4.80000,4.35000,4.70000,269800
1480948200,4.70000,4.90000,4.60000,4.65000,199800
1481034600,4.65000,4.80000,4.65000,4.70000,90300
1481121000,4.65000,4.80000,4.55000,4.65000,141000
1481207400,4.60000,4.95000,4.56000,4.85000,195800
1481293800,4.90000,5.10000,4.87000,5.05000,260800
1481553000,5.00000,5.10000,4.91000,5.05000,183600
1481639400,5.10000,5.23000,4.85000,4.95000,236700
1481725800,5.00000,5.00000,4.70000,4.85000,185700
1481812200,4.85000,4.95000,4.65000,4.70000,189600
1481898600,4.65000,4.90000,4.61000,4.70000,171400
1482157800,4.65000,4.90000,4.65000,4.80000,131500
1482244200,4.85000,5.00000,4.80000,4.95000,160100
1482330600,4.95000,5.05000,4.91000,4.95000,162600
1482417000,5.10000,5.25000,4.95000,5.00000,137800
1482503400,4.95000,5.25000,4.95000,5.25000,252500
1482849000,5.25000,5.25000,4.95000,5.15000,221300
1482935400,5.10000,5.20000,5.03000,5.10000,112200
1483021800,5.10000,5.15000,4.95000,5.00000,68900
1483108200,5.00000,5.00000,4.80000,4.80000,205500
1483453800,4.85000,4.90000,4.68000,4.90000,293600
1483540200,4.90000,5.00000,4.75000,4.85000,224100
1483626600,4.90000,5.10000,4.85000,5.00000,157300
1483713000,5.05000,5.05000,4.90000,5.00000,139400
1483972200,5.00000,5.60000,5.00000,5.45000,729400
1484058600,5.40000,5.50000,5.15000,5.30000,397000
1484145000,5.30000,5.94000,5.25000,5.80000,812200
1484231400,5.85000,5.90000,5.50000,5.60000,375200
1484317800,5.55000,6.20000,5.55000,6.00000,767000
1484663400,5.85000,6.10000,5.70000,5.85000,293000
1484749800,5.80000,5.95000,5.71000,5.80000,313600
1484836200,5.80000,6.15000,5.70000,5.85000,433400
1484922600,5.85000,6.18000,5.85000,6.00000,528200
1485181800,6.00000,6.20000,5.90000,5.95000,367800
1485268200,5.90000,6.20000,5.85000,6.10000,436600
1485354600,6.20000,6.68000,6.15000,6.60000,1313400
1485441000,6.60000,6.60000,6.25000,6.30000,512900
1485527400,6.35000,6.35000,6.05000,6.20000,269200
1485786600,6.20000,6.20000,5.95000,5.95000,330300
