time,open,high,low,close,tick_volume
1472477400,39.46000,39.51000,38.87000,39.02000,5674600
1472563800,39.02000,39.31000,38.90000,38.90000,3772900
1472650200,38.93000,39.06000,38.23000,38.48000,6064200
1472736600,38.56000,38.78000,37.97000,38.54000,5317400
1472823000,38.54000,39.26000,38.31000,38.75000,3621500
1473168600,38.65000,38.81000,38.05000,38.24000,4069300
1473255000,38.31000,38.64000,38.17000,38.59000,5915200
1473341400,38.44000,38.50000,37.81000,37.92000,6200300
1473427800,37.27000,37.73000,36.87000,36.87000,5065900
1473687000,36.64000,37.46000,36.51000,37.29000,5764000
1473773400,37.20000,38.02000,37.11000,37.47000,6179700
1473859800,37.50000,38.04000,37.22000,37.66000,5912900
1473946200,37.48000,37.96000,37.22000,37.68000,4548700
1474032600,37.66000,38.08000,37.47000,38.00000,5390000
1474291800,38.10000,38.45000,38.03000,38.14000,5646600
1474378200,38.21000,38.38000,37.77000,37.82000,3642400
1474464600,38.09000,38.28000,37.73000,38.27000,2954700
1474551000,38.46000,38.87000,38.35000,38.47000,3784500
1474637400,38.32000,38.77000,37.88000,37.99000,3930200
1474896600,37.84000,37.98000,37.45000,37.51000,4475700
1474983000,37.65000,38.32000,37.60000,38.25000,3482900
1475069400,38.25000,38.25000,37.45000,37.68000,4270600
1475155800,37.72000,38.07000,37.38000,37.41000,3202200
1475242200,37.66000,38.44000,37.51000,38.18000,4877900
1475501400,38.15000,38.55000,37.87000,38.18000,3608500
1475587800,38.18000,38.72000,37.89000,37.98000,2855000
1475674200,38.12000,38.38000,37.89000,37.89000,3638000
1475760600,37.73000,38.28000,37.62000,38.18000,3664500
1475847000,38.43000,39.25000,38.20000,38.90000,6886300
1476106200,39.18000,39.59000,38.70000,38.91000,3556300
1476192600,38.80000,39.03000,38.30000,38.33000,3879100
1476279000,38.84000,39.98000,38.64000,39.77000,6872500
1476365400,39.45000,39.98000,38.76000,39.83000,6619900
1476451800,39.82000,40.21000,39.29000,39.31000,4653100
1476711000,39.16000,40.10000,38.72000,39.47000,5257400
1476797400,39.77000,39.94000,39.35000,39.42000,3410400
1476883800,39.62000,39.65000,39.00000,39.55000,3616200
1476970200,39.46000,39.89000,39.40000,39.48000,3167200
1477056600,39.29000,39.63000,39.18000,39.46000,2241500
1477315800,39.66000,39.78000,39.20000,39.46000,2491800
1477402200,39.34000,39.50000,38.76000,39.26000,3581900
1477488600,39.04000,39.50000,38.80000,39.29000,2526300
1477575000,39.40000,39.41000,38.36000,38.48000,3697600
1477661400,38.44000,39.30000,38.44000,38.78000,3985200
1477920600,38.78000,39.21000,38.67000,38.91000,2903400
1478007000,38.93000,39.09000,38.36000,38.67000,2919900
1478093400,38.34000,38.87000,38.16000,38.39000,3406400
1478179800,38.35000,38.75000,37.97000,38.11000,5647500
1478266200,38.21000,38.84000,37.84000,38.19000,2862400
1478529000,38.71000,39.18000,38.70000,39.07000,3406600
1478615400,37.87000,38.44000,37.87000,37.99000,6113600
1478701800,37.39000,38.70000,37.10000,38.51000,6458100
1478788200,39.16000,40.07000,39.15000,39.98000,6318000
1478874600,38.69000,39.07000,37.65000,38.36000,14522800
1479133800,38.56000,40.28000,38.56000,39.94000,9473200
1479220200,39.55000,40.28000,39.03000,39.88000,8847000
1479306600,39.75000,40.60000,39.43000,40.45000,11821300
1479393000,42.89000,46.72000,42.55000,45.99000,25416400
1479479400,45.68000,45.68000,44.67000,44.79000,12764400
1479738600,44.84000,46.14000,44.83000,45.65000,7409500
1479825000,45.42000,46.98000,45.32000,46.60000,6451200
1479911400,46.55000,47.29000,46.37000,46.96000,5306900
1480084200,47.00000,47.17000,46.28000,46.58000,2718600
1480343400,46.58000,46.64000,45.28000,45.33000,7114000
1480429800,45.52000,46.00000,45.39000,45.62000,3412200
1480516200,45.37000,46.02000,45.07000,45.70000,5045000
1480602600,45.55000,46.06000,45.30000,45.45000,5019000
1480689000,45.71000,46.26000,45.53000,45.67000,3815500
1480948200,46.06000,47.71000,46.06000,46.82000,8521300
1481034600,46.54000,47.09000,46.54000,46.93000,5173200
1481121000,47.36000,48.57000,47.36000,48.52000,5970900
1481207400,48.52000,49.40000,48.50000,49.31000,7336700
1481293800,49.20000,49.20000,48.62000,49.00000,4294400
1481553000,48.91000,49.04000,48.56000,48.77000,3125700
1481639400,48.80000,49.01000,48.24000,48.66000,3822100
1481725800,48.88000,49.07000,48.18000,48.21000,4084700
1481812200,48.30000,48.63000,48.08000,48.16000,4700400
1481898600,48.01000,48.11000,46.95000,47.00000,9882700
1482157800,47.22000,47.57000,46.39000,46.56000,5673100
1482244200,46.64000,47.53000,46.63000,47.26000,4261200
1482330600,46.90000,47.48000,46.61000,46.82000,3532600
1482417000,46.94000,47.23000,44.74000,45.10000,6501200
1482503400,45.02000,45.37000,44.32000,44.77000,3817800
1482849000,44.96000,45.38000,44.64000,44.75000,2643700
1482935400,44.99000,45.00000,43.12000,43.71000,4635400
1483021800,43.67000,44.23000,42.71000,43.07000,4837300
1483108200,43.31000,43.65000,42.34000,42.67000,3714300
1483453800,43.05000,43.16000,42.23000,42.76000,5362700
1483540200,43.34000,44.18000,43.31000,43.77000,4745100
1483626600,42.75000,42.81000,41.79000,42.64000,5829100
1483713000,42.87000,43.04000,42.40000,42.77000,3926500
1483972200,42.91000,43.81000,42.80000,43.34000,5400000
