time,open,high,low,close,tick_volume
1472477400,36.25000,36.51000,36.15000,36.30000,1621600
1472563800,36.32000,36.69000,36.24000,36.49000,2211800
1472650200,36.59000,36.79000,36.08000,36.50000,3387100
1472736600,36.62000,36.77000,35.64000,35.86000,2972800
1472823000,35.86000,36.35000,35.86000,36.15000,1709900
1473168600,36.13000,36.23000,35.77000,36.12000,2096900
1473255000,36.08000,36.49000,36.04000,36.47000,1852600
1473341400,36.38000,36.83000,36.18000,36.68000,2078900
1473427800,36.48000,36.57000,35.58000,35.58000,3129000
1473687000,35.30000,36.53000,35.21000,36.43000,3314600
1473773400,35.78000,35.89000,35.15000,35.22000,3025500
1473859800,35.29000,35.62000,34.96000,35.19000,2198700
1473946200,35.15000,35.88000,35.05000,35.75000,1624200
1474032600,35.42000,35.46000,34.86000,35.10000,4952400
1474291800,35.42000,35.78000,35.20000,35.23000,2308900
1474378200,35.69000,35.69000,34.99000,34.99000,2039600
1474464600,34.99000,35.75000,34.98000,35.69000,3118800
1474551000,36.02000,36.87000,35.87000,36.06000,2118400
1474637400,35.83000,36.05000,35.19000,35.19000,2595800
1474896600,34.81000,35.12000,34.41000,34.50000,2214900
1474983000,34.37000,34.73000,34.25000,34.62000,1513000
1475069400,34.59000,34.97000,34.37000,34.94000,1765700
1475155800,34.99000,35.34000,34.43000,34.74000,2993400
1475242200,35.09000,35.77000,34.82000,35.57000,3100200
1475501400,35.54000,36.96000,35.52000,36.28000,4804300
1475587800,36.36000,36.42000,35.70000,35.77000,2730000
1475674200,36.02000,36.87000,35.95000,36.76000,2987200
1475760600,36.63000,36.83000,36.14000,36.20000,2461000
1475847000,36.20000,36.26000,35.67000,35.92000,2015700
1476106200,36.21000,36.57000,36.16000,36.38000,1882300
1476192600,36.00000,36.01000,34.75000,34.78000,4079000
1476279000,34.76000,35.16000,34.48000,34.75000,2297500
1476365400,34.32000,34.59000,33.77000,34.40000,2805100
1476451800,34.84000,34.87000,34.09000,34.09000,2411300
1476711000,34.08000,34.16000,33.79000,33.82000,1845200
1476797400,34.38000,34.42000,33.88000,34.23000,2245900
1476883800,34.42000,34.96000,34.35000,34.84000,2632800
1476970200,34.69000,34.98000,34.44000,34.58000,2377500
1477056600,34.24000,34.62000,34.15000,34.48000,2186800
1477315800,34.78000,34.95000,34.55000,34.73000,1986200
1477402200,34.81000,35.10000,34.49000,34.82000,4253800
1477488600,34.69000,35.49000,33.79000,35.10000,6173200
1477575000,35.22000,35.22000,34.28000,34.43000,4041200
1477661400,34.54000,34.80000,33.87000,34.19000,3469400
1477920600,34.32000,34.36000,33.63000,33.66000,4064400
1478007000,33.89000,34.15000,33.15000,33.70000,3158400
1478093400,33.53000,33.66000,33.02000,33.18000,2816000
1478179800,33.24000,33.59000,33.22000,33.45000,2467700
1478266200,33.39000,34.48000,33.34000,33.80000,3155300
1478529000,34.34000,34.63000,34.09000,34.43000,3819800
1478615400,34.29000,34.41000,33.87000,34.25000,3210500
1478701800,34.75000,39.19000,34.75000,38.49000,14048200
1478788200,38.67000,40.69000,37.43000,37.85000,10882200
1478874600,37.45000,37.85000,36.88000,37.22000,6812200
1479133800,37.47000,38.96000,37.44000,38.72000,6056400
1479220200,38.50000,38.98000,38.18000,38.91000,4749200
1479306600,38.50000,38.96000,38.43000,38.50000,2691100
1479393000,38.50000,39.11000,38.17000,38.84000,3436500
1479479400,38.97000,39.17000,38.70000,38.89000,1756800
1479738600,39.35000,39.40000,38.92000,39.31000,1553000
1479825000,39.49000,39.50000,38.83000,39.16000,2040400
1479911400,38.98000,39.40000,38.67000,39.27000,2697600
1480084200,39.33000,39.43000,39.13000,39.32000,758600
1480343400,39.01000,39.28000,38.56000,38.65000,2452900
1480429800,38.77000,39.06000,38.54000,38.70000,1476200
1480516200,39.21000,39.50000,38.92000,39.26000,2512900
1480602600,39.48000,39.86000,39.22000,39.56000,2067000
1480689000,39.49000,39.69000,39.10000,39.21000,1586800
1480948200,39.53000,39.96000,39.36000,39.76000,3223300
1481034600,39.89000,39.98000,39.31000,39.89000,1917200
1481121000,39.87000,40.66000,39.78000,40.62000,2095000
1481207400,40.64000,42.18000,40.64000,42.02000,3916300
1481293800,41.78000,41.99000,40.96000,41.01000,3141700
1481553000,40.86000,41.04000,39.98000,39.99000,3229800
1481639400,40.29000,40.57000,39.59000,39.99000,3134800
1481725800,39.80000,40.24000,39.18000,39.31000,3158300
1481812200,39.47000,40.05000,39.11000,39.46000,1977000
1481898600,39.60000,39.93000,39.20000,39.28000,4152800
1482157800,39.55000,39.80000,38.93000,39.77000,4730000
1482244200,40.04000,40.40000,39.92000,40.40000,2845200
1482330600,40.34000,40.49000,39.90000,40.41000,2235800
1482417000,40.34000,40.34000,40.04000,40.28000,1831600
1482503400,40.32000,40.57000,40.04000,40.48000,1361600
1482849000,40.65000,40.74000,40.11000,40.31000,1069800
1482935400,40.22000,40.36000,39.46000,39.47000,1506600
1483021800,39.46000,39.77000,39.23000,39.41000,1243400
1483108200,39.66000,40.37000,39.32000,39.58000,1634900
1483453800,40.24000,40.76000,39.91000,40.44000,2402100
1483540200,40.68000,41.50000,40.65000,41.35000,2880000
1483626600,41.00000,41.31000,40.22000,40.73000,1838400
1483713000,40.76000,40.88000,40.28000,40.75000,1614500
1483972200,40.70000,40.70000,40.14000,40.31000,2254100
1484058600,40.35000,40.73000,40.08000,40.40000,1619300
1484145000,40.20000,40.77000,40.05000,40.75000,1768300
1484231400,40.30000,40.56000,39.65000,40.48000,2584000
1484317800,40.62000,40.92000,40.36000,40.50000,1670000
1484663400,40.41000,40.56000,39.84000,39.94000,3346900
1484749800,39.91000,40.04000,39.51000,40.01000,1966500
1484836200,39.94000,40.36000,39.52000,39.86000,2215300
1484922600,40.06000,40.62000,39.99000,40.61000,2209600
1485181800,40.42000,40.62000,40.15000,40.40000,1732200
1485268200,40.66000,41.34000,40.46000,41.16000,1752300
1485354600,41.58000,41.92000,41.09000,41.86000,2622700
1485441000,41.72000,41.89000,40.57000,40.77000,3755000
1485527400,41.11000,41.70000,39.75000,40.32000,3586100
1485786600,40.25000,40.25000,39.46000,40.17000,2488200
1485873000,39.95000,40.10000,39.56000,39.74000,3950800
1485959400,40.09000,40.61000,39.70000,39.99000,2550000
1486045800,39.61000,40.14000,39.38000,39.90000,1665800
1486132200,40.42000,40.45000,40.08000,40.31000,3479000
1486391400,40.07000,40.37000,39.95000,39.99000,2065900
1486477800,40.19000,40.27000,39.79000,40.01000,1734700
1486564200,39.75000,39.83000,39.52000,39.74000,1757800
1486650600,39.74000,40.56000,39.74000,40.48000,4341900
1486737000,40.69000,40.93000,40.62000,40.88000,2771800
1486996200,41.12000,41.65000,40.98000,41.51000,1680800
1487082600,41.16000,42.13000,41.16000,42.10000,3669800
1487169000,42.28000,42.83000,42.06000,42.72000,2365100
1487255400,42.70000,42.80000,42.10000,42.29000,1941800
1487341800,42.10000,42.54000,41.97000,42.53000,2365900
1487687400,42.71000,43.25000,42.71000,43.03000,2395900
1487773800,42.75000,43.07000,42.66000,42.77000,1842600
1487860200,42.90000,42.98000,42.52000,42.94000,1324200
1487946600,42.69000,43.01000,42.57000,42.74000,2864200
1488205800,42.79000,43.41000,42.75000,43.37000,1760400
1488292200,43.07000,43.36000,42.78000,43.04000,3171100
1488378600,43.98000,44.10000,43.24000,43.44000,2735500
1488465000,43.39000,43.43000,42.88000,42.89000,1834900
1488551400,43.01000,43.09000,42.41000,42.68000,2712500
1488810600,42.56000,42.77000,42.31000,42.38000,1728500
1488897000,42.41000,42.58000,42.12000,42.38000,1634100
1488983400,42.78000,43.03000,42.45000,42.56000,2384300
1489069800,42.74000,42.95000,42.31000,42.42000,1605400
1489156200,42.81000,42.81000,42.35000,42.58000,1288000
1489411800,42.68000,42.83000,42.46000,42.57000,1381700
1489498200,42.31000,42.49000,42.03000,42.43000,1693700
1489584600,42.78000,43.07000,42.74000,42.99000,1741900
1489671000,43.58000,44.35000,43.58000,43.91000,3164600
1489757400,43.41000,43.51000,42.06000,42.22000,5530300
1490016600,42.08000,42.19000,41.74000,42.04000,1735400
1490103000,42.34000,42.41000,40.97000,41.35000,3414700
1490189400,40.98000,41.55000,40.60000,41.37000,2302100
1490275800,41.24000,41.91000,41.20000,41.46000,1747800
1490362200,41.60000,41.95000,41.05000,41.26000,1994000
1490621400,40.52000,41.18000,40.38000,41.09000,2461500
1490707800,41.02000,42.10000,40.99000,41.92000,2371600
1490794200,41.60000,41.68000,41.21000,41.41000,1158200
1490880600,41.36000,42.36000,41.28000,42.22000,1508300
1490967000,41.95000,42.44000,41.85000,42.14000,1618400
1491226200,42.24000,42.44000,41.22000,41.75000,2106200
1491312600,41.49000,41.87000,41.40000,41.57000,1564500
1491399000,42.00000,42.52000,41.33000,41.40000,1594900
1491485400,41.45000,42.05000,41.10000,41.96000,1697000
1491571800,41.75000,42.20000,41.72000,41.78000,2518000
1491831000,41.76000,42.23000,41.70000,42.04000,1755200
1491917400,41.70000,41.83000,40.53000,41.01000,4021000
1492003800,41.00000,41.36000,40.54000,40.81000,3282000
1492090200,40.61000,41.20000,40.48000,40.59000,2282600
1492435800,40.85000,41.41000,40.72000,41.37000,2055600
1492522200,41.13000,41.83000,41.06000,41.64000,2356000
1492608600,41.83000,42.04000,41.16000,41.21000,2922900
1492695000,41.55000,41.72000,41.22000,41.62000,2065700
1492781400,41.59000,41.68000,40.90000,41.01000,2227500
1493040600,41.91000,42.13000,41.65000,41.91000,2438500
1493127000,42.20000,42.24000,41.92000,42.04000,1813000
1493213400,41.89000,42.80000,41.88000,42.47000,2761500
1493299800,42.63000,42.69000,41.75000,42.28000,2051000
1493386200,42.35000,43.35000,42.27000,43.11000,4427700
1493645400,43.27000,43.44000,42.72000,42.75000,3130500
1493731800,42.70000,42.81000,42.37000,42.65000,2202700
1493818200,42.49000,42.77000,42.42000,42.73000,1926400
1493904600,42.68000,43.06000,42.17000,42.46000,3080400
1493991000,42.62000,42.77000,42.35000,42.77000,1306000
1494250200,42.79000,43.04000,42.59000,42.98000,2014500
1494336600,42.98000,43.61000,42.98000,43.43000,2352700
1494423000,43.28000,43.75000,42.99000,43.74000,1987100
1494509400,43.53000,43.72000,43.25000,43.32000,2102400
1494595800,43.16000,43.34000,42.99000,43.17000,1226600
1494855000,43.36000,43.66000,43.26000,43.58000,1283300
1494941400,43.57000,43.60000,43.14000,43.42000,1632500
1495027800,43.42000,43.42000,41.85000,42.05000,2050700
1495114200,41.49000,42.21000,41.19000,41.87000,4859200
1495200600,41.94000,42.27000,41.80000,42.04000,2885300
1495459800,42.24000,42.43000,41.83000,42.12000,1729600
1495546200,41.98000,42.00000,41.24000,41.40000,3036000
1495632600,41.57000,41.65000,40.85000,41.35000,3629800
1495719000,41.70000,41.94000,41.43000,41.70000,2258900
1495805400,41.53000,41.86000,41.50000,41.70000,2092900
1496151000,41.54000,41.74000,41.41000,41.61000,2426300
1496237400,41.70000,41.79000,41.20000,41.79000,2892600
1496323800,42.00000,42.90000,41.70000,42.75000,2167500
1496410200,42.52000,42.92000,42.34000,42.76000,2954700
1496669400,42.78000,43.10000,42.68000,42.81000,1998900
1496755800,42.46000,42.76000,42.37000,42.55000,1561100
1496842200,42.73000,42.76000,42.33000,42.51000,1754700
1496928600,42.51000,43.14000,42.43000,42.90000,2187300
1497015000,43.04000,43.76000,43.04000,43.68000,2005400
1497274200,43.71000,44.09000,43.61000,43.90000,2431900
1497360600,44.00000,44.31000,43.96000,44.14000,2162000
1497447000,43.99000,44.24000,43.72000,44.20000,1852500
1497533400,43.75000,44.70000,43.63000,44.50000,2986000
1497619800,44.46000,44.46000,43.96000,44.13000,2976200
1497879000,44.34000,45.21000,44.28000,44.84000,2098700
1497965400,44.62000,44.82000,44.50000,44.51000,1789700
1498051800,44.76000,44.76000,44.11000,44.26000,1891900
1498138200,44.11000,44.70000,43.99000,44.34000,1641700
1498224600,44.48000,44.50000,43.83000,43.98000,3415200
1498483800,44.23000,44.41000,43.88000,44.24000,2183300
1498570200,44.41000,44.71000,44.29000,44.46000,1462200
1498656600,44.69000,45.07000,44.62000,44.87000,1844900
1498743000,45.36000,45.60000,44.28000,44.55000,1250300
1498829400,44.95000,45.00000,44.52000,44.79000,1544200
1499088600,45.12000,45.43000,45.01000,45.07000,1038200
1499261400,45.26000,45.37000,44.85000,45.24000,1290000
1499347800,45.07000,45.51000,44.89000,44.92000,1648300
1499434200,45.14000,45.65000,45.01000,45.42000,1312000
1499693400,45.19000,45.79000,45.19000,45.54000,1627800
1499779800,45.57000,45.59000,44.95000,45.40000,1526600
1499866200,45.53000,46.39000,45.44000,45.98000,3117200
1499952600,46.11000,46.51000,46.04000,46.32000,1654600
