time,open,high,low,close,tick_volume
1472540400,2757.79858,2794.27905,2670.74292,2689.39771,982080
1472626800,2668.67041,2786.81714,2650.01538,2769.19873,1335435
1472713200,2760.90771,2920.50977,2747.13135,2875.94556,1552295
1472799600,2885.27295,2885.27295,2732.92554,2848.99976,1513980
1473058800,2860.39990,2870.76392,2787.85352,2787.85352,790764
1473145200,2773.34424,2939.16455,2746.39844,2884.23682,1431879
1473231600,2873.87280,2916.11548,2784.74438,2796.14453,1418001
1473318000,2800.29004,2865.58179,2796.14453,2823.09033,656165
1473404400,2813.76294,2846.92700,2747.43481,2754.68970,655058
1473663600,2725.67090,2751.58032,2702.87061,2723.59839,661349
1473750000,2733.96191,2770.23511,2713.23462,2721.52539,567881
1473836400,2716.34351,2728.78003,2668.67041,2669.70679,772005
1473922800,2664.52490,2682.14331,2615.81519,2662.45190,924897
1474009200,2656.23389,2687.32520,2619.96069,2645.87012,4115722
1474268400,2676.96118,2719.45264,2653.12451,2712.19800,722842
1474354800,2716.34351,2720.48901,2671.77930,2697.68872,597687
1474441200,2725.67090,2777.48975,2694.57959,2694.57959,464167
1474527600,2715.30713,2743.28931,2683.17969,2693.54321,788974
1474614000,2689.39771,2766.08960,2675.92480,2718.41650,677794
1474873200,2710.12549,2720.48901,2628.25171,2638.61548,553009
1474959600,2650.01538,2650.01538,2603.29565,2636.54248,519758
1475046000,2659.34302,2687.32520,2656.23389,2667.63379,413189
1475132400,2692.50684,2699.76172,2588.73462,2597.16040,611485
1475218800,2584.72388,2677.99780,2527.72290,2673.85229,1057105
1475478000,2663.48828,2704.94360,2597.52295,2663.48828,649653
1475564400,2698.72510,2721.52539,2674.88843,2684.21582,907254
1475650800,2659.34302,2700.78540,2635.50610,2668.67041,984875
1475737200,2660.37939,2688.36133,2654.16089,2660.37939,502381
1475823600,2666.59741,2676.33130,2532.90479,2544.30518,1665950
1476082800,2539.12329,2553.32153,2437.55811,2476.94067,1144314
1476169200,2481.08618,2545.34131,2458.28589,2520.46851,661922
1476255600,2528.75952,2590.58130,2465.54028,2477.97681,863148
1476342000,2470.72241,2560.88721,2444.81299,2513.21387,752606
1476428400,2519.43188,2579.54199,2504.92261,2534.97778,725387
1476687600,2530.83228,2541.19580,2476.73340,2493.52271,782944
1476774000,2514.25000,2554.29053,2484.19531,2547.41431,657010
1476860400,2551.55981,2618.92432,2539.74512,2604.41479,622322
1476946800,2620.99683,2625.14258,2547.56958,2568.14160,510839
1477033200,2565.03271,2581.61450,2523.00757,2542.23242,415976
1477292400,2557.77808,2567.10522,2468.64966,2480.04980,696910
1477378800,2487.30420,2504.92261,2433.41260,2442.73999,677644
1477465200,2440.66748,2440.66748,2383.66675,2435.48560,747985
1477551600,2435.48560,2446.91357,2372.26660,2414.75806,873729
1477638000,2414.75806,2477.97681,2392.99390,2460.35840,1108777
1477900800,2453.10400,2465.64404,2423.04907,2444.81299,799942
1477987200,2457.24951,2485.74976,2418.90356,2476.94067,1080634
1478073600,2443.77661,2493.52271,2437.55811,2467.61328,711120
1478160000,2459.32227,2575.39648,2402.32129,2515.28662,2045086
1478246400,2520.46851,2523.57739,2405.89697,2430.30371,962622
1478505600,2464.50391,2480.04980,2425.12158,2462.43140,471677
1478592000,2455.17676,2479.01318,2424.08521,2440.66748,458764
1478678400,2383.66675,2510.10449,2369.15747,2502.85010,853827
1478764800,2527.72290,2588.86938,2463.46777,2476.94067,990109
1478851200,2488.34082,2517.35938,2459.32227,2491.44971,590625
1479110400,2516.32300,2547.16553,2486.14355,2515.28662,639611
1479196800,2533.94141,2623.06958,2523.28735,2572.28711,781056
1479283200,2572.28711,2586.79639,2489.37720,2506.99561,836538
1479369600,2511.14111,2581.61450,2506.99561,2568.14160,482667
1479456000,2586.79639,2653.12451,2574.36011,2629.28809,1059948
1479715200,2632.39722,2648.97900,2577.78320,2603.37842,679239
1479801600,2625.14258,2688.36133,2624.10620,2636.54248,590827
1479888000,2637.57910,2686.74463,2510.10449,2537.05029,1709987
1479974400,2543.26880,2547.41431,2508.03198,2530.83228,380724
1480060800,2538.08691,2562.95972,2501.58569,2508.03198,536658
1480320000,2518.39551,2535.08130,2479.38647,2516.32300,481293
1480406400,2508.03198,2611.66968,2489.37720,2608.56030,1165276
1480492800,2600.26929,2616.02222,2560.88721,2567.10522,822098
1480579200,2571.25098,2653.23022,2570.21460,2637.57910,1014623
1480665600,2714.27100,2888.38208,2705.97974,2860.39990,2409790
1480924800,2860.39990,2908.07324,2739.67749,2903.92773,1285023
1481011200,2896.67310,3030.54712,2894.60034,3013.78369,1797968
