time,open,high,low,close,tick_volume
1472477400,56.92000,57.35880,56.79040,57.00760,7915000
1472563800,56.90760,57.22040,56.48000,56.66200,4975000
1472650200,56.56600,56.73640,56.32000,56.66920,4180000
1472736600,56.90000,56.97480,56.34120,56.74360,7677500
1472823000,57.08000,57.19920,56.63040,56.91400,6590000
1473168600,56.87680,57.47840,56.65000,57.47840,9670000
1473255000,57.39000,57.89280,57.19320,57.76040,7555000
1473341400,57.73320,58.16440,57.67720,57.83320,8762500
1473427800,57.30640,57.72000,56.52920,56.55600,12402500
1473687000,56.10680,57.72520,56.10680,57.44840,12615000
1473773400,57.04000,57.59960,56.22120,56.63800,13092500
1473859800,56.74800,57.24800,56.64040,57.17520,9830000
1473946200,57.27920,58.35640,57.04640,58.28880,18345000
1474032600,58.13240,58.51640,57.68880,58.40200,18510000
1474291800,58.76000,58.92680,57.86200,57.92240,12575000
1474378200,58.31560,58.38120,57.60000,57.96000,7242500
1474464600,58.10560,58.58760,57.70040,58.56000,10312500
1474551000,58.59400,58.79720,58.32000,58.63480,8430000
1474637400,58.60000,58.60000,58.09640,58.27040,8030000
1474896600,58.10480,58.15080,57.60920,57.88600,8190000
1474983000,57.86600,58.42080,57.64880,58.13960,11797500
1475069400,58.37920,58.46240,57.97000,58.32120,9867500
1475155800,58.36040,59.27120,58.21240,58.91920,16312500
1475242200,59.12280,59.22760,58.55680,58.85960,10912500
1475501400,58.55320,59.61720,58.37680,59.46880,12852500
1475587800,59.77400,59.95320,59.32080,59.56080,9657500
1475674200,59.74240,60.07160,59.60000,59.90320,9975000
1475760600,59.70920,59.89040,59.41120,59.61760,9045000
1475847000,59.94960,59.94960,59.12040,59.19280,10355000
1476106200,59.24000,59.46360,58.80960,59.00720,11045000
1476192600,58.80000,59.02080,58.20040,58.36080,10455000
1476279000,58.32000,58.77200,58.11240,58.19360,7197500
1476365400,57.83200,57.96640,57.18320,57.70080,12090000
1476451800,58.00000,58.25400,57.40200,57.58280,8215000
1476711000,57.46520,57.73440,57.18400,57.50600,6592500
1476797400,58.02520,58.39600,57.86040,58.19880,8152500
1476883800,58.29400,58.98800,58.20840,58.76800,8615000
1476970200,58.95720,58.95960,58.44040,58.73160,7510000
1477056600,58.43080,58.72000,58.22000,58.69560,9492500
1477315800,59.12840,59.19320,58.61920,58.87200,6865000
1477402200,58.64960,59.27400,58.63480,59.16120,9142500
1477488600,59.00000,59.10200,58.61920,58.76640,10417500
1477575000,59.00400,59.20000,58.44320,58.52080,8970000
1477661400,58.60320,59.32000,58.40000,58.99280,15022500
1477920600,59.13200,59.18440,58.89120,58.96920,7105000
1478007000,58.96920,59.20040,58.15720,58.68000,14072500
1478093400,58.73920,58.78200,57.67160,57.81320,13495000
1478179800,57.97400,58.26080,57.41640,57.52400,9192500
1478266200,57.16200,57.68560,56.88760,56.97120,10882500
1478529000,57.49800,59.40800,57.43160,59.21320,34887500
1478615400,61.60000,63.56840,61.60000,63.12520,39025000
1478701800,62.60000,63.00000,61.86320,62.81040,22812500
1478788200,63.37760,64.03720,60.81200,62.17280,27540000
1478874600,61.92400,62.30800,61.23480,61.62600,16075000
1479133800,61.61840,61.67720,59.28920,59.56720,20040000
1479220200,59.99880,60.31080,59.42400,59.89800,16727500
1479306600,59.69560,60.68000,59.52920,60.12920,9170000
1479393000,60.10160,61.23800,60.00760,60.51600,10337500
1479479400,60.49120,61.16000,60.18120,60.29400,10657500
1479738600,60.48000,61.24120,60.28800,60.96720,7395000
1479825000,61.21000,61.43600,61.02560,61.41680,8002500
1479911400,61.23680,61.34240,60.43560,60.83960,7975000
1480084200,60.92480,61.11960,60.45600,60.86720,4342500
1480343400,60.69200,61.44000,60.52440,61.00280,8722500
1480429800,61.14600,61.31600,60.60000,60.81080,8177500
1480516200,60.93000,61.14320,60.00840,60.14720,9390000
1480602600,60.06760,60.16480,58.75880,59.18640,14315000
1480689000,59.25920,59.55200,58.67920,58.92000,8402500
1480948200,59.04760,60.11480,59.00920,59.99040,8732500
1481034600,60.27840,60.32360,59.75960,60.19280,6372500
1481121000,60.18760,61.11200,60.07480,61.08160,9747500
1481207400,61.41440,62.07080,60.91040,61.94680,12647500
1481293800,62.22000,62.36720,61.99760,62.31920,8347500
1481553000,62.42200,62.66520,61.14280,61.47120,9910000
1481639400,61.80760,62.40000,61.53040,61.60440,9700000
1481725800,61.70960,61.96520,61.02880,61.13800,7690000
1481812200,60.80000,60.92000,60.02280,60.04800,14605000
1481898600,60.30000,60.31880,58.92520,59.37120,17862500
1482157800,59.37080,60.05880,59.11960,59.55320,9752500
1482244200,59.52240,60.15840,59.35920,60.09000,7662500
1482330600,59.92440,60.50840,59.80000,60.23040,7267500
1482417000,60.05600,60.12720,59.01680,59.25360,10160000
1482503400,59.10160,59.60320,58.81360,59.44800,6890000
1482849000,59.60040,60.13560,59.45720,59.73680,4847500
1482935400,59.78920,59.84200,59.05920,59.21840,6217500
1483021800,59.08840,59.49720,58.93400,59.20640,5022500
1483108200,59.33960,59.33960,58.49360,58.64240,10185000
1483453800,59.07640,59.49440,58.37960,59.10280,11462500
1483540200,59.38560,59.74600,59.23000,59.49160,9692500
1483626600,59.59560,60.19760,59.59560,60.14800,11187500
1483713000,60.06160,61.05880,60.04840,60.82280,11835000
1483972200,60.72000,61.55080,60.72000,61.18560,9937500
1484058600,61.39840,61.78240,61.18000,61.41000,8127500
1484145000,61.28840,61.86680,61.08080,61.44440,10115000
1484231400,61.26240,61.59720,60.64000,61.54360,7872500
1484317800,61.43000,61.95800,61.25040,61.83280,8155000
1484663400,61.76000,61.87960,61.36040,61.60520,8255000
1484749800,61.80880,61.89000,61.16840,61.67440,6150000
1484836200,61.65600,61.96000,61.30880,61.56080,6980000
1484922600,61.90240,61.90240,61.12040,61.80040,14912500
1485181800,61.65880,62.22920,61.38520,62.19960,10757500
1485268200,62.33520,62.64240,62.08520,62.53320,9007500
1485354600,62.76000,63.25880,62.61040,63.15280,7700000
1485441000,63.06240,63.50040,63.01800,63.25760,7355000
1485527400,63.24000,64.21880,63.10680,64.11680,10700000
1485786600,63.94600,64.14320,62.84000,64.09240,11730000
1485873000,63.96000,63.97640,62.76120,63.00520,12940000
1485959400,63.36360,63.46360,62.51440,63.01240,8267500
1486045800,62.80120,63.41800,62.68000,62.96360,11112500
1486132200,63.05960,63.51960,62.91240,63.33520,7937500
1486391400,63.25360,63.55480,62.85280,63.48720,5255000
1486477800,63.60000,63.95720,63.52000,63.94800,7385000
1486564200,63.80720,64.17200,63.56000,64.04760,9340000
1486650600,64.11360,64.64320,63.92200,64.47320,10357500
1486737000,64.69880,65.98600,64.56080,65.86040,21095000
1486996200,66.08000,66.08000,65.60000,65.84720,10337500
1487082600,65.84720,65.85240,65.21360,65.49160,9775000
1487169000,65.25200,66.05080,65.12000,65.95840,7015000
1487255400,65.89800,66.35880,65.70000,65.95520,7540000
1487341800,65.95120,65.95120,65.36240,65.49600,10350000
1487687400,65.71920,66.28960,65.49680,65.88000,11507500
1487773800,65.66080,66.13840,65.56000,66.06960,6960000
1487860200,66.47600,66.59960,65.33600,65.49040,10307500
1487946600,65.10200,65.62720,64.88080,65.26480,14060000
1488205800,65.24440,65.41280,64.49640,65.28040,20325000
1488292200,68.15560,69.93560,67.92400,68.96520,43495000
1488378600,69.64000,69.68080,69.04920,69.32720,15592500
1488465000,69.50080,69.89040,69.23200,69.37480,12582500
1488551400,69.24000,69.68000,69.17640,69.40400,7292500
1488810600,69.20000,69.47400,69.08000,69.20840,8845000
1488897000,68.80000,69.50480,68.80000,69.45840,7065000
1488983400,69.40800,69.98560,69.26680,69.73960,10527500
1489069800,69.52600,70.25280,69.52600,69.97680,10487500
1489156200,70.28560,70.36680,70.03240,70.16960,8267500
1489411800,70.28000,70.89960,70.19760,70.68480,8197500
1489498200,70.71720,70.79440,70.24960,70.76000,8022500
1489584600,70.91120,70.93520,70.39120,70.71920,8830000
1489671000,70.84000,71.00000,70.75760,70.95920,7555000
1489757400,70.98920,70.98920,70.67120,70.90520,10365000
1490016600,70.94000,71.06760,70.50280,70.61760,6560000
1490103000,70.88000,70.88000,69.76320,69.88560,10820000
1490189400,69.88560,70.19600,69.56000,70.07960,6945000
1490275800,70.11800,70.35200,69.90680,69.93320,5522500
1490362200,70.14400,70.29960,69.92760,70.12440,7510000
1490621400,69.44000,70.97360,69.32000,70.88000,10010000
1490707800,70.70600,71.95000,70.66040,71.53800,11372500
1490794200,71.59320,71.89840,71.33200,71.40200,7195000
1490880600,71.53920,71.82240,71.18560,71.56800,6935000
1490967000,71.38960,71.63120,71.15120,71.19880,10512500
1491226200,71.05040,71.40000,70.64040,70.95960,8995000
1491312600,70.91960,70.98000,70.45640,70.69520,6457500
1491399000,70.82640,71.50280,70.35000,70.47080,8102500
1491485400,70.59000,70.99760,70.21480,70.94080,8170000
1491571800,70.95760,70.95960,70.45040,70.78240,7242500
1491831000,70.80000,71.28480,70.68800,71.03880,6550000
1491917400,70.80040,71.22200,70.26400,70.73600,8822500
1492003800,70.98320,70.99600,70.00040,70.00040,10670000
1492090200,70.18520,70.28720,69.53360,69.55080,10457500
1492435800,69.72000,70.91400,69.58800,70.82440,10625000
1492522200,70.74360,70.83960,70.21560,70.53240,7175000
1492608600,70.67600,70.84960,70.29640,70.52800,7277500
1492695000,70.57080,70.87440,70.40960,70.43200,8665000
1492781400,70.39600,70.63880,69.85480,70.08040,11487500
1493040600,71.13840,72.23120,70.95600,71.94480,21302500
1493127000,72.31120,72.31120,71.81240,71.96360,8895000
1493213400,71.96800,72.24200,71.72800,72.16480,8042500
1493299800,72.28000,73.58240,72.01120,73.43480,10902500
1493386200,74.05960,74.34440,73.53960,73.87280,11935000
1493645400,73.99600,75.63320,73.99600,74.79680,12030000
1493731800,74.97520,75.31880,74.49800,75.22080,6490000
1493818200,75.38600,75.39960,74.61880,75.07160,7515000
1493904600,75.20000,76.71600,74.82320,76.41640,16895000
1493991000,76.72000,76.89040,75.89520,76.14600,14507500
1494250200,76.28000,77.08520,75.84000,76.15640,14625000
1494336600,76.45760,76.63880,75.92160,76.44520,19287500
1494423000,74.15120,74.15120,72.04000,72.99080,44027500
1494509400,72.79000,72.99040,72.02840,72.54240,19370000
1494595800,72.97320,73.10280,72.56000,72.72720,15967500
1494855000,72.71880,73.09080,72.44000,72.55240,13047500
1494941400,72.79320,73.40880,72.70240,73.19200,12162500
1495027800,72.73760,72.81840,71.74400,71.82760,15545000
1495114200,71.80000,72.56680,71.65600,71.84120,12562500
1495200600,72.00000,72.88880,71.98680,72.33120,11442500
1495459800,72.63600,73.29840,72.53480,73.13680,9180000
1495546200,73.01760,73.31920,72.58000,73.11760,8655000
1495632600,73.16520,74.00000,73.16520,73.94960,10212500
1495719000,74.00000,74.81560,73.93600,74.41720,13307500
1495805400,74.46200,74.77920,74.10560,74.55600,10490000
1496151000,74.30680,74.54600,73.82400,74.29800,12102500
1496237400,74.49520,75.08360,74.00000,75.08360,14022500
1496323800,75.13000,75.79080,74.81720,75.63280,10845000
1496410200,75.96160,76.08000,75.24080,75.83840,11582500
1496669400,75.58840,76.01000,75.55560,75.66320,8190000
1496755800,75.55760,76.35680,75.47600,75.59440,11490000
1496842200,75.60800,75.79360,75.13920,75.61480,9502500
1496928600,75.76000,75.96520,75.38920,75.69520,8475000
1497015000,75.60000,75.81240,73.06160,73.68480,16675000
1497274200,73.40000,73.57880,71.24440,72.51960,25045000
1497360600,73.02920,74.19080,72.90480,73.74080,12800000
1497447000,73.80000,74.22240,72.60040,73.26440,13795000
1497533400,72.56000,72.78360,71.66440,72.36800,15625000
1497619800,72.64320,72.64320,71.89440,72.10440,13095000
