time,open,high,low,close,tick_volume
1570714200,16.50000,16.69900,13.01000,14.24000,2805800
1570800600,15.34000,15.34000,13.50000,13.82000,1364300
1571059800,13.83000,13.91000,12.52500,12.75000,899100
1571146200,12.99000,13.00000,12.53000,12.92000,484700
1571232600,13.20000,13.88000,12.61000,12.94000,524200
1571319000,13.24000,13.48000,12.67500,13.00000,413000
1571405400,13.30000,14.25000,13.30000,14.14000,231900
1571664600,14.94000,16.28000,14.82000,16.28000,290000
1571751000,17.05000,20.64000,17.05000,20.64000,407900
1571837400,21.95000,21.99000,16.79000,17.64000,476600
1571923800,18.73000,20.00000,17.11000,18.85000,269200
1572010200,18.50000,18.50000,16.75000,17.57000,231500
1572269400,17.08000,18.18000,16.46000,16.46000,253000
1572355800,16.92000,17.28500,16.63000,17.00000,136700
1572442200,17.00000,17.19000,16.43000,16.79000,94100
1572528600,16.80000,16.82000,16.39000,16.82000,63900
1572615000,16.80000,16.80000,16.12000,16.52000,82900
1572877800,17.05000,19.68000,17.05000,18.97000,206800
1572964200,20.39000,20.39000,18.23000,18.48000,97900
1573050600,18.39000,18.66000,17.03000,17.38000,88100
1573137000,17.36000,18.58000,17.36000,18.42000,47700
1573223400,18.35000,19.14000,18.35000,18.87000,78100
1573482600,19.36000,19.98000,19.04000,19.74000,148100
1573569000,19.50000,19.71000,17.07000,17.64000,228200
1573655400,17.80000,18.92000,17.80000,18.55000,55700
1573741800,18.86000,19.37000,18.64700,19.00000,61800
1573828200,19.10000,19.80000,19.02000,19.24000,65600
1574087400,19.15000,20.50000,19.15000,19.70000,120000
1574173800,19.64000,20.69000,19.50000,20.33000,99200
1574260200,20.00000,21.67000,19.98000,20.35000,160300
1574346600,20.80000,22.00000,18.60000,19.68000,190000
1574433000,20.00000,21.98000,20.00000,21.33000,89900
1574692200,22.55000,23.40000,20.38000,20.75000,188900
1574778600,21.03000,21.45000,20.49000,21.36000,89300
1574865000,21.92000,21.98000,21.16500,21.88000,29700
1575037800,22.00000,23.21500,21.85000,21.98000,57000
1575297000,22.66000,23.13000,21.09000,21.87000,106500
1575383400,22.05000,23.15000,20.72000,20.77000,88400
1575469800,21.49000,22.96000,21.05000,21.37000,146500
1575556200,21.75000,22.67000,21.35000,22.49000,129900
1575642600,22.85000,24.47000,22.66000,24.37000,251500
1575901800,25.00000,29.97000,25.00000,29.00000,393900
1575988200,29.00000,29.49000,27.28000,28.00000,180200
1576074600,28.70000,31.30000,28.65000,31.30000,205200
1576161000,32.70000,34.00000,28.98000,29.84000,380900
1576247400,32.15000,32.85000,30.70000,32.45000,232700
1576506600,38.44000,38.75000,34.66000,35.00000,622900
1576593000,36.51000,36.91800,34.82000,36.91000,261600
1576679400,35.48000,35.82000,33.12000,35.00000,146500
1576765800,33.87000,33.87000,27.72800,29.34000,250500
1576852200,31.81000,34.97000,31.81000,34.97000,447900
1577111400,34.91000,35.90000,33.10000,34.73000,103500
1577197800,34.61000,34.61000,33.01000,33.47000,23900
1577370600,33.29000,34.00000,31.59100,33.20000,53900
1577457000,32.61000,33.58000,32.02000,32.58000,38100
1577716200,33.00000,34.91000,33.00000,34.91000,33500
1577802600,34.71000,34.75900,33.69000,33.88000,40000
1577975400,35.75000,38.50000,35.36000,38.50000,139500
1578061800,38.00000,41.25000,36.42000,40.05000,176000
1578321000,40.11000,45.00000,40.10000,44.58000,333300
1578407400,47.40000,48.85000,41.18000,43.34000,562100
1578493800,44.30000,46.33000,44.18000,45.10000,193900
1578580200,46.55000,46.71000,42.71000,43.27000,234900
1578666600,44.99000,44.99000,38.21000,39.68000,369100
1578925800,41.01000,41.32000,35.26000,37.83000,459400
1579012200,35.30000,35.47500,33.22000,34.53000,266300
1579098600,35.30000,39.85000,33.60000,34.55000,361000
1579185000,35.75000,35.90000,31.27500,32.25000,692100
1579271400,33.05000,33.60000,30.33000,33.18000,615100
1579617000,33.79000,36.54000,33.51300,36.54000,264500
1579703400,37.61000,39.03000,36.75000,38.88000,318200
1579789800,37.21000,37.55000,35.31000,36.70000,192900
1579876200,35.32000,35.90000,33.56600,34.99000,209700
1580135400,33.24000,34.53500,32.75000,33.20000,120000
1580221800,34.04000,34.83000,32.60000,34.22000,165200
1580308200,33.95000,33.95000,31.74000,31.80000,184200
1580394600,30.70000,31.19000,28.58000,29.90000,228600
1580481000,30.36000,30.95000,28.50000,29.21000,138700
1580740200,29.80000,30.69000,28.78000,30.27000,177600
1580826600,29.17000,32.92000,29.17000,32.92000,137600
1580913000,34.00000,34.00000,28.69000,29.25000,405000
1580999400,32.00000,32.93000,29.68000,32.93000,387400
1581085800,31.88000,32.49000,30.07000,30.88000,166700
1581345000,30.99000,32.15000,30.11000,32.12000,121700
1581431400,31.48000,31.48000,29.80000,30.71000,175300
1581517800,30.00000,31.10000,29.00000,29.56000,157700
1581604200,29.51000,30.64000,29.08000,30.64000,107100
1581690600,31.00000,31.57000,29.72000,30.75000,128700
1582036200,30.49000,31.54000,30.26000,31.54000,66200
1582122600,31.50000,32.29000,30.75000,32.25000,253800
1582209000,31.72000,32.58000,31.00500,32.38000,152200
1582295400,31.80000,32.46000,31.27000,32.35000,158700
1582554600,30.00000,31.10000,29.14000,30.60000,148400
1582641000,30.00000,33.96000,30.00000,33.44000,201500
1582727400,31.85000,34.39000,31.55000,33.75000,213300
1582813800,31.45000,33.97000,31.04900,33.88000,112400
1582900200,33.40000,35.10000,32.85000,35.10000,234400
1583159400,35.01000,36.60000,34.00000,36.60000,185100
1583245800,36.65000,40.99800,36.60000,38.48000,297900
1583332200,39.00000,39.30000,38.00000,39.19000,127100
1583418600,37.71000,38.06000,35.64000,37.12000,77000
1583505000,37.62000,40.94600,35.61000,38.09000,279200
1583760600,35.15000,35.90000,32.40000,33.48000,190200
1583847000,35.08000,35.83000,31.45200,33.96000,327500
1583933400,33.40000,34.09500,31.00000,32.17000,119000
1584019800,28.99000,30.39500,28.00000,28.55000,184100
1584106200,30.00000,31.98000,29.19000,30.93000,197600
1584365400,49.36000,52.80000,38.00000,40.00000,1935900
1584451800,65.00000,76.00000,56.01000,66.60000,2939800
1584538200,90.39000,105.00000,82.20900,92.00000,3027000
1584624600,83.20000,83.32900,59.00000,59.30000,1598500
1584711000,54.95000,55.00000,43.66000,46.50000,1174000
1584970200,59.00000,59.98000,50.31000,51.31000,994100
1585056600,58.90000,58.99000,48.02000,53.64000,579700
1585143000,53.63000,53.68500,47.20000,47.20000,333200
1585229400,52.00000,55.75000,50.00000,55.00000,471600
1585315800,54.83000,55.40000,51.32000,55.00000,246200
1585575000,60.00000,64.45000,59.04000,62.00000,591200
1585661400,59.86000,62.00000,57.00000,58.40000,243300
1585747800,56.35000,58.19500,52.48000,52.92000,259100
1585834200,55.50000,56.93000,53.00000,56.91000,245700
1585920600,57.98000,57.98000,52.01000,52.75000,227300
1586179800,55.50000,55.60000,52.40000,52.73000,331000
1586266200,50.00000,50.20000,44.00000,45.60000,1461700
1586352600,48.10000,48.10000,44.51000,44.95000,819800
1586439000,52.01000,53.00000,45.00000,45.41000,1483000
1586784600,46.02000,46.39000,41.00000,41.71000,880700
1586871000,43.82000,43.98000,41.40000,41.63000,863900
1586957400,40.90000,41.24000,38.13000,38.58000,980600
1587043800,38.76000,39.26000,37.00000,38.79000,849400
1587130200,40.30000,41.70700,38.87500,40.81000,1008300
1587389400,41.49000,45.90000,41.00000,43.37000,1278800
1587475800,45.27000,45.90000,39.80000,42.26000,1507200
1587562200,54.44000,55.85000,45.20000,53.50000,10852500
1587648600,58.00000,58.00000,49.22000,50.00000,4271200
1587735000,51.24000,51.49000,47.60000,47.75000,1822700
1587994200,48.89000,50.25000,48.16000,49.40000,1183300
1588080600,48.60000,48.98000,44.80000,45.83000,1511200
1588167000,48.00000,49.70000,46.13000,49.25000,1766400
1588253400,49.21000,49.22000,46.02000,47.48000,1034100
1588339800,46.00000,46.99000,43.00000,45.11000,874600
1588599000,45.20000,47.47000,44.36000,45.78000,784900
1588685400,48.41000,50.37500,47.70600,50.00000,2604800
1588771800,50.14000,50.20000,47.50000,47.78000,889400
1588858200,49.26000,49.50000,48.35000,49.32000,815300
1588944600,49.16000,49.88800,48.20800,49.24000,696100
1589203800,49.61000,50.79000,47.91400,49.98000,1887400
1589290200,50.40000,52.12000,49.20000,49.33000,1910200
1589376600,50.50000,50.89000,47.43000,48.49000,1468800
1589463000,48.56000,49.08000,45.08000,48.66000,1099100
1589549400,48.51000,49.74000,48.20000,49.49000,793800
1589808600,54.74000,60.43000,50.60000,60.17000,5013900
1589895000,57.00000,57.94000,49.95000,50.59000,3612100
1589981400,53.21000,53.72000,51.62000,53.04000,1979300
1590067800,54.10000,54.20000,51.14500,51.90000,1094300
1590154200,52.15000,52.61000,50.76000,51.03000,941600
1590499800,52.40000,52.55000,49.34000,50.88000,1511100
1590586200,49.53000,50.22000,46.30000,47.59000,1810200
1590672600,48.34000,50.11000,46.75300,46.87000,1107900
1590759000,48.19000,49.53000,47.16000,49.53000,760600
1591018200,50.00000,53.21000,49.54000,52.30000,1275800
1591104600,51.98000,52.85000,50.10000,52.38000,688500
1591191000,51.85000,52.23000,49.54000,51.16000,1379900
1591277400,50.45000,51.86000,49.70000,50.00000,623300
1591363800,49.80000,50.23000,48.50000,49.18000,768700
1591623000,49.22000,49.24100,47.42000,48.78000,1142400
1591709400,47.80000,48.10000,46.87000,47.79000,970100
1591795800,47.80000,47.99900,46.55000,47.41000,913100
1591882200,49.00000,49.19000,47.07000,48.60000,1324800
1591968600,49.37000,49.44000,47.01000,48.58000,858800
1592227800,48.72000,51.17000,48.29000,50.85000,1087500
1592314200,51.00000,51.50000,49.09000,49.90000,901100
1592400600,49.75000,51.50000,49.50000,50.85000,723000
1592487000,49.86000,51.59000,49.83000,50.94000,691500
1592573400,50.90000,51.58000,49.91000,51.36000,735800
1592832600,51.95000,58.90000,51.85000,57.45000,2678200
1592919000,55.62000,56.00000,51.52000,52.75000,2142200
1593005400,53.00000,55.35000,51.81000,54.73000,1344500
1593091800,54.51000,59.92000,53.52000,59.71000,2406400
1593178200,56.63000,63.37000,56.50000,62.13000,2830700
1593437400,65.68000,71.38000,64.12000,65.80000,4011400
1593523800,66.16000,68.25000,62.22000,66.74000,1979100
1593610200,77.70000,79.38000,62.30000,64.14000,9879300
1593696600,68.24500,69.39000,62.73000,63.27000,3926500
1594042200,65.59000,66.90000,64.33000,65.51000,1649400
1594128600,64.00000,70.89000,63.51000,69.34000,2264400
1594215000,67.21000,68.58000,66.46000,67.56000,1449600
1594301400,66.61000,68.00000,64.51000,65.61000,1186700
1594387800,67.00000,71.29000,67.00000,70.36000,2874300
1594647000,78.47000,84.89000,75.75000,77.78000,8529600
1594733400,82.57000,85.00000,78.00000,83.88000,4748700
