time,open,high,low,close,tick_volume
1472477400,82.51000,83.35000,82.41000,83.10000,2253600
1472563800,82.86000,83.15000,82.31000,82.48000,3468700
1472650200,82.06000,82.34000,81.61000,81.95000,4041700
1472736600,81.59000,82.00000,80.57000,81.45000,4102200
1472823000,82.19000,82.37000,81.47000,81.69000,2449400
1473168600,82.01000,82.23000,81.48000,82.08000,3071000
1473255000,82.50000,83.73000,82.41000,83.72000,3996700
1473341400,83.50000,83.96000,83.08000,83.54000,3400500
1473427800,82.89000,83.00000,80.76000,80.79000,5311600
1473687000,80.27000,82.12000,80.10000,81.92000,4110800
1473773400,81.10000,81.26000,79.93000,80.23000,4740600
1473859800,80.38000,81.62000,80.23000,81.02000,5324800
1473946200,80.83000,82.35000,80.74000,82.03000,3499400
1474032600,81.62000,82.08000,81.21000,82.05000,6715400
1474291800,82.18000,82.35000,81.35000,81.88000,4351200
1474378200,82.46000,82.67000,81.66000,81.70000,2774600
1474464600,82.30000,83.49000,82.01000,83.47000,4264300
1474551000,83.97000,84.45000,83.31000,83.50000,3925200
1474637400,83.51000,83.58000,82.39000,82.44000,3031500
1474896600,82.20000,82.68000,82.01000,82.37000,3340800
1474983000,82.19000,82.88000,81.67000,82.88000,4295600
1475069400,83.25000,86.66000,83.14000,86.59000,9497100
1475155800,86.28000,88.85000,86.28000,87.47000,10616400
1475242200,87.99000,88.98000,87.81000,88.77000,6379100
1475501400,88.23000,89.19000,88.17000,88.28000,4294600
1475587800,88.50000,88.95000,87.18000,87.51000,4743300
1475674200,88.12000,89.87000,88.04000,89.42000,5189500
1475760600,88.96000,89.66000,88.71000,89.29000,3786900
1475847000,89.52000,89.74000,87.94000,88.47000,3774200
1476106200,89.10000,89.50000,88.14000,88.22000,3785700
1476192600,89.10000,89.32000,87.26000,87.47000,6471900
1476279000,87.50000,87.75000,87.02000,87.58000,3950000
1476365400,86.90000,87.07000,86.26000,86.97000,5677000
1476451800,87.83000,88.42000,87.56000,87.67000,3601000
1476711000,87.38000,87.72000,86.90000,87.29000,4479700
1476797400,88.11000,88.20000,86.77000,87.22000,3715700
1476883800,87.31000,88.28000,86.86000,88.00000,5943900
1476970200,87.06000,87.27000,86.23000,86.63000,4576600
1477056600,85.73000,86.63000,85.36000,86.33000,3592500
1477315800,86.12000,87.13000,85.54000,85.99000,5096500
1477402200,85.86000,87.65000,83.88000,84.48000,11639200
1477488600,83.81000,84.39000,82.88000,84.13000,6582100
1477575000,84.28000,84.34000,82.71000,83.01000,5003200
1477661400,83.32000,84.17000,83.00000,83.88000,4974000
1477920600,84.19000,84.38000,83.41000,83.46000,4679400
