time,open,high,low,close,tick_volume
1472477400,68.96000,69.44000,68.94000,69.05000,280000
1472563800,69.12000,69.12000,68.26000,69.08000,384100
1472650200,68.92000,69.24000,68.54000,68.69000,403600
1472736600,68.74000,69.22000,68.44000,68.95000,333100
1472823000,68.28000,68.90000,68.01000,68.53000,531900
1473168600,68.30000,68.55000,67.96000,68.51000,434600
1473255000,68.17000,68.97000,67.63000,68.63000,366300
1473341400,68.51000,68.65000,68.21000,68.54000,215100
1473427800,68.16000,68.72000,68.00000,68.00000,388800
1473687000,67.99000,69.61000,67.57000,69.42000,506100
1473773400,69.25000,69.34000,68.08000,68.31000,380000
1473859800,68.60000,68.67000,67.64000,67.75000,394400
1473946200,67.44000,68.22000,66.77000,68.15000,367900
1474032600,68.40000,69.07000,67.67000,68.94000,781900
1474291800,69.16000,69.66000,68.67000,69.40000,354900
1474378200,69.84000,69.98000,69.39000,69.62000,275300
1474464600,69.59000,69.99000,69.12000,69.74000,415200
1474551000,69.98000,69.98000,69.22000,69.41000,384900
1474637400,69.56000,71.05000,67.94000,70.30000,1874800
1474896600,69.16000,70.53000,66.27000,66.59000,3242400
1474983000,67.13000,67.26000,66.30000,66.91000,2629900
1475069400,67.20000,67.34000,65.77000,66.31000,1562100
1475155800,66.29000,66.68000,64.94000,65.27000,1021000
1475242200,65.50000,65.61000,64.62000,64.85000,1171800
1475501400,64.91000,65.93000,64.64000,65.76000,1026500
1475587800,66.76000,67.33000,66.33000,66.84000,1389100
1475674200,66.99000,67.56000,66.53000,67.41000,1212900
1475760600,67.05000,67.58000,66.71000,67.56000,541900
1475847000,67.23000,68.25000,67.11000,67.85000,741100
1476106200,68.01000,68.43000,66.61000,66.89000,786800
1476192600,67.35000,67.66000,66.30000,67.10000,1315100
1476279000,66.85000,67.50000,66.17000,66.81000,692600
1476365400,66.22000,66.67000,65.69000,65.89000,1080000
1476451800,66.19000,66.54000,65.81000,66.09000,595300
1476711000,65.94000,65.99000,64.52000,64.58000,819200
1476797400,65.21000,65.35000,64.71000,65.01000,708500
1476883800,64.97000,65.14000,64.61000,64.85000,906000
1476970200,65.20000,65.20000,63.77000,63.78000,605800
1477056600,63.68000,64.04000,62.89000,63.92000,1346800
1477315800,64.15000,64.45000,63.97000,64.33000,507300
1477402200,64.52000,64.54000,63.75000,63.92000,693800
1477488600,63.77000,64.00000,63.31000,63.51000,971400
1477575000,62.67000,62.79000,61.58000,62.16000,1380900
1477661400,62.07000,63.49000,61.72000,63.24000,1123300
1477920600,62.98000,63.44000,62.40000,63.21000,894900
1478007000,63.01000,63.40000,62.58000,63.11000,815700
1478093400,62.80000,63.46000,62.80000,62.90000,445900
1478179800,62.74000,63.44000,62.73000,62.99000,657200
1478266200,63.22000,64.09000,62.68000,63.40000,549800
1478529000,63.92000,64.06000,62.75000,63.70000,824000
1478615400,63.40000,63.88000,62.97000,63.59000,852300
1478701800,63.86000,66.22000,63.63000,66.19000,1311500
1478788200,66.51000,68.36000,65.25000,67.64000,1618100
1478874600,67.40000,68.17000,66.99000,67.94000,2150800
1479133800,68.09000,68.95000,67.86000,68.77000,1878500
1479220200,68.43000,68.60000,67.97000,68.53000,840300
1479306600,68.20000,68.66000,67.92000,68.60000,592400
1479393000,68.46000,69.01000,68.38000,68.87000,529100
1479479400,68.75000,68.82000,67.89000,68.68000,1253100
1479738600,68.83000,68.83000,68.23000,68.46000,1691000
1479825000,68.71000,68.71000,68.13000,68.26000,595900
1479911400,68.09000,68.47000,67.85000,67.94000,626500
1480084200,68.23000,68.64000,67.85000,68.43000,250400
1480343400,68.40000,68.72000,67.90000,68.63000,811700
1480429800,68.58000,69.08000,68.14000,68.80000,983700
1480516200,68.83000,69.45000,68.22000,68.90000,1183200
1480602600,69.22000,69.51000,68.41000,69.48000,980900
1480689000,70.16000,72.18000,69.95000,72.06000,1396500
1480948200,71.92000,72.94000,71.80000,72.64000,1123700
1481034600,73.01000,73.74000,72.77000,73.55000,1178500
1481121000,73.71000,75.14000,73.53000,74.84000,1323000
1481207400,74.70000,75.66000,74.26000,75.28000,743300
1481293800,75.57000,76.74000,75.53000,76.68000,918900
1481553000,76.85000,77.19000,76.29000,76.66000,770600
1481639400,77.13000,77.29000,76.51000,76.59000,513400
1481725800,76.31000,76.70000,75.97000,76.27000,654900
1481812200,76.15000,76.55000,75.50000,75.57000,890800
1481898600,75.71000,76.22000,75.40000,75.72000,1841900
1482157800,75.96000,76.76000,75.24000,75.42000,521200
1482244200,74.90000,75.12000,74.16000,74.90000,717500
1482330600,74.89000,75.12000,74.02000,74.13000,512600
1482417000,74.22000,74.56000,73.27000,73.70000,371800
1482503400,73.56000,73.63000,72.82000,73.40000,438800
1482849000,73.52000,73.90000,73.04000,73.74000,428100
1482935400,74.02000,74.13000,73.24000,73.31000,365300
1483021800,73.54000,73.70000,73.27000,73.67000,383400
1483108200,73.76000,74.10000,73.48000,73.89000,522700
1483453800,73.68000,74.21000,72.54000,73.01000,652300
1483540200,74.47000,75.91000,73.64000,75.88000,871800
1483626600,75.65000,76.19000,74.85000,75.09000,591500
1483713000,75.94000,76.09000,75.43000,75.50000,732400
1483972200,75.25000,75.36000,74.12000,74.53000,569600
1484058600,74.61000,74.98000,73.66000,73.68000,548300
1484145000,73.69000,74.06000,73.12000,73.94000,578300
1484231400,73.69000,73.84000,72.64000,73.83000,454000
1484317800,74.52000,75.06000,73.56000,75.02000,513300
1484663400,75.51000,75.58000,74.67000,74.76000,792700
1484749800,75.07000,75.32000,74.39000,75.29000,507900
1484836200,75.19000,75.79000,75.01000,75.75000,624100
1484922600,75.89000,76.65000,75.60000,76.64000,692900
1485181800,76.64000,76.70000,75.61000,76.05000,646000
1485268200,76.37000,77.27000,76.28000,76.79000,558600
1485354600,77.00000,78.11000,76.69000,77.95000,707400
1485441000,77.99000,78.25000,77.65000,77.97000,701900
1485527400,78.07000,78.38000,77.34000,77.83000,464600
1485786600,77.46000,77.87000,76.80000,77.87000,615700
1485873000,78.70000,79.76000,78.25000,79.62000,1383600
1485959400,79.76000,79.99000,78.39000,78.45000,622700
1486045800,77.98000,78.90000,77.77000,77.94000,849700
1486132200,78.56000,78.86000,77.73000,78.14000,1116400
1486391400,78.05000,78.22000,77.45000,77.79000,962200
1486477800,78.54000,80.10000,77.53000,79.19000,1572800
1486564200,78.79000,79.22000,76.80000,76.97000,882300
1486650600,77.06000,78.19000,76.75000,78.13000,508500
1486737000,78.37000,78.37000,77.53000,77.67000,434400
1486996200,77.71000,79.24000,77.71000,79.10000,560800
1487082600,79.14000,79.92000,78.89000,79.62000,692400
1487169000,79.56000,80.22000,79.36000,80.16000,739500
1487255400,80.10000,80.47000,79.62000,80.40000,679800
1487341800,80.33000,81.32000,79.95000,80.94000,1104400
1487687400,81.18000,81.37000,80.46000,80.54000,860100
1487773800,79.94000,80.88000,79.86000,80.54000,712700
1487860200,80.57000,80.83000,80.01000,80.26000,669700
1487946600,79.29000,80.29000,79.23000,79.70000,2142000
1488205800,79.84000,80.00000,78.40000,78.96000,1412300
1488292200,78.62000,78.81000,77.33000,78.05000,20233300
1488378600,78.67000,80.63000,78.40000,79.30000,2719400
1488465000,79.10000,79.17000,77.77000,78.25000,2155800
1488551400,78.62000,78.89000,77.68000,78.27000,1742800
1488810600,78.06000,78.54000,77.71000,77.99000,1123000
1488897000,78.16000,78.48000,77.80000,77.97000,1243100
1488983400,78.17000,78.75000,77.85000,78.39000,1285000
1489069800,78.53000,78.59000,77.86000,78.58000,2220100
1489156200,79.12000,79.67000,78.78000,79.63000,1231800
1489411800,79.71000,80.47000,79.47000,80.25000,1055800
1489498200,79.89000,80.59000,79.85000,80.38000,846900
1489584600,80.75000,80.75000,79.90000,80.26000,1483900
1489671000,80.42000,80.76000,80.19000,80.45000,846300
1489757400,80.29000,80.68000,79.91000,80.57000,1465000
1490016600,80.38000,80.97000,80.08000,80.51000,1151400
1490103000,80.94000,80.94000,79.41000,79.64000,1264600
1490189400,79.55000,80.07000,79.18000,79.73000,1055800
1490275800,79.90000,80.26000,79.35000,79.85000,896400
1490362200,80.09000,80.35000,79.12000,79.44000,623400
1490621400,78.83000,79.33000,78.32000,79.18000,657400
1490707800,78.92000,79.63000,78.69000,79.14000,625700
1490794200,79.12000,79.22000,78.31000,79.21000,990400
1490880600,79.13000,80.10000,78.83000,80.00000,776200
1490967000,80.40000,81.32000,79.40000,81.07000,1009100
1491226200,81.03000,81.44000,80.06000,80.67000,743700
1491312600,80.63000,80.92000,80.22000,80.89000,1156400
1491399000,81.06000,81.51000,80.24000,80.42000,1020500
1491485400,80.43000,80.83000,80.11000,80.32000,1105800
1491571800,80.35000,81.19000,80.01000,81.08000,1019200
1491831000,81.29000,81.57000,80.78000,81.11000,721400
1491917400,80.62000,80.99000,80.00000,80.59000,1003400
1492003800,80.59000,81.63000,80.12000,81.53000,1050500
