time,open,high,low,close,tick_volume
1472477400,24.20000,24.69000,24.18000,24.46000,6644600
1472563800,24.46000,24.81000,24.08000,24.73000,4555300
1472650200,24.75000,24.80000,24.42500,24.77000,6701900
1472736600,24.86000,24.96000,24.29500,24.52000,4631200
1472823000,24.59000,24.87500,24.41000,24.68000,4892100
1473168600,24.67000,24.73000,24.16500,24.30000,4998300
1473255000,24.24000,24.64300,24.15000,24.57000,3645400
1473341400,24.62000,24.94000,24.50500,24.92000,4293800
1473427800,24.73000,25.07000,24.70000,24.81000,7103200
1473687000,24.60000,25.11000,24.33000,25.07000,6584000
1473773400,24.72000,24.79000,24.22000,24.62000,6656600
1473859800,24.61000,24.82000,24.35000,24.40000,4671200
1473946200,24.31000,24.62000,24.26000,24.48000,5107800
1474032600,24.26000,24.32000,23.94000,24.10000,8753900
1474291800,24.27000,24.53000,24.11000,24.19000,4027900
1474378200,24.39000,24.45000,23.97500,24.17000,4080300
1474464600,24.35000,24.53500,24.08000,24.31000,3832600
1474551000,24.39000,24.49500,24.16000,24.24000,4438100
1474637400,24.16000,24.56500,24.11000,24.41000,4935700
1474896600,24.19000,24.27000,23.84000,23.96000,4708100
1474983000,23.90000,24.33000,23.81000,24.31000,3868500
1475069400,24.31000,24.47000,23.89000,24.41000,8700300
1475155800,24.47000,24.59000,23.84000,24.05000,5070200
1475242200,24.28000,24.82000,24.12000,24.71000,6661500
1475501400,24.57000,24.72000,24.42000,24.60000,3174200
1475587800,24.67000,25.34000,24.64000,24.99000,5959300
1475674200,25.15000,25.68000,25.05000,25.57000,5297800
1475760600,25.59000,25.79000,25.33000,25.69000,3921100
1475847000,25.70000,25.80000,25.22000,25.50000,4944000
1476106200,25.79000,25.90900,25.49000,25.54000,3131200
1476192600,25.54000,25.76000,24.83000,24.96000,7271500
1476279000,24.99000,25.48500,24.95000,25.25000,4079400
1476365400,24.94000,24.95500,24.22000,24.52000,4791900
1476451800,24.92000,25.10000,24.61000,24.79000,3596500
1476711000,24.84000,25.00000,24.43500,24.58000,3493800
1476797400,24.93000,24.95000,24.56000,24.85000,3373900
1476883800,24.93000,25.40500,24.93000,25.30000,3578900
1476970200,25.19000,25.74000,25.14000,25.55000,6624300
1477056600,25.68000,26.09000,25.50000,25.97000,4308400
1477315800,26.36000,26.49000,26.17000,26.35000,5127100
1477402200,26.40000,26.54500,26.19000,26.46000,4255900
1477488600,26.37000,26.87000,26.34000,26.87000,4994900
1477575000,27.06000,27.21000,26.77000,26.87000,5738000
1477661400,26.87000,26.89000,26.21000,26.35000,7858900
1477920600,26.38000,26.54000,26.25000,26.34000,5903400
1478007000,26.52000,26.85000,26.34000,26.84000,7868800
1478093400,26.63000,26.66000,25.87000,26.10000,7557200
1478179800,26.26000,26.50500,26.15500,26.27000,4931000
1478266200,26.26000,26.76000,25.97500,26.41000,3643500
1478529000,26.94000,27.37000,26.94000,27.35000,5132500
1478615400,26.82000,27.15500,26.46000,26.95000,5125100
1478701800,27.29000,28.44000,27.20000,28.20000,12784900
1478788200,28.66000,30.00000,28.66000,29.60000,12026100
1478874600,29.42000,30.00000,29.05000,29.85000,16252800
1479133800,30.13000,31.01000,30.08500,30.88000,14672000
1479220200,30.50000,31.16500,30.09000,30.94000,10089900
1479306600,30.35000,30.79000,30.26000,30.73000,7471500
1479393000,30.73000,31.80000,30.69000,31.73000,9743700
1479479400,31.81000,32.13500,31.65000,31.97000,8228300
1479738600,32.23000,32.23000,31.70000,31.93000,4587300
1479825000,32.17000,32.26000,31.77500,31.92000,8293900
1479911400,31.99000,32.63000,31.82000,32.40000,5667700
1480084200,32.39000,32.46000,32.25000,32.46000,1507000
1480343400,32.14000,32.36000,31.69000,31.78000,5531000
1480429800,31.96000,32.58500,31.86000,32.39000,5712900
1480516200,33.05000,33.70000,33.05000,33.51000,7345100
1480602600,33.87000,34.91000,33.83000,34.38000,7613600
1480689000,34.54000,34.54000,33.81000,34.15000,5881800
1480948200,34.55000,34.75000,33.89000,34.15000,6612000
1481034600,34.61000,34.81000,34.22000,34.70000,4585300
1481121000,34.73000,35.08000,34.12500,35.06000,6267200
1481207400,35.37000,35.75000,34.76000,35.54000,6598600
1481293800,35.54000,35.59000,34.87000,35.51000,4745900
1481553000,35.08000,35.69000,34.76000,35.01000,4836100
1481639400,35.15000,35.20000,34.13000,34.80000,6048200
1481725800,34.43000,35.81000,34.16000,34.63000,7098400
1481812200,35.12000,35.81000,34.58000,35.40000,6350200
1481898600,35.71000,36.05000,35.12000,35.32000,13133400
1482157800,35.30000,35.42000,34.86100,35.37000,5258300
1482244200,35.72000,36.13000,35.58000,36.08000,3430700
1482330600,36.05000,36.10000,35.69500,36.02000,2900300
1482417000,36.02000,36.16000,35.86000,36.00000,3788100
1482503400,36.02000,36.33000,35.91000,36.33000,1896100
1482849000,36.39000,36.56000,36.17000,36.46000,1935800
1482935400,36.48000,36.51900,35.88000,36.00000,2837800
1483021800,35.95000,36.02000,35.23500,35.28000,3783600
1483108200,35.34000,35.67000,35.15000,35.63000,3394300
1483453800,36.44000,37.08000,35.56000,35.86000,5045900
1483540200,36.03000,36.25000,35.83000,36.17000,4354900
1483626600,36.02000,36.25500,35.22500,35.72000,3725200
1483713000,35.91000,36.08000,35.71000,35.91000,3623500
1483972200,35.63000,35.83000,35.15000,35.68000,3035600
1484058600,35.88000,36.37000,35.80000,36.28000,3730400
1484145000,36.17000,36.37000,35.84000,36.27000,4273300
1484231400,36.10000,36.14000,35.16500,35.92000,3961600
1484317800,36.20000,36.98000,35.90000,36.29000,5200800
1484663400,35.83000,35.91000,33.97000,34.12000,8472300
1484749800,34.36000,35.02000,33.80000,34.99000,6386100
1484836200,34.93000,35.42500,34.41000,34.73000,5737300
1484922600,35.56000,36.18000,35.30000,35.82000,8164500
1485181800,35.60000,35.97000,35.38000,35.89000,4893700
1485268200,35.96000,36.41000,35.87500,36.30000,6052500
1485354600,36.76000,37.54000,36.67300,37.52000,5714200
1485441000,37.51000,37.95000,37.21000,37.54000,4795700
1485527400,37.43000,37.48000,36.87000,36.99000,4278600
1485786600,36.54000,36.76000,35.90000,36.53000,4981900
1485873000,36.33000,36.87000,35.87000,36.17000,4774900
1485959400,36.54000,37.16000,36.38500,36.49000,4795900
1486045800,36.19000,36.22000,35.65000,36.04000,4355900
1486132200,36.81000,36.90500,36.36000,36.79000,3873300
1486391400,36.31000,36.92000,36.21000,36.47000,4633600
1486477800,36.60000,36.81000,36.32500,36.59000,3815800
1486564200,36.25000,36.28000,35.24000,35.35000,8451800
1486650600,35.35000,36.27500,35.21000,36.24000,5731000
1486737000,36.15000,36.53000,36.09000,36.42000,3283800
1486996200,36.81000,37.20000,36.71000,36.92000,3506200
1487082600,36.92000,38.07000,36.77000,37.98000,5148600
1487169000,38.10000,38.43000,37.76000,38.37000,3840400
1487255400,38.11000,38.39500,37.98000,38.25000,2756900
1487341800,37.72000,37.84000,37.45000,37.84000,5495900
1487687400,38.01000,38.23000,37.61500,38.05000,4622400
1487773800,37.81000,37.94000,37.51000,37.67000,5247700
1487860200,37.84000,37.86000,36.77000,37.25000,5960200
1487946600,36.75000,37.16000,36.46000,36.65000,7559300
1488205800,36.77000,37.26000,36.66000,37.19000,4015400
1488292200,37.00000,37.43500,36.82000,37.37000,4450200
1488378600,38.42000,39.75000,38.34000,39.59000,7133700
1488465000,39.68000,39.74000,38.01000,38.05000,5930200
1488551400,38.24000,38.53000,38.13000,38.31000,4489400
1488810600,38.07000,38.45000,37.75000,38.27000,2723000
1488897000,38.22000,38.35000,37.76000,37.97000,2628300
1488983400,38.57000,38.64000,37.77000,37.85000,3445600
1489069800,37.99000,38.26000,37.54000,37.73000,2948900
1489156200,38.06000,38.14000,36.97000,37.64000,4473000
1489411800,37.59000,37.87000,37.28900,37.37000,4176300
1489498200,37.20000,37.26000,36.73000,37.19000,3378100
1489584600,37.40000,37.63000,36.65000,36.78000,5340000
1489671000,37.06000,37.31000,36.77000,37.10000,3363700
1489757400,37.05000,37.20000,36.42000,36.62000,13510100
1490016600,36.50000,36.65000,36.10000,36.23000,5881900
1490103000,36.52000,36.61000,34.21000,34.36000,7594800
1490189400,34.12000,34.90000,33.45000,34.43000,7066700
1490275800,34.30000,35.27000,34.06000,34.57000,4736700
1490362200,34.79000,34.93000,34.02000,34.51000,4923000
1490621400,33.45000,34.31000,32.99000,34.24000,5075300
1490707800,34.08000,35.29000,34.05000,35.03000,4379400
1490794200,35.00000,35.18000,33.86000,34.49000,11159000
1490880600,34.55000,35.25000,34.31000,34.88000,5519000
1490967000,34.67000,35.03000,34.41000,34.55000,5060900
