time,open,high,low,close,tick_volume
1472477400,39.50000,39.51000,38.95000,39.10000,273500
1472563800,39.25000,39.62000,38.79000,39.05000,506100
1472650200,39.16000,39.35000,38.95000,39.27000,425200
1472736600,39.49000,39.49000,38.99000,39.30000,443600
1472823000,39.59000,41.19000,39.59000,40.90000,586200
1473168600,41.10000,41.55000,40.87000,41.53000,301800
1473255000,41.50000,42.26000,41.50000,42.20000,402000
1473341400,42.31000,42.58000,41.80000,42.07000,577200
1473427800,41.70000,41.70000,40.82000,40.88000,424200
1473687000,40.56000,40.72000,40.08000,40.65000,314300
1473773400,40.18000,40.18000,38.90000,39.37000,371900
1473859800,39.54000,39.70000,39.09000,39.36000,333400
1473946200,39.40000,40.07000,38.98000,39.88000,226600
1474032600,39.38000,39.38000,38.00000,38.13000,723500
1474291800,38.58000,38.90000,38.33000,38.47000,289100
1474378200,38.68000,38.68000,37.80000,37.91000,451100
1474464600,38.52000,38.55000,37.75000,38.33000,293200
1474551000,38.69000,39.04000,38.57000,38.74000,424500
1474637400,38.45000,38.86000,38.12000,38.27000,235900
1474896600,37.85000,38.07000,37.58000,37.66000,292100
1474983000,37.39000,37.80000,37.01000,37.77000,435700
1475069400,38.01000,39.18000,37.72000,39.15000,444200
1475155800,38.93000,39.54000,38.45000,38.70000,272500
1475242200,39.11000,39.94000,38.93000,39.04000,413500
1475501400,37.25000,38.48000,36.66000,37.75000,532300
1475587800,37.94000,37.99000,36.89000,37.19000,407600
1475674200,37.63000,38.17000,37.34000,37.76000,268900
1475760600,37.58000,38.09000,37.23000,38.05000,236500
1475847000,38.02000,38.60000,37.93000,38.16000,284200
1476106200,38.50000,38.73000,38.05000,38.51000,176900
1476192600,38.35000,38.55000,38.19000,38.49000,400100
1476279000,38.38000,38.83000,38.22000,38.58000,238000
1476365400,38.23000,38.62000,37.73000,38.53000,310100
1476451800,38.97000,39.08000,38.29000,38.43000,240500
1476711000,38.32000,38.45000,37.84000,37.94000,269300
1476797400,38.57000,39.04000,38.27000,38.97000,212200
1476883800,39.11000,39.34000,38.93000,38.93000,267100
1476970200,39.06000,39.32000,38.73000,39.15000,238900
