time,open,high,low,close,tick_volume
1472477400,21.67000,21.73000,21.55000,21.67000,1957900
1472563800,21.70000,21.99000,21.58000,21.73000,1658400
1472650200,21.74000,21.85000,21.27000,21.45000,4494100
1472736600,22.32000,23.60000,22.25000,23.17000,12256600
1472823000,22.93000,23.15000,22.29000,22.89000,4303200
1473168600,22.87000,23.15000,22.82000,22.98000,2406500
1473255000,23.50000,23.50000,22.66000,22.75000,2434800
1473341400,22.75000,22.81000,22.05000,22.18000,3180700
1473427800,22.26000,22.54000,21.61000,21.66000,5730100
1473687000,21.42000,21.92000,21.35000,21.84000,3194000
1473773400,21.66000,21.97000,21.17000,21.29000,2887900
1473859800,21.30000,21.48000,20.95000,21.08000,2318300
1473946200,21.10000,21.26000,20.97000,21.16000,2727500
1474032600,21.17000,21.28000,20.82000,21.24000,3780900
1474291800,21.44000,22.05000,21.37000,21.77000,2774300
1474378200,21.72000,21.87000,21.45000,21.46000,1505000
1474464600,21.37000,21.90000,21.37000,21.83000,2306600
1474551000,22.05000,22.35000,21.98000,22.26000,2275800
1474637400,22.15000,22.39000,22.10000,22.16000,2048700
1474896600,21.96000,22.20000,21.82000,22.03000,1529400
1474983000,21.98000,22.66000,21.87000,22.65000,2288300
1475069400,22.65000,22.86000,22.36000,22.41000,2318800
1475155800,22.37000,22.40000,21.94000,21.95000,1708400
1475242200,21.96000,22.15000,21.51000,21.80000,2881100
1475501400,21.71000,21.81000,21.22000,21.30000,2426900
1475587800,21.37000,21.57000,21.03000,21.19000,2588800
1475674200,21.38000,22.41000,21.29000,21.95000,2839000
1475760600,22.03000,23.09000,21.94000,22.67000,3463900
1475847000,22.64000,22.79000,22.17000,22.33000,2374700
1476106200,22.50000,22.64000,22.30000,22.32000,1760300
1476192600,22.28000,22.28000,21.38000,21.42000,2970900
1476279000,21.04000,21.18000,20.45000,20.96000,5482700
1476365400,20.67000,20.86000,20.33000,20.84000,2339900
1476451800,20.95000,21.33000,20.62000,20.80000,3344600
1476711000,20.72000,20.87000,20.21000,20.21000,2190200
1476797400,20.53000,20.57000,20.16000,20.34000,1580700
1476883800,20.30000,20.73000,20.22000,20.65000,1173500
1476970200,20.44000,20.45000,19.88000,20.12000,4658800
1477056600,20.00000,20.03000,19.69000,19.93000,3189500
1477315800,20.15000,20.23000,19.95000,20.05000,1496600
1477402200,20.04000,20.07000,19.66000,19.89000,1533000
1477488600,20.21000,20.67000,20.01000,20.39000,2241600
1477575000,20.46000,20.46000,19.48000,19.55000,3624600
1477661400,19.52000,20.00000,19.40000,19.51000,2371200
1477920600,19.54000,19.67000,19.30000,19.38000,2608800
1478007000,19.46000,19.47000,18.94000,19.21000,2710700
1478093400,19.44000,19.92000,19.16000,19.34000,2969200
1478179800,19.37000,19.50000,19.12000,19.27000,1699500
1478266200,19.20000,19.55000,19.04000,19.25000,1711400
1478529000,19.67000,20.53000,19.66000,20.34000,3282200
1478615400,20.25000,20.88000,20.10000,20.51000,1944800
1478701800,19.92000,20.98000,19.80000,20.90000,2395400
1478788200,21.09000,21.60000,20.65000,21.18000,2483700
1478874600,21.05000,21.78000,20.90000,21.74000,2779800
1479133800,22.27000,22.75000,22.06000,22.50000,3542600
1479220200,22.42000,22.82000,22.23000,22.64000,2101800
1479306600,22.33000,22.81000,22.33000,22.53000,2147900
1479393000,22.18000,22.28000,21.77000,21.96000,2571900
1479479400,22.16000,22.19000,21.81000,21.93000,1638700
1479738600,22.01000,22.25000,21.84000,21.95000,1197600
1479825000,21.94000,21.99000,21.64000,21.95000,1718600
1479911400,21.92000,22.31000,21.84000,22.28000,1477600
1480084200,22.46000,22.50000,22.24000,22.45000,557300
1480343400,22.22000,22.28000,21.41000,21.43000,2704700
1480429800,21.51000,21.96000,21.45000,21.66000,2773800
1480516200,21.87000,21.91000,21.44000,21.45000,2376700
1480602600,21.36000,21.66000,20.67000,20.75000,1960500
1480689000,20.67000,20.71000,20.25000,20.45000,3777400
1480948200,20.80000,21.34000,20.65000,21.16000,2587000
1481034600,21.25000,21.28000,20.92000,21.00000,4877300
1481121000,21.05000,21.65000,20.94000,21.60000,3099900
1481207400,23.13000,24.99000,22.78000,24.87000,15178500
1481293800,24.98000,25.18000,24.36000,24.67000,5669200
1481553000,24.64000,24.75000,23.73000,23.99000,4108200
1481639400,24.03000,24.36000,23.71000,23.90000,3996600
1481725800,23.91000,24.20000,23.60000,23.69000,2482500
1481812200,23.71000,24.31000,23.71000,23.78000,3713300
1481898600,23.81000,23.93000,23.22000,23.27000,4550000
1482157800,23.81000,24.31000,23.75000,24.05000,3906700
1482244200,24.41000,24.97000,24.33000,24.84000,4635600
1482330600,24.60000,24.88000,24.47000,24.81000,2894500
1482417000,24.68000,25.00000,24.41000,24.53000,2315400
1482503400,24.47000,24.66000,24.35000,24.63000,1110700
1482849000,24.79000,25.19000,24.74000,24.91000,1736800
1482935400,24.96000,24.96000,24.18000,24.24000,2061600
1483021800,24.17000,24.59000,24.17000,24.48000,1526900
1483108200,24.53000,24.66000,24.28000,24.41000,1747400
1483453800,24.47000,24.98000,24.24000,24.43000,2384200
1483540200,24.38000,24.90000,24.34000,24.74000,2021900
1483626600,24.82000,25.08000,24.13000,24.30000,2325000
1483713000,24.33000,24.37000,23.87000,24.20000,3230700
1483972200,24.12000,24.42000,24.01000,24.23000,1927700
1484058600,24.23000,24.40000,23.98000,24.10000,2232200
1484145000,24.07000,24.55000,23.90000,24.39000,2748000
1484231400,24.57000,24.57000,23.76000,24.12000,1689700
1484317800,24.47000,24.85000,24.46000,24.53000,2413000
1484663400,24.25000,24.41000,23.53000,23.72000,2409900
1484749800,24.01000,24.19000,23.81000,23.95000,1711000
1484836200,24.41000,24.59000,24.01000,24.06000,2181400
1484922600,24.10000,24.31000,23.81000,24.04000,1244000
1485181800,23.92000,24.11000,23.62000,23.94000,1544600
1485268200,23.92000,24.79000,23.89000,24.65000,2349200
1485354600,24.89000,25.32000,24.85000,25.18000,3883400
1485441000,25.23000,25.32000,24.57000,24.90000,3602600
1485527400,24.66000,25.01000,24.51000,24.61000,1470800
1485786600,24.37000,24.40000,23.97000,24.33000,1578500
1485873000,24.07000,24.38000,23.93000,24.34000,2104600
1485959400,24.57000,24.63000,24.00000,24.08000,1646000
1486045800,24.08000,24.57000,23.75000,24.46000,2241600
