time,open,high,low,close,tick_volume
1472477400,48.96000,49.35000,48.96000,49.08000,277100
1472563800,49.11000,49.32000,48.93000,49.23000,222733
1472650200,49.08000,49.50000,48.93000,49.47000,326667
1472736600,49.50000,49.53000,48.96000,49.38000,374933
1472823000,49.50000,50.28000,49.50000,50.28000,462333
1473168600,50.40000,50.40000,49.65000,50.28000,394200
1473255000,50.25000,50.64000,50.19000,50.58000,476700
1473341400,50.55000,50.76000,50.40000,50.43000,446767
1473427800,50.22000,50.31000,48.09000,48.09000,1004433
1473687000,47.94000,48.54000,47.13000,48.18000,990600
1473773400,48.15000,48.33000,47.67000,47.70000,506533
1473859800,47.94000,48.48000,47.79000,48.15000,399133
1473946200,48.21000,48.75000,47.85000,48.57000,323367
1474032600,48.27000,48.45000,47.82000,47.82000,1155433
1474291800,47.97000,48.87000,47.97000,48.78000,535700
1474378200,48.96000,49.14000,48.78000,48.87000,545833
1474464600,49.08000,49.23000,48.33000,48.87000,910933
1474551000,49.14000,49.65000,49.02000,49.56000,470200
1474637400,49.35000,49.71000,49.29000,49.56000,444167
1474896600,49.56000,50.22000,49.53000,49.68000,664433
1474983000,49.80000,50.25000,49.44000,49.98000,841367
1475069400,48.57000,48.75000,48.15000,48.69000,618867
1475155800,48.63000,48.72000,48.21000,48.42000,455367
1475242200,48.45000,48.72000,47.85000,47.85000,549467
1475501400,47.76000,47.85000,46.62000,46.65000,708767
1475587800,46.65000,46.71000,44.73000,44.85000,1282767
1475674200,44.91000,45.21000,44.64000,44.70000,723800
1475760600,44.52000,44.88000,44.10000,44.40000,562433
1475847000,44.49000,44.97000,44.31000,44.58000,509367
1476106200,44.79000,45.18000,44.67000,44.91000,398167
1476192600,44.85000,45.06000,44.52000,44.82000,337433
1476279000,44.73000,45.57000,44.61000,45.33000,381500
1476365400,45.21000,45.99000,45.09000,45.84000,347500
1476451800,45.99000,45.99000,45.57000,45.66000,282367
1476711000,45.75000,46.05000,45.69000,45.84000,274833
1476797400,46.17000,46.44000,45.84000,46.20000,333367
