time,open,high,low,close,tick_volume
1472477400,127.62000,129.22000,127.55000,128.49001,515700
1472563800,128.49001,129.03999,127.92000,128.22000,744500
1472650200,128.25000,128.77000,127.29000,128.25999,718700
1472736600,128.58000,128.99001,127.15000,127.64000,701500
1472823000,128.03999,128.50000,127.50000,128.17999,528100
1473168600,127.60000,128.03999,127.17000,127.58000,789900
1473255000,127.04000,128.10001,126.55000,126.74000,951500
1473341400,126.52000,127.90000,126.17000,127.67000,1056100
1473427800,127.06000,129.09000,127.06000,128.45000,1824500
1473687000,127.95000,129.81000,127.08000,129.00999,1224800
1473773400,128.77000,128.77000,126.95000,127.54000,1219900
1473859800,127.31000,127.85000,125.98000,126.25000,1125700
1473946200,126.02000,128.80000,125.92000,128.64000,1213300
1474032600,128.94000,132.78000,128.00000,131.99001,2742000
1474291800,132.21001,132.89000,131.61000,131.89000,1091500
1474378200,132.24001,132.75999,131.07001,131.57001,1027600
1474464600,131.53000,132.94000,130.67999,132.56000,1239900
1474551000,132.64000,132.97000,130.95000,132.00000,738900
1474637400,129.46001,131.52000,129.37000,131.00000,1164800
1474896600,130.72000,130.72000,129.97000,130.34000,718300
1474983000,130.11000,131.89000,129.85001,131.70000,883200
1475069400,131.99001,132.36000,130.78999,131.50000,459200
1475155800,131.80000,133.57001,130.55000,130.80000,1206800
1475242200,131.28000,131.42999,129.60001,130.32001,1415900
1475501400,129.80000,130.22000,127.82000,128.00999,704900
1475587800,128.31000,128.55000,127.31000,128.11000,910300
1475674200,128.35001,128.67999,126.74000,127.09000,994500
1475760600,127.04000,127.61000,126.56000,126.90000,624300
1475847000,127.45000,128.16000,126.90000,127.23000,670300
1476106200,127.27000,128.00000,127.14000,127.73000,566000
1476192600,127.34000,127.34000,124.98000,125.00000,1085500
1476279000,125.10000,125.75000,121.31000,121.96000,2546100
1476365400,121.57000,122.48000,120.09000,121.16000,1194900
1476451800,121.56000,122.25000,120.68000,120.90000,570200
1476711000,120.63000,120.90000,116.30000,118.64000,1943900
1476797400,120.00000,124.67000,119.50000,123.65000,1640800
1476883800,123.65000,123.98000,122.51000,123.55000,1295700
1476970200,123.97000,124.81000,123.36000,123.63000,854400
1477056600,122.90000,124.32000,122.57000,124.18000,639700
1477315800,124.45000,124.70000,123.31000,124.06000,796200
1477402200,123.60000,124.89000,123.53000,124.30000,947700
1477488600,124.38000,124.76000,123.72000,123.80000,1117900
1477575000,124.16000,124.72000,122.40000,123.06000,738700
1477661400,123.16000,123.63000,121.18000,121.62000,1229500
1477920600,121.80000,122.50000,118.83000,118.83000,1414600
1478007000,119.55000,120.84000,115.03000,116.03000,1728500
1478093400,115.59000,118.14000,115.45000,117.85000,1828600
1478179800,119.50000,123.33000,117.23000,117.31000,2320900
1478266200,117.74000,122.80000,117.11000,121.65000,1735400
