time,open,high,low,close,tick_volume
1472477400,69.13000,70.06000,68.89000,69.63000,3015200
1472563800,69.63000,70.61000,69.63000,70.33000,3091200
1472650200,70.39000,71.72000,70.39000,71.60000,6129400
1472736600,71.60000,72.09000,70.18000,71.08000,5574100
1472823000,71.24000,71.92000,70.87000,71.64000,2448200
1473168600,71.61000,71.66000,70.54000,70.99000,2561400
1473255000,70.61000,71.80000,70.44000,71.77000,2523100
1473341400,71.63000,72.43000,71.49000,72.28000,2686100
1473427800,72.02000,72.35000,71.61000,71.65000,4064000
1473687000,71.12000,72.77000,70.44000,72.50000,3288800
1473773400,71.51000,71.96000,70.54000,71.22000,3504000
1473859800,71.10000,71.31000,70.28000,70.59000,2776600
1473946200,70.48000,71.11000,69.69000,70.99000,3086100
1474032600,70.54000,70.61000,69.78000,70.21000,3214900
1474291800,70.56000,71.33000,70.42000,70.98000,3156000
1474378200,71.45000,71.70000,70.38000,70.56000,2514900
1474464600,70.77000,71.78000,70.57000,71.68000,4076400
1474551000,71.77000,72.22000,71.66000,72.14000,3290800
1474637400,71.74000,72.25000,71.25000,71.28000,3099400
1474896600,71.23000,71.65000,70.60000,70.81000,3075300
1474983000,70.48000,71.83000,70.15000,71.80000,2405500
1475069400,71.78000,72.09000,70.81000,71.75000,2498600
1475155800,71.62000,72.00000,69.49000,70.36000,3169000
1475242200,70.87000,72.19000,70.63000,71.83000,3198800
1475501400,71.60000,72.68000,71.56000,72.13000,3557400
1475587800,72.46000,73.23000,72.26000,72.76000,4098400
1475674200,73.01000,74.07000,73.01000,73.70000,3126200
1475760600,73.63000,73.75000,72.39000,73.04000,3262300
1475847000,73.14000,73.71000,72.69000,73.05000,2695100
1476106200,73.60000,73.89000,73.24000,73.33000,1760100
1476192600,73.25000,73.44000,71.85000,72.16000,2254700
1476279000,71.80000,72.43000,71.74000,72.06000,2231700
1476365400,71.34000,71.69000,70.50000,71.07000,4824400
1476451800,71.71000,72.20000,71.23000,71.53000,2872600
1476711000,71.91000,72.36000,71.74000,71.78000,3899900
1476797400,72.65000,72.77000,71.66000,71.99000,3121000
1476883800,72.10000,73.75000,72.06000,73.62000,3347600
1476970200,73.76000,75.24000,73.36000,74.51000,4502800
1477056600,73.82000,75.10000,73.70000,74.89000,3947400
1477315800,75.42000,75.73000,75.23000,75.40000,3107600
1477402200,75.29000,75.78000,75.01000,75.39000,4391800
1477488600,73.48000,76.16000,72.95000,75.43000,4732300
1477575000,75.70000,75.86000,74.30000,74.80000,2693300
1477661400,74.86000,75.09000,73.95000,74.63000,3780500
1477920600,75.13000,75.14000,73.84000,74.04000,3469500
1478007000,74.43000,74.51000,72.42000,73.23000,3967300
1478093400,73.08000,73.34000,72.19000,72.61000,4032200
1478179800,72.80000,73.26000,72.15000,72.32000,5653300
1478266200,72.40000,73.69000,71.91000,73.10000,3646700
1478529000,74.28000,75.00000,74.28000,74.84000,4126500
1478615400,73.89000,73.89000,72.30000,72.84000,6617900
1478701800,73.65000,76.66000,73.25000,76.30000,13256900
1478788200,76.67000,79.69000,76.67000,79.23000,7306100
1478874600,78.75000,81.25000,78.73000,80.99000,4614800
1479133800,80.98000,83.82000,80.95000,83.76000,5506700
1479220200,82.28000,82.69000,79.87000,82.15000,6241500
1479306600,80.37000,81.00000,79.44000,80.22000,3710600
1479393000,80.25000,81.56000,79.32000,81.56000,3073000
1479479400,81.39000,82.39000,81.07000,82.01000,2306500
1479738600,82.73000,83.35000,82.07000,83.21000,3128900
1479825000,83.40000,83.88000,82.43000,82.59000,3812800
1479911400,82.87000,84.80000,82.87000,84.62000,3417000
1480084200,84.26000,84.79000,83.94000,84.57000,1582700
1480343400,83.91000,84.55000,83.09000,83.24000,3390900
1480429800,83.42000,83.55000,82.45000,82.60000,2242700
1480516200,83.80000,84.53000,83.32000,84.04000,3800700
1480602600,84.45000,86.77000,84.17000,86.61000,5276900
1480689000,86.47000,86.62000,85.18000,86.00000,5086800
1480948200,86.48000,87.35000,86.39000,86.71000,4257200
1481034600,87.00000,87.89000,85.70000,87.84000,3407500
1481121000,87.60000,89.79000,87.26000,89.58000,2912300
1481207400,89.92000,91.38000,89.08000,90.61000,3180800
1481293800,90.61000,90.63000,89.35000,90.45000,3428100
1481553000,90.15000,91.08000,89.12000,89.42000,3387900
1481639400,89.74000,90.08000,88.32000,89.45000,2911800
1481725800,88.80000,90.12000,88.09000,88.95000,3596800
1481812200,89.57000,91.64000,89.04000,90.36000,3586200
1481898600,90.66000,90.66000,89.05000,89.67000,9370400
1482157800,89.96000,90.19000,89.12000,90.04000,3258100
1482244200,90.51000,90.84000,90.00000,90.62000,2066500
1482330600,90.79000,90.91000,90.13000,90.44000,2460600
1482417000,89.93000,90.03000,88.63000,89.19000,2620800
1482503400,89.35000,90.19000,89.12000,89.68000,2980000
1482849000,90.23000,90.23000,89.65000,89.76000,2026000
1482935400,89.99000,89.99000,87.84000,88.19000,2231800
1483021800,88.42000,88.56000,86.95000,87.11000,2102700
1483108200,87.08000,87.59000,86.28000,87.24000,2424800
1483453800,88.55000,89.60000,87.79000,88.87000,3441100
1483540200,89.13000,90.77000,89.13000,90.30000,2630900
1483626600,89.84000,89.93000,87.60000,88.38000,2223900
1483713000,88.77000,89.18000,88.09000,88.60000,1795800
1483972200,88.22000,88.40000,87.40000,87.44000,2122800
1484058600,87.81000,89.37000,87.44000,88.98000,3141200
1484145000,88.99000,89.25000,88.01000,89.14000,1885100
1484231400,88.72000,88.85000,86.78000,87.89000,2064300
1484317800,88.42000,89.74000,88.42000,88.85000,2327800
1484663400,88.20000,88.20000,86.05000,86.37000,2192300
1484749800,86.94000,87.32000,85.77000,87.28000,1706400
1484836200,87.37000,87.59000,86.34000,86.72000,1696700
1484922600,86.72000,88.00000,86.69000,87.34000,1684500
1485181800,87.05000,87.78000,86.51000,86.87000,2821000
1485268200,87.52000,89.14000,86.99000,88.73000,2711800
1485354600,87.83000,88.83000,87.12000,88.38000,5304100
1485441000,88.50000,89.72000,87.82000,89.71000,3004700
1485527400,89.96000,90.00000,88.93000,89.15000,2195200
1485786600,89.15000,89.15000,87.38000,88.81000,3550400
1485873000,88.28000,88.66000,86.68000,87.39000,2880400
1485959400,88.10000,88.95000,87.23000,87.51000,2263100
1486045800,86.74000,87.00000,85.84000,86.34000,2147700
1486132200,87.94000,88.08000,86.66000,87.92000,2891200
1486391400,87.35000,88.40000,87.18000,87.62000,1430600
1486477800,88.10000,88.42000,87.20000,88.11000,3514000
1486564200,87.60000,87.91000,87.05000,87.54000,2052600
1486650600,87.14000,88.70000,87.11000,88.54000,1809200
1486737000,88.89000,88.89000,88.09000,88.40000,1617300
1486996200,88.77000,89.58000,88.71000,89.03000,1791300
1487082600,89.01000,90.51000,88.70000,90.18000,2148200
1487169000,90.49000,91.36000,89.61000,90.93000,2297700
1487255400,90.98000,91.25000,89.82000,90.51000,1801000
1487341800,90.34000,92.04000,90.08000,91.81000,4044700
1487687400,91.70000,93.57000,91.61000,92.85000,3825200
1487773800,92.42000,93.24000,92.09000,92.89000,1821400
1487860200,93.25000,93.52000,92.89000,93.41000,2143000
1487946600,92.53000,92.80000,91.77000,92.61000,2252300
1488205800,92.39000,93.72000,92.06000,93.66000,1730400
1488292200,93.04000,93.93000,92.99000,93.86000,3122400
1488378600,95.00000,96.92000,94.81000,96.12000,3387900
1488465000,96.21000,96.33000,94.28000,94.33000,1625900
1488551400,94.19000,94.64000,93.33000,93.94000,2539200
1488810600,93.50000,93.68000,92.85000,93.00000,1936800
1488897000,93.07000,93.34000,92.49000,92.82000,1641300
1488983400,94.02000,94.43000,92.28000,92.40000,2028600
1489069800,92.77000,93.35000,91.85000,92.11000,1653500
1489156200,92.82000,93.00000,91.57000,92.19000,1644300
1489411800,92.20000,92.41000,91.65000,91.79000,1830200
1489498200,91.36000,91.78000,90.78000,91.75000,1730800
1489584600,91.01000,91.96000,89.13000,89.92000,3179000
1489671000,90.38000,91.09000,89.96000,90.21000,1781900
1489757400,90.43000,90.70000,88.01000,88.23000,3388300
1490016600,88.11000,88.23000,86.58000,86.78000,2802000
1490103000,87.10000,87.10000,83.34000,83.65000,4559000
1490189400,83.08000,84.44000,82.15000,83.68000,3133700
1490275800,83.60000,85.06000,83.23000,83.78000,2671200
1490362200,83.99000,84.52000,83.18000,83.80000,1966100
1490621400,81.93000,82.87000,81.32000,82.13000,4282100
1490707800,82.01000,84.63000,81.90000,84.17000,3789300
1490794200,84.89000,85.19000,84.03000,84.68000,2488400
1490880600,84.82000,87.26000,84.52000,87.14000,4081700
1490967000,86.67000,87.24000,86.28000,86.66000,2661900
1491226200,86.88000,86.91000,84.67000,85.80000,3158800
1491312600,85.38000,85.90000,85.12000,85.26000,1840300
1491399000,86.58000,86.62000,83.98000,84.13000,2483700
1491485400,83.93000,84.75000,82.55000,84.23000,4378900
1491571800,83.25000,84.33000,82.79000,83.54000,2767300
1491831000,83.55000,83.82000,82.53000,82.77000,2463300
1491917400,82.40000,83.11000,81.62000,83.09000,2351200
1492003800,82.64000,83.17000,82.03000,82.42000,2317100
1492090200,82.05000,82.96000,80.90000,81.02000,3400100
1492435800,80.58000,83.03000,80.05000,83.00000,3759400
1492522200,82.55000,83.22000,81.16000,81.90000,3119400
1492608600,82.43000,82.92000,81.58000,81.91000,2157800
1492695000,82.33000,84.05000,82.33000,83.72000,2945300
1492781400,83.64000,83.96000,82.65000,82.67000,2524900
1493040600,84.63000,85.05000,84.14000,84.68000,2897700
1493127000,85.37000,86.03000,85.22000,85.58000,3480200
1493213400,82.00000,84.26000,81.99000,83.06000,7440300
1493299800,83.19000,83.62000,82.26000,82.31000,3611600
1493386200,81.43000,82.17000,79.91000,80.38000,6153800
1493645400,81.17000,81.99000,80.76000,81.57000,3555300
1493731800,81.58000,82.47000,80.97000,82.46000,3046100
1493818200,82.08000,82.82000,81.78000,82.49000,2456600
1493904600,83.02000,83.21000,82.17000,82.49000,3176200
1493991000,82.88000,82.99000,82.00000,82.27000,2326600
1494250200,82.34000,82.41000,81.84000,82.12000,1760800
1494336600,82.20000,82.81000,81.82000,82.32000,2786100
1494423000,82.02000,82.44000,81.53000,81.67000,2831700
1494509400,80.99000,81.28000,79.66000,80.16000,3771600
1494595800,79.83000,80.36000,78.69000,79.40000,3953300
1494855000,80.01000,81.55000,80.01000,81.15000,2563500
1494941400,81.31000,81.42000,80.56000,80.69000,1985200
1495027800,80.69000,80.69000,78.17000,78.47000,3149600
1495114200,78.46000,80.14000,78.34000,79.27000,5927100
1495200600,79.57000,81.10000,79.25000,80.27000,2796300
1495459800,80.73000,80.93000,79.28000,79.63000,2404800
1495546200,79.69000,80.68000,79.11000,80.34000,1995100
1495632600,80.35000,80.35000,79.75000,79.92000,1582300
1495719000,79.90000,80.51000,79.18000,79.51000,2122400
1495805400,79.50000,80.11000,79.08000,79.79000,2365600
1496151000,79.40000,79.59000,78.23000,78.28000,2361700
1496237400,78.39000,78.39000,76.05000,76.92000,4272400
1496323800,77.46000,77.97000,76.81000,77.92000,3298700
1496410200,77.42000,78.34000,76.91000,78.04000,2529400
1496669400,78.05000,78.83000,77.78000,78.33000,2017300
1496755800,77.77000,78.43000,77.10000,78.27000,2507300
1496842200,78.52000,79.52000,78.21000,78.90000,2442400
1496928600,78.90000,80.16000,78.79000,79.42000,2328600
1497015000,80.07000,80.42000,79.31000,80.07000,3484200
1497274200,80.15000,80.96000,79.61000,80.17000,2638200
1497360600,80.50000,80.92000,79.85000,80.57000,2690700
1497447000,79.46000,80.20000,78.46000,80.09000,2858400
1497533400,79.61000,81.55000,79.49000,81.35000,3871300
1497619800,81.46000,81.65000,80.93000,81.31000,3266400
1497879000,81.73000,81.95000,81.29000,81.73000,3232200
1497965400,81.63000,81.75000,81.09000,81.22000,2695800
1498051800,81.30000,81.30000,80.69000,80.88000,2602300
1498138200,80.73000,80.83000,80.07000,80.39000,2241000
1498224600,80.75000,80.78000,79.37000,79.52000,3163900
1498483800,79.89000,80.84000,79.62000,80.59000,2149000
1498570200,80.85000,82.24000,80.76000,81.38000,2045500
1498656600,82.12000,83.52000,82.05000,82.98000,3789300
1498743000,81.75000,83.00000,80.47000,81.47000,6081700
1498829400,82.02000,83.18000,81.59000,82.62000,2969600
1499088600,83.42000,84.48000,83.22000,83.56000,1558400
1499261400,83.39000,83.81000,82.05000,82.70000,2883500
1499347800,82.32000,82.94000,81.94000,82.11000,3517800
1499434200,82.66000,82.68000,81.92000,82.50000,1635300
1499693400,82.38000,82.48000,81.96000,82.05000,2387600
1499779800,82.08000,82.16000,80.80000,81.04000,2743500
1499866200,80.99000,82.38000,80.64000,82.20000,2477500
1499952600,82.25000,82.78000,82.02000,82.59000,1641400
1500039000,81.84000,82.86000,81.18000,82.50000,1966200
1500298200,82.41000,82.59000,81.89000,82.17000,1922600
1500384600,81.72000,81.87000,80.97000,81.57000,1343000
1500471000,81.95000,81.99000,80.77000,81.38000,3167500
1500557400,81.21000,81.52000,80.04000,81.01000,4966700
1500643800,85.37000,88.24000,84.55000,87.94000,9687000
1500903000,87.52000,87.55000,86.65000,87.12000,3908500
1500989400,88.00000,88.20000,86.66000,87.09000,3267400
1501075800,87.18000,87.22000,85.62000,85.71000,2504300
1501162200,85.92000,85.95000,84.40000,84.80000,2884200
1501248600,84.85000,85.14000,83.81000,84.97000,3164200
1501507800,85.42000,86.65000,85.16000,86.18000,2927400
1501594200,86.64000,86.73000,85.64000,86.01000,2276400
1501680600,85.85000,86.02000,85.38000,85.71000,2696300
1501767000,85.31000,85.63000,84.49000,84.59000,2505000
1501853400,85.33000,85.42000,84.26000,84.41000,2624000
1502112600,84.62000,85.42000,84.38000,85.15000,1388300
1502199000,85.03000,87.37000,85.03000,85.51000,1993600
1502285400,84.96000,85.28000,84.45000,85.14000,1338100
1502371800,84.50000,84.64000,82.99000,83.06000,2037000
1502458200,83.37000,83.47000,82.33000,82.80000,1989300
1502717400,83.81000,84.71000,83.53000,84.26000,1782700
1502803800,84.93000,85.12000,83.32000,84.15000,2313700
1502890200,84.73000,85.00000,83.60000,83.82000,1192600
1502976600,83.79000,84.04000,81.96000,81.99000,1758100
1503063000,81.68000,82.49000,81.32000,81.53000,2415300
1503322200,81.64000,81.73000,81.09000,81.42000,1409900
1503408600,81.71000,82.07000,80.79000,81.44000,1878500
1503495000,81.02000,82.12000,81.00000,81.29000,1150800
1503581400,81.50000,81.84000,81.16000,81.43000,908800
1503667800,81.75000,82.37000,81.44000,81.49000,1204500
1503927000,81.69000,81.76000,80.35000,80.55000,1356100
1504013400,79.75000,79.91000,78.93000,79.74000,3162800
1504099800,79.74000,80.75000,79.53000,80.09000,2096300
1504186200,80.52000,80.66000,79.50000,79.61000,3606100
1504272600,79.86000,80.76000,79.61000,80.31000,2438600
1504618200,79.64000,79.75000,78.28000,78.66000,2581400
1504704600,78.99000,80.00000,78.80000,79.47000,3434300
1504791000,79.53000,79.58000,77.76000,78.23000,3655300
1504877400,77.45000,78.56000,76.98000,78.21000,2945500
1505136600,78.88000,79.62000,78.39000,79.06000,2388400
