time,open,high,low,close,tick_volume
1472477400,85.82000,86.45000,85.31000,86.31000,1352400
1472563800,86.31000,86.87000,85.68000,86.04000,1736800
1472650200,86.13000,87.08000,85.73000,86.97000,2682000
1472736600,87.01000,87.72000,86.58000,87.15000,1331100
1472823000,87.55000,87.87000,87.25000,87.44000,1217400
1473168600,87.30000,87.80000,87.00000,87.63000,1652300
1473255000,87.60000,88.44000,87.45000,87.75000,1513600
1473341400,87.40000,87.67000,87.14000,87.27000,2195200
1473427800,86.63000,86.82000,85.22000,85.31000,2470500
1473687000,85.01000,87.14000,84.95000,86.95000,2380700
1473773400,86.20000,86.55000,84.98000,85.25000,2722600
1473859800,85.38000,85.48000,83.42000,83.85000,5896200
1473946200,83.54000,84.54000,83.06000,84.20000,2435200
1474032600,83.96000,84.39000,83.01000,84.11000,3459900
1474291800,83.91000,84.96000,83.07000,83.26000,2335400
1474378200,83.65000,83.68000,82.07000,82.08000,2484400
1474464600,82.20000,83.15000,81.79000,83.02000,2813200
1474551000,83.26000,83.95000,83.05000,83.59000,2270400
1474637400,83.55000,83.78000,82.97000,83.33000,1829200
1474896600,83.07000,83.56000,82.67000,82.72000,1340000
1474983000,82.75000,83.74000,82.46000,83.25000,1583500
1475069400,83.25000,83.30000,82.46000,83.20000,1310000
1475155800,82.92000,83.28000,81.25000,81.25000,1625300
1475242200,81.29000,81.64000,79.34000,80.78000,3001800
1475501400,80.68000,80.94000,79.99000,80.12000,1562500
1475587800,81.26000,81.72000,80.25000,80.53000,1681000
1475674200,80.71000,80.86000,79.88000,80.03000,1745300
1475760600,79.58000,80.29000,78.90000,80.14000,2249100
1475847000,80.43000,80.55000,78.70000,79.39000,1837100
1476106200,79.07000,80.01000,78.78000,79.64000,1281800
1476192600,79.60000,80.04000,79.26000,79.61000,2409000
1476279000,79.69000,81.05000,79.42000,80.61000,2367600
1476365400,80.28000,80.93000,79.93000,80.38000,2494000
1476451800,80.49000,80.88000,79.79000,79.79000,1285800
1476711000,79.75000,79.91000,79.23000,79.74000,2186800
1476797400,80.46000,81.24000,80.17000,81.09000,1914200
1476883800,81.20000,81.20000,80.35000,80.35000,1645100
1476970200,80.28000,81.77000,80.23000,80.74000,2312900
1477056600,80.16000,80.53000,79.93000,80.02000,1210400
1477315800,80.34000,80.88000,79.94000,80.04000,1308300
1477402200,79.60000,80.56000,79.45000,80.39000,1688700
1477488600,80.01000,80.24000,79.10000,79.37000,2134600
1477575000,79.56000,79.84000,79.11000,79.50000,1595100
1477661400,69.13000,71.41000,68.38000,69.14000,9767100
1477920600,69.51000,70.94000,69.51000,70.32000,4437000
1478007000,69.85000,71.18000,69.65000,69.79000,4264200
1478093400,70.27000,76.69000,70.18000,75.96000,6161100
1478179800,75.87000,77.47000,71.21000,72.32000,7258600
1478266200,71.69000,73.32000,70.27000,70.47000,4999800
1478529000,71.52000,72.34000,70.99000,71.93000,3629500
1478615400,71.03000,71.16000,68.71000,69.03000,4787000
1478701800,72.98000,76.15000,71.75000,75.61000,5516300
1478788200,77.09000,80.80000,77.09000,79.59000,4612200
1478874600,79.41000,79.85000,77.24000,78.92000,5221500
1479133800,82.16000,82.58000,79.38000,81.33000,4404200
1479220200,81.50000,81.66000,78.84000,79.53000,4285600
1479306600,79.16000,80.21000,78.66000,78.86000,2962300
1479393000,78.20000,80.25000,77.71000,80.16000,3045700
1479479400,79.91000,79.91000,78.91000,79.21000,3644000
1479738600,78.62000,79.34000,77.84000,78.45000,2607500
1479825000,78.77000,78.77000,77.77000,78.41000,1910400
1479911400,78.07000,78.90000,77.76000,78.70000,1324600
1480084200,79.07000,80.48000,78.35000,78.57000,1159000
1480343400,78.61000,79.58000,77.81000,79.05000,2124600
1480429800,78.65000,79.36000,77.53000,77.63000,2493700
1480516200,77.72000,78.92000,77.45000,77.99000,5158900
1480602600,77.88000,78.70000,77.61000,77.80000,1505600
1480689000,78.15000,79.58000,77.66000,78.80000,1733300
1480948200,78.89000,79.98000,78.51000,79.54000,2611200
1481034600,79.90000,80.10000,78.54000,78.87000,2374800
1481121000,78.19000,78.19000,73.86000,76.38000,4493500
1481207400,76.24000,77.64000,75.68000,76.88000,2567200
1481293800,77.19000,79.22000,77.02000,78.90000,1790900
1481553000,78.37000,78.97000,77.28000,78.07000,1730300
1481639400,78.38000,79.17000,78.17000,79.04000,1329600
1481725800,78.95000,79.40000,76.59000,77.05000,2282100
1481812200,76.80000,76.83000,75.46000,76.67000,2174600
1481898600,76.94000,77.58000,76.50000,77.38000,3635100
1482157800,77.55000,78.65000,77.38000,78.42000,1816300
1482244200,78.70000,80.06000,78.56000,79.30000,2934200
1482330600,78.96000,79.58000,78.61000,78.85000,1355800
1482417000,78.96000,78.96000,77.33000,77.81000,1881800
1482503400,78.04000,78.93000,77.89000,78.56000,596600
1482849000,78.42000,79.27000,78.30000,78.82000,655200
1482935400,78.86000,79.22000,78.21000,78.35000,862100
1483021800,78.61000,80.24000,78.59000,79.34000,1014800
1483108200,79.35000,79.49000,77.96000,78.19000,1409000
1483453800,78.51000,83.10000,78.31000,82.61000,4134200
1483540200,82.60000,85.14000,82.47000,84.66000,2561900
1483626600,84.38000,84.83000,82.62000,83.68000,2136200
1483713000,83.53000,85.78000,83.53000,84.80000,2132000
1483972200,84.60000,86.07000,84.60000,85.48000,2081600
1484058600,85.10000,86.14000,84.30000,84.83000,1860900
1484145000,85.15000,86.32000,79.94000,81.53000,3994900
1484231400,82.28000,84.94000,81.95000,83.86000,2771200
1484317800,84.08000,85.12000,83.51000,84.62000,1397900
1484663400,84.92000,86.47000,84.09000,85.99000,2103000
1484749800,85.95000,86.18000,85.19000,85.51000,2094000
1484836200,85.28000,85.78000,84.82000,85.47000,1574500
1484922600,85.86000,86.27000,83.21000,83.75000,3780100
1485181800,83.72000,85.10000,83.31000,84.88000,1420100
1485268200,84.70000,85.19000,84.06000,84.41000,1513500
1485354600,84.90000,85.92000,84.58000,85.83000,1858200
1485441000,81.04000,85.20000,81.04000,83.39000,3482900
1485527400,83.68000,83.68000,82.07000,82.43000,1865400
1485786600,82.55000,83.75000,80.82000,83.62000,2650000
1485873000,86.62000,87.84000,83.00000,87.28000,5827300
1485959400,87.71000,88.70000,86.09000,88.61000,3362000
1486045800,88.05000,88.78000,86.57000,88.05000,3836300
1486132200,88.57000,89.61000,87.74000,89.28000,2990300
1486391400,89.17000,91.65000,88.93000,89.98000,2869800
1486477800,89.85000,91.64000,89.71000,90.33000,2108500
1486564200,90.18000,91.11000,89.68000,91.07000,1469800
1486650600,91.07000,91.78000,90.16000,91.65000,1630300
1486737000,91.54000,91.75000,90.27000,91.17000,1527300
1486996200,91.53000,94.50000,89.42000,90.48000,3037800
1487082600,90.00000,91.09000,89.73000,90.82000,2066300
1487169000,90.65000,91.47000,89.66000,91.18000,1944700
1487255400,91.00000,91.54000,89.00000,90.32000,2282900
1487341800,90.24000,90.88000,89.72000,90.76000,1441200
1487687400,90.74000,91.15000,89.56000,91.01000,2061200
1487773800,91.19000,92.20000,91.01000,91.34000,1152900
1487860200,91.45000,92.40000,90.96000,91.61000,2169800
1487946600,91.51000,92.16000,90.53000,92.16000,1001700
1488205800,92.31000,92.74000,91.30000,91.73000,1139600
1488292200,91.90000,91.93000,90.98000,91.51000,1915500
1488378600,92.19000,92.81000,91.69000,92.23000,1393700
1488465000,91.89000,92.73000,91.45000,91.94000,1438400
1488551400,92.22000,92.67000,91.47000,92.23000,1405300
1488810600,91.58000,91.87000,89.74000,89.99000,1808000
1488897000,89.23000,89.80000,87.92000,88.48000,2612100
1488983400,88.32000,89.97000,88.32000,89.08000,1847600
1489069800,89.40000,89.40000,88.08000,88.61000,1125700
1489156200,88.99000,89.00000,87.76000,88.31000,1545600
1489411800,88.76000,89.25000,88.22000,89.14000,1673900
1489498200,88.96000,89.20000,88.04000,88.81000,1243500
1489584600,88.85000,89.57000,88.14000,89.48000,1800400
1489671000,89.58000,89.76000,87.89000,88.00000,1520000
1489757400,87.91000,88.33000,86.88000,87.53000,2296100
1490016600,87.65000,87.89000,86.25000,86.91000,1618700
1490103000,87.00000,87.29000,85.77000,85.91000,1988800
1490189400,86.12000,86.28000,85.22000,85.88000,1189700
1490275800,85.86000,86.75000,85.79000,85.99000,1440200
1490362200,85.99000,86.83000,85.72000,86.56000,1241000
1490621400,86.14000,87.55000,86.12000,87.48000,1558600
1490707800,87.12000,87.97000,87.12000,87.50000,1199900
1490794200,87.40000,89.77000,87.40000,89.51000,2280700
1490880600,89.35000,89.88000,89.03000,89.14000,1395000
1490967000,88.87000,89.65000,88.47000,88.50000,1793100
1491226200,88.41000,88.63000,86.80000,87.33000,1379300
1491312600,87.06000,87.99000,86.71000,86.93000,1372300
1491399000,87.44000,88.26000,86.99000,87.18000,1187100
1491485400,87.26000,87.69000,86.85000,87.64000,1586000
1491571800,87.57000,88.07000,87.29000,87.62000,933400
1491831000,87.75000,89.25000,87.59000,88.44000,1007800
1491917400,88.28000,88.35000,86.82000,87.87000,1449600
1492003800,87.15000,87.59000,86.14000,86.82000,1887700
1492090200,86.64000,87.29000,86.36000,86.67000,787500
1492435800,86.64000,86.72000,86.21000,86.64000,1284400
1492522200,83.17000,83.44000,81.13000,82.56000,4384100
1492608600,82.64000,83.09000,81.62000,81.85000,1904900
1492695000,82.23000,82.93000,81.62000,82.37000,2058600
1492781400,82.20000,82.29000,81.11000,81.26000,1138900
1493040600,82.03000,82.11000,80.81000,80.94000,2300100
1493127000,80.82000,81.57000,79.40000,81.49000,1988100
1493213400,81.50000,82.17000,81.20000,81.25000,1219400
1493299800,81.38000,82.19000,81.30000,82.12000,1671200
1493386200,82.17000,82.40000,81.61000,82.05000,1476200
1493645400,82.32000,83.01000,81.86000,82.49000,1708800
1493731800,82.76000,82.92000,81.07000,82.66000,1825600
1493818200,82.45000,83.11000,81.60000,82.67000,2920300
1493904600,83.50000,87.97000,83.50000,86.53000,3767600
1493991000,86.66000,86.97000,85.54000,85.89000,1707300
1494250200,86.21000,86.98000,86.02000,86.59000,1791300
1494336600,86.70000,88.21000,86.67000,87.54000,1923600
1494423000,87.57000,88.71000,87.56000,88.14000,1297300
1494509400,87.84000,88.94000,87.80000,88.86000,2145800
1494595800,88.61000,88.97000,88.44000,88.75000,1202100
1494855000,88.49000,90.99000,88.47000,89.92000,2107500
1494941400,89.84000,89.84000,88.57000,89.12000,1273200
1495027800,89.12000,89.12000,86.13000,86.28000,1797000
1495114200,86.26000,87.66000,86.12000,86.69000,1152100
1495200600,87.62000,89.79000,87.05000,89.16000,1812800
1495459800,89.00000,90.20000,89.00000,89.48000,1343300
1495546200,89.73000,89.85000,89.03000,89.19000,1709800
1495632600,89.38000,90.32000,88.55000,89.97000,1260500
1495719000,90.00000,91.43000,89.83000,91.11000,1047100
1495805400,91.19000,91.50000,90.91000,91.00000,891900
1496151000,90.66000,91.39000,90.53000,91.03000,1248400
1496237400,91.33000,91.79000,90.75000,91.77000,1870200
1496323800,91.71000,93.30000,91.44000,93.14000,1326900
1496410200,93.50000,93.84000,92.71000,93.58000,1285000
1496669400,93.20000,93.57000,92.51000,93.32000,1050800
1496755800,93.19000,93.20000,91.46000,91.69000,1377400
1496842200,91.95000,92.23000,91.45000,91.93000,1182800
1496928600,91.93000,92.19000,91.21000,91.57000,1113600
1497015000,91.28000,92.31000,91.03000,92.10000,1157100
1497274200,91.89000,92.63000,91.89000,92.36000,816500
1497360600,92.51000,93.00000,92.03000,93.00000,636400
1497447000,93.00000,94.59000,92.90000,93.90000,901900
1497533400,93.50000,95.18000,92.75000,94.43000,1733300
1497619800,94.54000,94.56000,91.74000,92.53000,1880600
1497879000,92.61000,94.02000,91.76000,93.75000,1072900
1497965400,93.75000,93.90000,92.81000,93.25000,1089100
1498051800,93.34000,95.65000,92.95000,95.62000,1092700
1498138200,95.70000,97.67000,95.50000,96.37000,1730000
1498224600,96.50000,96.81000,95.30000,95.82000,1624100
1498483800,96.20000,96.72000,95.63000,95.99000,1171100
1498570200,95.92000,96.70000,95.10000,95.53000,1253100
1498656600,96.17000,97.11000,96.07000,96.38000,897600
1498743000,96.68000,97.85000,95.39000,95.76000,1053300
1498829400,94.94000,95.23000,93.35000,94.53000,1236100
1499088600,94.86000,95.36000,94.40000,94.70000,527400
1499261400,94.91000,95.68000,94.25000,95.22000,908900
1499347800,94.69000,95.19000,92.24000,92.51000,951100
1499434200,93.04000,94.26000,92.74000,93.91000,1158700
1499693400,93.65000,94.54000,92.28000,92.49000,1255300
1499779800,92.65000,92.65000,91.15000,92.18000,911500
1499866200,92.84000,93.70000,92.61000,93.21000,655100
1499952600,93.55000,93.79000,92.32000,92.86000,788800
1500039000,93.06000,93.42000,92.53000,92.96000,859000
1500298200,93.05000,93.37000,92.55000,92.71000,1017700
1500384600,92.68000,92.68000,90.97000,91.37000,1299300
1500471000,91.56000,91.67000,90.30000,91.17000,1331600
1500557400,91.20000,92.35000,90.62000,91.95000,1136400
1500643800,91.82000,92.08000,91.44000,91.62000,604400
1500903000,91.64000,93.66000,91.34000,93.13000,1273700
1500989400,93.40000,95.11000,92.60000,94.65000,1413500
1501075800,94.27000,94.73000,93.41000,94.21000,1366100
1501162200,93.49000,93.67000,91.86000,92.78000,1493300
1501248600,93.00000,94.17000,92.38000,93.97000,869200
1501507800,94.30000,94.42000,93.25000,93.82000,1062100
1501594200,94.11000,94.17000,92.66000,92.98000,1256100
1501680600,92.19000,92.19000,89.09000,91.27000,2300500
1501767000,84.11000,85.33000,80.51000,81.71000,7434700
1501853400,81.71000,81.97000,79.58000,80.83000,2882900
1502112600,80.80000,81.03000,79.24000,80.58000,2287100
1502199000,80.91000,82.34000,80.13000,80.33000,1742000
1502285400,79.86000,79.95000,78.60000,79.80000,2620100
1502371800,79.43000,80.03000,78.13000,78.88000,2417100
1502458200,78.83000,80.31000,78.73000,80.02000,2214800
1502717400,80.31000,80.53000,79.66000,80.08000,2032900
1502803800,80.25000,80.43000,79.78000,80.00000,2126700
1502890200,80.29000,80.58000,79.53000,80.03000,1599800
1502976600,79.68000,81.34000,79.68000,79.94000,1727400
1503063000,79.69000,79.89000,78.46000,78.60000,2091900
1503322200,78.43000,78.59000,77.90000,78.04000,1455100
1503408600,78.24000,79.46000,78.09000,79.23000,1373000
1503495000,78.98000,79.00000,77.96000,78.14000,1455700
1503581400,78.33000,78.90000,77.86000,78.40000,1191100
1503667800,78.39000,78.95000,77.97000,78.10000,1154300
1503927000,78.38000,78.88000,77.69000,78.66000,1210900
1504013400,78.16000,79.08000,77.84000,78.56000,1279600
1504099800,78.43000,78.53000,77.79000,78.33000,1267000
1504186200,78.65000,80.50000,78.46000,80.25000,1301200
1504272600,80.46000,80.61000,79.22000,80.24000,1248400
1504618200,79.81000,80.78000,79.05000,79.69000,1123800
1504704600,80.00000,80.94000,79.84000,80.72000,1308300
1504791000,80.82000,83.03000,80.65000,82.56000,1825300
1504877400,82.54000,83.94000,82.33000,82.50000,1936800
1505136600,83.33000,84.56000,82.89000,84.39000,1230800
1505223000,84.19000,84.81000,83.11000,83.90000,1809600
1505309400,83.76000,84.34000,83.06000,84.32000,1310900
1505395800,82.32000,82.32000,80.44000,80.69000,2872100
1505482200,80.47000,81.73000,80.02000,81.60000,2732300
1505741400,81.80000,82.03000,80.54000,80.67000,1350600
1505827800,80.53000,81.04000,79.13000,79.28000,1648500
1505914200,79.47000,80.09000,78.34000,79.50000,1325000
1506000600,79.49000,80.94000,79.20000,80.38000,1035900
1506087000,80.53000,81.20000,80.33000,81.05000,835900
1506346200,80.23000,81.36000,80.14000,80.98000,717100
1506432600,81.41000,82.65000,81.33000,82.00000,1018500
1506519000,82.17000,82.80000,81.02000,82.43000,960900
1506605400,81.85000,81.88000,80.27000,80.99000,1120300
1506691800,81.71000,83.84000,81.42000,82.75000,1629400
1506951000,82.97000,83.63000,82.38000,83.30000,1933000
1507037400,83.33000,83.73000,82.52000,82.88000,1141700
1507123800,82.76000,84.14000,82.56000,82.74000,2206900
1507210200,84.16000,85.29000,83.83000,84.12000,2136200
1507296600,84.23000,84.50000,80.04000,80.48000,2919900
1507555800,80.21000,80.49000,77.87000,78.35000,2644100
1507642200,79.49000,80.40000,79.01000,79.55000,1620300
1507728600,79.45000,80.50000,79.25000,80.32000,1004600
1507815000,80.37000,81.30000,80.37000,80.80000,1195300
1507901400,80.42000,81.41000,77.77000,79.44000,2469300
1508160600,79.02000,81.04000,78.40000,79.00000,2545500
1508247000,78.89000,80.52000,78.40000,79.95000,1043900
1508333400,80.13000,81.66000,80.13000,80.49000,1699300
1508419800,80.82000,82.55000,80.74000,82.20000,1436400
1508506200,82.57000,83.77000,82.35000,83.21000,1296800
1508765400,83.17000,83.43000,81.77000,82.53000,1115700
1508851800,82.69000,82.98000,80.64000,81.85000,1166000
1508938200,82.00000,82.52000,81.41000,82.22000,1428600
1509024600,83.97000,85.80000,77.47000,78.77000,4756200
1509111000,78.59000,78.77000,75.66000,76.38000,4690500
1509370200,76.01000,77.78000,76.01000,76.93000,2164900
1509456600,76.85000,78.99000,75.46000,76.95000,3132800
1509543000,77.48000,77.50000,76.31000,76.62000,2545700
1509629400,77.02000,78.93000,71.90000,73.23000,3840200
1509715800,73.34000,75.30000,73.32000,74.80000,2726000
1509978600,74.80000,75.20000,73.19000,74.86000,3478300
1510065000,74.92000,75.73000,74.56000,74.91000,1776800
1510151400,74.87000,75.41000,73.35000,75.01000,1710100
1510237800,75.07000,76.63000,74.90000,75.27000,2576800
1510324200,75.05000,76.68000,74.05000,75.00000,3005700
1510583400,74.69000,77.00000,74.31000,75.40000,2892600
1510669800,75.10000,75.48000,74.45000,75.40000,1863300
1510756200,75.32000,77.66000,74.60000,77.53000,2731000
1510842600,77.72000,80.71000,77.41000,80.31000,2986800
1510929000,79.65000,80.03000,77.58000,78.84000,2196700
1511188200,78.30000,78.76000,76.48000,77.46000,1688200
1511274600,77.83000,79.57000,77.57000,79.46000,1598700
1511361000,79.98000,81.99000,79.58000,81.40000,1927000
1511533800,81.90000,81.98000,80.22000,81.23000,701800
1511793000,81.07000,81.78000,80.65000,81.12000,1181100
1511879400,81.40000,83.19000,80.65000,83.15000,1549800
1511965800,83.56000,85.63000,83.05000,84.66000,2380900
1512052200,85.00000,86.10000,83.89000,84.82000,1808300
1512138600,83.98000,85.25000,81.21000,84.95000,3188400
1512397800,85.73000,88.20000,85.44000,87.42000,2131900
1512484200,87.49000,87.56000,85.07000,85.89000,1906100
1512570600,86.20000,86.79000,85.37000,85.99000,1524800
1512657000,86.27000,86.84000,85.43000,85.93000,1763700
1512743400,86.06000,86.83000,85.01000,86.70000,1734100
1513002600,87.05000,87.50000,86.29000,86.77000,1345800
1513089000,87.37000,87.87000,86.79000,87.82000,1398000
1513175400,87.54000,89.24000,87.36000,88.48000,1391600
1513261800,88.35000,90.80000,88.21000,89.31000,2920700
1513348200,90.97000,94.06000,90.78000,93.17000,4153400
1513607400,92.84000,92.95000,91.76000,92.40000,1880300
1513693800,92.67000,94.44000,92.33000,93.79000,2013600
1513780200,93.67000,94.24000,92.96000,93.74000,1442000
1513866600,93.75000,94.16000,92.45000,92.99000,1405400
1513953000,93.41000,93.41000,91.50000,92.46000,1331700
1514298600,92.48000,93.88000,91.91000,93.25000,734200
1514385000,93.18000,93.20000,92.00000,92.60000,734800
1514471400,92.88000,92.93000,91.75000,92.59000,1152500
1514557800,92.89000,93.60000,91.76000,91.82000,777800
1514903400,92.15000,94.07000,92.12000,94.04000,1138200
1514989800,93.40000,94.73000,92.47000,94.39000,1034800
1515076200,94.64000,94.83000,92.86000,94.18000,1781300
1515162600,93.77000,95.63000,93.77000,95.32000,1342300
1515421800,95.11000,97.81000,94.81000,96.90000,1731000
1515508200,96.95000,97.86000,95.91000,97.52000,1783500
1515594600,96.54000,97.31000,94.75000,97.21000,1070100
1515681000,97.40000,98.14000,96.52000,98.14000,780700
1515767400,98.50000,99.00000,97.55000,99.00000,1469300
1516113000,99.10000,100.67000,98.97000,99.55000,1869700
1516199400,99.77000,101.85000,99.77000,101.30000,1864700
1516285800,101.53000,101.64000,99.75000,100.86000,1895800
1516372200,100.87000,101.58000,99.63000,100.06000,1371400
1516631400,100.28000,102.73000,99.66000,102.66000,1313400
1516717800,103.00000,103.67000,102.10000,102.81000,1371500
1516804200,103.29000,104.96000,102.90000,104.62000,2111700
1516890600,104.67000,104.67000,103.44000,104.37000,992700
1516977000,104.56000,105.73000,104.11000,105.48000,1453300
1517236200,105.14000,106.27000,104.87000,105.09000,1423000
1517322600,102.00000,103.65000,100.03000,102.46000,3113900
1517409000,102.98000,103.04000,99.06000,99.67000,2458600
1517495400,97.74000,99.81000,95.73000,99.29000,2786600
1517581800,99.09000,99.09000,95.91000,96.02000,1660300
1517841000,95.62000,96.52000,91.69000,91.90000,2278500
1517927400,92.58000,93.37000,86.94000,91.54000,4575000
1518013800,91.60000,95.34000,91.10000,94.22000,2509500
1518100200,94.56000,95.56000,91.46000,91.55000,1742100
1518186600,92.54000,92.54000,85.80000,89.19000,3670800
1518445800,89.85000,91.54000,88.76000,89.45000,2157400
1518532200,101.67000,102.00000,95.94000,97.77000,9725800
1518618600,97.25000,98.19000,95.60000,96.40000,3976900
1518705000,96.93000,97.62000,94.51000,97.60000,2884000
1518791400,96.73000,100.06000,96.55000,99.40000,2787800
1519137000,98.98000,100.05000,98.52000,99.94000,1683700
1519223400,99.82000,99.96000,98.34000,98.57000,2815500
1519309800,98.75000,99.19000,96.65000,97.12000,3416700
1519396200,97.57000,98.49000,96.67000,98.42000,1127600
1519655400,98.59000,100.96000,98.10000,100.58000,1551100
1519741800,101.01000,101.56000,93.16000,97.64000,4738300
1519828200,97.94000,99.75000,95.15000,95.16000,1432300
1519914600,94.84000,95.34000,92.51000,93.30000,2177800
1520001000,92.70000,94.58000,92.56000,93.96000,1489900
1520260200,93.01000,95.26000,92.84000,94.90000,1317600
1520346600,95.49000,95.53000,94.08000,94.70000,1338200
1520433000,93.78000,95.89000,93.12000,95.60000,1025400
1520519400,96.26000,98.03000,95.21000,96.24000,1148300
1520605800,96.89000,99.05000,96.76000,99.00000,1037900
1520861400,99.21000,101.02000,98.97000,100.29000,1586700
1520947800,100.44000,101.39000,100.34000,100.60000,1509000
1521034200,100.88000,101.12000,98.15000,98.58000,1287900
1521120600,99.05000,99.25000,97.33000,97.36000,1251200
1521207000,97.43000,98.23000,96.46000,96.61000,1597500
1521466200,96.34000,96.34000,92.82000,93.00000,1127200
1521552600,92.96000,93.19000,88.15000,89.19000,2602400
1521639000,89.45000,91.46000,89.27000,89.50000,1714500
1521725400,88.40000,88.40000,84.66000,85.00000,4618900
1521811800,85.34000,86.46000,83.81000,84.03000,1629600
