time,open,high,low,close,tick_volume
1472477400,80.21000,80.24000,79.72000,79.92000,4582800
1472563800,80.00000,80.22000,79.35000,79.83000,3352700
1472650200,80.01000,80.10000,78.94000,79.42000,10307100
1472736600,75.45000,76.55000,74.06000,75.91000,27418500
1472823000,76.00000,76.47000,74.65000,75.10000,8153000
1473168600,74.93000,75.62000,74.55000,75.42000,5146000
1473255000,75.07000,75.61000,74.58000,75.01000,5566800
1473341400,75.00000,75.02000,74.37000,74.88000,5122200
1473427800,74.52000,75.69000,74.20000,74.20000,6915100
1473687000,73.78000,74.71000,73.50000,74.36000,5197800
1473773400,73.65000,74.00000,72.65000,73.06000,6780300
1473859800,73.06000,74.51000,73.00000,73.82000,5828700
1473946200,73.52000,74.30000,73.36000,73.99000,4288800
1474032600,73.76000,73.98000,73.23000,73.29000,7317400
1474291800,73.72000,73.78000,72.60000,73.00000,3881800
1474378200,73.54000,73.79000,72.66000,72.91000,4833500
1474464600,73.22000,74.26000,72.11000,74.18000,6315800
1474551000,75.00000,75.22000,74.31000,74.59000,5155700
1474637400,73.09000,73.20000,70.10000,70.39000,23179200
1474896600,70.50000,71.21000,69.88000,70.19000,11726700
1474983000,69.97000,70.65000,69.81000,70.05000,8179500
1475069400,70.39000,71.73000,70.15000,71.62000,7467300
1475155800,71.60000,72.12000,71.15000,71.20000,5323400
1475242200,71.30000,71.79000,71.25000,71.33000,5817000
1475501400,71.15000,71.50000,70.03000,70.52000,4679900
1475587800,70.59000,72.95000,70.22000,72.63000,11238200
1475674200,68.21000,69.60000,66.77000,68.42000,48274000
1475760600,71.14000,72.00000,70.51000,71.26000,18527100
1475847000,71.25000,71.43000,70.21000,70.91000,6707400
1476106200,73.58000,75.73000,73.58000,75.10000,22522700
1476192600,73.90000,73.92000,71.55000,72.42000,16425400
1476279000,72.26000,72.67000,71.84000,72.23000,6301800
1476365400,71.38000,71.38000,70.50000,70.63000,6686800
1476451800,70.98000,76.16000,69.62000,74.27000,25005600
1476711000,74.10000,74.74000,72.74000,72.83000,8777200
1476797400,74.00000,74.17000,72.60000,72.77000,5248400
1476883800,72.61000,75.50000,72.44000,72.82000,3668800
1476970200,72.97000,72.97000,72.25000,72.59000,5054500
1477056600,72.34000,74.27000,72.23000,74.00000,6789700
1477315800,74.43000,75.34000,74.28000,75.06000,6329300
1477402200,75.06000,75.26000,74.57000,75.06000,4447200
1477488600,74.65000,76.16000,74.33000,74.95000,5748200
1477575000,75.49000,76.16000,74.62000,74.74000,4019400
1477661400,74.99000,75.50000,74.82000,75.13000,4827800
1477920600,75.32000,76.00000,74.87000,75.16000,4113500
1478007000,75.99000,77.09000,75.24000,75.45000,7141700
1478093400,75.15000,75.65000,74.92000,75.00000,4084800
1478179800,75.04000,75.40000,73.73000,74.14000,3883200
1478266200,74.14000,75.18000,73.86000,74.37000,4280800
1478529000,75.64000,77.00000,75.41000,76.30000,5977500
1478615400,76.36000,77.04000,76.00000,76.55000,4031100
1478701800,75.23000,76.55000,74.91000,75.90000,6880900
1478788200,76.22000,76.73000,72.27000,73.63000,10200200
1478874600,73.80000,75.07000,73.80000,74.59000,8881800
1479133800,74.91000,75.04000,72.54000,72.76000,7241700
1479220200,74.49000,74.73000,73.31000,74.02000,6216400
1479306600,74.21000,74.61000,73.14000,73.31000,10638700
1479393000,73.71000,75.41000,73.32000,75.19000,12539100
1479479400,79.57000,80.37000,77.26000,77.77000,19903000
1479738600,78.06000,78.31000,75.80000,76.15000,8549800
1479825000,75.74000,76.66000,75.10000,75.57000,7873800
1479911400,75.09000,75.20000,73.54000,73.95000,8233800
1480084200,73.96000,74.17000,73.50000,73.73000,2346100
1480343400,73.55000,73.93000,72.79000,72.93000,6436900
1480429800,72.76000,73.32000,72.41000,72.93000,7435000
1480516200,73.21000,73.30000,72.00000,72.00000,6261900
1480602600,72.14000,72.22000,68.21000,68.46000,10907300
1480689000,66.59000,69.46000,66.43000,68.41000,15967600
1480948200,69.09000,71.47000,69.03000,70.80000,10209600
1481034600,70.79000,71.35000,69.99000,70.62000,4234100
1481121000,70.73000,72.00000,70.27000,71.78000,4919700
1481207400,71.44000,72.27000,71.00000,71.86000,5426600
1481293800,72.00000,72.22000,70.61000,71.17000,5126800
1481553000,70.82000,70.85000,69.58000,70.38000,6100900
1481639400,70.44000,72.13000,70.35000,71.61000,5895400
1481725800,71.71000,71.87000,71.13000,71.33000,5071600
1481812200,71.20000,71.95000,70.15000,70.23000,4740200
1481898600,70.48000,70.64000,69.62000,69.86000,7224800
1482157800,70.00000,70.07000,69.13000,69.51000,4526000
1482244200,69.96000,70.06000,69.13000,69.86000,5262100
1482330600,69.96000,70.35000,69.31000,70.11000,3515800
1482417000,69.78000,70.06000,69.22000,69.90000,3468600
1482503400,69.69000,70.01000,69.31000,69.87000,2274000
1482849000,69.84000,70.43000,69.64000,69.85000,2939700
1482935400,69.85000,70.06000,68.85000,69.09000,4313700
1483021800,68.85000,69.82000,68.77000,69.15000,3229100
1483108200,69.36000,69.38000,68.23000,68.46000,4523300
1483453800,69.29000,70.86000,69.00000,70.54000,8112200
1483540200,71.08000,73.07000,70.76000,72.80000,9289500
1483626600,72.81000,73.66000,72.53000,72.79000,4695600
1483713000,72.89000,74.13000,72.55000,73.80000,4466100
1483972200,74.05000,74.44000,73.51000,73.96000,3933100
1484058600,74.12000,74.30000,73.44000,73.98000,3994800
1484145000,74.27000,76.08000,74.06000,75.77000,7591300
1484231400,75.17000,75.75000,74.00000,75.21000,4681700
1484317800,74.84000,75.78000,74.70000,75.64000,3690000
1484663400,75.30000,75.30000,74.37000,75.02000,3152500
1484749800,75.59000,76.22000,75.08000,75.78000,3969500
1484836200,75.72000,76.17000,75.34000,75.57000,3274300
1484922600,75.76000,76.12000,75.43000,76.03000,4593600
1485181800,75.70000,76.96000,75.70000,76.16000,3770900
1485268200,76.32000,77.46000,75.95000,77.11000,3730300
1485354600,77.53000,78.59000,77.25000,78.47000,5690400
1485441000,79.00000,79.08000,77.28000,77.95000,4121000
1485527400,78.19000,78.57000,77.92000,78.21000,2219300
1485786600,77.80000,78.78000,77.10000,78.71000,4964000
