time,open,high,low,close,tick_volume
1519741800,8.24000,8.38000,7.17000,7.62000,2801000
1519828200,7.75000,9.17000,7.33500,9.17000,9875400
1519914600,9.18000,10.05000,8.52000,9.69000,11858800
1520001000,9.50000,9.70000,9.25000,9.40000,3325100
1520260200,9.67000,10.25000,9.46000,9.77000,6488200
1520346600,10.22000,10.39000,9.80000,9.91000,5337700
1520433000,9.83000,9.94000,9.55000,9.81000,3160300
1520519400,9.89000,9.95000,9.09000,9.54000,3232200
1520605800,9.71000,9.75900,9.26000,9.32000,2069700
1520861400,9.30000,9.32000,8.66000,8.75000,3338100
1520947800,8.90000,9.05900,8.55000,8.63000,1962800
1521034200,8.62000,8.63000,8.25100,8.40000,1757300
1521120600,8.49000,8.57000,8.00000,8.13000,1947800
1521207000,8.17000,8.17000,7.81000,7.82000,2196100
1521466200,8.12000,8.75000,8.10000,8.75000,6653300
1521552600,9.08000,9.08000,8.09000,8.19000,3217500
1521639000,8.34000,8.46900,7.97000,8.00000,1624200
1521725400,7.47000,7.55000,7.30000,7.39000,3123800
1521811800,7.88000,7.94000,7.38000,7.47000,2063000
1522071000,7.55000,7.65000,7.38000,7.46000,1060200
1522157400,7.51000,7.54000,6.93000,7.03000,1530800
1522243800,6.96000,7.04000,6.34500,6.51000,2223700
1522330200,6.54000,6.97000,6.45000,6.73000,1423000
1522675800,6.73000,6.73000,6.15000,6.25000,1853900
1522762200,6.31000,6.48000,5.60000,5.60000,2336500
1522848600,5.50000,5.70000,5.12000,5.60000,3688400
1522935000,5.96000,6.00000,5.64000,5.90000,2112000
1523021400,5.82000,6.12900,5.58000,5.63000,2145200
1523280600,5.70000,5.80000,5.50000,5.57000,1758000
1523367000,5.68000,6.55000,5.26000,6.37000,3580200
1523453400,6.40000,6.65000,6.15000,6.36000,2035200
1523539800,6.40000,6.74000,6.38000,6.68000,1734500
1523626200,6.81000,7.45000,6.77000,7.12000,5360200
1523885400,7.50000,7.80000,7.20000,7.73000,4895400
1523971800,7.80000,7.94000,7.30000,7.44000,2667500
1524058200,7.44000,7.52000,7.17000,7.33000,1565100
1524144600,7.30000,7.52000,7.18000,7.41000,1809800
1524231000,7.52000,7.66000,7.25000,7.37000,2035000
1524490200,7.33000,7.39000,6.99000,7.02000,1874500
1524576600,7.00000,7.29000,6.78000,7.00000,1295700
1524663000,7.01000,7.14000,6.80000,6.88000,996000
1524749400,6.89000,7.04000,6.66000,6.92000,979000
1524835800,7.03000,7.09000,6.75000,6.80000,1135600
1525095000,7.00000,7.13000,6.87000,6.91000,1802500
1525181400,6.50000,6.60000,6.10000,6.22000,3128300
1525267800,6.12000,6.17900,5.75000,5.81000,2925000
1525354200,5.83000,6.04000,5.79000,5.87000,1847300
1525440600,5.89000,6.00000,5.85500,5.88000,1343300
1525699800,5.88000,5.97000,5.58000,5.67000,2163600
1525786200,5.61000,5.74000,5.50000,5.54000,1410400
1525872600,5.68000,5.74000,5.50000,5.52000,1723300
1525959000,5.61000,5.64000,5.52000,5.60000,944700
1526045400,5.69000,6.25000,5.64000,6.12000,3350600
1526304600,6.26000,6.85000,6.25000,6.56000,6234700
1526391000,6.69000,6.75000,6.06000,6.27000,4269700
1526477400,6.30000,6.34000,6.01000,6.04000,1835600
1526563800,6.04000,6.14000,5.76000,5.80000,2383000
1526650200,5.77000,6.33000,5.77000,6.23000,3616800
1526909400,6.29000,6.68000,6.26000,6.57000,3754400
1526995800,6.62000,6.64000,6.16000,6.24000,3414800
1527082200,6.24000,6.30000,6.15000,6.21000,1561700
1527168600,6.28000,6.28000,6.05000,6.13000,1609200
1527255000,6.13000,6.17900,5.90000,6.01000,1895000
1527600600,6.00000,6.12000,5.88000,6.02000,1572100
1527687000,6.05000,6.41000,5.95000,6.38000,2758100
1527773400,6.48000,6.74000,6.12000,6.24000,3243300
1527859800,6.29000,6.84000,6.21000,6.84000,3420400
1528119000,6.91000,7.15000,6.68000,7.00000,6192600
1528205400,7.06000,7.15000,6.75100,6.99000,4523100
1528291800,7.10000,7.93000,6.93000,7.93000,10186800
1528378200,8.06000,8.15000,7.41000,7.66000,8993900
1528464600,7.51000,7.61000,6.76000,7.23000,8500000
1528723800,7.23000,7.32000,6.95000,6.96000,3861500
1528810200,6.95000,7.03000,6.68000,6.77000,4475900
1528896600,6.70000,7.18000,6.62000,7.12000,3996800
1528983000,7.07000,7.29000,6.87000,6.93000,3424800
1529069400,6.84000,7.04900,6.80500,7.02000,2307700
1529328600,6.98000,6.98000,6.70000,6.78000,2722200
1529415000,6.74000,6.98000,6.51000,6.86000,3766700
1529501400,7.20000,7.39900,6.87000,7.22000,7029900
1529587800,7.25000,7.85300,7.25000,7.67000,8154200
1529674200,7.77000,8.11000,7.15000,7.24000,7541700
1529933400,7.30000,7.30000,6.87000,6.90000,4233400
1530019800,6.92000,6.98000,6.63000,6.79000,3740200
1530106200,6.65000,6.77000,6.09000,6.18000,5461100
1530192600,6.32000,6.60000,6.20000,6.42000,2982300
1530279000,6.52000,6.74000,6.40000,6.52000,2744200
1530538200,6.62000,7.04100,6.55000,6.96000,3169100
1530624600,6.98000,6.98000,6.65000,6.78000,1705100
1530797400,6.89000,7.00000,6.85000,6.97000,1673000
1530883800,6.97000,6.98000,6.76000,6.96000,1364000
1531143000,6.95000,7.07000,6.91000,6.95000,1902300
1531229400,6.98000,7.19000,6.91000,6.98000,2409500
1531315800,6.92000,7.05000,6.81000,6.97000,1363300
1531402200,7.05000,7.12000,6.98000,7.05000,1668800
1531488600,7.10000,7.10000,6.92000,7.06000,1577100
1531747800,7.10000,7.10000,6.66000,6.73000,2145100
1531834200,6.71000,6.93000,6.57000,6.92000,1694300
1531920600,6.95000,6.98000,6.75000,6.78000,1270600
1532007000,6.76000,6.84000,6.69000,6.83000,1175300
1532093400,6.79000,6.84000,6.51000,6.54000,2019600
1532352600,6.50000,6.68000,6.40000,6.46000,1930100
1532439000,6.54000,6.54000,6.10000,6.27000,2575800
1532525400,6.25000,6.40400,6.14100,6.29000,1410700
1532611800,6.25000,6.28900,6.11000,6.14000,1578200
1532698200,6.18000,6.30000,6.13000,6.23000,1340900
1532957400,6.22000,6.33500,5.87000,5.92000,2347400
1533043800,5.83000,6.17000,5.64000,6.05000,2407500
1533130200,6.22000,6.29000,5.77000,5.78000,1754400
1533216600,5.78000,6.06000,5.78000,6.02000,1484400
1533303000,5.93000,6.08000,5.81000,5.86000,1432300
1533562200,5.88000,6.04000,5.87000,5.88000,1307200
1533648600,5.88000,5.95000,5.67000,5.72000,1875600
1533735000,5.65000,5.85000,5.64000,5.77000,1287800
1533821400,5.97000,6.10000,5.88000,6.10000,2104500
1533907800,6.08000,6.10000,5.91000,5.96000,1243300
1534167000,6.02000,6.02000,5.63000,5.83000,2173000
1534253400,5.92000,5.95000,5.61000,5.65000,2619900
1534339800,6.08000,6.55000,5.88000,6.38000,7531000
1534426200,6.34000,6.64000,6.17000,6.32000,3219500
1534512600,6.34000,6.69000,6.22100,6.54000,3043100
1534771800,6.71000,7.67000,6.62600,7.32000,13292900
1534858200,8.22000,8.78000,7.72000,8.29000,31970700
1534944600,8.09000,8.44900,7.62000,8.16000,14324000
1535031000,8.16000,8.72000,8.01000,8.54000,13458800
1535117400,8.91000,10.10000,8.86000,9.94000,36067500
1535376600,11.82000,12.89000,11.55000,12.04000,67986600
1535463000,11.69000,12.16000,10.36000,11.08000,43406600
1535549400,12.01000,12.79000,11.55000,12.74000,41369500
1535635800,12.09000,12.15000,8.82000,9.12000,81548200
1535722200,8.85000,10.29000,8.54000,9.88000,43594200
1536067800,10.90000,11.41000,10.61000,11.15000,45906600
1536154200,13.17000,13.39000,11.30000,12.45000,83070100
1536240600,11.90000,12.00000,10.91000,11.62000,30732000
1536327000,11.45000,12.44000,11.20000,11.99000,24086900
1536586200,12.35000,12.46000,11.86000,12.10000,21122900
1536672600,11.96000,12.16000,11.61000,11.99000,17802600
1536759000,11.80000,12.03000,10.77000,11.27000,21845800
1536845400,11.32000,11.37000,10.00000,10.11000,20753900
1536931800,9.36000,10.82000,9.26000,10.38000,20704800
1537191000,10.64000,10.70000,10.06000,10.18000,11247900
1537277400,10.58000,12.14200,10.44000,11.56000,39680000
1537363800,12.97000,15.30000,11.60000,12.69000,129502100
1537450200,13.32000,14.00000,12.71000,13.75000,54639300
1537536600,13.27000,13.48000,12.28000,12.51000,24915800
1537795800,11.80000,12.55000,11.65000,11.86000,13661100
1537882200,12.20200,12.40000,11.39000,11.47000,16341500
1537968600,11.50000,11.60000,10.82000,11.13000,14686500
1538055000,11.01000,11.47000,10.85000,10.94000,12005400
1538141400,10.88000,11.40000,10.86000,11.12000,10970500
1538400600,11.90000,11.99000,11.04500,11.32000,13351600
1538487000,11.15000,11.32000,10.65000,10.72000,9977600
1538573400,10.70000,10.84000,10.21000,10.69000,11372000
1538659800,10.62000,10.67000,9.94000,10.22000,8406200
1538746200,10.22000,10.42000,9.40000,9.77000,9418200
1539005400,9.37000,9.93000,9.33000,9.70000,6234600
1539091800,9.56000,9.60000,9.32000,9.34000,5799800
1539178200,9.40000,10.08000,8.68000,9.60000,16072800
1539264600,9.41000,9.51000,8.94000,9.05000,7953100
1539351000,9.39000,9.90000,9.31000,9.86000,8508800
1539610200,10.41000,11.75000,10.05000,11.74000,26412400
1539696600,12.98000,13.00000,10.95000,11.52000,53570800
1539783000,10.75000,11.20000,10.12000,10.65000,18999500
1539869400,10.78000,11.16000,10.45000,10.72000,10604300
1539955800,10.93000,11.32000,9.61000,9.71000,17006700
1540215000,9.69000,9.88000,8.23000,8.52000,14205800
1540301400,7.65000,8.88000,7.51000,8.34000,14152400
1540387800,8.61000,8.74000,7.62000,7.63000,7567400
1540474200,7.70000,8.48000,7.65000,8.11000,9625600
1540560600,7.88000,8.22000,7.70000,7.78000,8332200
1540819800,7.94000,8.04000,6.60000,6.80000,11982700
1540906200,6.50000,7.26300,6.50000,7.05000,7104600
1540992600,7.28000,7.62900,7.10000,7.42000,8298700
1541079000,7.63000,7.77000,7.22000,7.70000,6241500
1541165400,7.77000,8.07500,7.58000,8.06000,6923900
1541428200,8.05000,8.32000,7.76000,8.25000,4725100
1541514600,8.25000,9.58000,8.15000,9.05000,17357000
1541601000,9.55000,9.95000,8.72000,9.81000,22898700
1541687400,9.50000,9.58000,8.82000,8.94000,9215000
1541773800,8.80000,8.93000,8.41000,8.55000,5777300
1542033000,8.75000,8.84000,7.99000,8.45000,8335800
1542119400,7.75000,8.55000,7.55000,8.31000,8481200
1542205800,8.00000,8.23000,7.52000,8.12000,6759500
1542292200,7.91000,8.91000,7.87000,8.59000,8841700
1542378600,8.54000,9.08000,8.44000,8.56000,5829800
1542637800,8.66000,8.66000,8.02000,8.24000,4327400
1542724200,7.85000,8.67400,7.70000,8.20000,6192100
1542810600,8.37000,8.75000,8.36000,8.53000,4122300
1542983400,8.54000,8.86000,8.41000,8.81000,2680800
1543242600,8.85000,9.04000,8.21000,8.33000,4924000
1543329000,8.20000,8.55900,8.09000,8.29000,4093200
1543415400,8.32000,8.70000,8.30000,8.70000,4339800
1543501800,8.68000,9.00000,8.40000,8.91000,3900600
1543588200,8.88000,9.22000,8.63000,9.15000,5552200
1543847400,9.25000,11.89000,8.51000,10.17000,45161900
1543933800,10.97000,11.20000,10.38000,10.74000,26371000
1544106600,9.92000,10.56500,9.76000,10.45000,12016300
1544193000,13.57000,13.95000,12.36000,12.72000,55482100
1544452200,12.93000,13.15000,12.28000,12.88000,20064200
1544538600,12.95000,13.06000,12.55000,12.82000,11225500
1544625000,12.80000,12.81000,11.81000,11.92000,11365900
1544711400,11.85000,11.99000,11.06000,11.38000,9850900
1544797800,11.19000,11.73600,11.07000,11.28000,6335400
1545057000,11.18000,11.73000,10.92000,11.13000,7125500
1545143400,11.28000,11.72000,11.09000,11.54000,6173900
1545229800,11.54000,11.81000,11.06000,11.17000,6067000
1545316200,11.20000,11.58700,10.68000,11.13000,6238600
1545402600,11.30000,11.39000,10.00000,10.21000,6911600
1545661800,9.60000,10.38500,9.56000,10.10000,3454600
1545834600,10.25000,10.40000,9.86000,10.18000,3875300
1545921000,10.15000,10.32000,9.85100,10.32000,3541200
1546007400,10.40000,10.67000,10.04000,10.42000,4141700
1546266600,10.61000,10.72300,10.25000,10.39000,2837700
1546439400,10.25000,11.44000,10.25000,11.31000,6345300
1546525800,11.31000,12.19000,11.08000,11.54000,9190800
1546612200,11.88000,12.10000,11.65000,11.78000,6284300
1546871400,11.88000,12.42000,11.71400,12.40000,5250400
1546957800,12.57000,12.72000,12.16000,12.36000,6035100
1547044200,12.31000,13.05000,12.21000,12.98000,7436800
1547130600,12.93000,13.54000,12.59000,13.06000,9848000
1547217000,13.04000,13.99000,12.89000,13.67000,10385800
1547476200,13.65000,14.15000,13.50000,13.76000,9570600
1547562600,13.85000,13.95000,12.75000,13.05000,9462200
1547649000,13.16000,13.49000,12.92100,13.42000,5305500
1547735400,13.34000,13.91000,13.13000,13.66000,5803500
1547821800,13.97000,15.19000,13.94000,14.90000,23020800
1548167400,15.20000,16.07000,14.81000,15.07000,21302800
1548253800,15.31000,15.48000,14.09000,14.72000,12729100
1548340200,14.43000,15.75000,14.42000,15.70000,12830500
1548426600,16.20000,16.30000,15.46000,16.02000,14660100
1548685800,16.01000,18.55000,15.73000,18.48000,35951800
1548772200,18.48000,19.48000,17.33000,18.15000,42471000
1548858600,18.14000,19.20000,17.67000,18.43000,22137700
1548945000,18.65000,20.35000,18.38000,19.68000,29701700
1549031400,20.25000,21.79000,20.10000,20.81000,48676300
1549290600,21.82000,25.10000,21.30000,23.25000,67620200
1549377000,22.35000,23.96000,20.56000,21.83000,55485200
1549463400,20.80000,21.60000,19.31000,19.65000,32503900
1549549800,19.00000,21.44000,18.72000,21.42000,36940200
1549636200,21.62000,22.05000,19.43000,19.55000,30898100
1549895400,20.23000,20.44000,19.26000,19.44000,23051400
1549981800,19.00000,20.59000,18.86000,19.67000,24418600
1550068200,20.05000,20.78000,19.68000,20.45000,17285500
1550154600,20.30000,20.96000,20.19000,20.82000,13966300
1550241000,21.46000,21.84000,20.85000,21.29000,16070300
1550586600,21.10000,21.98000,21.04000,21.61000,12273100
1550673000,21.60000,22.49000,21.46000,22.23000,16279100
1550759400,22.34000,22.95700,22.23000,22.47000,12479200
1550845800,22.83000,22.96000,21.14000,21.92000,18080800
1551105000,21.20000,21.40000,20.16000,20.25000,15437600
1551191400,19.82000,21.91000,19.50000,21.64000,17948100
1551277800,21.59000,21.77000,20.70000,21.33000,10527500
1551364200,21.44000,22.23000,21.16000,21.64000,10281500
1551450600,22.02000,22.27000,21.51000,21.71000,7982400
1551709800,21.69000,22.00000,20.67000,21.46000,9932500
1551796200,21.14000,23.94000,21.02000,23.70000,20790400
1551882600,23.27000,24.37000,22.01000,22.79000,15848200
1551969000,22.35000,23.15000,22.05000,22.31000,9212400
1552055400,21.54000,22.17000,21.09100,21.74000,8609900
1552311000,21.39000,21.87000,20.56800,20.92000,11959600
1552397400,20.95000,22.04000,20.52700,21.37000,9742500
1552483800,21.60000,22.34000,21.01000,21.14000,9828900
1552570200,21.14000,21.41000,20.36000,20.82000,7201800
1552656600,20.82000,21.09000,20.47000,21.00000,5623600
1552915800,21.00000,21.75000,20.99000,21.69000,6403100
1553002200,21.89000,22.04000,21.24000,21.48000,6276100
1553088600,21.38000,21.88000,21.03000,21.26000,5634900
1553175000,21.29000,21.51000,20.52000,20.54000,7140800
1553261400,20.49000,20.59000,19.22000,19.23000,10049100
1553520600,19.33000,21.10000,19.30000,20.53000,16209800
