time,open,high,low,close,tick_volume
1472477400,28.89000,29.16250,28.76000,29.09500,1726000
1472563800,29.01750,29.26500,28.97000,29.26000,2093600
1472650200,29.27250,29.42250,29.12500,29.37750,2848000
1472736600,29.50000,29.50000,29.27250,29.42500,1903600
1472823000,29.55750,29.79500,29.51750,29.71000,2232400
1473168600,29.78000,29.98500,29.46250,29.78750,2182400
1473255000,29.71500,29.74000,29.53500,29.57500,2840800
1473341400,29.45500,29.46750,29.28250,29.29750,1958000
1473427800,29.11750,29.22750,28.38250,28.45250,5355600
1473687000,28.52000,28.73000,28.44000,28.68250,3718800
1473773400,28.44000,28.59500,28.21750,28.23500,4372000
1473859800,28.25750,28.51500,28.14500,28.28500,3331200
1473946200,28.24750,28.64250,28.13500,28.52250,2726400
1474032600,28.38750,28.49250,28.22750,28.33000,4370400
1474291800,28.38500,28.57250,28.27000,28.33000,1578400
1474378200,28.52750,28.56750,28.33500,28.46500,2008000
1474464600,28.48000,28.72000,28.25250,28.67750,2166800
1474551000,28.74750,29.06000,28.67750,28.77500,1569600
1474637400,28.74500,28.96500,28.49250,28.54000,1412800
1474896600,28.46250,28.49500,28.27500,28.29750,1738400
1474983000,28.29750,28.43000,28.08250,28.35750,2927600
1475069400,29.72250,29.72500,28.90500,29.04250,5900800
1475155800,28.88750,29.01750,27.77250,27.84000,6044800
1475242200,27.97500,28.20250,27.83250,28.15000,5656000
1475501400,28.19250,28.47500,28.04000,28.10500,3142000
1475587800,28.11000,28.18750,27.60750,27.87000,3355600
1475674200,27.83750,27.97750,27.65250,27.73000,3086000
1475760600,27.60000,28.00000,27.57750,27.94000,2028000
1475847000,28.00750,28.00750,27.58500,27.61500,2446000
1476106200,27.71000,27.84000,27.62500,27.69500,1872000
1476192600,27.57750,27.72500,27.24500,27.33000,2054000
1476279000,27.39500,27.52750,27.31000,27.43750,1552800
1476365400,27.34000,27.44250,27.09750,27.33250,1660000
1476451800,27.36500,27.53750,27.30750,27.31250,1298400
1476711000,27.25500,27.38750,27.04000,27.06250,1822800
1476797400,27.32000,27.75750,27.07500,27.10000,2201200
1476883800,27.04500,27.19500,26.94750,27.02000,2196400
1476970200,26.97500,26.99500,26.54000,26.64250,3856800
1477056600,26.53250,26.69000,26.46500,26.61250,2665600
1477315800,26.76750,26.90000,26.63500,26.74250,1520000
1477402200,26.66000,26.73000,26.51750,26.68250,2392800
1477488600,26.58000,26.70750,26.44000,26.65250,1853600
1477575000,26.70750,26.75000,26.35500,26.41750,1653200
1477661400,26.38250,26.68250,26.32250,26.48250,1883200
1477920600,26.61250,26.78250,26.44000,26.66750,2906800
1478007000,26.61250,26.63500,25.99000,26.09000,3372000
1478093400,25.72500,25.86500,25.62250,25.64250,2933200
1478179800,25.67500,25.78250,25.51750,25.74750,2328000
1478266200,25.80750,25.96000,25.71750,25.76500,1973200
1478529000,26.03500,26.21500,25.94250,26.20250,1752400
1478615400,26.19750,26.49000,26.08500,26.40750,1649200
1478701800,25.88250,26.96250,25.71250,26.87250,3264800
1478788200,26.92500,27.09750,26.84000,26.99500,3221600
1478874600,26.82250,27.21000,26.74750,27.18000,2598400
1479133800,27.28750,27.49250,27.05250,27.26000,2839200
1479220200,27.34000,27.39000,27.09000,27.28500,2519600
1479306600,27.18500,27.26750,26.99250,27.24750,2294800
1479393000,27.25250,27.67500,27.24750,27.60000,2324400
1479479400,27.59250,27.94250,27.43500,27.92750,6089200
1479738600,27.99500,28.20250,27.74750,28.19750,2372000
1479825000,28.20250,28.75500,28.20250,28.71000,2892400
1479911400,28.76750,28.93000,28.64500,28.83000,2333600
1480084200,28.94250,29.12500,28.76750,29.12250,1143600
1480343400,29.04250,29.14750,28.95000,29.03250,2686400
1480429800,29.04500,29.06750,28.88000,28.89500,2168000
1480516200,28.90250,28.93750,28.59500,28.65000,2870000
1480602600,28.65250,29.00250,28.55250,28.97250,2524800
1480689000,28.93250,29.20250,28.84000,29.16250,2213200
