time,open,high,low,close,tick_volume
1472540400,7020.00000,7085.00000,6935.00000,6950.00000,163257
1472626800,6955.00000,6955.00000,6894.33008,6930.00000,213913
1472713200,6970.00000,6980.00000,6860.00000,6870.00000,202955
1472799600,6915.00000,6995.00000,6870.00000,6985.00000,274855
1473058800,7020.00000,7070.00000,6975.00000,7005.00000,108560
1473145200,6980.00000,7029.74023,6950.00000,6960.00000,116888
1473231600,6970.00000,6975.00000,6915.00000,6915.00000,226367
1473318000,6935.00000,6985.00000,6895.00000,6925.00000,236547
1473404400,6885.00000,6900.00000,6735.00000,6745.00000,219429
1473663600,6635.00000,6750.00000,6615.00000,6740.00000,164056
1473750000,6770.00000,6835.00000,6740.00000,6745.00000,121712
1473836400,6790.00000,6860.00000,6765.00000,6815.00000,167900
1473922800,6835.00000,6920.00000,6790.00000,6905.00000,127008
1474009200,6910.00000,6940.00000,6820.00000,6820.00000,238403
1474268400,6890.00000,6925.00000,6850.00000,6875.00000,217408
1474354800,6895.00000,7020.00000,6885.00000,6940.00000,112562
1474441200,6975.00000,7025.00000,6900.00000,6900.00000,93494
1474527600,6925.00000,6975.00000,6915.00000,6945.00000,164603
1474614000,6935.00000,6980.00000,6915.00000,6980.00000,107225
1474873200,6975.00000,6975.00000,6825.00000,6825.00000,162750
1474959600,6895.00000,6905.00000,6810.00000,6850.00000,133154
1475046000,6850.00000,6970.00000,6850.00000,6885.00000,149893
1475132400,6950.00000,6955.00000,6900.00000,6930.00000,129160
1475218800,6880.00000,7035.00000,6860.00000,7025.00000,274333
1475478000,7045.00000,7155.00000,7035.00000,7075.00000,197201
1475564400,7085.00000,7245.00000,7080.00000,7170.00000,548968
1475650800,7175.00000,7235.00000,7120.00000,7220.00000,964204
1475737200,7235.00000,7260.00000,7190.00000,7205.00000,176807
1475823600,7245.00000,7245.00000,7160.00000,7165.00000,158831
1476082800,7200.00000,7230.00000,7140.00000,7170.00000,120411
1476169200,7165.00000,7190.00000,7065.00000,7080.00000,128923
1476255600,7060.00000,7065.00000,6925.00000,6925.00000,274171
1476342000,6915.00000,7030.00000,6880.00000,7015.00000,194914
