time,open,high,low,close,tick_volume
1568899800,40.35000,41.44000,36.03000,37.55000,22025800
1568986200,38.59000,39.20000,36.15000,36.15000,3322600
1569245400,36.58000,38.15000,35.75000,36.11000,2237300
1569331800,36.01000,37.12000,34.06000,34.50000,3175000
1569418200,34.60000,35.60000,34.20000,35.25000,3026600
1569504600,36.00000,36.29000,32.30000,32.44000,2658200
1569591000,33.00000,33.51000,30.47000,32.27000,2475900
1569850200,32.64000,34.20000,32.00000,33.91000,1385000
1569936600,34.25000,34.48000,31.25000,32.39000,1291300
1570023000,31.65000,31.90000,30.01000,31.10000,1877200
1570109400,31.18000,34.80000,30.50000,32.89000,2437800
1570195800,33.05000,35.08000,32.79900,34.72000,918700
1570455000,34.90000,37.97000,34.40000,36.81000,1983800
1570541400,36.50000,36.70000,34.92000,35.45000,1217000
1570627800,35.85000,37.49000,35.61000,36.75000,1166800
1570714200,36.75000,37.35000,35.15000,35.60000,1348600
1570800600,35.93000,36.48000,35.37000,35.67000,2168600
1571059800,35.65000,36.25000,32.95000,33.09000,2194800
1571146200,33.17000,34.85000,32.51000,34.80000,1473000
1571232600,33.56000,33.77000,31.90000,32.20000,1987700
1571319000,32.30000,34.16000,32.30000,33.96000,1488800
1571405400,33.84000,33.87500,31.46000,31.57000,1305000
1571664600,31.90000,32.10000,29.70000,30.01000,1981500
1571751000,30.05000,30.31000,28.01000,28.04000,1964400
1571837400,27.90000,29.25000,27.55000,28.76000,2779600
1571923800,29.16000,33.46000,29.15000,32.50000,3813400
1572010200,32.86000,34.50000,32.40000,34.30000,2117700
1572269400,35.00000,35.43700,33.11000,33.28000,1906100
1572355800,33.19000,34.08000,32.60000,33.65000,716700
1572442200,33.79000,34.87000,33.38000,34.81000,919700
1572528600,34.82000,34.99000,33.12000,33.59000,965200
1572615000,33.70000,34.48000,33.63000,34.02000,803900
1572877800,34.53000,34.87000,33.36000,34.44000,865500
1572964200,34.50000,35.25000,33.21000,34.91000,1021100
1573050600,34.56000,34.76000,32.89000,33.06000,1257800
1573137000,33.30000,33.74000,31.00000,31.29000,1016600
1573223400,31.11000,32.83000,30.26000,32.81000,931700
1573482600,32.76000,34.00000,32.36000,33.55000,1665000
1573569000,33.81000,35.20000,33.80000,34.40000,3258700
1573655400,38.82000,41.92000,38.25000,40.19000,10597600
1573741800,40.18000,41.72000,39.38000,41.37000,2564300
1573828200,41.75000,42.96000,40.43000,40.63000,2117200
1574087400,40.72000,41.48000,39.75000,40.32000,1151500
1574173800,40.45000,40.88000,37.53000,39.15000,1890800
1574260200,38.83000,39.93800,37.60000,38.40000,1158000
1574346600,38.24000,40.17000,38.18000,40.03000,1410300
1574433000,41.35000,42.70000,39.71000,41.04000,2671100
1574692200,41.50000,44.09000,41.46700,42.81000,2295000
1574778600,43.10000,43.70000,39.81000,40.55000,1779400
1574865000,40.80000,42.20000,39.72000,41.86000,1278500
1575037800,41.82000,42.20000,40.56000,40.77000,574800
1575297000,41.11000,41.32000,37.84000,39.60000,2047900
1575383400,37.58000,38.72200,37.50000,37.77000,2118900
1575469800,38.00000,38.25000,36.09000,36.92000,1662400
1575556200,36.83000,36.83000,35.81000,35.86000,2028400
1575642600,35.93000,36.33000,35.60000,35.91000,2864400
1575901800,34.63000,36.04000,34.10000,35.16000,3169400
1575988200,34.33000,36.25000,34.26000,34.81000,5370700
1576074600,34.81000,35.68000,33.06000,35.55000,3372400
1576161000,35.45000,36.61000,35.14000,35.73000,2062800
1576247400,36.20000,39.13000,36.01000,38.79000,4404000
1576506600,38.91000,39.02000,37.13000,38.79000,2943600
1576593000,37.86000,38.24000,36.02000,37.18000,5174100
1576679400,37.66000,38.75000,36.81000,38.21000,3146200
1576765800,37.51000,38.44000,37.50000,38.10000,1524500
1576852200,37.71000,38.87000,37.60000,38.51000,3420600
1577111400,38.85000,39.64000,37.41000,37.80000,2284100
1577197800,37.72000,37.79700,36.62000,37.09000,783600
1577370600,37.30000,38.20000,37.00000,37.96000,1378000
1577457000,37.90000,37.95200,35.61100,36.11000,3473000
1577716200,36.72000,37.20000,35.40000,37.13000,1611100
1577802600,36.90000,37.95000,36.77000,37.78000,1460200
1577975400,38.22000,38.25000,36.60000,36.70000,1784200
1578061800,36.11000,37.69900,35.95800,37.42000,1573200
1578321000,37.51000,40.07000,37.38000,39.90000,5563200
1578407400,39.95000,41.54000,39.20000,40.06000,4065600
1578493800,40.30000,41.08000,39.15000,39.95000,1957200
1578580200,40.45000,40.96500,39.88000,40.21000,1629700
1578666600,40.55000,40.88000,39.84200,40.16000,1675800
1578925800,40.72000,43.52000,40.60000,40.94000,5296900
1579012200,41.16000,41.39900,38.82000,39.27000,2403100
1579098600,39.57000,41.49000,39.40000,40.23000,2098300
1579185000,40.74000,41.77700,39.96000,40.61000,2020100
1579271400,41.20000,41.72000,40.61000,41.19000,1377500
1579617000,41.18000,42.27500,40.47000,41.13000,2192100
1579703400,41.48000,42.67000,41.25500,42.22000,1167500
1579789800,42.33000,43.25000,40.93000,42.81000,1799700
1579876200,43.49000,44.03000,40.81000,42.05000,2572000
1580135400,40.00000,41.33000,39.25000,41.25500,2053800
1580221800,41.58000,42.21000,40.58000,42.16000,1229600
1580308200,42.90000,44.99000,42.16000,43.92000,2817800
1580394600,43.49000,47.20000,43.08100,47.04000,2830800
1580481000,47.13000,47.26000,45.73900,46.21000,1708800
1580740200,46.62000,47.48000,43.51000,45.26000,2275200
1580826600,46.21000,48.49000,45.73000,47.60000,1780200
1580913000,48.88000,49.07600,43.77000,45.73000,2455200
1580999400,45.75000,46.30000,44.10100,46.05000,1081100
1581085800,46.50000,47.98000,46.15000,47.18000,1765800
1581345000,47.52000,49.00000,47.50000,47.95000,1537100
1581431400,48.62000,49.42000,47.34000,47.81000,1884400
1581517800,48.25000,50.12000,48.05000,50.01000,2199400
1581604200,49.35000,49.47000,47.71000,48.50000,3361800
1581690600,45.91000,48.69000,44.25000,47.03000,8374800
1582036200,47.29000,48.58000,46.60500,47.08000,3049600
1582122600,47.20000,47.86000,46.41000,47.30000,2877400
1582209000,45.68000,47.03000,44.08000,45.99000,5201800
1582295400,45.64000,45.79000,43.72400,45.68000,2695900
1582554600,43.00000,45.35000,42.33000,44.96000,3187400
1582641000,45.40000,45.60200,43.00000,44.31000,4406100
1582727400,44.06000,45.39000,43.50000,43.91000,2817400
1582813800,42.12000,46.58000,41.72000,45.89000,7190100
1582900200,43.80000,45.84000,43.50000,45.15000,4457400
1583159400,45.00000,45.78000,43.61000,44.79000,5880800
1583245800,44.80000,44.86000,42.36000,43.40000,4483700
1583332200,44.33000,44.90000,43.13000,44.52500,2239900
1583418600,43.31000,48.12000,43.31000,47.30000,5074300
1583505000,46.01000,46.44000,43.08000,43.62000,3987400
1583760600,38.78000,40.00000,37.37000,38.82000,9150100
1583847000,39.75000,39.85000,36.45000,38.00000,13106300
1583933400,37.31000,37.71000,34.79000,35.56000,6011700
1584019800,32.46000,34.93000,31.00000,33.10000,6687300
1584106200,36.00000,36.60000,32.00000,35.26000,5704700
1584365400,32.00000,33.18000,28.88000,28.96000,4915500
