time,open,high,low,close,tick_volume
1472477400,85.75000,86.32000,85.15000,85.53000,3851100
1472563800,85.35000,85.35000,83.46000,84.11000,4273900
1472650200,83.76000,84.16000,82.13000,82.70000,4208000
1472736600,82.39000,83.75000,82.21000,83.18000,2938600
1472823000,83.11000,83.83000,82.55000,83.11000,1821000
1473168600,83.56000,83.75000,82.71000,83.28000,2850600
1473255000,83.01000,83.02000,81.74000,82.50000,2778400
1473341400,82.55000,82.55000,81.40000,81.84000,3201200
1473427800,81.51000,82.37000,81.43000,81.63000,4647200
1473687000,81.34000,82.68000,81.25000,82.38000,2707800
1473773400,81.73000,82.10000,79.66000,80.18000,3912100
1473859800,80.48000,82.00000,80.48000,81.45000,3596000
1473946200,81.14000,82.10000,80.89000,81.99000,2202100
1474032600,81.47000,81.62000,80.53000,81.10000,3212000
1474291800,81.27000,81.55000,80.15000,80.22000,2259100
1474378200,80.33000,80.57000,79.30000,79.70000,2762600
1474464600,79.98000,80.36000,79.03000,79.89000,1896900
1474551000,80.43000,80.81000,78.65000,80.07000,3435900
1474637400,79.53000,80.76000,79.06000,80.09000,2674500
1474896600,79.61000,80.28000,79.26000,80.00000,2153300
1474983000,79.27000,80.59000,78.27000,80.46000,2882700
1475069400,80.65000,80.65000,79.10000,79.40000,2444800
1475155800,79.26000,79.30000,77.34000,77.36000,3577500
1475242200,77.47000,79.32000,77.28000,78.93000,4125000
1475501400,78.46000,79.89000,78.33000,79.53000,2423200
1475587800,77.84000,78.00000,76.05000,76.43000,4757900
1475674200,76.50000,76.63000,74.52000,75.12000,4947500
1475760600,75.45000,78.31000,75.13000,78.09000,5663900
1475847000,78.55000,78.83000,77.58000,77.97000,1782900
1476106200,78.09000,78.56000,77.77000,77.92000,1476300
1476192600,77.56000,77.91000,77.00000,77.24000,2467100
1476279000,77.38000,78.06000,77.01000,77.47000,1093800
1476365400,77.15000,78.80000,76.99000,78.23000,2191100
1476451800,78.26000,78.26000,77.09000,77.09000,1565200
1476711000,77.00000,77.36000,76.38000,76.44000,1299500
1476797400,76.84000,77.53000,76.25000,76.25000,2093900
1476883800,76.61000,77.03000,75.94000,76.76000,1634000
1476970200,77.03000,77.04000,75.83000,75.87000,1664700
1477056600,75.33000,76.34000,75.33000,75.71000,2182400
1477315800,75.74000,76.31000,75.72000,75.97000,1718700
1477402200,75.60000,76.13000,75.36000,75.82000,1649300
1477488600,75.75000,77.33000,75.60000,76.80000,2343400
1477575000,76.71000,76.81000,74.44000,74.45000,2333000
1477661400,74.37000,75.81000,74.36000,75.21000,1594500
1477920600,75.52000,75.95000,75.28000,75.55000,1397200
1478007000,75.76000,75.97000,74.58000,74.88000,1406200
1478093400,75.06000,75.72000,74.86000,75.36000,1111800
1478179800,75.29000,75.72000,73.84000,74.07000,1179100
1478266200,73.64000,74.91000,73.57000,73.62000,1420800
1478529000,74.76000,75.89000,74.14000,75.54000,1870200
1478615400,75.67000,76.05000,75.00000,75.81000,2009900
1478701800,72.68000,76.19000,72.55000,76.04000,3493400
1478788200,76.47000,78.00000,76.16000,77.20000,3320100
1478874600,77.05000,78.73000,76.93000,77.81000,1962600
1479133800,78.34000,79.51000,77.61000,78.34000,2883100
1479220200,78.69000,79.25000,77.97000,79.17000,2924700
1479306600,79.87000,81.34000,79.65000,80.54000,3806100
1479393000,79.82000,81.93000,79.73000,81.65000,3448200
1479479400,81.53000,82.14000,80.68000,81.91000,3646800
1479738600,81.97000,83.13000,80.88000,81.99000,6768600
1479825000,88.33000,91.41000,87.60000,88.68000,12815000
1479911400,88.66000,89.89000,87.51000,88.86000,4022200
1480084200,88.51000,89.54000,88.40000,89.18000,1083100
1480343400,88.70000,90.17000,88.25000,89.58000,3331700
1480429800,89.98000,90.61000,89.29000,89.67000,3036000
1480516200,89.29000,89.96000,88.04000,88.16000,4231600
1480602600,86.79000,88.07000,86.09000,86.57000,4337000
1480689000,86.82000,88.51000,86.05000,87.76000,2110600
1480948200,88.42000,88.76000,87.04000,88.20000,3475000
1481034600,88.96000,88.98000,87.54000,87.93000,2280400
1481121000,87.40000,88.22000,87.03000,87.84000,3799200
1481207400,87.84000,87.88000,86.72000,87.12000,3240000
1481293800,87.02000,88.13000,86.55000,87.76000,1677800
1481553000,87.56000,87.94000,86.06000,86.09000,2258800
1481639400,86.17000,86.81000,85.41000,86.16000,2276600
1481725800,86.40000,86.62000,84.62000,84.72000,3104000
1481812200,84.83000,86.11000,84.32000,85.70000,2215000
1481898600,85.61000,85.85000,84.04000,84.20000,3874800
1482157800,84.20000,85.33000,83.81000,84.27000,1758700
1482244200,84.42000,85.83000,84.35000,85.09000,1351700
1482330600,84.68000,85.05000,83.28000,84.06000,1751000
1482417000,84.02000,84.02000,78.94000,79.31000,5691400
1482503400,79.46000,80.21000,78.38000,78.70000,2274100
1482849000,78.97000,79.74000,74.92000,78.12000,2426800
1482935400,78.54000,79.17000,77.40000,77.67000,1676700
1483021800,77.65000,78.08000,76.81000,77.34000,1846600
1483108200,77.57000,77.72000,76.42000,77.18000,1688500
1483453800,77.57000,78.14000,76.42000,77.45000,2587900
1483540200,77.52000,80.23000,77.52000,79.45000,3259700
1483626600,78.42000,79.58000,77.59000,78.06000,2832000
1483713000,78.17000,78.44000,76.94000,77.09000,3104600
1483972200,76.74000,77.36000,76.66000,77.14000,2074900
1484058600,77.05000,78.40000,76.75000,77.96000,2380300
1484145000,77.70000,78.40000,77.44000,77.81000,1488400
1484231400,77.81000,77.81000,76.92000,77.53000,1710200
1484317800,77.49000,77.71000,76.88000,77.13000,1746100
1484663400,77.77000,81.92000,77.24000,79.51000,5074400
1484749800,78.51000,79.12000,76.40000,77.31000,4281100
1484836200,77.23000,77.49000,76.05000,76.26000,2032300
1484922600,76.69000,77.04000,75.60000,76.56000,2029700
1485181800,76.58000,76.72000,75.29000,75.55000,1692200
1485268200,75.54000,76.95000,75.54000,76.88000,1647300
1485354600,77.41000,77.82000,76.62000,76.89000,1645500
1485441000,76.66000,77.23000,76.00000,76.17000,1876300
1485527400,76.34000,76.49000,73.92000,74.05000,2910300
1485786600,73.49000,75.46000,72.89000,75.25000,2502400
1485873000,74.80000,77.22000,74.37000,77.19000,3624400
1485959400,77.01000,77.40000,76.04000,76.39000,1854000
1486045800,76.76000,78.62000,76.44000,77.20000,3053600
