time,open,high,low,close,tick_volume
1616592600,41.50000,45.16000,39.01000,42.50000,9034600
1616679000,42.36000,45.00000,39.50000,41.76000,1896000
1616765400,42.17000,42.79000,36.65000,41.63000,1396200
1617024600,41.91000,44.01000,39.86000,40.06000,1519200
1617111000,40.06000,40.98000,38.67000,40.34000,2094500
1617197400,40.00000,42.84000,39.74300,42.13000,660100
1617283800,42.31000,44.72000,42.24000,43.80000,687200
1617629400,44.25000,45.49000,42.51000,43.77000,276500
1617715800,44.00000,44.38000,43.77500,44.01000,368400
1617802200,44.25000,44.50000,42.25500,42.70000,499100
1617888600,43.05000,43.33500,39.56000,40.25000,633700
1617975000,40.00000,41.80000,40.00000,40.21000,185000
1618234200,40.20000,41.41000,38.77800,41.01000,415800
1618320600,40.93000,43.77000,40.93000,43.33000,383500
1618407000,42.87000,44.75000,42.45000,43.47000,306900
1618493400,44.12000,46.18000,43.75000,44.96000,660700
1618579800,45.68000,46.35000,44.19000,44.87000,179300
1618839000,45.50000,45.79000,42.50000,42.96000,478700
1618925400,43.11000,43.94000,41.27000,41.59000,521200
1619011800,41.41000,42.20000,40.44000,41.63000,505800
1619098200,42.25000,43.44000,41.71000,42.55000,726600
1619184600,42.27000,43.75000,40.11000,41.40000,824800
1619443800,41.94000,43.72000,41.51500,43.42000,522100
1619530200,43.30000,44.40000,42.80000,43.06000,455400
1619616600,42.20000,45.38000,42.16000,44.06000,460600
1619703000,43.94000,44.24000,40.65000,43.08000,570400
1619789400,42.84000,44.10000,42.73000,43.57000,117700
1620048600,43.62000,44.22000,43.00000,43.46000,124700
1620135000,43.72000,43.79000,42.97500,43.52000,311400
1620221400,43.36000,44.84000,43.36000,44.80000,176100
1620307800,42.00000,44.23000,41.16400,42.27000,347000
1620394200,43.20000,44.63000,42.19000,42.30000,247400
1620653400,42.11000,42.15000,38.25000,38.41000,282700
1620739800,38.00000,38.76000,37.47000,38.32000,405200
1620826200,38.54000,39.15000,36.70000,37.43000,153100
1620912600,37.87000,38.00000,35.35000,35.43000,252600
1620999000,35.96000,37.68000,35.70000,37.23000,195200
1621258200,37.45000,37.79000,35.62000,36.27000,153900
1621344600,36.15000,37.35000,35.89000,37.03000,120800
