time,open,high,low,close,tick_volume
1472477400,80.11000,80.61000,80.07000,80.44000,1923400
1472563800,80.40000,80.79000,79.40000,79.52000,3101000
1472650200,79.52000,79.75000,79.22000,79.66000,3546200
1472736600,79.66000,79.80000,79.13000,79.33000,2428600
1472823000,79.33000,80.28000,79.22000,80.24000,2767600
1473168600,80.55000,81.23000,80.24000,80.94000,2775900
1473255000,81.26000,81.26000,80.38000,80.54000,2259600
1473341400,80.44000,81.01000,80.27000,80.81000,2047100
1473427800,80.04000,80.22000,77.92000,77.95000,3329500
1473687000,78.11000,79.56000,77.90000,79.28000,3518400
1473773400,79.32000,79.46000,78.44000,78.79000,3602400
1473859800,79.75000,87.75000,78.38000,78.67000,2532000
1473946200,78.26000,79.17000,78.26000,79.06000,2504100
1474032600,78.54000,79.68000,78.45000,79.61000,5058200
1474291800,79.77000,80.52000,79.65000,80.46000,3159600
1474378200,80.51000,80.84000,80.17000,80.17000,2398900
1474464600,80.18000,81.93000,80.17000,81.90000,2728100
1474551000,82.12000,82.63000,81.76000,82.51000,2707300
1474637400,82.28000,82.79000,82.00000,82.52000,2348800
1474896600,82.42000,82.67000,81.86000,82.15000,2718100
1474983000,82.51000,82.81000,81.29000,81.43000,2268300
1475069400,81.73000,81.73000,80.44000,81.10000,1998200
1475155800,80.82000,80.82000,79.68000,80.31000,2898900
1475242200,80.62000,80.94000,79.51000,80.04000,3883000
1475501400,79.78000,79.84000,78.53000,79.09000,2963200
1475587800,79.10000,79.49000,77.11000,77.46000,3491900
1475674200,77.58000,78.37000,76.93000,77.09000,3834200
1475760600,77.05000,77.91000,76.54000,77.09000,5137600
1475847000,77.63000,78.21000,76.52000,76.57000,4537400
1476106200,76.88000,77.38000,76.54000,77.06000,2381500
1476192600,76.80000,76.82000,75.81000,75.91000,3479400
1476279000,76.03000,76.81000,76.00000,76.65000,3082400
1476365400,76.57000,78.47000,76.57000,77.94000,3773600
1476451800,77.68000,77.98000,77.18000,77.21000,2460500
1476711000,77.30000,77.81000,77.24000,77.54000,1784500
1476797400,77.91000,78.25000,76.95000,77.90000,2481500
1476883800,77.90000,78.28000,77.50000,78.13000,2547400
