time,open,high,low,close,tick_volume
1472477400,44.39000,45.06000,44.22000,45.01000,5571300
1472563800,45.01000,45.62000,44.03000,44.44000,5286700
1472650200,43.94000,44.17000,42.74000,43.33000,6948600
1472736600,43.18000,43.92000,42.83000,43.70000,6026800
1472823000,44.18000,45.07000,44.04000,44.27000,5105900
1473168600,44.10000,44.63000,43.59000,44.21000,5178800
1473255000,44.55000,44.90000,43.77000,44.20000,4112800
1473341400,44.80000,45.52000,44.21000,45.28000,6448900
1473427800,44.66000,44.87000,43.21000,43.36000,6411600
1473687000,42.69000,43.67000,42.02000,43.19000,5414700
1473773400,42.39000,42.41000,40.90000,41.14000,7034900
1473859800,40.97000,41.80000,39.91000,40.18000,6536100
1473946200,40.39000,41.25000,40.26000,40.90000,4470500
1474032600,40.00000,41.13000,39.92000,40.99000,5589600
1474291800,41.54000,41.85000,40.80000,40.85000,3869200
1474378200,40.84000,41.70000,40.47000,40.66000,3887500
1474464600,41.24000,42.22000,41.15000,42.17000,4746400
1474551000,42.91000,43.11000,41.76000,41.88000,4600200
1474637400,41.57000,41.98000,39.19000,39.54000,8050100
1474896600,39.81000,40.30000,39.26000,39.64000,6357400
1474983000,39.00000,39.00000,37.85000,38.38000,8866400
1475069400,38.75000,41.85000,37.98000,41.58000,10634800
1475155800,41.75000,43.99000,41.55000,43.04000,9428300
1475242200,43.55000,44.25000,42.89000,44.11000,5969800
1475501400,43.96000,44.34000,43.39000,44.20000,4248500
1475587800,44.27000,44.51000,42.94000,43.28000,3923700
1475674200,44.05000,44.94000,43.70000,44.18000,6381700
1475760600,44.56000,44.83000,43.16000,43.48000,5452300
1475847000,43.75000,43.97000,42.39000,42.81000,4907400
1476106200,43.49000,44.50000,43.25000,44.39000,4893500
1476192600,44.24000,44.34000,43.65000,44.14000,4444700
1476279000,43.93000,44.70000,43.16000,44.56000,6757900
1476365400,44.04000,44.76000,43.27000,43.90000,4636300
1476451800,44.14000,44.49000,43.07000,43.08000,3257600
1476711000,42.94000,43.16000,41.40000,41.77000,6840100
1476797400,42.60000,42.74000,41.57000,41.90000,5126700
1476883800,42.16000,43.50000,41.95000,42.96000,5655800
1476970200,42.26000,43.22000,41.98000,42.94000,4258100
1477056600,42.42000,43.04000,42.27000,42.69000,3173700
1477315800,42.55000,42.66000,40.95000,41.72000,4414700
1477402200,41.42000,41.93000,40.65000,40.67000,3670800
1477488600,40.09000,40.72000,39.41000,40.20000,6910600
1477575000,40.46000,41.22000,40.20000,40.46000,4303900
1477661400,40.44000,40.74000,38.91000,39.18000,5872900
1477920600,39.05000,39.06000,37.81000,37.89000,6902400
1478007000,38.47000,38.76000,36.64000,37.69000,6471200
1478093400,37.33000,39.86000,37.17000,39.55000,12156400
1478179800,39.88000,41.00000,39.82000,40.51000,7930300
1478266200,40.42000,40.94000,39.63000,40.19000,5988300
1478529000,41.03000,41.84000,40.97000,41.82000,5336900
1478615400,41.33000,42.32000,41.22000,41.98000,4293300
1478701800,41.93000,44.12000,41.81000,43.62000,6196300
1478788200,43.52000,43.77000,42.26000,43.14000,5621600
1478874600,42.52000,42.80000,41.09000,41.85000,5287900
1479133800,41.66000,42.87000,41.18000,42.81000,4828100
1479220200,43.49000,45.00000,43.47000,45.00000,6640700
1479306600,44.78000,45.05000,43.86000,43.98000,5611300
1479393000,44.37000,44.69000,42.75000,42.87000,6041600
1479479400,43.35000,44.37000,43.20000,43.82000,4769900
1479738600,44.98000,45.30000,44.41000,44.90000,4861900
1479825000,45.08000,45.29000,43.59000,44.48000,4356400
1479911400,44.10000,45.05000,43.75000,45.04000,2920700
1480084200,44.54000,44.81000,43.57000,44.23000,1962400
1480343400,44.85000,44.98000,42.55000,42.65000,5810300
