time,open,high,low,close,tick_volume
1472477400,8.97000,9.11000,8.89000,9.01000,453700
1472563800,9.06000,9.12000,8.95000,8.98000,490500
1472650200,8.91000,9.00000,8.82000,8.86000,950600
1472736600,8.80000,8.84000,8.57000,8.62000,783000
1472823000,8.75000,8.96000,8.74000,8.93000,451800
1473168600,8.94000,9.29000,8.94000,9.27000,487900
1473255000,9.27000,9.57000,9.20000,9.49000,1057500
1473341400,9.56000,9.84000,9.52000,9.80000,1488400
1473427800,9.75000,9.78000,9.30000,9.30000,800000
1473687000,9.17000,9.28000,9.04000,9.04000,1304100
1473773400,8.86000,8.94000,8.60000,8.69000,1207800
1473859800,8.67000,8.78000,8.51000,8.61000,1148900
1473946200,8.64000,8.71000,8.47000,8.59000,1191400
1474032600,8.44000,8.44000,8.29000,8.32000,1213000
1474291800,8.43000,8.47000,8.32000,8.32000,555800
1474378200,8.30000,8.34000,8.12000,8.22000,1270300
1474464600,8.34000,8.54000,8.30000,8.52000,1412500
1474551000,8.64000,8.85000,8.60000,8.61000,510200
1474637400,8.55000,8.57000,8.20000,8.23000,567000
1474896600,8.26000,8.37000,8.20000,8.21000,653500
1474983000,8.13000,8.16000,7.88000,8.06000,852200
1475069400,8.09000,8.51000,7.95000,8.50000,1289300
1475155800,8.53000,8.79000,8.52000,8.65000,1523000
1475242200,8.74000,8.84000,8.68000,8.76000,1231900
1475501400,8.43000,8.70000,8.11000,8.69000,1644100
1475587800,8.75000,8.75000,8.53000,8.61000,963400
1475674200,8.74000,8.97000,8.63000,8.96000,1389500
1475760600,8.97000,9.16000,8.96000,9.11000,936700
1475847000,9.13000,9.21000,8.99000,8.99000,622200
1476106200,9.14000,9.35000,9.14000,9.30000,511000
1476192600,9.26000,9.27000,9.05000,9.10000,626100
1476279000,9.06000,9.10000,8.91000,9.03000,580500
1476365400,8.95000,9.11000,8.89000,9.08000,859600
1476451800,9.13000,9.19000,8.98000,9.04000,719500
1476711000,9.02000,9.05000,8.76000,8.83000,768100
1476797400,8.96000,9.24000,8.96000,9.24000,1075500
1476883800,9.33000,9.52000,9.30000,9.37000,1169200
1476970200,9.28000,9.32000,9.17000,9.18000,701600
1477056600,9.10000,9.21000,9.08000,9.18000,570900
1477315800,9.15000,9.28000,9.05000,9.15000,1006500
1477402200,9.12000,9.22000,9.07000,9.10000,578800
1477488600,8.97000,9.09000,8.85000,9.01000,1326500
1477575000,9.08000,9.10000,8.96000,9.05000,751800
1477661400,9.05000,9.10000,8.81000,8.84000,808800
1477920600,8.77000,8.82000,8.66000,8.69000,684500
1478007000,8.78000,8.88000,8.63000,8.71000,1132100
1478093400,8.60000,8.68000,8.52000,8.53000,2880700
1478179800,8.57000,8.67000,8.46000,8.46000,713900
1478266200,8.40000,8.54000,8.36000,8.48000,937200
1478529000,8.60000,8.75000,8.52000,8.73000,539500
1478615400,8.67000,8.88000,8.64000,8.80000,488800
1478701800,8.55000,8.80000,8.55000,8.75000,497300
1478788200,8.71000,8.71000,8.16000,8.17000,1072200
1478874600,8.04000,8.08000,7.65000,7.90000,1576000
1479133800,7.88000,8.03000,7.88000,7.99000,737800
1479220200,8.12000,8.38000,8.11000,8.33000,1465300
