time,open,high,low,close,tick_volume
1472477400,40.38000,40.90000,40.10000,40.28000,1126900
1472563800,40.28000,40.70000,40.20000,40.66000,630500
1472650200,40.44000,40.79000,39.41000,39.48000,1264600
1472736600,39.50000,40.73000,39.31000,40.71000,1464500
1472823000,41.19000,42.38000,41.19000,42.14000,1864000
1473168600,42.68000,44.54000,42.68000,44.05000,2213600
1473255000,43.96000,45.00000,43.81000,44.54000,2563800
1473341400,43.90000,44.68000,43.62000,43.99000,1681700
1473427800,43.86000,44.51000,42.86000,44.19000,1696100
1473687000,43.45000,44.95000,43.13000,44.77000,2163300
1473773400,44.69000,45.90000,44.15000,45.15000,3147100
1473859800,45.31000,45.51000,44.66000,45.26000,1403900
1473946200,45.43000,48.41000,45.43000,48.35000,1667300
1474032600,48.15000,48.16000,46.56000,46.83000,1601900
1474291800,47.00000,47.40000,46.36000,46.56000,897000
1474378200,46.56000,47.04000,46.35000,46.36000,928200
1474464600,46.48000,47.19000,46.12000,47.07000,785800
1474551000,47.01000,48.37000,47.01000,48.05000,1017600
1474637400,47.61000,47.68000,47.09000,47.31000,976900
1474896600,46.97000,47.06000,45.85000,46.49000,839500
1474983000,46.91000,47.40000,46.24000,47.17000,1492700
1475069400,47.20000,47.26000,45.96000,46.70000,679500
1475155800,47.02000,47.44000,46.17000,46.90000,663800
1475242200,46.75000,47.10000,46.01000,46.36000,694600
1475501400,46.58000,47.38000,46.26000,46.44000,415200
1475587800,46.19000,46.62000,45.09000,45.34000,1291800
1475674200,45.49000,46.49000,45.49000,46.04000,921200
1475760600,45.66000,46.21000,45.64000,46.03000,646200
1475847000,46.00000,46.25000,45.26000,45.71000,602300
1476106200,45.82000,46.77000,45.82000,46.69000,624800
1476192600,46.70000,46.72000,45.39000,45.90000,811500
1476279000,45.91000,46.73000,45.02000,46.63000,728400
1476365400,46.20000,46.52000,45.75000,45.86000,905700
1476451800,45.99000,47.54000,45.99000,47.05000,881300
1476711000,46.64000,47.04000,45.73000,46.74000,887600
1476797400,47.25000,48.25000,47.13000,47.17000,777600
1476883800,47.20000,47.77000,46.69000,46.87000,694800
1476970200,46.83000,47.00000,46.01000,46.12000,543200
1477056600,46.00000,46.90000,45.74000,46.80000,866100
1477315800,47.06000,49.29000,47.06000,48.43000,1029800
1477402200,50.80000,53.38000,49.76000,53.06000,2048500
1477488600,53.08000,53.12000,52.31000,52.41000,1135700
1477575000,52.69000,52.93000,51.87000,52.12000,2111800
1477661400,51.94000,52.06000,51.38000,51.61000,1428000
1477920600,51.45000,51.45000,49.53000,50.13000,1235700
1478007000,50.43000,50.50000,49.51000,49.78000,938500
1478093400,49.65000,49.96000,48.78000,49.78000,563700
1478179800,49.76000,50.01000,49.24000,49.30000,1098800
1478266200,49.46000,50.81000,49.08000,50.48000,1096000
1478529000,51.41000,51.97000,51.35000,51.40000,930300
1478615400,51.38000,52.95000,51.38000,52.80000,888500
1478701800,50.26000,52.77000,50.26000,51.54000,1458100
1478788200,51.69000,52.25000,50.22000,51.57000,1011900
1478874600,51.50000,51.50000,49.73000,50.51000,1241000
1479133800,50.43000,50.49000,47.35000,47.43000,1710300
1479220200,47.66000,47.96000,46.96000,47.19000,1431900
1479306600,46.88000,49.47000,46.81000,48.75000,1121400
1479393000,48.74000,49.87000,48.64000,49.54000,933300
1479479400,50.31000,50.54000,49.57000,50.20000,964700
1479738600,50.48000,51.55000,49.88000,51.35000,1707700
1479825000,51.72000,51.87000,51.00000,51.35000,877400
1479911400,51.46000,51.52000,50.59000,51.24000,704300
1480084200,51.22000,51.80000,50.89000,51.56000,386400
1480343400,51.40000,51.43000,50.15000,50.42000,1302400
1480429800,50.63000,50.70000,49.82000,50.19000,752200
1480516200,50.38000,50.77000,49.68000,50.17000,926400
