time,open,high,low,close,tick_volume
1472477400,75.11000,75.66000,74.87000,75.25000,1857400
1472563800,75.07000,75.57000,74.56000,74.60000,1218400
1472650200,74.68000,75.28000,74.31000,75.25000,2252000
1472736600,75.15000,75.25000,74.71000,74.88000,1023600
1472823000,74.89000,75.90000,74.66000,75.55000,1625900
1473168600,75.58000,76.45000,75.56000,76.28000,1160700
1473255000,76.20000,76.29000,75.67000,76.01000,1171300
1473341400,75.81000,76.27000,75.46000,75.87000,1484800
1473427800,74.88000,75.24000,72.93000,72.95000,3302900
1473687000,73.00000,74.64000,73.00000,74.45000,2496700
1473773400,74.48000,74.49000,73.10000,73.23000,1658500
1473859800,73.95000,74.64000,73.61000,74.13000,2025400
1473946200,74.16000,74.72000,73.79000,74.56000,1404100
1474032600,74.41000,75.37000,74.20000,75.31000,2897800
1474291800,75.30000,76.45000,75.30000,76.40000,1755200
1474378200,76.63000,76.83000,76.36000,76.54000,2458400
1474464600,76.46000,78.09000,76.36000,78.06000,2023500
1474551000,78.36000,79.00000,78.25000,78.85000,1928000
1474637400,78.60000,79.02000,78.25000,78.68000,1239100
1474896600,78.71000,78.99000,78.31000,78.66000,1526100
1474983000,79.15000,79.54000,77.72000,77.85000,1679900
1475069400,77.92000,78.04000,76.78000,77.17000,1719300
1475155800,76.91000,76.96000,75.98000,76.53000,1639700
1475242200,76.79000,77.11000,74.79000,75.30000,2978900
1475501400,75.15000,75.21000,73.91000,74.24000,1937300
1475587800,74.12000,74.12000,72.39000,72.77000,2553600
1475674200,72.82000,73.41000,72.14000,72.50000,2341900
1475760600,72.25000,72.83000,71.78000,72.33000,2003400
1475847000,72.80000,73.56000,72.03000,72.03000,2096600
1476106200,71.99000,72.52000,71.69000,72.20000,1340100
1476192600,71.91000,72.33000,71.35000,71.66000,2069900
1476279000,71.76000,72.30000,71.67000,72.07000,1675900
1476365400,72.23000,73.60000,72.10000,72.94000,1583400
1476451800,72.65000,73.38000,72.16000,72.49000,1288200
1476711000,72.73000,73.12000,72.67000,73.00000,1164500
1476797400,73.42000,73.68000,72.39000,73.24000,1670300
1476883800,73.26000,73.79000,72.90000,73.44000,1486900
1476970200,73.53000,74.25000,73.34000,73.62000,989400
1477056600,73.22000,73.55000,72.93000,73.17000,1054100
1477315800,73.61000,73.72000,72.72000,73.17000,1268400
1477402200,73.12000,73.73000,72.95000,73.65000,1273500
1477488600,73.57000,74.00000,73.28000,73.88000,965600
1477575000,73.57000,73.92000,73.01000,73.47000,1256300
1477661400,73.61000,74.25000,73.51000,73.99000,1108900
1477920600,74.22000,76.03000,74.06000,75.55000,2506900
1478007000,75.48000,75.48000,73.89000,74.05000,1635300
1478093400,74.03000,74.14000,72.96000,73.82000,1870100
1478179800,73.62000,74.28000,73.25000,73.87000,1517000
1478266200,75.27000,75.41000,73.61000,73.75000,1841700
1478529000,73.94000,74.55000,72.88000,74.54000,1728700
1478615400,74.72000,75.62000,74.61000,75.33000,1361400
1478701800,72.95000,73.41000,72.15000,72.26000,2983300
1478788200,72.05000,72.05000,68.99000,70.69000,3992800
1478874600,70.69000,71.62000,70.27000,70.49000,2107000
1479133800,69.35000,69.82000,68.76000,69.55000,2446400
1479220200,69.92000,71.03000,69.91000,70.57000,2560900
1479306600,70.83000,71.00000,69.40000,69.84000,1722600
1479393000,69.61000,70.41000,69.58000,70.04000,1152700
1479479400,69.99000,70.33000,69.26000,69.53000,1777200
1479738600,69.76000,70.15000,69.45000,70.10000,1612800
1479825000,70.23000,70.57000,69.64000,70.32000,1396300
1479911400,69.78000,70.37000,69.42000,69.55000,1388900
1480084200,69.90000,70.90000,69.75000,70.66000,930200
1480343400,70.78000,72.73000,70.78000,72.65000,2065800
1480429800,72.43000,73.22000,72.37000,72.65000,1988300
1480516200,71.67000,71.78000,69.75000,69.77000,3847100
1480602600,69.31000,69.79000,69.11000,69.47000,1959300
1480689000,70.09000,70.55000,69.28000,69.69000,1551100
1480948200,69.31000,69.76000,68.85000,69.72000,2048400
1481034600,69.97000,69.99000,69.06000,69.15000,1446200
1481121000,69.38000,70.42000,69.38000,70.41000,1416900
1481207400,69.89000,70.71000,69.33000,70.58000,1269400
1481293800,70.66000,71.52000,70.40000,71.44000,1775800
1481553000,71.37000,72.99000,71.27000,72.82000,1787900
1481639400,72.87000,73.53000,72.77000,73.28000,2068300
1481725800,73.44000,73.91000,71.05000,71.21000,2129400
1481812200,71.15000,71.85000,70.75000,71.75000,1658000
1481898600,71.79000,73.36000,71.79000,72.68000,3048400
1482157800,73.03000,73.46000,72.55000,73.04000,1151900
1482244200,73.02000,73.87000,72.76000,73.44000,1626500
1482330600,73.44000,73.86000,73.10000,73.12000,729400
1482417000,73.11000,73.64000,72.80000,73.50000,1187300
1482503400,73.65000,73.82000,73.29000,73.63000,482600
1482849000,73.51000,73.93000,73.26000,73.75000,724100
1482935400,73.72000,73.72000,72.94000,73.07000,873400
1483021800,73.16000,74.14000,73.15000,74.07000,1111400
1483108200,74.08000,74.30000,73.41000,73.68000,1139000
1483453800,73.72000,73.74000,72.74000,73.63000,1699600
1483540200,73.72000,74.20000,73.30000,73.56000,1259600
1483626600,73.54000,73.99000,72.97000,73.72000,1802900
1483713000,73.29000,74.02000,73.17000,73.94000,914600
1483972200,74.10000,74.10000,72.71000,72.76000,1479300
1484058600,72.63000,72.82000,72.14000,72.64000,1124200
1484145000,72.63000,73.17000,72.41000,73.03000,1288800
1484231400,73.01000,73.74000,72.50000,73.62000,1493100
1484317800,73.44000,73.65000,73.04000,73.60000,1179900
1484663400,73.89000,74.64000,73.67000,74.60000,1601900
1484749800,74.28000,74.83000,74.12000,74.43000,1455500
1484836200,73.95000,74.15000,73.26000,73.49000,1395500
1484922600,73.41000,73.80000,72.79000,73.08000,2034800
1485181800,73.27000,73.53000,72.70000,72.96000,1527100
1485268200,72.82000,73.11000,72.54000,72.79000,1544100
1485354600,72.52000,72.77000,72.13000,72.74000,1990900
1485441000,72.51000,73.52000,72.51000,73.02000,1451300
1485527400,73.29000,73.51000,72.92000,73.12000,1488300
1485786600,73.34000,73.56000,72.81000,73.26000,1595100
1485873000,73.44000,74.55000,73.34000,74.35000,2991000
1485959400,73.82000,74.02000,73.05000,73.33000,1766300
1486045800,73.47000,74.50000,73.17000,74.47000,1488000
1486132200,74.50000,74.70000,73.94000,74.20000,2302100
1486391400,74.55000,74.74000,74.05000,74.30000,1758300
1486477800,74.31000,74.60000,74.17000,74.51000,831900
1486564200,74.62000,75.31000,74.62000,75.25000,1121600
1486650600,75.13000,75.44000,74.26000,74.39000,1801900
1486737000,74.29000,74.96000,74.18000,74.75000,1321700
1486996200,74.29000,74.48000,73.64000,74.35000,1695200
1487082600,74.14000,74.30000,73.39000,73.69000,1254300
1487169000,73.21000,73.76000,72.94000,73.70000,1616700
1487255400,73.68000,74.49000,73.53000,74.29000,2953000
1487341800,74.08000,74.08000,72.63000,73.50000,2768800
1487687400,73.50000,74.68000,73.22000,74.52000,1854700
1487773800,74.52000,75.09000,74.20000,75.01000,2410800
1487860200,75.29000,75.99000,75.07000,75.91000,1438000
1487946600,76.25000,76.76000,76.07000,76.61000,1609700
1488205800,76.61000,76.71000,76.19000,76.47000,1239000
1488292200,76.29000,77.24000,76.26000,77.04000,1727500
1488378600,75.91000,76.91000,75.59000,76.18000,1780800
1488465000,75.97000,77.50000,75.79000,77.19000,2164800
1488551400,77.31000,77.31000,76.19000,76.67000,1525700
1488810600,76.67000,77.02000,76.44000,76.64000,1328500
1488897000,76.49000,76.86000,76.39000,76.64000,1088200
1488983400,76.06000,76.09000,75.42000,75.51000,1201600
1489069800,75.64000,76.00000,75.11000,75.13000,1776900
1489156200,75.52000,76.02000,75.38000,75.98000,1145100
1489411800,75.98000,76.28000,75.79000,76.28000,1414100
1489498200,76.24000,76.57000,76.03000,76.42000,1203100
1489584600,76.67000,78.11000,76.49000,77.64000,1547200
1489671000,77.34000,77.62000,76.19000,76.32000,1892200
1489757400,76.53000,77.09000,76.40000,76.68000,2989100
1490016600,76.89000,77.05000,75.94000,76.09000,1060900
1490103000,76.10000,77.57000,76.05000,77.34000,1603000
1490189400,77.65000,78.36000,77.51000,78.11000,2040300
1490275800,78.00000,78.68000,77.66000,77.89000,1270900
1490362200,77.89000,78.66000,77.76000,78.41000,1130200
1490621400,78.52000,78.98000,78.14000,78.55000,1783800
1490707800,78.33000,78.63000,78.11000,78.53000,1241400
1490794200,78.27000,78.48000,77.75000,78.18000,1260800
1490880600,77.99000,78.00000,77.44000,77.74000,827100
1490967000,77.62000,78.08000,77.29000,77.66000,1300400
1491226200,77.75000,77.83000,77.14000,77.83000,2192100
1491312600,77.70000,78.28000,77.50000,77.96000,1130200
1491399000,77.86000,78.61000,77.59000,78.53000,1291300
1491485400,78.37000,78.50000,77.98000,78.33000,1010500
1491571800,78.69000,78.76000,77.80000,77.82000,1988500
1491831000,77.87000,78.15000,77.54000,78.01000,932900
1491917400,77.87000,78.09000,77.31000,77.90000,1733100
1492003800,77.63000,78.59000,77.44000,78.58000,2095600
1492090200,78.48000,78.82000,77.95000,78.53000,1578800
1492435800,78.61000,78.87000,78.47000,78.87000,1307300
1492522200,78.89000,79.29000,78.66000,79.09000,1549000
1492608600,78.89000,79.07000,78.57000,78.78000,1700200
1492695000,78.78000,78.78000,77.80000,78.28000,1836400
1492781400,78.24000,79.27000,78.22000,79.09000,2137300
1493040600,79.14000,79.50000,78.57000,79.40000,1744600
1493127000,79.00000,79.48000,78.87000,79.40000,1146000
1493213400,79.32000,79.71000,79.09000,79.14000,1099000
1493299800,79.17000,80.10000,79.02000,79.58000,1495300
1493386200,79.39000,79.58000,78.98000,79.28000,2890300
1493645400,79.30000,79.45000,78.77000,78.85000,1284300
1493731800,79.03000,79.33000,78.77000,79.26000,1386700
1493818200,79.25000,79.35000,78.71000,78.76000,1495800
1493904600,78.46000,79.09000,78.42000,78.88000,1598400
1493991000,79.43000,80.21000,79.01000,79.81000,1650300
1494250200,79.28000,79.78000,79.08000,79.39000,1168700
1494336600,79.28000,79.37000,78.69000,78.81000,1472400
1494423000,78.95000,79.36000,78.79000,79.04000,1489200
1494509400,79.00000,79.47000,78.72000,79.46000,1337800
1494595800,79.66000,80.08000,79.51000,79.90000,1282900
1494855000,79.36000,79.69000,79.07000,79.61000,1506700
1494941400,79.64000,79.73000,79.13000,79.14000,1288600
1495027800,79.14000,79.87000,78.96000,79.36000,1748100
1495114200,79.46000,80.09000,79.03000,79.92000,1613500
1495200600,80.00000,80.38000,79.53000,80.37000,1337900
1495459800,80.10000,81.17000,80.10000,80.95000,1366300
1495546200,81.00000,81.62000,80.92000,81.31000,1788800
1495632600,81.28000,81.61000,81.18000,81.45000,1626900
1495719000,81.58000,82.16000,81.31000,82.04000,1341800
1495805400,82.10000,82.40000,81.85000,82.10000,1123200
1496151000,82.04000,82.39000,81.87000,82.20000,1173700
1496237400,82.31000,83.25000,82.22000,82.79000,1924600
1496323800,82.77000,83.45000,82.49000,83.43000,1467000
1496410200,83.89000,83.99000,83.26000,83.53000,918800
1496669400,83.39000,83.49000,83.02000,83.05000,855600
1496755800,83.25000,83.33000,82.71000,82.90000,1173700
1496842200,83.14000,83.95000,82.86000,83.76000,1599800
1496928600,83.76000,83.76000,82.48000,83.04000,1617300
1497015000,82.70000,83.35000,82.64000,83.25000,1412600
1497274200,83.25000,83.74000,82.63000,83.30000,1546100
1497360600,82.84000,83.08000,82.51000,82.88000,1687300
1497447000,83.56000,83.98000,83.24000,83.59000,1312100
1497533400,83.75000,84.26000,83.07000,84.26000,1907800
1497619800,84.50000,85.04000,84.35000,84.85000,2975700
1497879000,84.72000,84.76000,84.30000,84.75000,1687200
1497965400,84.80000,85.13000,84.72000,84.96000,1283000
1498051800,85.04000,85.13000,84.35000,84.65000,1135000
1498138200,84.47000,84.86000,84.16000,84.20000,1154600
1498224600,84.14000,84.55000,83.73000,83.84000,1347100
1498483800,83.91000,84.58000,83.73000,84.04000,1387900
1498570200,83.56000,83.78000,82.52000,82.67000,1566000
1498656600,83.01000,83.06000,81.81000,81.82000,1627100
1498743000,81.20000,81.47000,80.67000,80.83000,2111700
1498829400,80.96000,81.35000,80.80000,80.82000,1943400
1499088600,81.14000,81.28000,80.57000,80.57000,929600
1499261400,80.60000,80.72000,80.17000,80.47000,1551500
1499347800,80.36000,80.60000,80.04000,80.39000,1200200
1499434200,80.52000,80.90000,80.28000,80.53000,1345700
1499693400,80.61000,80.92000,80.37000,80.37000,1314300
1499779800,80.51000,80.65000,80.04000,80.41000,1060000
1499866200,80.98000,81.22000,80.82000,81.11000,1233400
1499952600,80.90000,81.02000,80.31000,80.33000,1512200
1500039000,80.90000,81.22000,80.60000,80.73000,837100
1500298200,80.81000,81.12000,80.49000,81.11000,885500
