time,open,high,low,close,tick_volume
1472477400,67.17000,68.24000,66.83000,68.06000,859100
1472563800,68.06000,69.43000,68.03000,68.26000,1116500
1472650200,67.97000,68.53000,67.33000,67.89000,1355200
1472736600,67.88000,68.35000,67.08000,67.77000,1107300
1472823000,68.23000,68.80000,68.23000,68.58000,942700
1473168600,68.55000,68.65000,67.39000,68.31000,1304600
1473255000,67.20000,67.72000,66.38000,66.79000,2332400
1473341400,66.95000,66.95000,65.76000,65.86000,1654500
1473427800,65.36000,65.92000,64.32000,64.69000,1587700
1473687000,64.27000,65.37000,64.21000,65.17000,1521400
1473773400,64.08000,64.62000,63.30000,64.23000,1593300
1473859800,64.22000,64.85000,63.77000,63.95000,2652100
1473946200,64.01000,64.83000,63.90000,64.74000,2878800
1474032600,64.11000,64.17000,63.10000,63.74000,2681300
1474291800,64.63000,64.96000,64.11000,64.80000,1057900
1474378200,65.04000,65.15000,64.16000,64.30000,788900
1474464600,64.81000,65.44000,64.30000,65.36000,902600
1474551000,65.96000,66.06000,65.34000,65.77000,681600
1474637400,65.70000,65.83000,65.19000,65.34000,864500
1474896600,65.31000,65.52000,64.96000,65.08000,761600
1474983000,64.78000,65.73000,64.66000,65.50000,1807500
1475069400,65.88000,66.87000,65.36000,66.77000,1330800
1475155800,66.70000,67.36000,66.10000,66.38000,1137100
1475242200,66.86000,68.10000,66.76000,67.68000,1686000
1475501400,67.72000,67.81000,67.02000,67.19000,1182500
1475587800,66.72000,67.88000,66.34000,66.48000,876400
1475674200,66.95000,67.53000,66.89000,67.16000,831900
1475760600,66.97000,67.77000,66.81000,67.69000,990600
1475847000,67.90000,67.92000,66.10000,66.47000,1284600
1476106200,67.16000,67.51000,65.93000,66.18000,1356000
1476192600,65.88000,65.92000,64.89000,65.31000,1164900
1476279000,65.31000,65.61000,64.35000,64.37000,1264100
1476365400,63.50000,63.78000,62.70000,63.17000,3568300
1476451800,63.67000,64.49000,63.28000,63.73000,2356700
1476711000,63.77000,64.25000,63.35000,63.49000,1617300
1476797400,64.62000,65.63000,64.41000,65.35000,1891600
1476883800,65.70000,66.18000,65.17000,66.10000,1567900
1476970200,65.80000,67.15000,65.31000,66.89000,1340900
1477056600,66.35000,67.30000,66.29000,66.87000,1390100
1477315800,67.22000,67.33000,66.61000,66.94000,727100
1477402200,67.01000,67.09000,66.32000,66.40000,1094700
1477488600,66.26000,67.16000,66.10000,67.07000,1305600
1477575000,67.48000,68.31000,66.90000,67.27000,1787600
1477661400,70.04000,72.64000,69.34000,71.99000,4626400
1477920600,72.32000,72.42000,71.62000,71.91000,2369400
1478007000,72.38000,73.21000,71.55000,72.07000,1921400
1478093400,71.98000,72.41000,70.63000,70.67000,1839500
1478179800,71.05000,71.97000,70.69000,71.39000,1057400
1478266200,71.46000,71.95000,70.85000,71.26000,1111100
1478529000,72.44000,73.15000,71.96000,72.36000,1477200
1478615400,72.36000,73.14000,71.62000,72.64000,999400
1478701800,71.50000,74.29000,71.46000,73.86000,1771400
1478788200,74.38000,75.83000,73.94000,75.74000,1985200
1478874600,75.40000,75.80000,74.11000,75.21000,1555700
1479133800,75.28000,75.51000,73.86000,74.25000,1631300
1479220200,74.19000,74.96000,73.78000,74.85000,1110700
1479306600,74.40000,74.74000,74.02000,74.17000,977400
1479393000,74.44000,74.74000,73.76000,74.47000,1130100
1479479400,74.28000,74.53000,73.98000,74.18000,629900
1479738600,74.85000,75.92000,74.74000,75.69000,1615900
1479825000,75.73000,76.10000,75.05000,76.01000,1473400
1479911400,75.67000,76.88000,75.54000,76.57000,855400
1480084200,76.22000,76.60000,74.95000,75.14000,959000
1480343400,75.12000,75.16000,73.77000,74.11000,2132000
1480429800,73.73000,74.40000,73.52000,73.69000,1731100
1480516200,74.80000,75.84000,74.32000,75.12000,1980300
1480602600,75.62000,76.03000,74.18000,74.41000,1111200
1480689000,74.36000,75.31000,74.33000,74.63000,1127100
1480948200,75.22000,75.87000,74.80000,75.13000,1985500
1481034600,74.83000,76.04000,74.31000,75.41000,2170800
1481121000,75.55000,76.93000,74.99000,76.90000,1889200
1481207400,77.15000,77.98000,76.69000,77.77000,1868600
1481293800,77.49000,77.67000,76.83000,77.20000,1449100
1481553000,77.37000,77.85000,76.64000,76.91000,1300400
1481639400,76.50000,77.28000,76.46000,77.07000,1489600
1481725800,76.80000,77.36000,75.54000,75.64000,1869400
1481812200,75.35000,76.93000,75.04000,76.87000,1762800
1481898600,77.20000,77.20000,75.79000,76.03000,2338500
1482157800,75.86000,76.26000,75.75000,76.21000,888800
1482244200,76.51000,76.63000,75.97000,76.27000,664500
1482330600,76.41000,76.88000,75.90000,76.39000,739000
1482417000,76.14000,76.64000,75.47000,75.93000,602500
1482503400,75.91000,76.64000,75.61000,76.56000,597700
1482849000,76.51000,76.85000,76.21000,76.48000,490700
1482935400,76.88000,77.34000,75.55000,75.58000,615200
1483021800,75.76000,76.15000,75.35000,75.52000,515800
1483108200,75.76000,75.86000,74.92000,75.21000,569900
1483453800,75.84000,76.63000,74.90000,75.92000,1270600
1483540200,76.27000,77.35000,76.18000,77.18000,980600
1483626600,77.27000,78.02000,76.83000,77.48000,2053800
1483713000,77.62000,77.90000,76.97000,77.50000,1112200
1483972200,77.32000,78.33000,76.53000,76.61000,1233300
1484058600,76.82000,77.63000,76.55000,77.33000,1021700
1484145000,77.59000,79.15000,77.44000,79.07000,1656700
1484231400,78.71000,79.23000,76.99000,78.32000,1367400
1484317800,78.32000,78.66000,77.60000,77.89000,857900
1484663400,77.80000,77.90000,76.86000,76.94000,1475900
1484749800,77.21000,77.54000,76.82000,77.19000,1265800
1484836200,77.33000,77.50000,75.83000,76.02000,1933400
1484922600,76.50000,77.61000,76.02000,76.74000,2367000
1485181800,76.90000,77.39000,76.24000,76.77000,1018600
1485268200,77.27000,78.55000,77.01000,78.22000,1293900
1485354600,78.57000,79.46000,78.08000,79.39000,1630400
1485441000,79.39000,80.48000,78.87000,80.29000,2245600
1485527400,76.59000,78.46000,74.78000,77.70000,3752300
1485786600,76.99000,77.75000,76.62000,77.62000,1359100
1485873000,77.60000,78.58000,76.81000,77.50000,1626800
1485959400,77.80000,78.58000,77.56000,78.30000,1377700
1486045800,77.88000,78.36000,77.16000,77.62000,1151000
1486132200,77.75000,78.69000,77.58000,77.90000,1012800
1486391400,77.83000,78.63000,77.57000,78.45000,962300
1486477800,77.97000,78.72000,77.43000,77.69000,1104100
1486564200,77.63000,77.87000,77.14000,77.85000,711300
1486650600,77.85000,78.77000,77.85000,78.48000,665100
1486737000,78.92000,79.50000,78.88000,79.36000,789500
1486996200,79.64000,80.41000,79.52000,80.06000,916700
1487082600,79.60000,80.64000,79.57000,80.58000,812300
1487169000,80.37000,80.92000,80.07000,80.88000,1358700
1487255400,80.86000,81.08000,80.39000,80.60000,917600
1487341800,80.63000,80.63000,79.68000,80.25000,878800
1487687400,80.23000,81.05000,80.16000,80.93000,1046700
1487773800,80.47000,81.45000,80.35000,80.46000,996000
1487860200,80.93000,81.21000,79.91000,80.14000,728800
1487946600,79.44000,80.24000,79.35000,80.16000,643700
1488205800,80.25000,80.71000,79.78000,79.97000,803400
1488292200,79.57000,80.42000,79.40000,80.25000,983600
1488378600,81.20000,82.10000,81.17000,81.47000,1434400
1488465000,81.36000,81.72000,79.68000,79.71000,1410100
1488551400,79.80000,80.45000,79.71000,80.35000,1133700
1488810600,79.59000,80.06000,79.22000,79.53000,836800
1488897000,79.48000,79.63000,78.91000,78.92000,980500
1488983400,78.93000,79.28000,78.30000,78.32000,914700
1489069800,78.00000,78.33000,77.26000,77.54000,1175600
1489156200,77.90000,78.31000,77.45000,77.63000,1386100
1489411800,77.50000,78.02000,76.69000,77.63000,2277600
1489498200,77.31000,77.52000,76.66000,77.30000,851300
1489584600,78.27000,78.92000,77.54000,78.64000,997400
1489671000,78.92000,79.34000,78.14000,78.89000,970800
1489757400,79.30000,79.78000,78.94000,79.17000,1355700
1490016600,79.17000,79.43000,78.57000,78.83000,994500
1490103000,78.91000,79.18000,77.20000,77.50000,1176400
1490189400,77.41000,78.02000,76.84000,77.82000,1261500
1490275800,77.81000,78.48000,77.25000,78.03000,854000
1490362200,78.04000,78.49000,76.80000,77.18000,816800
1490621400,76.54000,78.16000,76.02000,77.93000,954500
1490707800,77.93000,80.22000,77.93000,79.83000,2743300
1490794200,79.90000,80.87000,79.73000,80.46000,1436900
1490880600,80.46000,81.81000,80.28000,81.08000,1927700
1490967000,80.83000,81.30000,80.44000,80.80000,1583300
1491226200,80.84000,81.19000,79.41000,79.96000,969300
1491312600,79.95000,80.72000,79.65000,80.25000,835700
1491399000,80.86000,81.09000,79.52000,79.72000,1076600
1491485400,79.82000,80.49000,79.67000,80.21000,827600
1491571800,79.86000,80.50000,79.58000,80.34000,673000
1491831000,80.47000,80.73000,80.12000,80.33000,493100
1491917400,80.29000,80.67000,79.46000,80.17000,681700
1492003800,80.16000,80.19000,78.23000,78.69000,1127800
1492090200,78.50000,79.02000,77.78000,77.93000,585100
1492435800,78.10000,78.55000,77.89000,78.29000,607700
1492522200,77.93000,78.87000,77.61000,78.74000,985700
1492608600,79.10000,79.50000,78.45000,78.58000,1024800
1492695000,79.16000,79.97000,78.84000,79.64000,828600
1492781400,79.84000,79.91000,79.08000,79.31000,643300
1493040600,80.27000,81.74000,80.26000,81.23000,1388700
1493127000,81.88000,82.39000,81.51000,81.63000,1080300
1493213400,81.47000,81.74000,81.05000,81.44000,929900
1493299800,81.17000,81.91000,80.75000,81.66000,1450400
1493386200,82.08000,82.20000,79.64000,79.75000,1826600
1493645400,80.13000,80.70000,79.80000,80.37000,1138200
1493731800,80.03000,80.86000,79.47000,79.93000,1179600
1493818200,79.81000,80.07000,77.99000,78.58000,1111200
