time,open,high,low,close,tick_volume
1472477400,53.73000,54.05000,53.58000,53.73000,2659700
1472563800,53.73000,53.91000,53.23000,53.47000,2228400
1472650200,53.36000,53.40000,52.60000,52.68000,4561500
1472736600,53.01000,53.01000,52.18000,52.66000,4259200
1472823000,52.99000,53.16000,52.75000,52.91000,2162300
1473168600,53.13000,53.13000,52.35000,52.56000,2362600
1473255000,52.56000,52.85000,52.43000,52.79000,2283200
1473341400,52.69000,52.95000,52.41000,52.82000,3442500
1473427800,52.43000,52.58000,50.81000,50.86000,5163800
1473687000,50.60000,52.28000,50.41000,52.09000,4169100
1473773400,51.63000,51.86000,51.11000,51.21000,3572300
1473859800,51.21000,51.73000,51.00000,51.29000,4055300
1473946200,51.20000,51.74000,51.04000,51.58000,3244100
1474032600,51.36000,51.36000,50.85000,51.09000,3873800
1474291800,51.34000,51.80000,51.08000,51.19000,2305000
1474378200,51.53000,51.73000,51.21000,51.22000,2125700
1474464600,51.40000,51.83000,51.14000,51.77000,2908500
1474551000,52.24000,52.90000,52.24000,52.80000,3515600
1474637400,52.54000,52.60000,51.79000,51.92000,2997400
1474896600,51.77000,51.89000,51.39000,51.43000,2365700
1474983000,51.24000,51.82000,51.05000,51.82000,2803200
1475069400,51.85000,52.73000,51.73000,52.69000,2824100
1475155800,52.45000,53.43000,52.42000,53.02000,5379200
1475242200,53.20000,54.90000,53.20000,54.51000,7460100
1475501400,53.98000,54.20000,53.44000,53.80000,3814300
1475587800,53.70000,53.89000,53.25000,53.35000,3447200
1475674200,53.55000,53.91000,53.48000,53.69000,2385600
1475760600,53.61000,53.69000,52.87000,53.39000,3119000
1475847000,53.13000,53.13000,52.38000,52.70000,4069400
1476106200,52.82000,52.91000,51.64000,51.77000,3952100
1476192600,51.53000,51.68000,50.53000,50.79000,4656800
1476279000,50.12000,50.62000,49.37000,50.20000,6426700
1476365400,49.62000,50.26000,49.22000,50.20000,4296100
1476451800,50.56000,50.65000,49.88000,49.88000,3790200
1476711000,49.91000,50.04000,49.61000,49.69000,3871700
1476797400,50.11000,50.16000,49.65000,49.88000,3944100
1476883800,50.00000,50.13000,49.79000,49.91000,5540000
1476970200,49.78000,50.25000,49.66000,50.15000,2829700
1477056600,49.74000,50.26000,49.56000,50.11000,3616200
1477315800,50.53000,50.61000,50.12000,50.31000,2442500
1477402200,50.21000,50.39000,49.83000,50.11000,3040200
