time,open,high,low,close,tick_volume
1472477400,67.28000,67.94000,67.22000,67.71000,1105600
1472563800,67.60000,67.75000,67.00000,67.15000,2180300
1472650200,67.00000,67.15000,66.26000,66.54000,2390700
1472736600,66.66000,66.94000,65.91000,66.92000,2041200
1472823000,67.33000,67.66000,67.10000,67.54000,1509500
1473168600,67.69000,67.69000,66.36000,66.62000,1995800
1473255000,66.71000,66.84000,66.49000,66.74000,1470600
1473341400,66.60000,66.66000,66.06000,66.08000,1925700
1473427800,65.22000,65.50000,63.55000,63.57000,3580700
1473687000,63.11000,65.35000,62.80000,64.99000,2699800
1473773400,64.06000,64.24000,62.93000,63.21000,3266900
1473859800,63.12000,63.60000,62.72000,62.98000,2545200
1473946200,62.90000,63.38000,62.65000,63.09000,2942700
1474032600,62.61000,62.63000,61.95000,62.35000,4824800
1474291800,63.06000,63.89000,62.75000,63.25000,1966300
1474378200,63.80000,63.88000,62.73000,62.74000,2406600
1474464600,62.97000,63.78000,62.89000,63.73000,1844600
1474551000,64.50000,64.67000,63.87000,64.09000,2680000
1474637400,63.95000,63.98000,63.26000,63.31000,1444500
1474896600,63.10000,63.44000,62.78000,62.90000,1327300
1474983000,62.68000,63.43000,62.23000,63.41000,1690800
1475069400,63.69000,64.61000,63.52000,64.57000,1916700
1475155800,64.28000,65.09000,63.98000,64.16000,1885800
1475242200,64.44000,66.21000,64.43000,65.71000,3886900
1475501400,65.48000,66.19000,65.22000,65.87000,2566000
1475587800,66.05000,66.25000,64.14000,64.32000,2110600
1475674200,64.67000,65.97000,64.64000,65.54000,2260500
1475760600,65.50000,65.61000,64.83000,65.50000,1389900
1475847000,65.24000,65.24000,64.05000,64.48000,2232300
1476106200,65.01000,65.27000,64.00000,64.14000,2704900
1476192600,63.87000,64.13000,62.66000,63.12000,2934200
1476279000,63.12000,64.45000,62.85000,64.26000,2793700
1476365400,63.48000,63.59000,62.63000,63.15000,2731900
1476451800,63.55000,63.92000,63.20000,63.30000,2043900
1476711000,63.24000,63.36000,62.09000,63.12000,2672000
1476797400,63.86000,63.92000,63.16000,63.19000,1956000
1476883800,63.30000,63.99000,62.91000,63.68000,1935200
1476970200,63.45000,64.14000,63.34000,63.80000,2365800
1477056600,63.13000,63.91000,62.89000,63.71000,2117000
1477315800,64.16000,64.34000,62.91000,63.37000,1857700
1477402200,63.15000,63.59000,62.47000,63.18000,1989300
1477488600,62.88000,64.36000,62.70000,64.21000,1989500
1477575000,64.05000,64.17000,61.97000,62.29000,4973700
1477661400,62.37000,63.29000,62.20000,62.38000,2166500
1477920600,62.76000,63.85000,62.64000,63.77000,4261100
1478007000,62.76000,62.80000,60.22000,60.70000,8389200
1478093400,60.60000,61.32000,60.37000,60.88000,4162600
1478179800,60.06000,60.32000,59.07000,59.72000,4735100
1478266200,59.91000,61.45000,59.70000,60.76000,4583400
1478529000,62.25000,62.60000,61.89000,62.43000,2840600
1478615400,62.18000,63.34000,61.95000,63.00000,3382000
1478701800,62.59000,66.90000,62.59000,66.32000,5690100
1478788200,66.86000,68.95000,66.86000,68.70000,6947900
1478874600,68.50000,68.90000,66.60000,67.31000,5332400
1479133800,67.37000,68.32000,66.79000,67.06000,5788800
1479220200,66.88000,66.93000,65.29000,65.85000,4859300
1479306600,65.54000,65.94000,65.25000,65.54000,3154600
1479393000,66.15000,66.28000,64.65000,64.79000,3407400
1479479400,64.66000,64.75000,63.94000,64.15000,4728900
1479738600,64.66000,65.78000,64.62000,65.54000,4399500
1479825000,65.76000,65.95000,64.96000,65.58000,2131900
1479911400,65.63000,66.61000,65.25000,66.49000,2568700
1480084200,66.49000,66.97000,66.49000,66.81000,920600
1480343400,66.40000,66.62000,65.83000,65.98000,2221700
1480429800,65.61000,66.39000,65.35000,65.69000,2779300
1480516200,66.26000,67.38000,66.26000,66.51000,2426200
1480602600,66.86000,68.19000,66.73000,67.65000,3073700
1480689000,67.61000,68.04000,67.09000,67.76000,2352000
1480948200,68.03000,68.64000,67.48000,68.01000,2252900
1481034600,67.88000,68.59000,67.78000,68.45000,2763300
1481121000,68.38000,69.17000,68.23000,68.90000,3512100
1481207400,68.78000,69.38000,68.27000,68.98000,2099000
1481293800,69.68000,69.80000,68.93000,69.53000,1988000
1481553000,69.43000,70.00000,69.35000,69.86000,2233600
1481639400,69.72000,69.93000,68.36000,68.85000,2846700
1481725800,68.72000,69.22000,67.58000,67.67000,3039600
