time,open,high,low,close,tick_volume
1472477400,38.39667,38.95333,38.39000,38.70000,2130000
1472563800,38.70000,38.93667,38.36333,38.44333,1676100
1472650200,38.57667,38.57667,38.10000,38.38667,3276000
1472736600,38.50000,38.66333,38.16667,38.62333,3293700
1472823000,38.62333,38.76000,38.41000,38.61667,2794800
1473168600,38.57333,39.18333,38.54333,39.18000,3389700
1473255000,39.01667,39.15333,38.61000,38.82333,2464500
1473341400,38.66000,39.14333,38.46667,39.11000,3775800
1473427800,38.87667,39.00000,38.19333,38.20000,4432800
1473687000,38.27000,38.81333,37.97000,38.74000,2699400
1473773400,38.57333,38.79333,37.84333,38.08333,3307500
1473859800,38.21333,38.72333,38.04333,38.24000,2604000
1473946200,38.35667,39.17667,38.28667,38.99000,2946000
1474032600,39.00000,39.05667,38.71333,38.86667,4428000
1474291800,38.87333,39.24000,38.78667,38.91333,2226300
1474378200,39.16667,39.21000,38.83333,39.14000,2646900
1474464600,39.16333,39.79667,39.02333,39.72333,2675400
1474551000,39.94000,40.52667,39.85000,40.29000,4308900
1474637400,40.27667,40.27667,39.73333,39.92333,2931900
1474896600,39.75000,39.87333,39.54000,39.64667,2298000
1474983000,39.69667,40.50333,39.55333,40.40667,3048000
1475069400,40.36000,40.43333,39.90667,40.15333,2027400
1475155800,40.03000,40.57667,39.44333,39.75333,2745000
1475242200,39.88667,40.36000,39.81667,40.18667,2997300
1475501400,39.99333,39.99333,39.48000,39.90333,3164100
1475587800,40.00000,40.15000,39.43667,39.72333,2498400
1475674200,40.33333,40.47667,39.77333,40.00333,3396900
1475760600,39.93000,40.11667,39.66667,39.90667,2077500
1475847000,40.03000,40.20667,39.65667,40.03000,2192700
1476106200,40.08667,40.58333,40.05667,40.45333,1922400
1476192600,40.24667,40.46333,39.18333,39.41667,4220400
1476279000,39.46333,39.69333,39.32333,39.38667,2225700
1476365400,39.20000,39.69333,39.03333,39.55333,3899400
1476451800,39.52000,39.72333,38.65000,38.66667,6042300
1476711000,38.62667,38.79333,38.29000,38.51667,5625000
1476797400,38.84667,39.50000,38.76333,39.40667,4443300
1476883800,39.26333,39.62333,39.20667,39.22000,4101300
1476970200,39.15000,39.66667,39.03667,39.28667,5133000
1477056600,39.01000,39.39000,38.85333,39.22667,3853200
1477315800,39.41333,39.52000,38.97333,39.01000,5289600
1477402200,39.00333,39.00333,37.83333,37.89333,11926500
1477488600,33.10000,33.62000,31.41667,31.41667,50389800
1477575000,31.73333,31.83333,30.44000,30.73333,14952300
1477661400,30.78667,32.26667,30.68333,32.05333,14247300
1477920600,31.48667,31.83000,30.97000,31.74000,14590800
1478007000,31.83333,31.91000,30.52333,30.66667,10176900
1478093400,30.72667,30.74000,29.56333,29.57000,10893600
1478179800,29.74667,30.31667,29.66667,29.76667,10392000
1478266200,29.75333,30.44667,29.72333,29.87667,5561700
1478529000,30.37000,30.74333,30.23333,30.44667,5013000
