time,open,high,low,close,tick_volume
1472540400,1525.00000,1534.00000,1521.00000,1523.00000,1525954
1472626800,1516.00000,1525.00000,1508.00000,1514.00000,1923732
1472713200,1513.00000,1522.74597,1500.18005,1501.00000,1673277
1472799600,1509.00000,1549.00000,1506.00000,1545.00000,2614656
1473058800,1547.00000,1552.90002,1535.00000,1537.00000,922913
1473145200,1536.00000,1543.00000,1521.00000,1524.00000,1776027
1473231600,1526.00000,1549.00000,1522.00000,1543.00000,2231882
1473318000,1557.00000,1571.00000,1537.00000,1542.00000,1914408
1473404400,1536.00000,1542.00000,1513.00000,1516.00000,1132366
1473663600,1502.00000,1510.05005,1494.00000,1509.00000,1151078
1473750000,1512.00000,1520.00000,1503.00000,1503.00000,1719144
1473836400,1504.00000,1521.00000,1504.00000,1514.00000,1877029
1473922800,1518.00000,1545.00000,1512.00000,1545.00000,2578862
1474009200,1546.00000,1553.00000,1535.00000,1538.00000,3073432
1474268400,1549.00000,1568.00000,1549.00000,1564.00000,1682424
1474354800,1565.00000,1581.00000,1562.53003,1563.00000,1867831
1474441200,1563.00000,1571.00000,1554.73499,1558.00000,1529444
1474527600,1572.00000,1584.00000,1565.00000,1578.00000,1610843
1474614000,1572.00000,1579.00000,1567.00000,1569.00000,1041843
1474873200,1569.00000,1569.00000,1545.00000,1550.00000,1356102
1474959600,1560.00000,1563.93896,1538.00000,1544.00000,1807052
1475046000,1545.00000,1556.05005,1543.00000,1551.00000,1310906
1475132400,1545.00000,1565.00000,1541.00000,1552.00000,2280255
1475218800,1542.00000,1545.00000,1532.00000,1544.00000,2106531
1475478000,1546.00000,1574.00000,1543.00000,1569.00000,2218003
1475564400,1577.00000,1606.00000,1572.00000,1594.00000,3603514
1475650800,1592.00000,1597.00000,1570.00000,1572.00000,1523735
1475737200,1583.00000,1593.00000,1577.00000,1586.00000,1902464
1475823600,1593.00000,1600.00000,1579.00000,1587.00000,1742452
1476082800,1592.00000,1600.00000,1585.00000,1593.00000,1076897
1476169200,1588.00000,1599.00000,1577.00000,1579.00000,912722
1476255600,1576.00000,1579.00000,1558.00000,1562.00000,1309949
1476342000,1563.00000,1573.00000,1549.90002,1572.00000,1501100
1476428400,1571.00000,1597.00000,1571.00000,1591.00000,1433941
1476687600,1591.00000,1593.00000,1577.00000,1582.00000,1876911
1476774000,1585.00000,1591.00000,1574.00000,1577.00000,1242857
1476860400,1581.00000,1589.55798,1573.00000,1589.00000,1334437
1476946800,1590.00000,1593.00000,1576.94995,1588.00000,924029
1477033200,1583.00000,1589.00000,1572.00000,1582.00000,1197856
1477292400,1586.00000,1599.00000,1562.53101,1563.00000,1257521
1477378800,1571.00000,1581.00000,1560.00000,1564.00000,1387379
1477465200,1565.00000,1569.00000,1544.00000,1560.00000,1530145
1477551600,1553.00000,1570.00000,1547.00000,1568.00000,2000481
1477638000,1560.00000,1566.64697,1545.00000,1561.00000,1504630
1477900800,1555.00000,1582.00000,1553.00000,1573.00000,1889365
1477987200,1573.00000,1582.00000,1558.00000,1564.00000,2483228
1478073600,1562.00000,1562.00000,1529.00000,1530.00000,2319602
1478160000,1526.00000,1537.00000,1501.00000,1502.00000,2849012
1478246400,1496.00000,1502.00000,1485.00000,1493.00000,2380922
1478505600,1505.00000,1513.00000,1491.38696,1505.00000,1669676
1478592000,1497.00000,1520.00000,1497.00000,1517.00000,2555211
1478678400,1448.00000,1485.00000,1405.00000,1467.00000,4341481
1478764800,1474.00000,1476.00000,1435.00000,1444.00000,3543922
1478851200,1443.00000,1449.00000,1393.00000,1402.00000,3902211
1479110400,1413.00000,1420.00000,1380.00000,1383.00000,3241399
1479196800,1390.00000,1401.00000,1381.00000,1396.00000,3583144
1479283200,1401.00000,1421.00000,1398.00000,1402.00000,4057189
1479369600,1406.00000,1426.00000,1401.00000,1425.00000,2755491
1479456000,1427.00000,1431.00000,1418.00000,1430.00000,3332469
1479715200,1436.00000,1450.00000,1424.00000,1449.00000,3616790
1479801600,1460.00000,1466.00000,1447.66003,1452.00000,3040210
1479888000,1453.00000,1468.00000,1451.00000,1457.00000,2233721
1479974400,1454.00000,1462.00000,1448.00000,1462.00000,1322672
1480060800,1467.00000,1478.00000,1454.00000,1477.00000,1427166
1480320000,1471.00000,1490.14099,1459.00000,1490.00000,5245916
1480406400,1492.00000,1500.50000,1480.00000,1500.00000,3250217
1480492800,1504.00000,1515.00000,1492.00000,1510.00000,4580651
1480579200,1503.00000,1507.00000,1492.00000,1500.00000,3446912
1480665600,1491.00000,1515.00000,1477.00000,1512.00000,2414778
1480924800,1504.00000,1523.00000,1493.85095,1494.00000,2627065
1481011200,1489.00000,1501.55005,1473.00000,1488.00000,2908310
1481097600,1489.00000,1505.00000,1478.00000,1505.00000,2374950
1481184000,1519.00000,1519.00000,1489.00000,1496.00000,3376375
1481270400,1502.00000,1509.00000,1496.00000,1507.00000,2343692
1481529600,1508.00000,1511.00000,1483.00000,1489.00000,2110344
1481616000,1486.00000,1505.00000,1476.00000,1500.00000,2587507
1481702400,1496.00000,1503.00000,1489.00000,1501.00000,2076888
1481788800,1493.00000,1504.00000,1484.00000,1499.00000,1839084
1481875200,1502.00000,1514.00000,1498.00000,1512.00000,2143298
1482134400,1516.00000,1519.00000,1500.00000,1517.00000,1220219
1482220800,1518.00000,1519.00000,1507.00000,1509.00000,1364277
1482307200,1504.00000,1530.00000,1503.00000,1525.00000,3825497
1482393600,1522.00000,1553.00000,1522.00000,1545.00000,1648048
1482480000,1548.00000,1558.00000,1546.00000,1553.00000,866912
1482912000,1555.00000,1573.47205,1549.28601,1573.00000,1456533
1482998400,1558.00000,1575.00000,1554.00000,1575.00000,1040376
1483084800,1571.00000,1579.00000,1562.00000,1574.00000,903146
1483430400,1584.00000,1606.00000,1581.00000,1586.00000,2433548
1483516800,1590.00000,1590.00000,1572.00000,1580.00000,1706779
1483603200,1583.00000,1584.87903,1563.03406,1569.00000,1830959
1483689600,1568.00000,1576.00000,1563.00000,1569.00000,1587657
1483948800,1568.00000,1588.00000,1560.00000,1579.00000,1736562
1484035200,1577.00000,1590.00000,1573.00000,1579.00000,1751616
1484121600,1580.00000,1585.00000,1567.00000,1583.00000,2097519
1484208000,1582.00000,1602.00000,1581.00000,1597.00000,1437828
1484294400,1603.00000,1607.00000,1592.00000,1601.00000,1263648
1484553600,1599.00000,1618.00000,1591.00000,1612.00000,1373973
1484640000,1606.00000,1611.00000,1576.00000,1578.00000,2115692
1484726400,1562.00000,1569.00000,1488.00000,1551.00000,3981120
1484812800,1551.00000,1553.00000,1529.00000,1534.00000,2900360
1484899200,1549.00000,1560.00000,1530.00000,1539.00000,2797441
1485158400,1535.00000,1538.00000,1528.00000,1534.00000,1648164
1485244800,1534.00000,1544.00000,1519.00000,1539.00000,2317264
1485331200,1543.00000,1551.00000,1538.00000,1545.00000,1881388
1485417600,1551.00000,1551.00000,1530.00000,1532.00000,1785059
1485504000,1535.00000,1549.00000,1531.00000,1549.00000,2047117
1485763200,1544.00000,1552.00000,1537.00000,1547.00000,1257611
1485849600,1548.00000,1554.00000,1529.00000,1529.00000,2711361
1485936000,1539.00000,1549.00000,1529.00000,1532.00000,1662247
1486022400,1528.00000,1559.00000,1525.00000,1553.00000,1859219
1486108800,1559.00000,1566.00000,1549.00000,1555.00000,1928085
1486368000,1552.00000,1567.00000,1551.00000,1558.00000,1334971
1486454400,1555.00000,1575.98901,1554.00000,1560.00000,1390436
1486540800,1558.00000,1562.00000,1555.00000,1560.00000,1186160
1486627200,1564.00000,1569.00000,1555.00000,1564.00000,1222206
1486713600,1560.00000,1572.00000,1560.00000,1565.00000,1585331
1486972800,1558.00000,1571.00000,1557.00000,1568.00000,1452626
1487059200,1568.00000,1569.00000,1554.00000,1565.00000,1179300
1487145600,1570.00000,1577.00000,1564.00000,1577.00000,1416376
1487232000,1577.00000,1600.00903,1577.00000,1597.00000,2272195
1487318400,1600.00000,1615.04395,1594.00000,1608.00000,3045306
1487577600,1612.00000,1618.36206,1603.00000,1608.00000,1132673
1487664000,1611.00000,1615.00000,1587.00000,1587.00000,1790320
1487750400,1587.00000,1605.00000,1585.00000,1602.00000,1924936
1487836800,1605.00000,1611.00000,1591.35999,1593.00000,1678314
1487923200,1592.00000,1596.00000,1578.00000,1593.00000,1156527
1488182400,1602.00000,1606.00000,1591.00000,1601.00000,803843
1488268800,1603.00000,1610.00000,1595.00000,1597.00000,2215325
1488355200,1598.00000,1619.00000,1590.00000,1619.00000,2042683
1488441600,1618.00000,1626.00000,1603.00000,1623.00000,1660046
1488528000,1615.00000,1619.56006,1604.00000,1614.00000,1246536
1488787200,1613.00000,1613.00000,1598.00000,1605.00000,888354
1488873600,1611.00000,1619.00000,1606.00000,1609.00000,1168708
1488960000,1605.00000,1624.00000,1605.00000,1621.00000,1244028
1489046400,1623.00000,1623.00000,1609.00000,1620.00000,1684114
1489132800,1622.00000,1636.00000,1621.00000,1626.00000,1189726
1489392000,1627.00000,1641.00000,1620.00000,1638.00000,1163597
1489478400,1644.00000,1649.00000,1630.00000,1634.00000,1473121
1489564800,1640.00000,1644.00000,1627.00000,1639.00000,1098253
1489651200,1644.00000,1648.00000,1624.00000,1631.00000,1608978
