time,open,high,low,close,tick_volume
1552483800,38.60000,39.30000,38.00000,39.20000,306000
1552570200,39.50000,40.65000,39.32000,39.96000,279700
1552656600,40.55000,41.05000,40.50000,41.02000,164200
1552915800,41.73000,41.73000,40.47000,40.86000,581700
1553002200,41.40000,41.40000,39.05000,39.55000,2540200
1553088600,39.85000,39.85100,37.46000,37.60000,5147900
1553175000,38.00000,38.91000,37.84000,38.88000,8865500
1553261400,38.76000,38.84000,36.55000,37.46000,4902500
1553520600,37.57000,37.81000,36.35000,36.45000,4035100
1553607000,36.46000,37.35000,36.46000,36.71000,3350900
1553693400,36.75000,37.17000,36.06000,36.20000,2871300
1553779800,36.14000,36.47000,35.55000,35.67000,2220600
1553866200,35.88000,36.17000,35.39000,35.88000,2679200
1554125400,36.17000,36.34000,35.94000,36.15000,4338400
1554211800,36.21000,36.46000,35.21000,35.70000,1491200
1554298200,35.78000,35.89000,35.30000,35.50000,2831600
1554384600,35.56000,36.07000,35.39000,36.03000,2223200
1554471000,35.99000,37.09000,35.94000,36.98000,2116200
1554730200,36.94000,36.94000,36.65000,36.85000,1929000
1554816600,36.81000,37.07000,36.59000,36.89000,1793900
1554903000,36.91000,37.05000,35.86000,35.93000,843600
1554989400,35.98000,36.50000,35.53000,36.41000,978200
1555075800,36.47000,37.08000,35.92000,36.95000,3175200
1555335000,36.91000,36.99000,36.47000,36.98000,891200
1555421400,37.11000,37.28000,36.93000,37.21000,1869000
1555507800,37.18000,38.25000,37.18000,38.21000,2122100
1555594200,38.34000,38.37000,37.92000,37.92000,2315200
1555939800,37.84000,37.88000,37.11000,37.24000,1665000
1556026200,37.22000,37.82000,37.07000,37.60000,5455100
1556112600,37.51000,37.76000,37.33000,37.45000,1230800
1556199000,37.48000,37.68000,37.04000,37.64000,1422800
1556285400,37.80000,37.94000,37.40000,37.91000,2505700
1556544600,37.74000,38.91000,37.69000,38.73000,1716800
1556631000,38.59000,38.78000,37.89000,38.50000,1810000
1556717400,38.66000,38.80000,38.09000,38.74000,1475000
1556803800,38.75000,38.80000,36.50000,36.84000,2627700
1556890200,36.86000,37.26000,36.64000,37.02000,1229700
1557149400,36.72000,37.40000,36.47000,37.31000,1533900
1557235800,36.97000,37.22000,36.57500,36.70000,1412300
1557322200,36.56000,37.08000,36.27000,36.82000,2108700
1557408600,38.08000,38.63000,36.95000,37.97000,3458200
1557495000,37.90000,38.25000,36.98000,38.05000,1633500
1557754200,37.48000,38.15000,37.22000,37.50000,1598400
1557840600,37.54000,38.02500,37.40500,37.48000,1663100
1557927000,37.24000,37.48000,37.13000,37.23000,873900
1558013400,37.28000,37.60000,36.28000,36.32000,2680000
1558099800,36.08000,37.07000,36.08000,36.83000,1084400
1558359000,36.54000,37.14000,36.54000,36.68000,996400
1558445400,36.82000,37.52500,36.64000,37.18000,1272400
1558531800,37.10000,37.29000,36.62000,36.67000,830200
1558618200,36.39000,36.63000,36.18000,36.51000,1860100
1558704600,36.51000,36.76000,36.40000,36.45000,828100
1559050200,36.59000,36.95000,36.11000,36.16000,2384600
1559136600,36.00000,36.16000,35.28000,35.30000,1437600
1559223000,35.36000,35.69500,34.69000,34.81000,1079700
1559309400,34.55000,34.81000,34.25000,34.71000,1736500
1559568600,34.61000,34.81000,33.32000,33.78000,2219500
1559655000,34.03000,34.81000,33.75000,34.09000,2276200
1559741400,34.24000,34.57000,33.90000,34.02000,1346900
1559827800,34.01000,34.23000,33.60000,33.74000,1209100
1559914200,33.84000,34.05000,33.66000,33.68000,925100
1560173400,33.86000,34.03800,33.56000,33.74000,1142800
1560259800,33.77000,34.04000,33.65000,33.83000,1201800
1560346200,33.81000,34.73500,33.80000,34.70000,2240300
1560432600,34.96000,35.12000,34.60000,34.94000,1315400
1560519000,34.99000,35.16000,34.56000,34.96000,2414700
1560778200,35.18000,35.96500,35.04000,35.80000,2288000
1560864600,36.09000,36.72000,35.71000,35.83000,2680900
1560951000,35.88000,36.08000,35.35000,35.74000,2011500
1561037400,36.15000,36.15000,35.31000,35.35000,1879700
1561123800,35.36000,37.00000,35.04000,35.88000,4338300
1561383000,35.72000,35.79000,35.39000,35.54000,1621000
1561469400,35.45000,35.52000,34.90000,35.19000,1853700
1561555800,35.46000,35.89000,35.16000,35.31000,2271900
1561642200,35.36000,36.12000,35.06000,35.75000,2880900
1561728600,35.89000,36.64000,35.67000,36.53000,4921100
1561987800,36.82000,36.87000,35.71500,35.96000,2608800
1562074200,35.96000,36.57000,35.96000,36.53000,1431200
1562160600,36.70000,36.77000,36.31000,36.35000,918900
1562333400,36.28000,36.77000,36.07000,36.56000,1190600
1562592600,36.36000,36.93500,36.05000,36.13000,910700
1562679000,35.98000,36.29000,35.79000,36.01000,1661300
1562765400,36.11000,36.41000,36.03000,36.14000,1177600
1562851800,36.13000,36.37000,35.85000,36.31000,1206500
1562938200,36.32000,37.01000,36.32000,36.96000,1582900
1563197400,37.12000,37.21000,36.61000,37.04000,1344900
1563283800,37.08000,37.11000,36.61000,36.69000,1613100
1563370200,36.62000,36.72000,36.09300,36.17000,1892200
1563456600,36.10000,36.76000,36.00000,36.61000,3001300
1563543000,36.71000,36.76000,36.20000,36.45000,1934300
1563802200,36.47000,36.64000,36.28000,36.32000,1557800
1563888600,36.35000,36.75000,35.99000,36.51000,2003200
1563975000,36.46000,37.08000,36.44000,36.89000,1233500
1564061400,36.91000,37.54000,36.90000,37.43000,1411800
1564147800,37.37000,38.03000,37.33000,37.49000,915600
1564407000,37.44000,37.84000,37.34000,37.69000,885800
1564493400,37.50000,38.06000,37.50000,37.85000,1825500
1564579800,37.70000,37.70000,36.77200,37.20000,1831300
1564666200,37.16000,37.45000,36.69000,36.84000,1757900
1564752600,36.84000,36.85000,36.29000,36.56000,1113400
1565011800,36.28000,36.48000,35.75000,36.00000,2043700
1565098200,35.93000,36.51000,35.85000,36.40000,1536300
1565184600,36.05000,36.93000,35.76000,36.79000,1784900
1565271000,37.34000,37.34000,34.89000,35.00000,3361100
1565357400,34.95000,35.56000,34.88000,35.37000,1337100
1565616600,35.28000,35.28000,34.67000,34.81000,1335100
1565703000,34.67000,35.53000,34.67000,35.00000,1708100
1565789400,34.78000,34.78000,33.37000,33.66000,1372300
1565875800,33.65000,34.03000,32.71000,32.81000,2007500
1565962200,33.09000,33.29000,32.71000,33.01000,1399300
1566221400,33.31000,33.90000,33.30000,33.60000,1622600
1566307800,33.50000,33.82000,33.25000,33.36000,1711200
1566394200,33.47000,33.51000,32.87000,33.15000,1408700
1566480600,33.19000,33.34000,32.73000,32.82000,1438800
1566567000,32.66000,32.72000,31.33000,31.44000,1459900
1566826200,31.67000,31.82000,31.28000,31.71000,1508600
1566912600,31.90000,32.05000,31.61000,31.62000,1763500
1566999000,31.67000,31.94000,31.33000,31.56000,1002000
1567085400,31.78000,32.80000,31.66500,32.45000,1727100
1567171800,33.27000,33.31000,32.47000,32.80000,1295500
1567517400,32.40000,32.73500,32.16000,32.43000,904800
1567603800,32.65000,33.26000,32.53500,33.21000,970400
1567690200,33.52000,34.03000,33.23000,33.91000,965300
1567776600,33.95000,34.35000,33.73000,33.87000,875100
1568035800,33.68000,34.02000,33.31000,33.99000,792500
1568122200,33.76000,34.42000,33.76000,34.22000,1421800
1568208600,34.10000,34.23000,33.62000,33.97000,1073800
1568295000,34.12000,34.12000,33.59000,33.70000,1159600
1568381400,33.68000,34.08000,33.45000,33.71000,938800
1568640600,33.52000,33.66000,33.35000,33.49000,653100
1568727000,33.46000,33.46000,32.72000,32.82000,890000
1568813400,32.68000,32.84000,32.03000,32.50000,1207900
1568899800,32.57000,32.66000,31.90000,31.97000,629400
1568986200,31.89000,32.30000,31.63000,32.08000,1538800
1569245400,32.16000,32.33500,31.88000,32.18000,841400
1569331800,32.32000,32.35000,31.40000,31.53000,1201700
1569418200,31.48000,32.17000,31.48000,32.00000,1456400
1569504600,32.06000,32.06000,31.35000,31.47000,1314000
1569591000,31.51000,31.71000,31.13000,31.48000,860400
1569850200,31.68000,31.85000,31.34000,31.54000,700200
1569936600,31.70000,32.01000,31.13000,31.18000,880700
1570023000,30.99000,31.20000,30.26000,30.31000,1123900
1570109400,30.25000,30.43000,29.67000,30.39000,1061100
1570195800,30.50000,30.78000,30.34000,30.48500,996300
1570455000,30.51000,31.04000,30.48000,30.49000,951500
1570541400,30.21000,30.21000,29.61000,30.03500,1232500
1570627800,30.21000,30.41000,29.94000,30.26000,1147600
1570714200,30.22000,30.53000,30.05000,30.42500,1161300
1570800600,30.65000,31.48000,30.63000,31.16000,1571700
1571059800,31.06000,31.13000,30.74500,31.01000,1178700
1571146200,31.02000,31.51000,30.80000,31.44000,1148900
1571232600,31.35000,31.59000,31.26000,31.58500,1159900
1571319000,31.50000,31.72000,31.15000,31.49000,2047600
1571405400,31.63000,32.07000,31.48000,31.52500,2453800
1571664600,31.71000,32.15500,31.57000,32.09000,1581800
1571751000,32.16000,32.86000,31.92800,32.77000,1518800
1571837400,32.87000,33.01000,32.50000,32.61000,905100
1571923800,32.56000,32.73000,31.20000,31.60000,1454000
1572010200,31.62000,32.06000,31.62000,31.70000,1280500
1572269400,31.72000,32.66000,31.72000,32.21000,2133600
1572355800,32.16000,32.21000,31.84000,32.05000,1105600
1572442200,31.98000,32.06000,31.30000,31.36000,1198100
1572528600,31.17000,31.26000,30.94300,31.24000,1528000
1572615000,31.36000,31.96000,31.18000,31.86000,2991700
1572877800,32.04000,32.04000,31.73000,31.90000,1461400
1572964200,31.90000,32.45000,31.90000,32.15000,2289200
1573050600,32.18000,32.46000,31.67000,32.33000,1425800
1573137000,33.15000,34.26500,32.74000,34.25000,2728600
1573223400,34.14000,34.52000,33.91000,34.43000,1551500
1573482600,34.24000,34.33000,33.94000,34.22000,768800
1573569000,34.21000,34.37000,33.75500,33.81000,995800
1573655400,33.63000,33.96000,33.47000,33.57000,994800
1573741800,33.46000,33.78000,33.28000,33.45000,1251300
1573828200,33.75000,33.97000,33.39000,33.59500,1682400
1574087400,33.58000,34.48000,33.55000,34.46000,1344300
1574173800,34.67000,35.48000,34.47000,35.43000,1301600
1574260200,35.19000,35.55000,34.90000,34.99500,1548900
1574346600,35.00000,35.43000,34.69000,34.78000,979500
1574433000,34.77000,35.17000,34.75000,34.87500,1139800
1574692200,34.88000,35.00000,34.58000,34.85000,1108800
1574778600,34.88000,35.29000,34.78000,35.19000,1473000
1574865000,35.30000,35.39000,34.89500,35.03000,757300
1575037800,34.90000,35.21000,34.62000,34.98000,528700
1575297000,34.96000,35.23000,34.74500,34.81500,1014400
1575383400,34.54000,34.63000,33.99000,34.35000,1072000
1575469800,34.29000,34.84000,34.19000,34.64000,1198100
1575556200,34.79000,35.00000,34.45000,34.63500,1203100
1575642600,34.88000,35.05000,34.53500,34.60000,892900
1575901800,34.67000,35.18000,34.51000,34.79000,1049300
1575988200,34.77000,35.16000,34.48000,34.92000,1210700
1576074600,35.02000,35.71000,35.02000,35.29000,1647300
1576161000,35.38000,36.06000,35.24000,35.96000,1350800
1576247400,35.92000,36.11000,35.64000,35.86000,1363600
1576506600,36.03000,36.18000,35.81000,35.89000,1097800
1576593000,35.87000,36.33000,35.56000,36.24000,1019300
1576679400,36.28000,36.40000,35.96000,36.00000,1880800
1576765800,35.90000,36.22000,35.84000,36.05000,1098600
1576852200,36.14000,36.39300,35.85000,36.22000,2579000
1577111400,36.16000,36.79000,36.16000,36.63000,1149200
1577197800,36.61000,36.80000,36.49000,36.50000,347100
1577370600,36.64000,36.86000,36.50000,36.80000,696700
1577457000,36.95000,36.95000,36.55000,36.72500,832800
1577716200,36.79000,36.86000,36.39000,36.44000,894000
1577802600,36.32000,36.52500,36.14500,36.40000,988400
1577975400,36.50000,36.75000,35.96500,36.46000,1153800
1578061800,36.01000,36.35000,36.01000,36.10000,940300
1578321000,35.94000,36.14000,35.73000,36.01500,792600
1578407400,35.89000,36.58000,35.83000,36.47000,955700
1578493800,36.58000,36.92000,36.36000,36.42000,1799500
1578580200,36.50000,36.67000,36.20000,36.50000,851000
1578666600,36.55000,36.59000,35.99000,36.08500,1067100
1578925800,36.09000,36.47000,35.82000,36.30000,1207000
1579012200,36.13000,36.77000,35.91200,36.54000,1441500
1579098600,36.57000,36.86000,36.48000,36.79000,889600
1579185000,36.91000,38.26000,36.87000,38.23000,1835100
1579271400,38.31000,38.84000,38.31000,38.57500,1662700
1579617000,38.40000,38.54000,38.09000,38.41000,1416700
1579703400,38.41000,38.60000,38.13000,38.40000,1321200
1579789800,38.11000,38.13000,36.70000,36.90000,2407400
1579876200,36.94000,36.94000,35.64000,36.04000,2762300
1580135400,35.81000,36.42000,35.66000,36.37000,1838800
1580221800,36.50000,36.82000,36.17000,36.62000,1353100
1580308200,36.38000,36.63000,35.87500,35.99000,876100
1580394600,35.60000,36.48000,35.53000,36.46000,978500
1580481000,36.35000,36.57000,35.84900,36.33000,1604300
