time,open,high,low,close,tick_volume
1472540400,1763.00000,1766.00000,1678.00000,1690.00000,1507417
1472626800,1679.00000,1692.00000,1605.00000,1606.00000,1748882
1472713200,1603.00000,1633.00000,1572.00000,1619.00000,1574562
1472799600,1619.00000,1697.00000,1609.00000,1668.00000,1869819
1473058800,1679.00000,1715.00000,1665.00000,1673.00000,955189
1473145200,1681.00000,1712.00000,1677.00000,1694.00000,1310252
1473231600,1706.00000,1733.00000,1702.00000,1719.00000,1015188
1473318000,1723.00000,1727.00000,1693.00000,1697.00000,951444
1473404400,1688.00000,1697.00000,1630.00000,1640.00000,961295
1473663600,1622.00000,1641.00000,1599.00000,1635.00000,926667
1473750000,1649.00000,1682.00000,1603.00000,1612.00000,933388
1473836400,1616.00000,1677.00000,1612.00000,1635.00000,946266
1473922800,1647.00000,1663.00000,1606.00000,1646.00000,1232791
1474009200,1641.00000,1641.00000,1593.00000,1616.00000,1689793
1474268400,1633.00000,1685.27100,1633.00000,1670.00000,701767
1474354800,1670.00000,1702.00000,1666.00000,1670.00000,873798
1474441200,1677.00000,1716.00000,1673.00000,1713.00000,1048806
1474527600,1759.00000,1806.00000,1757.00000,1802.00000,1184416
1474614000,1766.00000,1808.00000,1747.00000,1786.00000,931282
1474873200,1777.00000,1806.00000,1763.00000,1790.00000,858496
1474959600,1809.00000,1825.00000,1774.00000,1776.00000,1178836
1475046000,1783.00000,1803.00000,1761.00000,1777.00000,775870
1475132400,1825.00000,1843.00000,1799.00000,1810.00000,1051817
1475218800,1799.00000,1858.00000,1795.00000,1814.00000,1437428
1475478000,1814.00000,1858.00000,1805.00000,1827.00000,859567
1475564400,1820.00000,1851.00000,1722.00000,1724.00000,2006096
1475650800,1699.00000,1706.00000,1659.00000,1675.00000,1584623
1475737200,1678.00000,1695.00000,1613.84998,1614.00000,1484456
1475823600,1628.00000,1714.00000,1612.61499,1665.00000,1957513
1476082800,1686.00000,1709.00000,1680.00000,1685.00000,948261
1476169200,1687.00000,1703.00000,1638.00000,1647.00000,1092708
1476255600,1645.00000,1659.00000,1607.64001,1636.00000,1179422
1476342000,1640.00000,1696.00000,1639.00000,1666.00000,1609662
1476428400,1689.00000,1695.00000,1616.00000,1620.00000,1156090
1476687600,1616.00000,1619.00000,1595.00000,1608.00000,955086
1476774000,1628.00000,1662.00000,1618.00000,1635.00000,934948
1476860400,1643.00000,1667.00000,1620.00000,1651.00000,1354293
1476946800,1655.00000,1656.00000,1624.00000,1650.00000,959401
1477033200,1653.00000,1659.00000,1634.00000,1646.00000,1156039
1477292400,1653.00000,1678.00000,1613.00000,1613.00000,1038526
1477378800,1628.00000,1648.35999,1612.00000,1643.00000,943443
1477465200,1632.00000,1642.00000,1599.00000,1608.00000,1041482
1477551600,1614.00000,1629.00000,1586.00000,1614.00000,664860
1477638000,1607.00000,1626.00000,1585.78601,1612.00000,753275
1477900800,1617.00000,1646.00000,1609.00000,1640.00000,1151847
1477987200,1649.00000,1722.00000,1640.00000,1718.00000,1607910
