time,open,high,low,close,tick_volume
1600263000,71.27000,77.00000,64.03000,64.79000,14493200
1600349400,60.75000,68.50000,60.00000,64.46000,3069000
1600435800,63.42000,66.40000,62.50000,64.78000,967200
1600695000,63.00000,68.25000,62.59200,67.00000,1046700
1600781400,69.25000,79.38500,64.00000,77.71000,4117800
1600867800,77.70000,83.50000,71.66000,75.50000,2604000
1600954200,73.65000,81.20700,72.35000,72.46000,1249200
1601040600,74.00000,77.17400,72.98000,75.73000,873800
1601299800,77.48000,87.11000,76.05000,86.35000,2190100
1601386200,85.20000,90.80000,82.10000,85.47000,1978800
1601472600,85.83000,88.85600,81.70000,84.65000,1447300
1601559000,86.01000,86.49000,77.28000,79.01000,2861800
1601645400,75.00000,78.69000,74.00000,75.75000,902600
1601904600,78.70000,79.99000,76.10000,78.01000,393800
1601991000,78.64000,78.99000,74.10700,74.62000,503200
1602077400,74.89000,76.03000,72.35000,73.00000,724300
1602163800,75.00000,75.00000,69.20000,73.37000,928200
1602250200,73.74000,76.85000,72.25000,74.00000,1147800
1602509400,76.94000,77.38000,74.50000,76.73000,855400
1602595800,76.00000,76.00000,73.48000,73.62000,633100
1602682200,74.33000,76.90000,73.58500,73.80000,780700
1602768600,73.14000,75.13000,71.82000,75.01000,405100
1602855000,75.17000,81.29000,74.44000,80.18000,1002200
1603114200,80.00000,86.99000,77.31000,78.14000,1638300
1603200600,79.66000,83.88000,79.21200,81.77000,757100
1603287000,81.53000,86.19000,77.30000,77.40000,625400
1603373400,78.65000,81.84000,75.61000,80.88000,616900
1603459800,81.21000,85.50000,79.37000,85.25000,718600
1603719000,82.90000,95.20000,82.01000,85.07000,2717800
1603805400,85.90000,88.36000,80.17600,81.56000,1124000
1603891800,78.77000,79.37900,74.00000,74.44000,970300
1603978200,75.93000,80.31000,74.38000,76.30000,679500
1604064600,75.69000,75.69000,69.53000,72.43000,733100
1604327400,73.64000,74.00000,68.72000,70.49000,674100
1604413800,71.00000,73.22000,69.48000,71.81000,567600
1604500200,74.71000,74.71000,70.17000,71.86000,1070400
1604586600,68.50000,68.50000,64.04000,64.97000,4569500
1604673000,65.20000,67.14000,63.38100,64.42000,1928400
1604932200,64.50000,65.80000,60.01000,60.15000,1603000
1605018600,60.50000,61.87000,57.18000,59.60000,1942700
1605105000,60.97000,62.56000,60.20000,61.05000,970200
1605191400,61.01000,63.40000,59.14500,59.99000,1091100
1605277800,60.57000,63.24000,60.25000,62.47000,865100
1605537000,62.04000,63.42000,61.47000,63.40000,542900
1605623400,63.01000,64.74000,61.75000,61.98000,719200
1605709800,62.16000,64.40000,61.65000,63.27000,861400
1605796200,63.30000,63.90000,61.86000,62.12000,556000
1605882600,61.85000,62.29700,60.26000,61.23000,960400
1606141800,60.00000,60.88000,57.14200,60.48000,2567800
1606228200,61.50000,63.87000,59.64000,59.73000,2310000
1606314600,59.70900,67.83000,59.42000,66.69000,4750300
1606487400,69.00000,70.99000,65.51000,69.37000,3161400
1606746600,70.22000,72.35800,67.40000,70.36000,3512100
1606833000,70.50000,71.35000,67.14000,69.26000,1816900
1606919400,65.82000,68.30000,65.07000,65.70000,1131600
1607005800,67.00000,69.83000,66.50000,68.22000,1047900
1607092200,67.71000,68.50000,66.81000,68.12000,1259900
1607351400,68.89000,73.61000,67.88000,69.77000,2659800
1607437800,70.38000,71.27000,67.60000,68.57000,1630000
1607524200,69.59000,70.30000,65.69000,67.54000,1597200
1607610600,65.71000,68.99000,65.68100,68.18000,879600
1607697000,68.14000,68.70000,66.01000,68.34000,1120200
1607956200,69.12000,69.76000,66.85000,68.07000,977900
1608042600,68.33000,68.66000,64.39000,65.44000,2000300
1608129000,65.71000,66.24000,62.43000,63.20000,1637100
1608215400,63.66000,67.76000,62.52000,67.23000,1856500
1608301800,67.03000,68.99000,66.01000,68.90000,2004100
1608561000,67.50000,69.03000,66.26000,68.08000,889800
1608647400,68.62600,68.94000,65.61000,67.52000,1873800
1608733800,67.48000,68.94000,66.09500,67.80000,1587100
1608820200,67.85000,72.28000,66.63000,68.82000,2314800
1609165800,69.46000,69.85000,63.02000,63.59000,2029300
1609252200,64.27000,65.81600,62.58000,64.67000,1132600
1609338600,64.22000,65.20000,64.05000,64.74000,583300
1609425000,64.71000,64.78800,61.81000,62.83000,1148500
1609770600,62.35000,62.70000,59.73000,60.37000,1416900
1609857000,60.80000,61.65000,60.01000,61.48000,983000
1609943400,60.75000,60.80000,59.22000,59.54000,1367100
1610029800,60.00000,62.15000,59.86000,62.07000,1483000
1610116200,62.22000,63.55000,61.28500,62.59000,853300
1610375400,62.00000,63.28000,60.50000,61.93000,710600
1610461800,62.80000,63.00000,61.06600,62.98000,581800
1610548200,62.52000,64.01000,62.18000,63.87000,717200
1610634600,64.04400,64.86000,61.85000,62.00000,688000
1610721000,62.15000,62.48000,59.61000,59.65000,989600
1611066600,60.80000,60.85000,58.90000,60.43000,898100
1611153000,61.27000,61.47000,59.83000,61.42000,1215500
1611239400,61.50000,63.85000,60.52400,63.54000,818000
1611325800,63.64000,65.22500,63.00000,64.74000,1129800
1611585000,65.76000,69.59000,65.66000,67.36000,2107700
1611671400,68.17000,70.44000,67.45100,69.81000,1418200
1611757800,67.18000,70.01000,66.32000,69.93000,1825300
1611844200,69.10000,69.90000,64.63000,64.63000,925800
1611930600,64.72000,65.24000,61.54000,62.47000,876600
1612189800,63.09000,63.68000,60.90000,62.61000,678400
1612276200,63.60000,65.18500,62.88900,63.89000,493500
1612362600,63.90000,64.69100,62.85000,63.30000,354000
1612449000,63.46000,63.96500,62.69000,63.46000,456600
1612535400,64.00000,67.23000,63.01000,67.22000,843700
1612794600,67.87000,69.20000,65.89000,66.00000,754700
1612881000,67.12000,67.37000,65.15000,65.99000,560900
1612967400,67.27000,67.63000,64.71000,65.96000,1058000
1613053800,64.58300,71.78000,63.56000,65.93000,3381600
1613140200,65.61000,70.82000,65.61000,65.80000,1794400
1613485800,67.69000,70.00000,67.13000,69.23000,1214200
1613572200,67.69000,67.69000,64.61000,66.37000,2290100
1613658600,64.33000,67.79000,62.82000,66.40000,1659800
1613745000,66.54000,68.57000,66.11000,66.84000,3118800
1614004200,64.83000,65.92000,60.98000,61.36000,3198700
1614090600,59.30000,60.51000,56.12000,59.78000,2072000
