time,open,high,low,close,tick_volume
1472477400,7.14000,7.21800,7.12400,7.13400,6649000
1472563800,7.27600,7.32800,7.22400,7.27000,6478500
1472650200,7.18000,7.24800,7.11800,7.22800,5670000
1472736600,7.22200,7.39400,7.17400,7.32800,8919000
1472823000,7.36000,7.40600,7.31800,7.36600,6551000
1473168600,7.36400,7.44400,7.33800,7.35800,5574000
1473255000,7.35800,7.46000,7.35200,7.40000,6963000
1473341400,7.39600,7.40400,7.25200,7.27800,4598000
1473427800,7.24600,7.28600,7.15000,7.15200,4729500
1473687000,7.10800,7.20800,7.06400,7.18400,6855500
1473773400,7.16200,7.18400,7.04600,7.08800,5193500
1473859800,7.11000,7.17400,7.03800,7.06200,4906000
1473946200,7.02800,7.17600,7.01200,7.13400,5535000
1474032600,7.13600,7.16200,7.07000,7.10400,12518000
1474291800,7.17600,7.20600,7.12200,7.15200,6651000
1474378200,7.16200,7.19000,7.07600,7.08400,4262500
1474464600,7.08800,7.19800,7.08400,7.19000,5203000
1474551000,7.26000,7.36600,7.22400,7.27800,6119500
1474637400,7.42200,7.45600,7.24800,7.26600,7881000
1474896600,7.22400,7.28800,7.20600,7.22600,6013500
1474983000,7.23200,7.26800,7.19000,7.21800,5266500
1475069400,7.24600,7.27200,7.19200,7.26000,4666000
1475155800,7.23200,7.27400,7.16400,7.18600,5225000
1475242200,7.22000,7.40600,7.21600,7.38600,10654500
1475501400,7.38000,7.49600,7.36600,7.38800,9015000
1475587800,7.38600,7.49400,7.33200,7.36200,6440000
1475674200,7.35600,7.45600,7.31600,7.32000,10912000
1475760600,7.35000,7.35000,7.13000,7.13800,8122500
1475847000,7.15400,7.16400,6.99600,6.99800,9166500
1476106200,7.06400,7.07600,6.97200,6.99800,9955000
1476192600,6.98000,7.00600,6.78400,6.81800,20989500
1476279000,5.81600,6.21400,5.80000,6.13200,106244000
1476365400,6.12000,6.27400,6.00000,6.23800,39068000
1476451800,6.29400,6.31200,6.10800,6.20200,19826000
1476711000,6.18400,6.25600,6.15200,6.19200,12775000
1476797400,6.22800,6.26000,6.17400,6.19800,7669000
1476883800,6.18200,6.27200,6.16000,6.22200,11484500
1476970200,6.22400,6.29200,6.19200,6.26600,9864500
1477056600,6.29800,6.38800,6.23600,6.36000,12560000
1477315800,6.36800,6.40000,6.24200,6.24800,9174000
1477402200,6.27400,6.27400,6.13200,6.13400,7998500
1477488600,6.12800,6.14600,6.02600,6.03600,13956000
1477575000,6.09400,6.15400,5.94400,5.98200,20790500
1477661400,6.14600,6.38000,6.07400,6.35600,16542000
1477920600,6.39200,6.43600,6.35800,6.41200,10798500
1478007000,6.40000,6.43400,6.31200,6.35200,9317000
1478093400,6.40600,6.40600,6.21400,6.22000,9691000
1478179800,6.22600,6.27000,6.15400,6.16000,5069500
1478266200,6.16200,6.30800,6.16000,6.17600,8396000
1478529000,6.26200,6.33000,6.21000,6.29000,19618000
1478615400,6.29800,6.33800,6.20200,6.26600,8826500
1478701800,6.18600,6.37800,6.16200,6.35000,7744500
1478788200,6.35400,6.48000,6.24400,6.27800,6901000
1478874600,6.24400,6.41800,6.21600,6.37200,6279500
1479133800,6.40000,6.45800,6.26200,6.32800,8137500
1479220200,6.70000,6.70000,6.32400,6.43200,35146000
1479306600,6.41800,6.54000,6.40800,6.50800,13719500
1479393000,6.49200,6.50800,6.26600,6.32800,20063500
1479479400,6.35800,6.37400,6.17800,6.19200,17035000
1479738600,6.19600,6.22200,6.06200,6.13400,21310500
1479825000,5.92000,6.24000,5.92000,6.23000,18096000
1479911400,6.19800,6.23600,6.13200,6.16800,7450000
1480084200,6.17600,6.17600,6.09400,6.11400,3506500
1480343400,6.12600,6.17600,6.03600,6.04800,7915000
1480429800,6.02600,6.10000,6.00000,6.04800,7717500
1480516200,6.08800,6.08800,6.01400,6.02000,5893000
1480602600,6.03600,6.04400,5.78000,5.81000,11817000
1480689000,5.77600,5.92600,5.77400,5.91400,10855500
1480948200,5.95800,6.10000,5.94800,6.04400,12821500
1481034600,6.02800,6.03600,5.88400,5.98600,11969500
1481121000,6.00000,6.17600,5.98600,6.15200,10802500
1481207400,6.13800,6.18800,6.08000,6.11200,10678500
1481293800,6.11400,6.15000,6.07000,6.13800,6799000
1481553000,6.13800,6.14200,5.97000,5.99400,5855500
1481639400,6.01800,6.13000,6.01000,6.11000,8626000
1481725800,6.09400,6.14600,5.93600,5.94400,12850500
1481812200,5.95200,6.07200,5.90800,5.99200,9321000
1481898600,6.01600,6.03000,5.90600,5.95400,24813500
1482157800,5.98200,6.05000,5.93800,5.95800,11402500
1482244200,5.97200,6.02000,5.80000,5.93600,21373000
1482330600,5.93000,5.97800,5.85400,5.91000,21796000
1482417000,5.88800,5.89200,5.70200,5.72200,21592000
1482503400,5.72000,5.84000,5.72000,5.83400,9653500
1482849000,5.81000,6.05600,5.79000,6.01600,16999000
1482935400,6.04600,6.10400,5.96000,6.07000,22512500
1483021800,6.07000,6.13800,6.01000,6.06000,9223500
1483108200,6.06800,6.06800,6.00600,6.02400,9002000
1483453800,6.11200,6.13200,5.98000,6.02400,12206000
1483540200,6.03000,6.10800,6.01600,6.08400,11611000
1483626600,6.05200,6.18400,6.04600,6.16600,15568500
1483713000,6.16000,6.24400,6.10400,6.20200,9631000
1483972200,6.20000,6.29800,6.16200,6.26200,10128500
1484058600,6.29200,6.41200,6.29000,6.39200,9225500
1484145000,6.45000,6.57800,6.37800,6.42400,11804500
1484231400,6.41000,6.43400,6.28800,6.37000,6688000
1484317800,6.36600,6.46600,6.36200,6.45800,3716500
1484663400,6.45800,6.49400,6.28400,6.34000,38616500
1484749800,6.33000,6.39200,6.27200,6.37000,10609500
1484836200,6.46600,6.54800,6.44400,6.47000,27218500
1484922600,6.47000,6.51800,6.43600,6.46400,13260000
1485181800,6.46000,6.49200,6.37200,6.43800,13849500
1485268200,6.45000,6.54000,6.43600,6.53200,7321000
1485354600,6.59400,6.67200,6.52000,6.56200,6715500
1485441000,6.59400,6.62600,6.47000,6.51400,7314000
1485527400,6.51000,6.57000,6.45400,6.55600,6039500
1485786600,6.54600,6.56800,6.41000,6.56200,7997500
1485873000,6.56800,6.67800,6.51400,6.65200,11036500
1485959400,6.65200,6.68600,6.54400,6.62000,8922500
1486045800,6.60600,6.69800,6.55600,6.63600,22172000
1486132200,7.43000,7.60200,7.22000,7.54400,63531000
1486391400,7.53200,7.66600,7.36000,7.56600,18814500
1486477800,7.60000,7.64800,7.51400,7.55200,9670500
1486564200,7.54000,7.57200,7.44200,7.48400,13122500
1486650600,7.47600,7.64800,7.45600,7.59800,7756000
1486737000,7.55000,7.62600,7.51800,7.53600,7607500
1486996200,7.54400,7.60200,7.51000,7.56000,6768500
1487082600,7.54000,7.59200,7.48200,7.55400,14307500
1487169000,7.56200,7.61400,7.51400,7.59000,5842000
1487255400,7.58400,7.61800,7.40600,7.44800,7809500
1487341800,7.41000,7.51600,7.38000,7.49200,6249500
1487687400,7.45200,7.55200,7.44200,7.47600,6341500
1487773800,7.46000,7.52800,7.44000,7.44800,5469000
1487860200,7.44400,7.45400,7.36200,7.44600,8102500
1487946600,7.38600,7.44200,7.31200,7.43000,5017500
1488205800,7.42400,7.50000,7.38200,7.48800,9721000
1488292200,7.45400,7.48000,7.41000,7.47000,13393000
1488378600,7.35400,7.47400,7.33000,7.46200,15953000
1488465000,7.43000,7.47200,7.33400,7.34800,9659500
1488551400,7.31800,7.33400,7.23400,7.25600,11702500
1488810600,7.23200,7.32200,7.20000,7.26800,9430500
1488897000,7.25400,7.29800,7.19000,7.28600,9047500
1488983400,7.30000,7.52400,7.30000,7.44800,17018500
1489069800,7.40800,7.45600,7.29200,7.33400,7738000
1489156200,7.39600,7.41600,7.33600,7.39200,5717500
1489411800,7.37200,7.43400,7.35800,7.38600,4782000
1489498200,7.39400,7.39400,7.27200,7.33200,4585500
1489584600,7.31600,7.39400,7.27600,7.37400,4544500
1489671000,7.41200,7.47200,7.41200,7.45800,5607000
1489757400,7.54400,7.54400,7.38800,7.42600,15445000
1490016600,7.43200,7.48600,7.38800,7.39600,4407000
1490103000,7.41600,7.42600,7.21400,7.22200,6824500
1490189400,7.19000,7.30200,7.18000,7.29800,5082500
1490275800,7.29800,7.35000,7.24600,7.27600,4883000
1490362200,7.30400,7.33200,7.24000,7.26000,4603500
1490621400,7.19000,7.31400,7.16600,7.26800,6568000
1490707800,7.28000,7.33400,7.26400,7.31200,3626500
1490794200,7.49800,7.70600,7.45600,7.66200,14887000
1490880600,7.65200,7.71200,7.56000,7.57000,7238000
1490967000,7.55400,7.69800,7.55400,7.67000,6491500
1491226200,7.71000,7.80600,7.61000,7.65200,8999000
1491312600,7.63400,7.70200,7.50800,7.53000,6097500
1491399000,7.56800,7.62000,7.47400,7.48800,6454000
1491485400,7.49000,7.49400,7.38800,7.44600,8485500
1491571800,7.43600,7.50200,7.41400,7.48400,4661000
1491831000,7.50600,7.50600,7.38600,7.44400,11816500
1491917400,7.42600,7.52400,7.40800,7.52400,7002000
1492003800,7.52600,7.58200,7.48000,7.49400,4089500
1492090200,7.48600,7.52800,7.45800,7.46400,4978000
1492435800,7.52200,7.72800,7.52200,7.61400,8359000
1492522200,7.61000,7.71200,7.57600,7.70400,7331500
1492608600,7.72600,7.77200,7.67000,7.68600,5680000
1492695000,7.70400,7.71000,7.59600,7.70200,4321000
1492781400,7.83000,7.92800,7.76000,7.90600,16152500
1493040600,8.04000,8.07200,7.91000,7.98200,14649000
1493127000,8.03600,8.12800,8.00200,8.05400,7955000
1493213400,8.04000,8.06000,7.97600,7.98000,7780500
1493299800,8.03200,8.12200,7.96600,8.08400,15279500
1493386200,7.81400,7.99400,7.72600,7.80000,22948000
1493645400,7.86000,7.86800,7.72600,7.83000,10953000
1493731800,7.87200,7.93800,7.82800,7.87600,9259000
1493818200,7.89600,7.95600,7.80200,7.84400,7983000
1493904600,7.85800,7.92400,7.81600,7.88800,6400000
1493991000,7.90800,8.04800,7.89200,8.01600,7843500
1494250200,8.02200,8.04000,7.93000,7.95600,4558000
1494336600,8.06800,8.14200,7.80000,7.81200,8570500
1494423000,7.80000,7.88400,7.79400,7.85000,4748500
1494509400,7.83200,7.85800,7.72000,7.80600,5395500
1494595800,7.80600,7.84000,7.70800,7.82400,6744500
1494855000,8.02000,8.26600,8.02000,8.09000,17694000
1494941400,8.16200,8.19800,8.09200,8.19400,8520500
1495027800,8.14600,8.15000,7.90600,7.91000,7081500
1495114200,7.86800,7.95400,7.77400,7.93400,7105500
1495200600,7.97600,8.07600,7.95800,8.00800,5797000
1495459800,8.00600,8.11400,7.98000,8.09800,7767500
1495546200,8.11800,8.13600,7.99800,8.01400,4794000
1495632600,8.04600,8.08800,7.94400,7.96000,4059500
1495719000,7.98800,8.02400,7.89400,7.93000,5165500
1495805400,7.92400,7.93400,7.86400,7.89800,4325500
1496151000,7.87400,7.89400,7.79800,7.83000,10323500
1496237400,7.84400,7.88000,7.77000,7.86800,9315000
1496323800,7.96200,7.97400,7.79600,7.84200,14670500
1496410200,7.91000,7.92600,7.78800,7.81000,11387500
1496669400,7.78000,7.92000,7.77600,7.87400,7558000
1496755800,7.83000,7.88800,7.78200,7.81800,12499000
1496842200,7.80000,7.84400,7.71000,7.84000,15297000
1496928600,7.81600,7.91800,7.70600,7.90400,11153000
1497015000,7.92200,7.93600,7.36000,7.46400,18236500
1497274200,7.37600,7.49600,7.15400,7.48600,17843500
1497360600,7.53200,7.60200,7.48600,7.58800,4930500
1497447000,7.62200,7.67400,7.49400,7.57000,7920500
1497533400,7.48400,7.55200,7.46600,7.52800,4134500
1497619800,7.52000,7.57000,7.48200,7.56600,8594000
1497879000,7.60800,7.65200,7.57800,7.60000,5748000
1497965400,7.60400,7.64000,7.49000,7.49400,5406500
1498051800,7.52000,7.62600,7.52000,7.54600,4812000
1498138200,7.56200,7.60400,7.51800,7.55800,3773000
1498224600,7.57000,7.67400,7.52000,7.65800,6017000
1498483800,7.65800,7.70000,7.51400,7.56600,5045000
1498570200,7.52600,7.61200,7.42800,7.44000,4866000
1498656600,7.49800,7.60800,7.44200,7.54600,5972500
1498743000,7.56200,7.64000,7.41600,7.54800,8339000
1498829400,7.55400,7.60600,7.48400,7.48800,6397000
1499088600,7.53400,7.60600,7.40600,7.42600,2502500
1499261400,7.54000,7.84000,7.52600,7.72600,12319000
1499347800,7.66400,7.68800,7.56400,7.59600,7948500
1499434200,7.65400,7.78000,7.50000,7.69800,6433500
1499693400,7.70600,7.73600,7.62400,7.70000,5425500
1499779800,7.70200,7.78000,7.66000,7.77600,8451000
1499866200,7.82200,7.98800,7.81200,7.90000,9575000
1499952600,7.92000,8.02000,7.85600,8.01400,8826500
1500039000,7.79800,8.04000,7.73000,8.02400,9790500
1500298200,8.03800,8.09800,7.96200,8.04600,10086000
1500384600,8.01800,8.11000,8.00400,8.09400,4492000
1500471000,8.12400,8.31200,8.10000,8.22000,7832000
1500557400,8.10000,8.16600,8.00800,8.14200,8722500
1500643800,8.13000,8.14800,8.06800,8.07400,3203500
1500903000,8.09000,8.14200,8.04200,8.11000,3914000
1500989400,8.12400,8.19000,8.09000,8.14200,9157500
1501075800,8.15200,8.17800,8.04800,8.11600,9700500
1501162200,7.91000,8.16000,7.63600,7.68400,31376500
1501248600,7.65600,7.71400,7.48000,7.49400,11531000
1501507800,7.52000,7.55000,7.36000,7.38200,11554000
1501594200,7.42800,7.43000,7.34200,7.36000,7952500
1501680600,7.40000,7.42200,7.17400,7.27400,8933000
1501767000,7.27400,7.32400,7.20600,7.28000,7072000
1501853400,7.27600,7.40000,7.24600,7.36800,16033000
1502112600,7.36400,7.41600,7.28600,7.36600,10188000
1502199000,7.33400,7.37600,7.28600,7.30400,5792500
1502285400,7.25000,7.34400,7.23400,7.34000,6901500
1502371800,7.28400,7.35000,7.20400,7.22200,8264500
1502458200,7.18400,7.31400,7.18000,7.29600,5988000
1502717400,7.35800,7.44000,7.35200,7.41000,3534500
1502803800,7.44000,7.44000,7.34000,7.36200,2983500
1502890200,7.36200,7.45800,7.35600,7.43800,3691000
1502976600,7.41000,7.47400,7.30000,7.30400,3101000
1503063000,7.31400,7.38600,7.28200,7.33000,3553000
1503322200,7.32000,7.39200,7.29000,7.38600,3393000
1503408600,7.40600,7.53400,7.40400,7.50400,4115500
1503495000,7.45200,7.48800,7.40400,7.42000,2953000
1503581400,7.43400,7.50400,7.42200,7.44600,3726000
1503667800,7.49600,7.53000,7.41600,7.43600,4454500
1503927000,7.44200,7.46400,7.40800,7.45200,5381000
1504013400,7.40000,7.49800,7.39000,7.47200,2648000
1504099800,7.47800,7.58000,7.47000,7.56800,2789000
1504186200,7.59000,7.68400,7.58200,7.64000,6633000
1504272600,7.68200,7.72200,7.61200,7.66000,3582500
1504618200,7.58000,7.66600,7.33200,7.34800,9034000
