time,open,high,low,close,tick_volume
1472477400,32.65301,33.28992,32.51427,33.05029,1656807
1472563800,32.91156,33.71874,32.91156,33.17641,1509807
1472650200,33.08813,33.30885,32.79174,33.21425,2622221
1472736600,33.39713,33.49172,32.88003,33.18903,1521383
1472823000,33.43497,33.71874,33.30254,33.66199,1333311
1473168600,33.73766,33.76919,32.97462,33.25209,2051663
1473255000,33.06291,33.49803,32.80436,33.38452,2764306
1473341400,33.22056,33.39713,32.96201,32.99985,1740853
1473427800,32.64671,32.79805,31.87736,31.87736,3442220
1473687000,31.54313,32.43860,31.44224,32.29356,2953329
1473773400,32.07285,32.41338,31.51160,31.55575,2548483
1473859800,31.56205,31.84583,31.30350,31.54313,1827277
1473946200,31.51791,31.90889,31.21522,31.83952,2236087
1474032600,31.59989,31.77646,31.16477,31.69448,3729561
1474291800,31.78907,32.41653,31.77015,32.02240,1546597
1474378200,32.02240,32.21158,31.66295,31.68818,1697403
1474464600,31.82691,32.16744,31.66926,32.14852,1349169
1474551000,32.38185,32.78544,32.34401,32.56472,2615244
1474637400,32.35032,32.52689,31.94042,32.08546,1280030
1474896600,31.94673,32.47013,31.71971,32.29987,1690901
1474983000,32.22419,32.65301,32.19267,32.54581,1897209
1475069400,32.62778,32.64671,32.38185,32.61517,1436227
1475155800,32.21789,32.54581,31.92781,31.97195,2312204
1475242200,32.23681,32.33140,31.70709,32.09807,3096048
1475501400,31.91520,32.57734,31.91520,32.40707,2157750
1475587800,32.32509,32.44491,31.88367,32.04132,1923216
1475674200,32.17374,32.34716,31.90889,32.12330,1402609
1475760600,32.05393,32.14222,31.84583,31.97195,1211524
1475847000,31.84583,32.04132,31.44854,31.48638,1673934
1476106200,31.67556,31.73232,31.46746,31.49899,1619383
1476192600,31.48007,31.63142,30.91253,31.03865,2223084
1476279000,31.15216,31.15216,30.67920,30.89361,2568939
1476365400,30.66659,31.32873,30.26930,30.78640,1918141
1476451800,30.94406,31.48953,30.78010,31.18999,1383263
1476711000,31.25306,31.27197,30.84316,30.93775,1770507
1476797400,31.30981,31.73232,30.89991,30.95667,1827753
1476883800,31.07018,31.40188,30.55938,31.14585,1205023
1476970200,30.98820,31.01342,30.54677,30.71073,2250676
1477056600,30.40804,30.83055,30.35128,30.69181,2706901
1477315800,30.81793,31.06387,30.49632,30.61614,2013287
1477402200,30.58461,30.58461,30.18102,30.21885,2028828
1477488600,30.14318,30.34497,29.97922,30.12426,2497104
1477575000,30.07381,30.07381,29.51888,29.94769,4985962
1477661400,31.67556,32.59626,31.36026,31.66295,6309442
1477920600,31.66295,32.38185,31.55575,32.19267,2476489
1478007000,32.12330,32.17374,31.52422,31.83952,2816001
