time,open,high,low,close,tick_volume
1472477400,5.66000,5.69000,5.53000,5.55000,5868000
1472563800,5.49000,5.50000,5.11000,5.16000,9124500
1472650200,5.12000,5.17000,5.03000,5.03000,6864400
1472736600,5.03000,5.41000,5.00000,5.33000,9219300
1472823000,5.46000,5.55000,5.32000,5.52000,6887800
1473168600,5.46000,5.73000,5.46000,5.65000,5170000
1473255000,5.65000,5.66000,5.45000,5.61000,5061600
1473341400,5.66000,5.75000,5.39000,5.40000,7494300
1473427800,5.37000,5.39000,5.03000,5.06000,7891100
1473687000,4.96000,5.25000,4.92000,5.21000,10053300
1473773400,5.12000,5.15000,4.84000,4.90000,5567100
1473859800,5.00000,5.15000,4.96000,4.99000,4439200
1473946200,4.92000,5.01000,4.77000,4.91000,4567700
1474032600,4.81000,4.91000,4.69000,4.79000,8879400
1474291800,4.89000,4.91000,4.82000,4.86000,2973100
1474378200,4.84000,4.86000,4.70000,4.75000,3836000
1474464600,4.88000,5.21000,4.88000,5.18000,7708600
1474551000,5.28000,5.33000,4.89000,4.98000,6120400
1474637400,5.04000,5.07000,4.92000,4.94000,5003500
1474896600,5.02000,5.13000,4.92000,4.93000,3799100
1474983000,4.89000,4.98000,4.85000,4.90000,3351400
1475069400,4.93000,5.06000,4.79000,5.04000,6096100
1475155800,5.04000,5.04000,4.74000,4.89000,5677400
1475242200,4.96000,4.98000,4.81000,4.85000,4394600
1475501400,4.83000,4.87000,4.76000,4.80000,3753000
1475587800,4.64000,4.66000,4.41000,4.41000,8623000
1475674200,4.44000,4.51000,4.26000,4.48000,5898900
1475760600,4.27000,4.34000,4.18000,4.26000,5923700
1475847000,4.31000,4.40000,4.16000,4.25000,8096900
1476106200,4.28000,4.29000,4.20000,4.23000,5476700
1476192600,4.09000,4.14000,4.00000,4.03000,5752100
1476279000,4.02000,4.12000,3.99000,4.06000,4919900
1476365400,4.14000,4.44000,4.08000,4.22000,6602900
1476451800,4.15000,4.21000,4.00000,4.01000,4599300
1476711000,4.06000,4.19000,4.06000,4.15000,3603500
1476797400,4.32000,4.45000,4.23000,4.43000,6984400
1476883800,4.47000,4.50000,4.32000,4.38000,5761300
1476970200,4.38000,4.41000,4.29000,4.33000,4160000
1477056600,4.39000,4.39000,4.28000,4.34000,3421800
1477315800,4.37000,4.38000,4.01000,4.07000,5278600
1477402200,4.17000,4.29000,4.11000,4.22000,4301800
1477488600,4.20000,4.22000,4.03000,4.08000,3237800
1477575000,4.13000,4.17000,3.97000,4.03000,4740800
1477661400,4.01000,4.14000,3.93000,4.05000,4711400
1477920600,4.07000,4.15000,4.03000,4.15000,3654500
1478007000,4.27000,4.43000,4.27000,4.33000,5094000
1478093400,4.40000,4.45000,4.10000,4.14000,8160100
1478179800,4.16000,4.31000,4.15000,4.21000,4709800
1478266200,4.20000,4.22000,4.06000,4.17000,5629900
1478529000,4.06000,4.14000,4.03000,4.09000,3560300
1478615400,4.07000,4.17000,3.90000,3.99000,5268800
1478701800,4.47000,4.47000,3.99000,4.10000,6854000
1478788200,4.02000,4.02000,3.70000,3.74000,8970500
1478874600,3.69000,3.69000,3.36000,3.39000,9988800
1479133800,3.38000,3.70000,3.30000,3.52000,6766300
1479220200,3.42000,3.61000,3.38000,3.57000,5612000
1479306600,3.50000,3.50000,3.29000,3.33000,10007600
1479393000,3.41000,3.44000,3.20000,3.28000,9475500
1479479400,3.29000,3.32000,3.20000,3.24000,6749700
1479738600,3.31000,3.35000,3.18000,3.22000,4511400
1479825000,3.20000,3.23000,3.04000,3.13000,6418900
1479911400,3.01000,3.12000,2.93000,3.05000,10156200
1480084200,3.12000,3.17000,3.07000,3.08000,2473400
1480343400,3.14000,3.30000,3.13000,3.30000,6124700
1480429800,3.14000,3.25000,3.13000,3.21000,3944800
1480516200,3.17000,3.24000,3.04000,3.07000,8661000
1480602600,3.03000,3.20000,2.96000,3.09000,7003200
1480689000,3.10000,3.22000,3.07000,3.16000,4912500
1480948200,3.03000,3.17000,2.97000,3.09000,7433000
1481034600,3.02000,3.13000,3.01000,3.11000,6342600
1481121000,3.00000,3.26000,2.97000,3.09000,11839300
1481207400,3.00000,3.14000,2.99000,3.08000,7810500
1481293800,3.02000,3.04000,2.90000,2.90000,7058200
1481553000,2.90000,3.02000,2.88000,2.93000,5709400
