time,open,high,low,close,tick_volume
1635427800,47.01000,48.00000,44.48000,46.40000,18618900
1635514200,46.00000,49.48000,45.61000,48.74000,4639400
1635773400,54.27000,59.99000,53.06000,53.87000,9946500
1635859800,57.50800,58.61500,55.00000,56.42000,4122500
1635946200,57.00000,59.38000,56.17000,59.00000,2642300
1636032600,60.35000,65.74000,60.35000,62.68000,3985400
1636119000,65.00000,66.00000,56.16000,63.63000,4222100
1636381800,62.81000,62.97000,58.81700,59.36000,3012100
1636468200,58.97700,61.11600,56.87000,59.83000,1947200
1636554600,59.00000,59.81000,56.93000,57.72000,1543700
1636641000,58.73000,59.66000,55.05000,56.19000,1762700
1636727400,55.63000,56.35000,53.25000,55.96000,1703200
1636986600,55.69000,60.12000,53.85000,59.60000,1430500
1637073000,59.13000,62.77000,57.70000,61.67000,1136900
1637159400,61.98000,64.16500,61.50000,62.70000,1432800
1637245800,67.39000,67.39000,63.50000,64.27000,2831800
1637332200,66.01000,67.90000,61.70000,62.11000,2389400
1637591400,66.14000,68.19000,62.60000,63.99000,4244800
1637677800,64.06000,64.78000,61.61100,63.78000,1562000
1637764200,63.87000,69.57400,62.33000,68.97000,1998400
1637937000,65.57000,69.39000,64.75100,67.29000,1454300
1638196200,68.96300,73.25300,68.79700,70.54000,3822400
1638282600,71.00000,71.46000,64.22000,69.24000,3490800
1638369000,72.00000,72.47700,66.06000,66.26000,3172700
1638455400,65.45000,67.18000,62.44000,65.81000,1914800
1638541800,65.32000,69.39000,63.60000,69.03000,1916500
1638801000,67.81000,67.96000,63.79500,64.92000,2775700
1638887400,66.02000,70.64000,66.02000,67.86000,2769400
1638973800,68.03000,68.10000,64.80000,65.77000,1785200
1639060200,66.16000,67.45000,63.14000,63.70000,1505400
1639146600,65.10000,65.85900,61.19000,63.83000,1881500
1639405800,63.99500,65.28000,60.84100,61.21000,1324800
1639492200,60.54600,61.37000,58.61000,60.14000,1377400
1639578600,60.63000,61.18000,57.44000,60.97000,1854100
1639665000,61.64000,62.55000,59.78000,60.66000,2031300
1639751400,59.10000,60.40000,56.20000,60.00000,5666900
1640010600,58.50900,60.13000,56.60000,59.90000,2706600
1640097000,60.58000,62.45000,59.75000,62.24000,2132300
1640183400,62.15200,62.45000,60.53000,62.43000,840500
1640269800,62.28000,63.87000,61.00000,61.71000,751200
1640615400,62.00000,64.39000,61.63000,64.00000,756200
1640701800,64.77000,67.47500,64.05000,65.38000,1039000
1640788200,65.27000,66.33000,63.05000,63.80000,734400
1640874600,64.00000,65.36000,63.43000,64.49000,1051100
1640961000,64.49000,65.55000,63.77000,64.97000,866100
1641220200,65.09000,67.39000,64.35000,66.73000,1766500
1641306600,67.32000,69.34000,63.91000,65.71000,1988400
1641393000,64.63000,66.12000,62.26000,62.55000,1907400
1641479400,62.14000,63.47000,60.25000,61.51000,1155500
1641565800,61.11000,61.70000,58.31000,60.01000,1175800
1641825000,58.78000,59.88000,56.19000,59.76000,1610400
1641911400,59.76000,62.48000,58.80000,62.14000,1118100
1641997800,62.96400,64.09700,61.21000,62.05000,790600
1642084200,63.10000,63.37000,59.15000,59.35000,1739700
1642170600,59.00000,60.20000,57.26000,59.60000,910300
1642516200,58.77000,59.97000,57.53000,57.94000,1428000
1642602600,58.03000,58.43000,55.73000,56.67000,3384700
1642689000,57.12000,57.67000,53.51000,53.53000,2321500
1642775400,52.09000,52.50000,49.46000,51.25000,4229100
1643034600,48.00000,50.53000,45.67000,50.44000,3712700
1643121000,48.56000,49.11000,46.71000,46.87000,2295800
1643207400,49.49000,51.17000,47.23000,47.60000,2929200
1643293800,49.00000,49.77000,43.92000,44.71000,5039400
1643380200,44.71000,46.58000,43.59000,46.09000,2978200
1643639400,46.34000,49.49000,45.96000,49.34000,1914200
1643725800,49.83000,50.72000,49.45800,50.09000,1587000
1643812200,51.88000,51.88000,49.60000,50.35000,1592300
1643898600,49.00000,50.94000,48.65000,49.34000,1940900
1643985000,49.41000,52.30000,48.70000,52.07000,2250600
1644244200,52.70000,55.60000,52.21000,54.49000,3346900
1644330600,53.80000,56.46900,53.41800,56.05000,3659100
1644417000,58.53000,58.53000,52.62000,57.00000,6095600
1644503400,56.03000,60.99000,54.51000,57.79000,3414000
1644589800,57.68000,58.69000,53.36000,53.48000,3109900
1644849000,53.14800,55.44000,53.03000,54.47000,1567700
1644935400,55.37000,55.95000,52.31000,55.17000,2983400
1645021800,54.96000,54.96000,51.71500,52.93000,2309600
1645108200,52.03000,52.48000,48.47000,48.95000,2529700
1645194600,49.01000,51.23000,48.50000,49.71000,2917100
1645540200,49.71000,50.82000,47.74000,49.33000,1577700
1645626600,49.88000,50.79000,47.66000,47.95000,1239800
1645713000,45.94000,54.81000,45.94000,54.80000,5208300
1645799400,54.04000,57.04000,52.48000,57.03000,4204100
1646058600,55.78000,60.88000,55.41000,60.78000,3105900
1646145000,60.50000,60.64000,57.60000,58.22000,1800100
1646231400,58.31000,59.83000,57.65000,59.60000,916600
1646317800,62.08000,64.99000,61.51000,62.48000,3400700
1646404200,61.39000,62.57000,59.75000,60.69000,1550500
1646663400,60.39000,61.36000,55.03000,55.79000,2190900
1646749800,55.30000,58.19000,52.77000,56.44000,1750000
1646836200,58.17000,59.43000,57.32000,58.15000,1425300
1646922600,56.94000,59.58000,54.96000,58.88000,1321300
1647009000,59.48000,59.72000,57.46000,58.46000,1139000
1647264600,58.35000,59.23000,56.57000,58.41000,1517300
1647351000,58.67000,66.39000,58.01000,65.79000,4094100
1647437400,65.30000,70.54000,65.26000,70.26000,3146000
1647523800,68.78000,76.38000,68.51100,71.91000,4791100
1647610200,72.06000,77.00000,71.76000,76.78000,3745000
1647869400,76.00000,76.20200,70.81000,72.47000,3083000
1647955800,73.00000,75.41000,72.78000,73.88000,2206700
1648042200,72.54000,75.43000,69.96000,70.09000,3641000
1648128600,71.62000,77.47000,70.62000,76.22000,3591500
1648215000,76.40000,79.49000,74.10000,78.94000,4247400
1648474200,78.70000,78.70000,71.30000,73.90000,3416600
1648560600,74.77000,74.77000,69.32000,74.63000,3797900
1648647000,74.44000,75.48000,66.54000,67.02000,4527400
1648733400,67.32000,67.66900,62.41000,62.42000,3846400
1648819800,62.80000,63.53000,59.48000,60.74000,2951100
1649079000,61.02000,64.00000,60.12000,62.29000,1872500
1649165400,61.37000,61.98000,57.22000,58.40000,3234900
1649251800,56.58000,58.51000,55.39000,56.90000,2510700
1649338200,56.50000,57.95000,55.70500,56.19000,2021000
1649424600,55.81000,56.45000,54.26000,54.75000,1563300
1649683800,53.60000,55.44000,51.86000,54.04000,1716000
1649770200,55.22000,56.16000,52.75000,53.29000,3008700
1649856600,53.56000,54.84000,52.93600,54.83000,1472700
1649943000,55.00000,55.25000,50.81600,52.10000,2125600
1650288600,52.00000,53.09000,51.15000,52.65000,1289000
1650375000,52.77000,53.46000,51.50000,52.89000,1180400
1650461400,54.26000,54.28800,52.06000,53.19000,2143200
1650547800,53.84000,55.00000,51.35000,52.04000,2490900
1650634200,51.41000,53.22500,50.22000,50.74000,1445800
1650893400,50.24000,52.77000,49.28000,52.72000,1538800
1650979800,52.74000,52.95000,49.44000,49.50000,2164700
1651066200,49.49000,52.44000,48.77000,51.64000,1845700
1651152600,52.57000,54.55000,51.92000,54.06000,1400600
1651239000,53.43000,55.97000,52.27000,52.29000,1353600
1651498200,52.06000,53.86000,50.00000,53.77000,1913500
1651584600,53.77000,54.70000,52.30000,54.18000,1177600
1651671000,54.54000,56.53000,52.54000,56.51000,1454400
1651757400,55.70000,56.33000,53.61000,54.93000,1386600
1651843800,53.89000,57.11000,53.14000,56.37000,1715200
1652103000,54.75000,56.55000,50.66000,52.28000,2574100
1652189400,53.33000,55.34000,49.03000,52.73000,3187900
1652275800,51.60000,54.20000,48.17000,49.03000,5131600
1652362200,48.01000,50.74000,46.19000,49.70000,3299400
1652448600,50.52000,53.24000,50.50000,52.77000,2418800
1652707800,51.53000,54.35000,50.33000,53.10000,2063500
1652794200,53.74000,56.00000,53.06000,56.00000,2879300
1652880600,54.20000,57.09000,53.04000,53.69000,1478100
1652967000,53.00000,55.71000,52.87100,54.23000,1732600
1653053400,55.00000,55.12000,52.30000,55.00000,1673800
1653312600,53.77000,54.78000,52.03000,54.54000,1429900
1653399000,52.69000,55.72000,51.40000,55.48000,3480700
1653485400,54.40000,59.34000,53.69000,58.62000,2768000
1653571800,57.53000,60.00000,56.60000,59.49000,2248400
1653658200,59.71000,61.17000,59.30000,60.10000,2701400
1654003800,58.95000,60.41000,58.01000,59.69000,2464400
1654090200,59.49000,61.88000,56.07000,58.12000,2554100
1654176600,57.11000,60.33000,57.08000,59.61000,1571900
1654263000,57.47000,59.82400,57.39000,58.76000,1285600
1654522200,59.47000,60.69000,57.01000,57.23000,1554300
1654608600,56.08000,56.56000,54.85000,56.51000,1641500
1654695000,55.44000,56.90000,54.26000,54.74000,1015500
1654781400,54.18000,55.76500,53.03000,53.14500,1197000
1654867800,51.66000,52.06000,50.25000,51.75000,2219900
1655127000,50.00000,50.91500,48.08000,48.51000,2348200
1655213400,48.63000,49.34000,47.17000,47.39000,1914600
1655299800,48.00000,50.23000,47.85000,49.46000,1609300
1655386200,47.63000,48.08000,44.94500,45.43000,1916200
1655472600,45.53000,46.87800,44.66000,44.86000,2845900
1655818200,45.71000,47.45000,45.35000,45.44000,1395600
1655904600,44.43000,45.40000,43.80000,44.81000,2779400
1655991000,45.62000,45.68000,43.13000,43.66000,3027300
1656077400,43.79000,46.26000,43.79000,45.89000,3116600
1656336600,45.76000,46.26700,44.89000,45.42000,1363400
1656423000,45.61000,46.41000,43.96500,44.37000,2291400
1656509400,43.90000,43.91000,42.52000,43.06000,1591200
1656595800,42.46000,42.75000,39.76000,40.34000,3134900
1656682200,39.48000,39.50000,37.60000,38.81000,3541500
1657027800,37.91000,40.58000,36.81000,40.57000,2375800
1657114200,40.18000,42.48000,40.18000,41.08000,2703500
1657200600,41.87000,43.83000,41.76000,43.34000,2169100
1657287000,42.37000,45.44000,41.68000,45.27000,2591500
1657546200,44.71000,44.71000,41.86000,42.89000,1854400
1657632600,42.35000,43.01000,40.99000,41.48000,3120900
1657719000,40.97000,42.40000,40.62000,41.83000,1999300
1657805400,41.98000,44.46000,41.31000,44.42000,1917000
1657891800,44.84000,46.12000,44.42000,45.97000,3298300
1658151000,46.94000,47.09100,44.59000,45.09000,2827900
1658237400,45.39000,47.67500,44.42000,46.85000,2672800
1658323800,46.59000,48.68000,46.17000,48.52000,1607300
1658410200,48.28000,49.20000,47.33100,48.66000,1767600
1658496600,48.39000,48.90000,47.61000,48.16000,1502100
1658755800,47.68000,47.76000,44.68600,46.35000,2869500
1658842200,46.09000,46.21800,45.18000,46.13000,1365300
1658928600,47.17000,47.84000,46.52000,47.43000,1911200
1659015000,47.44000,48.67000,46.01000,47.40000,1587000
1659101400,47.34000,52.00000,46.96000,51.48000,4238400
1659360600,51.18000,58.28000,51.11500,54.54000,6242900
1659447000,53.56000,54.63000,52.08000,52.75000,2538900
1659533400,52.62000,54.54000,52.19500,54.09000,1638300
1659619800,53.40000,53.75000,51.58000,53.63000,2531600
1659706200,52.93000,53.60000,51.84300,53.09000,1601000
1659965400,53.43000,59.57500,53.30000,59.19000,5421300
1660051800,61.90000,62.08000,54.35000,55.67000,4050400
1660138200,57.20000,58.97000,56.81000,57.70000,3277600
1660224600,57.70000,60.49000,57.34000,58.05000,2438700
1660311000,58.42000,65.96000,58.35000,64.95000,7078500
1660570200,63.50000,64.94000,62.18000,63.23000,2105200
1660656600,62.23500,64.69000,61.60100,63.96000,1692300
1660743000,62.07000,63.40000,60.83000,61.47000,1719900
1660829400,61.34000,64.50000,61.16000,64.15000,2081100
1660915800,61.98000,62.98000,60.55000,61.20000,1731600
1661175000,59.36000,60.49000,58.59000,59.04000,1455600
1661261400,59.00000,61.59500,59.00000,59.86000,987800
1661347800,59.54000,61.33500,59.41200,60.40000,815800
1661434200,60.64000,64.74000,60.64000,64.50000,2802200
1661520600,63.69000,64.30000,60.18000,60.65000,2303500
1661779800,59.65000,61.32500,58.91000,59.04000,1099400
1661866200,59.51000,61.66000,58.81000,61.11000,2187300
1661952600,60.99000,62.33500,58.90000,59.82000,1856800
1662039000,59.17000,59.17500,55.80000,57.43000,2405300
1662125400,58.10000,58.79500,56.36000,57.88000,1312000
1662471000,58.16000,59.98000,57.00000,58.90000,3869100
1662557400,58.40000,60.57600,58.02000,59.77000,1751500
1662643800,59.39000,62.18000,58.52000,60.22000,2558000
1662730200,60.63000,62.19000,59.87000,60.18000,1749300
1662989400,59.92000,61.69000,59.26000,60.34000,1694900
1663075800,58.25000,59.37000,56.62000,56.88000,1782400
1663162200,57.14000,58.88000,56.75000,58.32000,1300100
1663248600,58.21000,59.25000,57.36000,58.49000,983000
1663335000,58.39000,58.70000,56.53000,57.61000,4092800
1663594200,56.26000,58.53000,56.06000,57.91000,1433400
1663680600,57.12000,57.98000,56.50000,56.82000,752600
1663767000,57.21000,59.09200,56.26000,56.29000,1351300
1663853400,55.70000,56.34000,53.66000,54.86000,1819100
1663939800,53.89000,54.48000,51.45000,53.25000,1873100
1664199000,52.92000,54.21000,52.37000,52.80000,885100
1664285400,53.48000,54.18000,52.34000,52.88000,1161200
1664371800,52.08000,52.71000,51.48000,52.45000,1468100
1664458200,51.23800,51.50000,48.94500,50.13000,1805700
1664544600,49.71000,50.89000,48.28000,48.35000,1494200
1664803800,48.88000,49.83000,47.44000,49.83000,2024500
1664890200,51.24000,52.74000,51.22000,52.07000,1266000
1664976600,50.82000,53.11000,49.86000,53.02000,1148200
1665063000,52.94000,54.51000,52.66000,53.53000,1555300
1665149400,51.00000,52.56000,50.18000,50.74000,1273500
1665408600,50.60000,50.79000,49.15000,49.28000,1092300
1665495000,48.05000,50.71900,47.47000,50.02000,2034800
1665581400,50.09000,50.38000,49.06000,49.92000,930100
1665667800,47.44000,51.01000,46.52000,50.49000,2397500
1665754200,51.00000,51.37000,47.88000,48.04000,1679800
1666013400,49.18000,49.96000,48.50000,49.71000,1356500
1666099800,51.59000,52.89000,50.69000,52.38000,1666200
1666186200,51.81500,53.46000,51.63000,52.64000,1090600
1666272600,53.08000,54.97000,52.55000,53.28000,1212900
1666359000,52.74000,55.46000,52.28000,55.28000,1267800
1666618200,55.25000,59.56000,55.25000,58.76000,3119400
1666704600,58.56000,61.14000,58.39000,58.42000,2064400
1666791000,57.45000,58.86000,55.65200,57.14000,1615300
1666877400,57.17000,57.88000,55.45000,55.67000,1264000
1666963800,54.88000,57.96000,54.88000,57.25000,1662200
1667223000,56.71000,56.94000,54.88000,56.70000,1357800
1667309400,58.09000,58.75500,56.19000,57.01000,1292100
1667395800,57.03000,58.49000,56.06000,56.37000,1600800
1667482200,54.32000,54.37500,51.01000,52.69000,2483200
1667568600,54.28000,54.78300,51.84000,54.17000,1989800
1667831400,54.68000,56.62000,53.65000,56.27000,1921900
1667917800,61.12000,62.98000,56.42000,61.12000,4894800
1668004200,59.25000,61.47000,58.22200,61.00000,2736400
