time,open,high,low,close,tick_volume
1472477400,79.65000,79.70000,77.63000,78.17000,15383500
1472563800,78.05000,78.39000,77.66000,77.92000,9174200
1472650200,77.74000,78.60000,77.58000,78.38000,9758500
1472736600,78.43000,78.46000,76.94000,77.42000,12403900
1472823000,77.62000,77.76000,76.67000,76.89000,7956200
1473168600,77.78000,78.29000,77.25000,77.88000,11648400
1473255000,78.38000,78.81000,77.92000,78.22000,8232700
1473341400,78.33000,79.14000,77.60000,78.99000,8549600
1473427800,78.46000,79.00000,78.05000,78.05000,10415200
1473687000,77.69000,79.03000,77.69000,78.85000,8896100
1473773400,78.66000,78.66000,77.50000,78.06000,9389600
1473859800,77.94000,78.40000,77.44000,77.62000,8311200
1473946200,77.75000,79.20000,77.27000,78.84000,10112800
1474032600,78.85000,79.19000,78.41000,78.80000,10307900
1474291800,78.92000,79.51000,78.81000,78.99000,7234200
1474378200,79.64000,82.07000,79.63000,81.78000,17560700
1474464600,82.03000,82.05000,80.66000,81.70000,13628800
1474551000,81.97000,82.00000,80.90000,81.52000,8213800
1474637400,81.55000,82.00000,81.22000,81.37000,7534500
1474896600,81.00000,81.13000,79.92000,80.62000,9036000
1474983000,79.32000,79.90000,78.64000,79.25000,13214300
1475069400,79.12000,79.50000,78.51000,78.97000,6854100
1475155800,79.16000,79.34000,77.75000,77.86000,7618600
1475242200,78.06000,79.63000,78.05000,79.12000,11031500
1475501400,78.63000,78.97000,77.25000,78.03000,10626200
1475587800,77.60000,78.42000,77.12000,77.24000,8219400
1475674200,77.35000,78.00000,77.20000,77.57000,7910200
1475760600,77.38000,77.76000,76.08000,76.21000,10168200
1475847000,76.45000,76.48000,74.92000,75.24000,11149200
1476106200,75.50000,75.97000,75.26000,75.49000,7161100
1476192600,75.14000,75.28000,73.56000,73.82000,11910000
1476279000,74.18000,74.21000,72.92000,73.03000,10014500
1476365400,72.29000,73.93000,72.21000,73.06000,10586100
1476451800,73.27000,73.50000,72.73000,72.75000,7359100
1476711000,72.54000,73.46000,72.31000,72.64000,8181400
1476797400,73.40000,73.83000,72.91000,73.41000,6353500
1476883800,73.50000,73.92000,73.31000,73.34000,6326400
1476970200,73.14000,74.81000,73.10000,74.31000,10351400
1477056600,74.10000,74.94000,73.78000,74.29000,8256500
1477315800,74.51000,74.78000,73.74000,74.15000,7404000
1477402200,74.04000,74.68000,73.91000,74.41000,6140800
1477488600,74.51000,75.80000,74.26000,75.38000,8333000
1477575000,75.93000,76.36000,75.64000,75.83000,9596400
1477661400,74.75000,74.78000,73.23000,73.88000,13160000
1477920600,74.09000,74.44000,73.55000,73.63000,8457000
1478007000,73.63000,74.29000,73.06000,74.07000,10741600
1478093400,74.00000,74.35000,72.45000,72.51000,14620000
1478179800,72.33000,72.93000,71.68000,71.76000,9286200
1478266200,71.52000,73.29000,71.39000,72.43000,11779500
1478529000,73.48000,74.71000,73.05000,74.00000,9513500
1478615400,73.93000,74.66000,73.29000,74.04000,7449600
1478701800,76.80000,80.00000,76.75000,78.47000,26693700
1478788200,79.66000,80.00000,76.94000,77.84000,16651800
1478874600,77.48000,77.51000,75.29000,76.42000,12949600
1479133800,77.04000,77.13000,76.07000,76.75000,8832800
1479220200,77.03000,77.11000,75.00000,76.35000,8560100
1479306600,76.08000,76.88000,75.57000,76.00000,8415000
1479393000,75.72000,76.02000,74.85000,75.58000,9413500
1479479400,75.59000,75.74000,74.25000,74.62000,8194300
1479738600,74.66000,75.19000,74.45000,74.98000,6810600
1479825000,75.06000,75.44000,74.02000,74.46000,6019600
1479911400,73.85000,75.35000,73.76000,75.30000,6849200
1480084200,75.47000,75.55000,74.87000,75.44000,3068600
1480343400,75.30000,75.44000,74.22000,74.54000,9338900
1480429800,74.69000,75.40000,74.29000,74.87000,7160700
1480516200,75.00000,75.08000,73.59000,73.70000,10627300
1480602600,73.97000,74.03000,72.72000,72.84000,8270200
1480689000,73.04000,73.60000,72.16000,72.42000,9227900
1480948200,72.79000,72.97000,71.93000,72.36000,9985900
1481034600,72.67000,72.67000,71.95000,72.47000,8723900
1481121000,71.78000,72.90000,71.55000,72.78000,13061000
1481207400,72.46000,72.60000,70.83000,72.02000,12333500
1481293800,72.34000,73.13000,71.95000,72.70000,9936300
1481553000,72.56000,73.68000,72.13000,73.47000,9475900
1481639400,73.41000,75.87000,73.40000,74.84000,12693000
1481725800,74.86000,76.32000,74.86000,75.71000,11822800
1481812200,75.80000,75.99000,74.91000,75.55000,9448800
