time,open,high,low,close,tick_volume
1472477400,22.59000,22.88000,22.54000,22.69000,8485500
1472563800,22.69000,22.79000,22.65000,22.77000,7238400
1472650200,22.70000,22.74000,22.56000,22.69000,7859500
1472736600,22.67000,22.80000,22.59000,22.71000,5918400
1472823000,22.75000,22.94000,22.70000,22.77000,5110600
1473168600,22.77000,22.88000,22.72000,22.88000,6963200
1473255000,22.85000,22.92000,22.71000,22.82000,10391000
1473341400,22.71000,22.84000,22.66000,22.76000,14202100
1473427800,22.59000,22.64000,22.30000,22.38000,13999000
1473687000,22.20000,22.57000,22.14000,22.48000,12405700
1473773400,22.33000,22.50000,22.24000,22.35000,10036500
1473859800,22.32000,22.57000,22.31000,22.37000,6985000
1473946200,22.24000,22.67000,22.24000,22.59000,7031500
1474032600,22.54000,22.68000,22.48000,22.62000,13055900
1474291800,22.70000,23.00000,22.70000,22.70000,6141600
1474378200,22.85000,22.91000,22.66000,22.70000,7664800
1474464600,22.82000,23.03000,22.70000,22.96000,11700100
1474551000,23.03000,23.23000,23.02000,23.11000,8373900
1474637400,22.95000,23.23000,22.91000,23.14000,10115500
1474896600,23.00000,23.05000,22.91000,23.00000,8212700
1474983000,22.99000,23.35000,22.96000,23.33000,10187000
1475069400,23.40000,23.64000,23.36000,23.63000,11990000
1475155800,23.57000,23.78000,23.49000,23.52000,7643200
1475242200,23.66000,23.81000,23.41000,23.65000,9828500
1475501400,23.59000,23.71000,23.57000,23.66000,8666700
1475587800,23.70000,23.75000,23.32000,23.41000,9446700
1475674200,23.51000,23.89000,23.51000,23.80000,8362900
1475760600,23.79000,23.95000,23.69000,23.87000,9753900
1475847000,23.86000,23.95000,23.66000,23.78000,8529600
1476106200,23.86000,23.96000,23.78000,23.81000,6739700
1476192600,23.72000,23.81000,23.56000,23.64000,5939100
1476279000,23.58000,23.61000,23.25000,23.41000,9556100
1476365400,23.20000,23.28000,23.06000,23.20000,8697900
1476451800,23.40000,23.61000,23.37000,23.39000,6775500
1476711000,23.41000,23.58000,23.40000,23.43000,5821200
1476797400,23.65000,23.83000,23.59000,23.61000,8054900
1476883800,23.63000,23.93000,23.56000,23.76000,6462600
1476970200,23.72000,23.87000,23.69000,23.80000,4177400
1477056600,23.63000,23.85000,23.51000,23.82000,5938600
1477315800,23.95000,24.14000,23.73000,23.89000,9829400
1477402200,23.89000,23.89000,22.73000,22.97000,17599000
1477488600,22.91000,23.24000,22.88000,23.02000,12335700
1477575000,23.10000,23.15000,22.88000,22.92000,8345400
1477661400,22.87000,23.13000,22.66000,22.68000,14260400
1477920600,22.73000,22.75000,22.53000,22.71000,10242800
1478007000,22.82000,22.89000,22.39000,22.58000,8994600
1478093400,22.51000,22.69000,22.31000,22.46000,11589900
1478179800,22.48000,22.55000,22.23000,22.33000,10994700
1478266200,22.35000,22.62000,22.33000,22.40000,21053100
1478529000,22.80000,23.09000,22.76000,22.98000,11174200
1478615400,22.98000,23.28000,22.95000,23.16000,6608800
1478701800,22.77000,23.32000,22.54000,23.21000,10550700
1478788200,23.31000,23.58000,23.17000,23.19000,13188900
1478874600,23.12000,23.47000,23.11000,23.40000,9153700
1479133800,23.48000,23.65000,23.40000,23.49000,7637200
1479220200,23.30000,23.70000,23.30000,23.65000,6632700
1479306600,23.55000,23.90000,23.52000,23.67000,6311500
1479393000,23.74000,23.88000,23.74000,23.82000,4412000
1479479400,23.82000,23.89000,23.69000,23.83000,4752100
1479738600,23.90000,24.00000,23.77000,23.87000,5198700
1479825000,23.98000,24.07000,23.88000,24.00000,5669000
1479911400,23.96000,24.22000,23.93000,24.19000,4574100
1480084200,24.18000,24.36000,24.16000,24.29000,2605100
1480343400,24.25000,24.42000,24.18000,24.20000,4544300
1480429800,24.20000,24.40000,24.16000,24.17000,5566100
1480516200,24.22000,24.46000,23.98000,24.03000,7854200
1480602600,24.03000,24.13000,23.48000,23.53000,8877100
1480689000,23.54000,23.73000,23.52000,23.55000,5690900
1480948200,23.67000,23.96000,23.61000,23.63000,8595900
1481034600,23.60000,24.02000,23.59000,23.99000,5312900
1481121000,24.00000,24.61000,23.97000,24.58000,7055900
1481207400,24.88000,25.35000,24.84000,24.88000,11903500
1481293800,24.82000,24.92000,24.42000,24.56000,11681900
1481553000,24.50000,24.57000,24.20000,24.32000,7961700
1481639400,24.38000,24.54000,24.32000,24.46000,9691700
1481725800,24.45000,24.62000,24.31000,24.34000,7254600
1481812200,24.31000,24.50000,24.17000,24.24000,9801900
1481898600,24.27000,24.53000,24.24000,24.30000,16791000
1482157800,24.31000,24.65000,24.31000,24.36000,5386100
1482244200,24.41000,24.70000,24.41000,24.59000,5466200
1482330600,24.55000,24.94000,24.53000,24.83000,4796800
1482417000,24.72000,24.89000,24.66000,24.75000,8180500
1482503400,24.75000,24.80000,24.66000,24.77000,3799600
1482849000,24.72000,25.00000,24.72000,24.94000,3399000
1482935400,24.98000,25.06000,24.40000,24.45000,5109800
1483021800,24.45000,24.61000,24.38000,24.44000,4575200
1483108200,24.51000,24.58000,24.20000,24.27000,4422500
1483453800,24.40000,24.53000,24.12000,24.30000,6855300
1483540200,24.38000,24.64000,24.38000,24.46000,6486400
1483626600,24.37000,24.69000,24.30000,24.31000,7228500
1483713000,24.38000,24.64000,24.29000,24.52000,5554100
1483972200,24.59000,24.74000,24.46000,24.47000,6682500
1484058600,24.52000,24.77000,24.41000,24.49000,7040700
1484145000,24.44000,24.74000,24.42000,24.67000,4988600
1484231400,24.62000,24.64000,24.18000,24.53000,4506300
1484317800,24.60000,24.86000,24.55000,24.84000,3849600
1484663400,24.70000,24.70000,24.13000,24.19000,6138500
1484749800,24.30000,24.58000,24.25000,24.56000,5860700
1484836200,24.56000,24.69000,24.36000,24.42000,4544400
1484922600,24.54000,24.93000,24.54000,24.79000,6958800
1485181800,24.79000,24.92000,24.63000,24.77000,10441100
1485268200,25.23000,26.23000,24.65000,26.18000,21332600
1485354600,26.14000,26.99000,26.14000,26.68000,14941800
1485441000,26.61000,26.73000,26.18000,26.55000,12557100
1485527400,26.51000,26.95000,26.47000,26.68000,8603800
1485786600,26.58000,26.66000,26.34000,26.65000,9411300
1485873000,26.67000,26.68000,26.19000,26.49000,8965200
1485959400,26.29000,26.49000,25.97000,26.21000,9607400
1486045800,26.15000,26.40000,26.04000,26.38000,5987200
1486132200,26.47000,26.80000,26.45000,26.73000,7144100
1486391400,26.60000,26.75000,26.51000,26.71000,5171700
1486477800,26.73000,26.84000,26.56000,26.59000,5555200
1486564200,26.60000,26.62000,26.46000,26.48000,4848100
1486650600,26.48000,26.87000,26.48000,26.80000,6048300
1486737000,26.80000,26.85000,26.62000,26.70000,5809600
1486996200,26.52000,26.92000,26.31000,26.73000,7050700
1487082600,26.71000,27.24000,26.68000,27.24000,8983600
1487169000,27.15000,27.50000,27.14000,27.36000,7288000
1487255400,27.40000,27.88000,27.38000,27.71000,9934900
1487341800,27.63000,27.67000,27.34000,27.65000,4456100
1487687400,27.66000,27.89000,27.66000,27.73000,6207100
1487773800,27.61000,27.84000,27.59000,27.74000,7972400
1487860200,27.74000,27.83000,27.47000,27.56000,5658600
1487946600,27.27000,27.74000,27.12000,27.73000,5298000
1488205800,27.57000,27.74000,27.41000,27.65000,5252400
1488292200,27.55000,27.67000,27.39000,27.61000,9030600
1488378600,27.86000,28.36000,27.85000,28.20000,8173600
1488465000,28.12000,28.17000,27.87000,27.88000,4837300
1488551400,27.80000,28.02000,27.77000,27.88000,4704300
1488810600,27.74000,27.80000,27.61000,27.72000,5651800
1488897000,27.75000,27.84000,27.65000,27.72000,5256100
1488983400,27.81000,27.88000,27.56000,27.62000,4986400
1489069800,27.66000,27.73000,27.51000,27.57000,4568400
1489156200,27.59000,27.80000,27.51000,27.56000,5828200
1489411800,27.59000,27.75000,27.55000,27.71000,4072800
1489498200,27.22000,27.23000,26.80000,26.85000,8447700
1489584600,27.00000,27.41000,26.97000,27.23000,6139000
