time,open,high,low,close,tick_volume
1472477400,37.15000,37.33000,36.96000,37.15000,283200
1472563800,37.03000,37.46000,36.92000,37.10000,340300
1472650200,37.09000,37.36000,36.60000,37.30000,1936800
1472736600,37.67000,38.03000,37.02000,38.00000,859600
1472823000,38.35000,38.47000,37.71000,37.81000,712500
1473168600,37.95000,38.00000,36.98000,36.98000,644000
1473255000,36.89000,37.09000,36.26000,36.42000,619700
1473341400,36.42000,36.50000,35.69000,35.72000,768300
1473427800,35.50000,35.62000,33.77000,34.23000,1118800
1473687000,34.07000,35.17000,34.07000,34.93000,494900
1473773400,34.71000,34.94000,34.09000,34.14000,455900
1473859800,34.24000,34.47000,33.88000,33.99000,300900
1473946200,34.04000,35.15000,33.96000,34.97000,449100
1474032600,34.83000,34.92000,34.40000,34.64000,502200
1474291800,34.98000,35.53000,34.34000,34.36000,561700
1474378200,34.68000,34.70000,34.04000,34.04000,354000
1474464600,34.28000,34.88000,34.09000,34.59000,350100
1474551000,34.97000,35.18000,34.68000,34.96000,294200
1474637400,34.95000,35.25000,34.59000,34.59000,263300
1474896600,34.24000,35.19000,34.24000,34.29000,400700
1474983000,34.34000,34.85000,34.32000,34.69000,265500
1475069400,34.83000,35.81000,34.78000,35.75000,404400
1475155800,35.77000,36.11000,35.32000,35.49000,424100
1475242200,35.85000,36.51000,35.75000,36.30000,406900
1475501400,36.11000,37.31000,35.93000,36.62000,808700
1475587800,36.91000,38.78000,36.91000,38.71000,1648700
1475674200,38.51000,38.60000,37.05000,37.42000,1132900
1475760600,38.10000,38.82000,37.48000,38.17000,1748200
1475847000,37.29000,37.30000,35.84000,36.21000,1033600
1476106200,36.63000,36.84000,35.32000,36.02000,697700
1476192600,35.98000,36.10000,35.65000,35.78000,554200
1476279000,35.79000,35.98000,35.55000,35.86000,220000
1476365400,35.53000,36.01000,35.40000,35.74000,370700
1476451800,35.97000,36.48000,35.80000,35.82000,313200
1476711000,35.94000,36.35000,35.82000,36.21000,257400
1476797400,36.77000,36.87000,36.45000,36.62000,241400
1476883800,36.58000,37.06000,36.48000,36.74000,325500
1476970200,36.51000,36.85000,36.41000,36.69000,320200
1477056600,36.49000,36.92000,36.26000,36.70000,473400
1477315800,37.10000,37.24000,36.90000,37.10000,549400
1477402200,37.11000,37.36000,36.32000,36.43000,669600
1477488600,37.52000,38.94000,36.43000,37.85000,1359000
1477575000,38.00000,38.78000,37.90000,38.30000,643300
1477661400,38.33000,38.83000,38.22000,38.34000,571000
1477920600,38.35000,38.67000,38.04000,38.09000,489200
1478007000,38.23000,38.25000,36.66000,36.87000,684400
1478093400,36.66000,37.01000,36.22000,36.71000,786600
1478179800,36.80000,37.14000,36.61000,36.83000,435900
1478266200,36.94000,37.70000,36.67000,37.19000,445100
1478529000,37.87000,38.62000,37.87000,38.40000,688100
1478615400,38.20000,38.49000,37.43000,37.90000,466100
1478701800,37.44000,40.44000,37.28000,39.98000,901300
1478788200,40.33000,41.56000,40.12000,40.29000,1309900
1478874600,39.93000,40.22000,38.99000,40.01000,822300
1479133800,40.41000,41.42000,40.23000,40.87000,1110600
1479220200,41.04000,41.30000,39.88000,41.09000,597000
1479306600,40.88000,41.40000,40.70000,40.98000,599000
1479393000,41.23000,41.73000,41.07000,41.41000,635600
1479479400,41.16000,41.77000,40.60000,41.34000,620000
1479738600,41.40000,41.88000,40.87000,41.06000,464000
1479825000,41.24000,41.50000,40.95000,41.49000,358700
1479911400,41.34000,42.18000,41.05000,42.09000,407500
1480084200,42.32000,42.32000,41.81000,42.00000,168900
1480343400,41.82000,41.89000,41.17000,41.57000,345700
1480429800,41.65000,41.65000,40.78000,40.79000,475700
1480516200,41.09000,41.29000,40.84000,40.98000,353500
1480602600,41.21000,41.30000,40.90000,41.13000,447800
1480689000,40.96000,41.34000,40.56000,41.16000,534700
1480948200,41.50000,41.90000,41.35000,41.60000,354700
1481034600,41.80000,42.46000,41.44000,42.40000,338000
1481121000,42.44000,43.68000,41.99000,43.49000,498200
1481207400,43.53000,43.53000,42.79000,42.97000,410300
1481293800,43.21000,43.29000,42.70000,42.95000,298300
1481553000,42.78000,43.07000,42.26000,42.61000,417900
1481639400,42.78000,42.81000,41.13000,41.56000,904300
1481725800,41.57000,41.72000,40.80000,40.84000,290800
1481812200,40.83000,41.81000,40.73000,41.59000,450900
1481898600,41.52000,42.12000,41.35000,41.48000,759500
1482157800,41.66000,41.66000,41.03000,41.39000,350700
1482244200,41.53000,42.49000,41.41000,42.49000,309100
1482330600,42.41000,42.48000,42.00000,42.30000,243800
1482417000,42.44000,42.62000,42.05000,42.08000,292500
1482503400,42.10000,42.41000,41.87000,42.09000,170000
1482849000,42.08000,42.68000,41.80000,42.13000,221000
1482935400,42.30000,42.37000,41.16000,41.21000,280500
1483021800,41.44000,41.61000,40.99000,41.12000,182100
1483108200,41.19000,41.19000,40.58000,40.74000,265000
1483453800,41.28000,42.73000,41.20000,41.94000,372100
1483540200,42.22000,42.31000,41.85000,42.00000,299800
1483626600,41.91000,42.17000,40.70000,41.12000,404100
1483713000,41.21000,41.47000,40.67000,40.71000,312200
1483972200,40.60000,40.78000,40.06000,40.29000,248300
1484058600,40.41000,40.82000,40.05000,40.78000,654200
1484145000,40.64000,41.24000,40.47000,40.62000,217700
1484231400,40.61000,41.01000,39.54000,40.91000,452100
1484317800,39.39000,39.98000,37.94000,37.99000,1253300
1484663400,37.62000,38.61000,37.35000,37.75000,483900
1484749800,38.02000,38.33000,37.70000,37.86000,321500
1484836200,37.94000,38.85000,37.87000,38.36000,406900
1484922600,38.35000,38.79000,38.09000,38.60000,394000
1485181800,38.49000,38.80000,38.36000,38.69000,363100
1485268200,38.87000,40.14000,38.87000,40.05000,332500
1485354600,40.60000,40.76000,40.25000,40.45000,532100
1485441000,40.54000,40.76000,40.34000,40.69000,270500
1485527400,40.69000,40.83000,40.15000,40.31000,188600
1485786600,39.98000,40.23000,39.55000,39.88000,631400
1485873000,39.84000,40.38000,39.48000,40.26000,310900
1485959400,40.36000,40.87000,39.92000,40.25000,546800
1486045800,40.23000,40.36000,39.92000,40.22000,313300
1486132200,40.50000,40.66000,40.12000,40.60000,364400
1486391400,40.43000,40.80000,39.99000,40.55000,194800
1486477800,40.91000,41.80000,40.81000,41.29000,405400
1486564200,41.35000,41.35000,40.25000,40.79000,384500
1486650600,40.89000,41.91000,40.72000,41.79000,335000
1486737000,41.81000,42.27000,41.72000,42.21000,434000
1486996200,42.34000,42.85000,42.34000,42.64000,419000
1487082600,44.69000,44.84000,39.20000,39.80000,1472500
1487169000,39.88000,40.87000,39.80000,40.50000,638900
1487255400,40.36000,40.71000,39.48000,40.16000,531700
1487341800,39.99000,40.76000,39.48000,40.45000,734800
1487687400,40.47000,40.75000,40.26000,40.34000,374300
1487773800,40.21000,40.78000,40.15000,40.74000,483800
1487860200,40.92000,40.95000,39.46000,40.07000,341400
1487946600,39.56000,39.56000,39.12000,39.30000,304400
1488205800,39.18000,40.12000,39.10000,39.87000,426100
1488292200,39.85000,39.85000,39.02000,39.04000,384200
1488378600,39.84000,40.58000,39.66000,39.83000,422600
1488465000,39.64000,40.29000,39.55000,39.67000,309200
1488551400,39.77000,40.02000,39.33000,39.47000,219500
1488810600,39.21000,39.58000,39.11000,39.55000,253400
1488897000,39.36000,39.49000,38.81000,39.18000,223600
1488983400,39.29000,39.29000,38.62000,38.66000,184800
1489069800,38.65000,39.02000,38.31000,38.38000,140600
1489156200,38.77000,38.95000,38.48000,38.66000,232300
1489411800,38.66000,39.54000,38.66000,39.17000,785400
1489498200,38.80000,38.80000,37.55000,37.99000,486800
1489584600,38.25000,38.87000,38.00000,38.74000,375900
1489671000,38.95000,38.95000,38.43000,38.52000,182100
1489757400,38.78000,38.78000,38.37000,38.46000,398200
1490016600,38.37000,38.52000,37.87000,38.07000,328800
1490103000,38.27000,38.27000,36.79000,36.79000,402500
1490189400,36.67000,37.19000,36.48000,37.01000,514500
1490275800,37.02000,37.78000,36.65000,37.32000,288800
1490362200,37.40000,37.73000,36.97000,37.31000,270500
1490621400,36.57000,37.68000,36.55000,37.49000,462800
1490707800,37.23000,37.87000,36.85000,37.51000,435000
1490794200,37.41000,37.63000,37.18000,37.40000,477900
1490880600,37.39000,37.74000,37.34000,37.51000,348000
1490967000,37.43000,37.61000,37.19000,37.28000,791400
1491226200,37.30000,37.62000,36.70000,37.03000,440900
1491312600,36.91000,37.26000,36.72000,36.92000,258900
1491399000,35.74000,36.70000,34.75000,34.79000,858400
1491485400,34.95000,36.09000,34.90000,35.77000,559200
1491571800,35.77000,36.04000,35.56000,35.89000,317200
1491831000,35.96000,36.61000,35.83000,36.19000,329400
1491917400,36.06000,36.67000,35.87000,36.61000,432300
1492003800,36.61000,36.61000,35.59000,35.60000,358300
1492090200,35.61000,35.83000,34.90000,35.05000,411500
1492435800,35.15000,35.76000,35.15000,35.75000,638800
1492522200,35.57000,35.99000,35.44000,35.69000,617200
1492608600,35.96000,36.23000,35.31000,35.50000,314700
1492695000,35.76000,36.14000,35.66000,35.97000,523300
1492781400,35.91000,36.15000,35.55000,35.99000,762200
1493040600,36.80000,36.85000,36.43000,36.72000,405000
1493127000,36.99000,37.67000,36.97000,37.13000,344200
1493213400,37.10000,37.68000,37.10000,37.29000,468500
1493299800,37.04000,37.34000,35.96000,36.23000,515100
1493386200,36.34000,36.43000,34.82000,35.17000,666100
1493645400,35.24000,35.79000,34.81000,35.54000,481800
1493731800,35.54000,35.89000,35.20000,35.80000,443800
1493818200,35.53000,35.67000,34.56000,35.30000,515500
1493904600,35.40000,35.72000,35.01000,35.68000,308200
1493991000,35.82000,36.17000,35.63000,36.08000,277800
1494250200,36.15000,36.15000,35.69000,36.02000,177000
1494336600,36.06000,36.40000,35.82000,36.03000,312200
1494423000,35.95000,36.09000,35.68000,35.94000,279100
1494509400,35.86000,36.10000,35.14000,36.02000,313100
1494595800,35.86000,35.86000,35.12000,35.14000,291500
1494855000,35.18000,35.79000,35.14000,35.75000,267200
1494941400,35.84000,35.84000,35.03000,35.64000,313000
1495027800,34.95000,35.18000,34.73000,35.05000,463700
1495114200,34.83000,35.22000,34.61000,34.91000,429000
1495200600,34.98000,35.78000,34.98000,35.22000,291400
1495459800,35.30000,35.39000,34.80000,35.09000,263800
1495546200,35.17000,35.45000,34.73000,35.18000,272300
