time,open,high,low,close,tick_volume
1472477400,38.43700,38.74950,38.33075,38.60750,16952000
1472563800,38.46650,38.72330,38.34200,38.45450,22600000
1472650200,38.35050,38.45450,38.26900,38.35250,24972000
1472736600,38.46250,38.55100,38.21500,38.43900,18502000
1472823000,38.65050,38.69600,38.42050,38.57300,21454000
1473168600,38.67250,39.10000,38.55000,39.00400,28856000
1473255000,39.00000,39.13650,38.81000,39.01750,17874000
1473341400,38.92950,39.01750,38.67900,38.76600,25406000
1473427800,38.50500,38.66225,37.98300,37.98300,37710000
1473687000,37.75650,38.51450,37.70000,38.45100,26220000
1473773400,38.22400,38.31100,37.79000,37.98450,27900000
1473859800,37.98050,38.38400,37.95550,38.12450,21748000
1473946200,38.14450,38.69000,37.99800,38.58800,26102000
1474032600,38.48750,38.48750,38.23300,38.44400,40986000
1474291800,38.62100,38.70000,38.22205,38.28500,23456000
1474378200,38.45000,38.66650,38.42650,38.57050,19572000
1474464600,38.63300,38.85800,38.41505,38.81100,23356000
1474551000,39.00000,39.49250,38.92200,39.36050,29724000
1474637400,39.32950,39.44650,39.20750,39.34500,28238000
1474896600,39.13700,39.13700,38.65350,38.71050,30664000
1474983000,38.77500,39.29950,38.71540,39.15050,23064000
1475069400,38.89250,39.09050,38.74850,39.07800,22196000
1475155800,39.07200,39.29000,38.71160,38.75050,26294000
1475242200,38.81650,39.04700,38.70450,38.86450,31706000
1475501400,38.71250,38.80325,38.47500,38.62800,25576000
1475587800,38.80150,38.93550,38.64450,38.82150,24028000
1475674200,38.96550,39.10350,38.78250,38.82350,29224000
1475760600,38.95000,39.02400,38.77700,38.84300,21414000
1475847000,38.98300,38.98300,38.53750,38.75400,18664000
1476106200,38.88550,39.46900,38.79350,39.29700,23498000
1476192600,39.33300,39.61400,39.02900,39.15350,27450000
1476279000,39.18800,39.40650,39.10300,39.30700,18748000
1476365400,39.06100,39.06100,38.65000,38.90950,27306000
1476451800,39.08250,39.19750,38.80000,38.92650,17050000
1476711000,38.99000,39.29250,38.87500,38.99800,21860000
1476797400,39.39250,40.08050,39.27825,39.76300,41138000
1476883800,39.91200,40.23000,39.90150,40.07500,35336000
1476970200,40.16500,40.19850,39.80150,39.84850,35150000
1477056600,39.75000,39.97500,39.70000,39.96850,25324000
1477315800,40.24500,40.75900,40.24100,40.65550,33950000
1477402200,40.83400,40.83400,40.25700,40.38350,31528000
1477488600,40.31700,40.34900,39.81600,39.95350,32954000
1477575000,40.05000,40.17450,39.57500,39.76750,54984000
1477661400,40.41750,40.77450,39.67950,39.76850,85398000
1477920600,39.77350,39.84300,39.20000,39.22700,48546000
1478007000,39.14450,39.47450,38.77700,39.18050,48128000
1478093400,38.91000,39.08250,38.17250,38.43500,37448000
1478179800,38.36250,38.49750,37.95150,38.10650,38864000
1478266200,37.53300,38.51800,37.52805,38.10100,42696000
1478529000,38.72500,39.25950,38.62750,39.12600,31702000
1478615400,39.17000,39.78165,39.00950,39.52550,27338000
1478701800,38.99700,39.56135,38.58350,39.26550,52142000
1478788200,39.55850,39.55850,37.60900,38.12800,94904000
1478874600,37.82700,38.03900,37.51900,37.70100,48636000
1479133800,37.78000,37.89250,36.37700,36.80400,73088000
1479220200,37.34850,38.22080,37.34850,37.92450,47680000
1479306600,37.76000,38.31800,37.52550,38.22400,29452000
1479393000,38.34600,38.63500,38.21150,38.56150,26080000
1479479400,38.56850,38.75000,38.00000,38.02700,30942000
1479738600,38.13050,38.48500,38.03000,38.46000,26612000
1479825000,38.63150,38.84800,38.35000,38.41350,31862000
1479911400,38.38650,38.41415,37.76250,38.04950,29568000
1480084200,38.21300,38.25000,38.02600,38.08400,11748000
1480343400,38.00000,38.97650,37.99000,38.41200,43764000
1480429800,38.57650,38.92500,38.41200,38.54200,32332000
1480516200,38.50350,38.64950,37.74150,37.90200,47858000
1480602600,37.87200,37.99250,36.85125,37.39600,60358000
1480689000,37.22950,37.70000,37.15500,37.52500,29050000
1480948200,37.88550,38.19500,37.64500,38.12600,27884000
1481034600,38.23650,38.44150,37.86700,37.95550,33814000
1481121000,38.05000,38.56800,37.79000,38.55950,35220000
1481207400,38.62400,38.90900,38.36150,38.82100,29762000
1481293800,39.00000,39.47150,38.95105,39.46450,36438000
1481553000,39.25200,39.56250,39.21775,39.46350,42082000
1481639400,39.69500,40.21900,39.66700,39.80500,42904000
1481725800,39.87000,40.20000,39.70050,39.85350,34084000
1481812200,39.86700,40.15000,39.64600,39.89250,32530000
1481898600,40.02000,40.04280,39.51450,39.54000,48876000
1482157800,39.51100,39.88300,39.31350,39.71000,24642000
1482244200,39.83800,39.93250,39.66350,39.82100,19020000
1482330600,39.79200,39.83380,39.35500,39.72800,24226000
1482417000,39.61800,39.66600,39.42900,39.56300,19444000
1482503400,39.54500,39.63700,39.36400,39.49550,12468000
1482849000,39.53400,39.89300,39.38285,39.57750,15782000
1482935400,39.68500,39.71150,39.16000,39.25250,23076000
1483021800,39.16650,39.29650,38.94600,39.13950,14886000
1483108200,39.13750,39.13900,38.52050,38.59100,35400000
1483453800,38.94050,39.48150,38.79000,39.30700,33146000
1483540200,39.41800,39.56700,39.15800,39.34500,21460000
1483626600,39.30400,39.72400,39.25100,39.70100,26704000
1483713000,39.76300,40.39500,39.61020,40.30750,32804000
1483972200,40.32000,40.49830,40.14150,40.33250,25492000
1484058600,40.39300,40.45650,40.17550,40.23950,23536000
1484145000,40.25000,40.40750,40.06850,40.39550,21318000
1484231400,40.35700,40.36950,39.95850,40.31800,27062000
1484317800,40.37400,40.56120,40.33450,40.39400,21984000
1484663400,40.35400,40.35700,40.01850,40.23050,27242000
1484749800,40.29050,40.31025,40.04950,40.30350,25888000
1484836200,40.25600,40.47400,40.09000,40.10875,18386000
1484922600,40.34550,40.34550,40.08450,40.25100,33400000
1485181800,40.36250,41.04350,40.18700,40.96550,39272000
1485268200,41.11500,41.29500,40.89105,41.19350,29480000
1485354600,41.48100,41.78850,41.25300,41.78350,29890000
1485441000,41.89050,41.90000,41.35050,41.60750,59478000
1485527400,41.73550,42.09750,41.02200,41.16550,59316000
1485786600,40.73300,40.79200,39.99000,40.11600,64932000
1485873000,39.84300,40.06250,39.52600,39.83950,43212000
1485959400,39.98400,40.05950,39.55950,39.78475,40594000
1486045800,39.69000,40.13500,39.60000,39.92650,30642000
1486132200,40.14950,40.30000,40.01850,40.07450,29268000
1486391400,39.98500,40.08350,39.76250,40.06700,23690000
1486477800,40.19950,40.52500,40.08900,40.34850,24824000
1486564200,40.35000,40.59200,40.15950,40.41900,23106000
1486650600,40.47550,40.53300,40.22700,40.47800,19794000
1486737000,40.58500,40.76250,40.48900,40.68350,22700000
1486996200,40.80000,41.04795,40.77450,40.96200,24266000
1487082600,40.95000,41.15000,40.80000,41.02250,21094000
1487169000,40.96800,41.15000,40.92350,40.94900,26272000
1487255400,40.99650,41.22000,40.94900,41.20800,25752000
1487341800,41.15100,41.40350,41.08275,41.40350,32220000
1487687400,41.43300,41.67250,41.41750,41.58300,25246000
1487773800,41.43300,41.66250,41.43200,41.53800,19658000
1487860200,41.50600,41.62300,41.14400,41.56650,29456000
1487946600,41.38650,41.45000,41.21000,41.43200,27844000
1488205800,41.22750,41.52500,41.20000,41.46400,22030000
1488292200,41.28050,41.42700,41.01000,41.16050,45216000
1488378600,41.44250,41.81275,41.36300,41.76200,29930000
1488465000,41.69250,41.72550,41.48200,41.53150,18850000
1488551400,41.52800,41.56800,41.28755,41.45400,17928000
1488810600,41.34750,41.44400,41.12000,41.38900,22180000
1488897000,41.37000,41.67050,41.32600,41.59550,20752000
1488983400,41.67550,41.90750,41.58950,41.76850,19796000
1489069800,41.80000,42.10000,41.71050,41.93400,25230000
1489156200,42.16400,42.24550,41.97500,42.16250,34080000
1489411800,42.20000,42.43425,42.16250,42.27700,24472000
1489498200,42.18200,42.36200,42.04000,42.28100,15598000
1489584600,42.37950,42.43150,42.03850,42.36000,27630000
1489671000,42.45150,42.54250,42.30650,42.43900,19552000
1489757400,42.58050,42.67000,42.35550,42.60600,34246000
1490016600,42.50050,42.51100,42.25750,42.42000,24630000
1490103000,42.57000,42.67500,41.45100,41.52300,49270000
1490189400,41.59550,41.77750,41.35900,41.47950,28030000
1490275800,41.05000,41.12850,40.61285,40.87900,69742000
1490362200,41.00400,41.09650,40.44450,40.72150,39620000
1490621400,40.34750,41.08150,40.16850,40.97550,37886000
1490707800,41.02050,41.29950,40.70135,41.04600,32410000
1490794200,41.25000,41.63825,41.11900,41.57050,35726000
1490880600,41.67500,41.68400,41.45000,41.57500,21106000
1490967000,41.44850,41.58200,41.36950,41.47800,28038000
1491226200,41.46100,42.04250,41.46100,41.92750,33430000
1491312600,41.56800,41.75900,41.45180,41.72850,20908000
1491399000,41.77550,42.12250,41.53600,41.57050,31106000
1491485400,41.62000,41.81950,41.32300,41.39400,25088000
1491571800,41.39800,41.42425,41.02565,41.23350,21146000
1491831000,41.26950,41.46750,41.18850,41.23650,19578000
1491917400,41.23550,41.37135,40.85100,41.16750,21594000
1492003800,41.09650,41.33300,41.05100,41.21600,18010000
1492090200,41.10700,41.31900,41.07200,41.17800,22448000
1492435800,41.25050,41.88750,41.22350,41.85850,17900000
1492522200,41.71100,41.94650,41.63550,41.84100,16734000
1492608600,41.98950,42.11100,41.81450,41.91050,19084000
1492695000,42.07200,42.26000,41.96600,42.08250,19180000
1492781400,42.14400,42.19400,42.03000,42.15950,26472000
1493040600,42.56000,43.17250,42.49300,43.13800,27450000
1493127000,43.25000,43.75000,43.14050,43.61500,33440000
1493213400,43.71150,43.80250,43.38740,43.58650,24744000
1493299800,43.68000,43.77000,43.51900,43.71250,40536000
1493386200,45.53300,45.84250,45.28850,45.29800,65526000
1493645400,45.09700,45.78400,45.07250,45.62850,42320000
1493731800,45.48100,46.03850,45.47265,45.82200,31744000
1493818200,45.74300,46.40500,45.62715,46.35200,29990000
1493904600,46.30350,46.79650,46.22950,46.58300,28442000
1493991000,46.67700,46.74500,46.26000,46.35650,38226000
1494250200,46.30600,46.84625,46.26300,46.71500,26596000
1494336600,46.84750,46.87500,46.47650,46.60850,31636000
1494423000,46.59900,46.60000,46.25800,46.43900,23478000
1494509400,46.26600,46.62650,46.15150,46.53000,16700000
1494595800,46.57650,46.67200,46.39250,46.61100,21012000
1494855000,46.64750,46.91250,46.46700,46.85400,22162000
1494941400,47.00000,47.15550,46.87900,47.15000,19390000
1495027800,46.78350,46.96665,45.90700,45.98100,47242000
1495114200,46.05000,46.65850,45.93750,46.51200,31938000
1495200600,46.57350,46.88775,46.55000,46.70050,27860000
1495459800,46.75000,47.09415,46.75000,47.09300,22408000
1495546200,47.39600,47.57335,47.12875,47.44100,25416000
1495632600,47.64900,47.75450,47.47500,47.74800,20496000
1495719000,47.86650,48.63145,47.77350,48.47700,33210000
1495805400,48.48500,48.74900,48.25150,48.57350,25040000
1496151000,48.51550,48.81000,48.47450,48.79400,29334000
1496237400,48.75100,48.96350,48.00900,48.24300,48962000
1496323800,48.44750,48.57500,48.00050,48.34750,28210000
1496410200,48.47300,48.79400,48.30000,48.78000,35020000
