time,open,high,low,close,tick_volume
1472477400,2.20000,2.20000,2.20000,2.20000,0
1472563800,2.25000,2.35000,2.20500,2.29000,14600
1472650200,2.32500,2.48500,2.32500,2.39500,12000
1472736600,2.44500,2.54500,2.44500,2.54500,26400
1472823000,2.52500,2.60000,2.52500,2.55500,10200
1473168600,2.56000,2.64000,2.56000,2.64000,1600
1473255000,2.62500,2.67500,2.62000,2.66500,6600
1473341400,2.62500,2.62500,2.62500,2.62500,800
1473427800,2.62500,2.75000,2.62500,2.65500,40000
1473687000,2.69000,2.70000,2.69000,2.70000,5400
1473773400,2.75000,2.76000,2.70000,2.70000,13600
1473859800,2.70000,2.70000,2.70000,2.70000,0
1473946200,2.73500,2.75000,2.71000,2.75000,10000
1474032600,2.70000,2.70500,2.70000,2.70500,33800
1474291800,2.70000,2.75000,2.69500,2.70000,18000
1474378200,2.74000,2.74000,2.67500,2.72000,5200
1474464600,2.61500,2.70000,2.61500,2.70000,600
1474551000,2.71500,2.71500,2.70000,2.71000,4400
1474637400,2.70500,2.70500,2.42500,2.69000,40600
1474896600,2.65000,2.72500,2.65000,2.67000,2400
1474983000,2.57000,2.70500,2.57000,2.63500,18600
1475069400,2.56500,2.69000,2.56000,2.60000,41600
1475155800,2.64000,2.67500,2.55000,2.58000,39200
1475242200,2.62000,2.62000,2.54500,2.54500,3800
1475501400,2.59500,2.72500,2.53500,2.71000,41600
1475587800,2.75000,2.75000,2.75000,2.75000,800
1475674200,2.68000,2.73500,2.55500,2.55500,5600
1475760600,2.63500,2.64500,2.63500,2.64500,800
1475847000,2.64500,2.64500,2.64500,2.64500,0
1476106200,2.64500,2.64500,2.64500,2.64500,0
1476192600,2.64500,2.64500,2.50000,2.58500,15600
1476279000,2.62000,2.69500,2.62000,2.69500,2600
1476365400,2.57000,2.57000,2.55000,2.55000,4400
1476451800,2.60000,2.60000,2.55000,2.55000,3600
1476711000,2.55000,2.60500,2.50000,2.60000,17200
1476797400,2.37500,2.50000,2.37500,2.50000,800
1476883800,2.43000,2.50000,2.43000,2.50000,1400
1476970200,2.53500,2.66000,2.53500,2.65500,600
1477056600,2.65500,2.65500,2.53500,2.57500,1800
1477315800,2.57500,2.57500,2.57500,2.57500,0
1477402200,2.57500,2.57500,2.57500,2.57500,0
1477488600,2.57500,2.58000,2.57500,2.57500,1200
1477575000,2.37500,2.62500,2.25000,2.27500,9600
1477661400,2.92500,6.37000,2.92500,4.90000,6031000
1477920600,5.00500,5.78000,4.55000,5.32500,4767400
1478007000,5.29500,5.64500,5.10000,5.34000,1221200
1478093400,5.30000,5.97500,5.20000,5.59000,1118800
1478179800,5.59000,5.71000,5.25000,5.46500,374800
1478266200,5.32000,7.31500,5.32000,6.59000,1101800
1478529000,6.59000,7.45000,6.30500,7.45000,623200
1478615400,7.50000,7.57000,6.27000,6.59000,319600
1478701800,6.25500,6.92500,6.25500,6.62500,114000
1478788200,6.80000,6.98000,6.28000,6.49500,302800
1478874600,6.30000,6.52500,5.97500,6.13000,122000
1479133800,5.95000,6.22500,5.40000,5.52500,179600
1479220200,5.46000,6.00000,5.46000,5.70500,26000
1479306600,5.94500,5.97500,5.35000,5.40000,72600
1479393000,5.43500,5.65000,4.97500,5.13000,151600
1479479400,5.08500,5.10500,4.65500,4.82500,176800
1479738600,4.73000,4.99000,4.71000,4.82500,18400
1479825000,4.87500,5.70000,4.87500,5.37000,252200
1479911400,5.24000,5.51500,5.11500,5.33000,48000
1480084200,5.49500,5.95000,5.35000,5.46500,49000
1480343400,5.45500,5.63500,5.38000,5.41000,19800
1480429800,5.37500,5.54500,5.37500,5.45500,8800
1480516200,5.52000,5.53500,5.42500,5.42500,11200
1480602600,5.45000,5.59500,5.40000,5.40000,15000
1480689000,5.40000,5.40000,5.09000,5.10000,45600
1480948200,5.12000,5.16500,5.02500,5.05500,78200
1481034600,5.03500,5.03500,4.92500,4.99500,47000
1481121000,4.96000,5.45500,4.95000,4.95000,8200
1481207400,5.19500,5.37000,4.95000,4.95000,23200
1481293800,4.97500,5.36000,4.97500,5.17500,108400
1481553000,5.17500,5.44000,5.09500,5.10000,83200
1481639400,5.19000,5.35000,5.01000,5.02500,44000
1481725800,5.07000,5.22000,5.01000,5.02500,26600
1481812200,5.11500,5.26500,5.10500,5.23000,3400
1481898600,5.31500,5.31500,5.10500,5.10500,16000
1482157800,5.14500,5.23500,4.94500,4.94500,8800
1482244200,4.96000,5.19000,4.87500,5.04500,10000
1482330600,5.31500,5.31500,5.29000,5.29000,600
1482417000,5.31000,5.31000,5.08500,5.12000,2600
1482503400,5.30000,5.30000,5.12000,5.17500,8600
1482849000,5.43500,5.43500,5.30000,5.42500,7600
1482935400,5.44500,5.88500,5.30500,5.50000,65600
1483021800,5.48500,5.50000,5.07000,5.18500,38000
1483108200,5.19500,5.38500,5.19500,5.27500,49800
1483453800,5.24000,5.50000,5.24000,5.31500,21200
1483540200,5.32500,5.50000,5.32500,5.47500,16800
1483626600,5.50000,5.50000,5.30500,5.35500,53200
1483713000,5.35500,5.36000,5.32500,5.32500,9400
1483972200,5.35500,5.36000,5.31500,5.32500,14200
1484058600,5.36000,5.41000,5.33500,5.40000,23600
1484145000,5.41000,5.41000,5.39500,5.41000,16200
1484231400,5.37000,5.46000,5.33500,5.45000,20400
1484317800,5.46000,5.79500,5.46000,5.68000,90800
1484663400,6.00000,6.81000,5.95000,6.79500,142000
1484749800,6.85000,9.75500,6.85000,8.51000,386600
1484836200,8.75000,11.34500,8.32500,10.48000,223600
1484922600,10.50000,11.00000,9.52000,10.30500,289400
1485181800,10.25500,10.44500,8.90000,9.22000,91600
1485268200,9.21000,10.29500,9.21000,10.06000,60800
1485354600,10.87000,11.00000,10.30000,10.30000,150800
1485441000,10.30000,10.45000,9.61500,10.17000,45600
1485527400,9.91000,10.34500,9.81000,10.07500,10000
1485786600,10.01000,10.01000,9.27000,9.37000,35000
1485873000,9.44000,9.75000,9.01500,9.34500,24800
1485959400,9.50000,10.10000,9.50000,9.93500,32400
1486045800,10.25000,10.70500,10.01000,10.36500,71800
1486132200,10.79000,10.79500,10.60500,10.65500,11000
1486391400,10.90000,10.90000,10.66500,10.77500,17400
1486477800,10.89500,10.89500,10.37500,10.48500,14000
1486564200,10.63500,10.63500,10.25500,10.50000,4400
1486650600,10.55500,10.90000,10.55500,10.60500,28600
1486737000,10.75000,11.25000,9.85000,10.53000,83400
1486996200,10.45000,10.50000,9.90000,10.20500,44800
1487082600,10.37500,10.75000,10.21500,10.42000,15600
1487169000,10.63000,11.11000,10.63000,10.91500,14800
1487255400,11.16500,12.50000,11.16500,12.26000,118400
1487341800,12.50000,13.25000,12.35000,13.01000,129800
1487687400,13.27500,14.71000,13.27500,14.71000,132200
1487773800,15.00000,18.32500,15.00000,17.79000,191200
1487860200,17.79000,17.79000,15.03000,15.25000,112400
1487946600,16.50000,16.94000,15.55500,16.91000,90600
1488205800,17.00000,19.50000,17.00000,18.01500,209200
1488292200,18.01500,18.15000,17.00500,17.90500,74400
1488378600,17.90500,18.25000,14.50000,14.66000,227000
1488465000,14.50000,16.22000,13.86500,14.20000,152800
1488551400,14.50500,14.89000,13.00000,13.59000,200400
1488810600,13.69500,13.69500,10.16000,10.73500,295200
1488897000,10.50500,11.14500,9.83500,10.89000,76200
1488983400,10.89000,11.79000,10.89000,11.10500,49800
1489069800,10.88000,11.10000,8.85000,10.58000,232400
1489156200,10.60000,11.38500,10.60000,10.82500,47600
1489411800,10.70500,11.44500,10.70500,10.84500,80600
1489498200,10.83500,10.96000,10.01500,10.72500,50600
1489584600,10.52000,10.85000,10.52000,10.70500,30600
1489671000,11.01500,11.60000,10.70000,10.78500,123000
1489757400,10.69500,10.81500,9.78000,10.31500,56400
1490016600,10.43000,10.55000,10.00500,10.32500,24200
1490103000,10.26000,10.40500,9.37500,9.38500,72400
1490189400,9.75000,9.81500,9.30000,9.46500,62000
1490275800,9.47000,9.50000,9.35000,9.50000,40800
1490362200,9.43000,9.54500,9.40000,9.50000,31600
1490621400,9.50000,9.61500,9.25500,9.61000,48200
1490707800,9.65000,12.59500,9.65000,11.32500,199600
1490794200,11.00000,11.00000,10.13000,10.41500,62800
1490880600,10.05500,10.74500,9.89000,10.50000,83000
1490967000,10.50000,10.52000,10.20000,10.42000,94000
1491226200,10.40500,10.96000,10.36500,10.70000,155800
1491312600,10.57500,10.94000,10.57500,10.75000,201800
1491399000,10.85000,10.90000,10.05500,10.47500,100400
1491485400,10.35000,10.55000,10.00000,10.07000,108200
1491571800,10.11000,10.20000,9.77500,9.90000,128000
1491831000,9.62500,9.99500,9.62500,9.92500,106000
1491917400,9.80000,9.99500,9.75500,9.92500,91800
1492003800,9.64500,9.96000,9.03500,9.50500,62400
1492090200,9.69000,10.00500,9.26500,9.36000,43000
1492435800,9.52500,9.90500,9.42500,9.51500,30600
1492522200,9.20500,9.69500,9.20000,9.45000,38800
1492608600,9.47500,9.57500,9.33500,9.54500,150600
1492695000,9.57500,9.57500,9.33500,9.47500,68600
1492781400,9.57500,9.57500,9.30500,9.36000,55200
1493040600,9.41000,10.96000,9.41000,9.81000,253800
1493127000,10.06000,10.38500,9.72500,9.80000,204600
1493213400,9.92500,10.22500,9.87500,10.22500,53200
1493299800,10.07500,11.40000,10.05000,10.89000,137800
1493386200,10.75000,10.75000,8.76500,9.08000,375800
1493645400,9.90000,10.47500,7.95000,8.69000,358000
1493731800,8.56500,8.87500,8.29000,8.40000,75400
1493818200,8.37500,8.74500,7.95500,8.12500,76000
1493904600,8.12500,8.37500,7.66500,7.77000,54400
1493991000,7.79500,7.79500,7.27500,7.45500,29400
1494250200,7.64500,8.22500,7.54500,8.22500,32800
1494336600,7.97500,8.26000,7.77500,7.89500,26000
1494423000,7.82000,8.29500,7.68500,8.29500,25000
1494509400,8.22500,8.81500,8.17500,8.58500,66600
1494595800,8.60000,8.64000,7.63500,8.54000,32600
1494855000,8.43500,8.57000,8.40000,8.50000,20800
1494941400,8.52500,8.52500,8.03000,8.37500,22400
1495027800,8.19000,9.82500,8.19000,9.82500,75800
1495114200,9.70000,10.24500,9.01500,9.42000,50600
1495200600,9.45500,9.45500,9.26000,9.44000,15000
1495459800,9.45500,9.67000,9.10000,9.14000,161200
1495546200,9.09000,9.17500,8.80000,9.08000,9200
1495632600,8.95000,9.27500,8.63500,9.27000,22000
1495719000,9.35500,9.35500,9.00000,9.32500,63400
1495805400,9.44500,9.52500,9.20000,9.32500,21400
1496151000,9.44000,9.60000,9.31500,9.59000,30600
1496237400,9.61000,9.67000,9.38000,9.63000,32400
1496323800,9.65000,9.99500,9.65000,9.97500,8800
1496410200,9.97500,9.98500,9.85000,9.85000,14200
1496669400,9.72000,10.12500,9.02500,9.03000,88000
1496755800,9.02000,9.39500,8.76500,9.34500,10600
1496842200,9.04500,9.15000,8.93500,9.15000,24400
1496928600,9.23500,9.49000,9.10500,9.44000,24000
1497015000,9.61500,9.90000,9.25000,9.57500,63000
1497274200,9.40000,9.40000,9.08500,9.10500,28800
1497360600,9.59500,9.70000,8.77500,9.29500,98000
1497447000,9.10000,9.41500,8.77500,8.81000,80600
1497533400,8.92500,9.05500,8.75000,8.86500,41400
1497619800,8.62000,8.68000,8.38000,8.59000,28000
1497879000,8.52500,8.57500,8.35000,8.57500,31000
1497965400,8.43500,8.75000,8.35000,8.35000,22200
1498051800,9.00000,9.00000,8.25000,8.25000,13400
1498138200,8.29500,8.37000,8.23000,8.35500,4800
1498224600,8.84500,8.84500,8.22500,8.50000,17800
1498483800,8.35000,9.22500,8.11500,9.12500,26000
1498570200,9.12000,9.12000,8.63000,9.05500,3800
1498656600,8.78000,8.90500,8.52000,8.86500,3000
1498743000,8.93000,8.93000,8.60500,8.75500,3000
1498829400,9.12000,9.12000,8.66000,9.08000,15000
1499088600,8.97000,9.25000,8.97000,9.25000,4600
1499261400,9.48500,9.49500,9.25000,9.37000,14200
1499347800,9.05500,9.45000,9.02000,9.29000,12400
1499434200,9.45500,9.45500,9.13500,9.25000,11000
1499693400,9.13000,9.18500,9.00000,9.02000,8200
1499779800,9.11000,9.37500,9.11000,9.21500,6600
1499866200,9.02500,9.14500,8.67000,9.08500,9200
1499952600,9.45000,9.45000,8.83000,8.83000,18600
1500039000,8.47500,8.92500,8.00000,8.06000,33600
1500298200,8.00000,8.34500,7.97500,8.12000,8200
1500384600,8.27500,8.28500,7.15500,7.59000,42600
1500471000,7.64500,7.66500,7.51000,7.57500,20200
1500557400,7.43500,8.10000,7.42500,8.09000,10600
1500643800,7.95500,8.21500,7.65000,8.19000,24000
1500903000,8.25500,8.28500,7.60000,7.62500,13600
1500989400,7.61000,8.08000,7.36000,7.74000,35000
1501075800,7.67500,7.75000,7.49000,7.68500,9200
1501162200,7.42500,7.62000,7.25000,7.30000,18000
1501248600,7.26000,7.26500,7.00000,7.06000,8200
1501507800,7.06500,7.54000,7.01500,7.35500,13600
1501594200,7.47500,7.65000,7.38500,7.45000,10400
1501680600,7.48500,7.70000,7.25500,7.70000,12600
1501767000,7.49000,8.04500,7.45000,7.60000,9600
1501853400,7.50000,7.59500,7.25000,7.59500,14400
1502112600,7.41000,7.41500,6.59000,7.30000,62800
1502199000,7.06000,7.50000,7.05000,7.47500,34600
1502285400,8.27500,9.80000,8.27500,8.77500,200600
1502371800,8.84000,9.73000,8.84000,9.07500,67000
1502458200,9.08000,9.08000,8.40000,8.67000,35000
1502717400,8.69000,8.69000,8.27500,8.55500,35600
1502803800,8.62500,8.73500,8.38500,8.45500,19400
1502890200,8.45500,8.97500,8.44000,8.97500,19800
1502976600,8.66500,8.97500,8.57000,8.97500,4400
1503063000,8.94500,9.09000,8.82000,9.07000,10200
1503322200,9.07000,9.25000,9.06000,9.25000,8000
1503408600,9.24000,9.47500,9.24000,9.43000,8600
1503495000,9.27500,9.80000,9.27500,9.36500,16000
1503581400,9.35000,9.80000,9.35000,9.80000,11200
1503667800,9.77500,9.97500,9.74500,9.90000,13400
1503927000,9.88000,10.01000,9.77500,10.00000,35400
1504013400,10.00000,10.00000,9.30500,9.99000,17400
1504099800,9.81000,9.85000,9.71500,9.80500,2800
1504186200,9.60500,9.65000,9.50000,9.64500,10800
1504272600,9.50000,9.58000,9.25500,9.58000,11800
1504618200,9.30500,9.57500,9.25000,9.56500,4400
1504704600,9.49500,9.49500,9.37500,9.37500,2000
1504791000,9.44500,9.75000,9.40500,9.75000,6800
1504877400,9.58000,10.24500,9.58000,10.15000,22600
1505136600,10.31000,10.74000,10.31000,10.39000,44600
1505223000,10.52500,11.35000,10.52500,10.86000,34000
1505309400,10.99000,11.25000,10.99000,11.00500,22400
1505395800,10.86500,12.44500,10.86500,12.34500,78400
1505482200,12.47500,15.23500,12.34500,14.57500,219600
1505741400,14.08000,14.51000,12.96000,13.64500,171200
1505827800,13.34000,14.24500,12.70000,14.10500,65800
1505914200,14.08500,14.71000,13.80500,14.17000,41800
1506000600,14.20000,14.66000,14.14500,14.42500,24000
1506087000,14.87500,14.87500,13.55500,13.99000,50600
1506346200,14.34500,15.00000,13.59500,14.32500,50200
1506432600,14.61000,14.74500,13.41500,14.05000,49800
1506519000,14.32500,16.24000,14.25000,15.97500,163400
1506605400,15.97500,17.54000,15.51000,15.90000,174200
1506691800,15.65500,16.32500,15.65500,15.73000,38400
1506951000,15.70000,15.70000,15.25000,15.56000,10000
1507037400,15.56500,16.24500,15.56500,16.24000,27000
1507123800,16.44000,16.99500,16.09000,16.09000,35000
1507210200,16.18500,16.60000,15.94000,16.10500,22000
1507296600,16.71500,16.75000,16.20500,16.48000,31200
1507555800,16.55000,16.55000,14.25000,14.50000,60400
1507642200,15.26000,16.00000,15.24500,15.67500,34800
1507728600,15.67500,17.09500,15.67500,16.62500,55000
1507815000,16.65000,18.42000,16.65000,18.09500,132600
1507901400,17.84500,18.82500,17.84500,18.48500,60600
1508160600,18.80000,21.50000,18.80000,21.34500,234200
1508247000,21.72000,27.00000,21.50000,25.04000,461600
1508333400,26.75000,29.27500,25.51500,26.43500,450800
1508419800,27.25000,31.72500,25.75000,31.67000,562600
1508506200,31.63000,33.37000,28.55500,29.21500,313600
1508765400,28.50500,31.36500,28.49500,29.99000,155200
1508851800,30.00000,30.00000,26.00000,26.00000,200400
1508938200,25.84000,28.43000,24.30000,27.79000,196800
1509024600,27.44500,28.06500,26.00500,27.29500,58200
1509111000,27.39500,28.60000,26.10000,28.15500,92000
1509370200,26.00000,26.98500,23.00000,24.65000,296400
1509456600,24.70000,27.45000,24.70000,26.75000,93000
1509543000,27.29000,31.93000,27.29000,30.05000,141600
1509629400,29.62000,32.50000,29.38500,30.06000,62200
1509715800,30.30000,31.18500,29.55000,30.15000,91400
1509978600,30.17500,31.24500,29.60000,30.91000,70400
1510065000,31.27500,35.00000,31.23500,34.30000,105600
1510151400,34.90000,38.50000,34.80000,38.50000,143200
1510237800,38.50000,39.41000,35.50000,36.85000,136000
1510324200,37.28500,38.42500,34.33000,34.56000,66000
1510583400,34.50500,37.24500,34.50500,37.24500,55400
1510669800,38.10000,40.05500,37.27500,37.43000,121000
1510756200,39.00000,39.05000,37.37500,38.44000,75400
1510842600,38.95000,41.91000,38.55500,40.47000,179600
1510929000,41.00000,41.27500,37.88500,38.24500,110200
1511188200,38.00500,40.00000,33.19500,35.11500,118600
1511274600,35.47000,36.85500,34.05000,35.02500,86400
1511361000,34.52000,35.00000,29.77000,34.50500,172400
1511533800,33.94500,37.50000,33.94500,36.95000,53400
1511793000,36.76500,37.08000,35.00500,36.40000,70400
1511879400,35.97000,37.47000,35.97000,37.47000,41000
1511965800,36.24000,37.47500,33.19000,34.88000,84400
1512052200,35.50500,38.00000,34.51000,38.00000,53800
1512138600,37.94000,38.00000,36.00500,37.13000,52400
