time,open,high,low,close,tick_volume
1472477400,20.25000,21.75000,20.10000,21.75000,381140
1472563800,21.75000,28.20000,20.25000,22.80000,612127
1472650200,23.10000,23.70000,21.75000,23.40000,604693
1472736600,22.80000,25.95000,21.30000,21.30000,455967
1472823000,21.45000,22.95000,21.45000,22.35000,288907
1473168600,22.80000,22.80000,21.30000,22.20000,139027
1473255000,22.20000,22.35000,21.90000,21.90000,56680
1473341400,21.75000,22.05000,21.45000,21.90000,95000
1473427800,21.60000,22.05000,21.00000,21.00000,110980
1473687000,20.70000,22.50000,19.65000,22.50000,262513
1473773400,22.50000,22.95000,19.80000,19.95000,367400
1473859800,20.10000,20.55000,19.20000,19.50000,498620
1473946200,19.50000,19.95000,18.60000,19.50000,348267
1474032600,19.50000,20.10000,18.75000,19.05000,667600
1474291800,19.35000,19.80000,19.20000,19.80000,132693
1474378200,20.10000,20.10000,19.05000,19.50000,86973
1474464600,19.65000,19.80000,18.45000,18.60000,202027
1474551000,18.90000,19.05000,17.70000,18.90000,228207
1474637400,18.90000,19.50000,18.75000,19.05000,131067
1474896600,19.20000,19.20000,18.75000,18.75000,116100
1474983000,18.75000,18.75000,17.55000,18.15000,199260
1475069400,17.85000,18.15000,17.55000,18.15000,150793
1475155800,18.30000,18.90000,18.00000,18.60000,76873
1475242200,18.90000,18.90000,17.70000,18.15000,151213
1475501400,18.00000,18.30000,18.00000,18.15000,77013
1475587800,18.15000,18.15000,17.40000,17.70000,165440
1475674200,17.85000,18.90000,17.70000,18.75000,141433
1475760600,18.90000,18.90000,18.00000,18.30000,123413
1475847000,18.15000,18.45000,17.55000,17.55000,101220
1476106200,17.70000,18.00000,17.55000,17.70000,111653
1476192600,17.70000,18.00000,17.25000,17.40000,99927
1476279000,17.40000,17.55000,17.25000,17.25000,68227
1476365400,17.25000,17.40000,16.50000,16.50000,161920
1476451800,16.80000,16.95000,16.50000,16.80000,113160
1476711000,16.95000,17.10000,16.35000,16.50000,90780
