time,open,high,low,close,tick_volume
1472540400,1657.10339,1665.16235,1651.56299,1656.59985,7118884
1472626800,1653.07397,1662.64392,1641.99304,1651.05933,7846694
1472713200,1659.11804,1660.62915,1608.75024,1611.26868,8268907
1472799600,1614.29065,1673.72485,1612.77966,1667.17700,13025419
1473058800,1664.15491,1674.22852,1652.16736,1656.59985,4407785
1473145200,1662.64392,1705.45654,1637.93140,1643.50415,5329240
1473231600,1637.45996,1645.51880,1629.90479,1644.51147,6480678
1473318000,1643.00037,1656.59985,1633.43054,1636.45264,7605451
1473404400,1632.92676,1635.94885,1606.23193,1611.26868,7766921
1473663600,1595.65454,1611.77234,1593.13623,1603.71350,7130599
1473750000,1612.27600,1639.76782,1607.74292,1608.75024,9963116
1473836400,1597.66931,1633.93420,1595.15088,1625.37170,8536075
1473922800,1630.40845,1637.78528,1618.82385,1635.94885,7071315
1474009200,1636.95630,1650.55554,1624.86804,1627.89014,13241716
1474268400,1639.47473,1658.11084,1636.45264,1657.60706,7962309
1474354800,1640.98572,1668.13403,1634.56384,1657.10339,8638776
1474441200,1667.17700,1668.61145,1639.47473,1641.48938,6687818
1474527600,1651.56299,1665.26294,1640.98572,1661.13293,5799314
1474614000,1661.63647,1667.00476,1655.59241,1665.16235,4608312
1474873200,1660.12549,1661.13293,1645.51880,1645.51880,5350129
1474959600,1657.10339,1666.16968,1638.97095,1649.54834,5088969
1475046000,1658.11084,1683.29468,1657.10339,1667.17700,6230361
1475132400,1666.16968,1676.74695,1654.08142,1659.62183,5931989
1475218800,1657.10339,1657.10339,1637.81250,1655.08875,9263336
1475478000,1664.65857,1686.70874,1648.03723,1677.25061,9301480
1475564400,1685.30945,1721.07068,1681.28003,1708.47876,19350605
1475650800,1703.44189,1705.45654,1691.35364,1701.42725,6955569
1475737200,1706.96765,1706.96765,1686.82056,1692.86462,6452865
1475823600,1702.43445,1728.80725,1697.39771,1721.57434,8869497
1476082800,1728.62585,1739.70679,1718.04858,1735.17371,6175423
1476169200,1734.67004,1758.40527,1726.61108,1731.64795,7455815
1476255600,1726.10742,1736.68469,1709.48596,1712.50806,6347300
1476342000,1721.07068,1722.58167,1695.88672,1712.50806,10788648
1476428400,1713.51550,1718.55225,1700.88721,1703.44189,8916654
1476687600,1692.86462,1702.43445,1676.91504,1677.25061,10501251
1476774000,1679.26526,1689.84265,1669.19165,1679.26526,7999789
1476860400,1679.26526,1682.28845,1668.68799,1677.25061,5740065
1476946800,1679.76904,1685.30945,1661.63647,1677.75427,8804053
1477033200,1672.71753,1678.76160,1661.13293,1670.70276,13326816
1477292400,1680.27271,1682.28735,1652.74365,1653.07397,9158228
1477378800,1661.63647,1663.65125,1639.97839,1641.48938,12992793
1477465200,1648.03723,1672.21375,1603.96533,1638.46729,13830412
1477551600,1638.46729,1660.62915,1628.39368,1642.49670,11145766
1477638000,1654.58496,1658.44824,1634.94165,1639.47473,18152910
1477900800,1635.44519,1646.52625,1615.80176,1630.40845,10824211
1477987200,1618.32019,1628.89746,1608.56885,1615.80176,8921648
1478073600,1614.29065,1635.94885,1610.76501,1618.32019,11757062
1478160000,1600.18774,1618.31006,1564.17468,1565.43396,11399261
1478246400,1543.27197,1565.93762,1528.98254,1539.74634,12175909
1478505600,1559.38965,1580.30652,1552.33826,1560.39709,8440771
1478592000,1559.38965,1575.00378,1555.36035,1568.45605,8998957
1478678400,1582.55896,1628.39368,1579.03320,1611.26868,22382092
1478764800,1627.38635,1631.91956,1567.26733,1585.07739,14057774
1478851200,1586.58838,1588.09937,1540.68311,1545.79041,11888709
1479110400,1556.87134,1566.44116,1544.27942,1548.81250,7631398
