time,open,high,low,close,tick_volume
1472477400,44.37000,45.02000,44.35000,44.74000,4474200
1472563800,44.74000,45.19000,43.88000,44.07000,8194800
1472650200,43.90000,44.28000,42.65000,43.01000,9660000
1472736600,43.01000,43.29000,42.57000,43.21000,5274400
1472823000,43.46000,44.09000,43.29000,43.32000,5994000
1473168600,43.53000,43.90000,43.13000,43.73000,6003200
1473255000,43.70000,43.98000,43.20000,43.57000,5173500
1473341400,43.92000,44.35000,43.48000,44.12000,6212600
1473427800,43.72000,43.76000,41.95000,41.95000,9520000
1473687000,41.60000,42.74000,41.52000,42.40000,6986400
1473773400,41.81000,41.96000,40.60000,41.11000,11877300
1473859800,40.85000,41.73000,40.63000,41.26000,8061100
1473946200,41.39000,42.12000,41.21000,41.77000,6820400
1474032600,40.77000,41.35000,40.74000,41.04000,9673200
1474291800,41.46000,41.86000,41.27000,41.28000,6836500
1474378200,41.31000,41.63000,41.01000,41.26000,7771300
1474464600,41.67000,42.84000,41.61000,42.72000,7610200
1474551000,43.25000,43.63000,42.60000,42.65000,5924900
1474637400,42.29000,43.04000,41.67000,41.84000,7191700
1474896600,41.98000,42.31000,41.18000,41.38000,9322500
1474983000,40.92000,41.09000,40.12000,40.95000,11842900
1475069400,41.11000,42.96000,40.45000,42.79000,12551900
1475155800,42.89000,44.73000,42.89000,44.18000,15139000
1475242200,44.54000,45.08000,44.07000,44.88000,9195300
1475501400,45.11000,45.19000,44.54000,44.90000,6221400
1475587800,44.91000,45.00000,44.23000,44.59000,5035900
1475674200,45.20000,46.07000,44.94000,45.72000,7529500
1475760600,46.04000,46.40000,45.55000,46.37000,7624000
1475847000,46.38000,46.85000,45.98000,46.26000,7014500
1476106200,46.79000,47.64000,46.76000,47.26000,8799400
1476192600,46.91000,47.17000,46.29000,46.64000,9505000
1476279000,46.64000,47.18000,46.25000,46.96000,7565500
1476365400,46.38000,47.96000,46.12000,47.02000,7327900
1476451800,47.46000,47.83000,46.84000,46.97000,7353400
1476711000,46.95000,47.35000,45.98000,46.32000,8169300
1476797400,46.97000,47.28000,46.30000,47.07000,9834100
1476883800,47.70000,50.23000,47.70000,49.07000,19236500
1476970200,48.89000,49.51000,48.43000,48.75000,8613000
1477056600,48.36000,48.78000,48.09000,48.43000,6659000
1477315800,48.54000,48.69000,47.76000,48.24000,7399100
1477402200,48.22000,48.84000,47.57000,47.77000,7760200
1477488600,47.21000,48.50000,46.85000,47.62000,8619700
1477575000,47.90000,48.25000,47.50000,47.55000,6001200
1477661400,47.60000,47.80000,46.06000,46.58000,10411000
1477920600,46.42000,46.68000,45.91000,46.00000,7931200
1478007000,46.37000,46.68000,45.36000,46.23000,6869900
1478093400,45.51000,46.22000,45.08000,45.93000,8158100
1478179800,45.94000,46.61000,45.84000,46.58000,7378000
1478266200,46.46000,46.84000,45.75000,46.38000,7031600
1478529000,46.81000,47.46000,46.81000,47.44000,5504400
1478615400,47.08000,47.70000,46.91000,47.12000,5320300
1478701800,47.46000,48.25000,47.12000,47.82000,12189800
1478788200,47.69000,48.99000,47.57000,48.81000,11520000
1478874600,48.35000,48.61000,47.21000,48.01000,7635100
1479133800,47.61000,48.54000,47.34000,48.14000,8395500
1479220200,48.52000,49.90000,48.50000,49.76000,11770300
1479306600,49.33000,49.69000,48.58000,48.76000,7835200
1479393000,49.38000,49.78000,48.22000,48.60000,7953800
1479479400,48.86000,49.49000,48.76000,49.31000,6663000
1479738600,50.04000,50.45000,49.71000,50.10000,8011200
1479825000,50.43000,50.49000,49.07000,49.84000,7699500
1479911400,49.42000,50.01000,49.35000,49.47000,3979200
1480084200,49.27000,49.52000,48.91000,49.51000,2736300
1480343400,49.64000,49.73000,48.68000,48.80000,6968500
1480429800,47.79000,48.49000,47.06000,47.79000,12332000
1480516200,47.79000,54.92000,47.79000,53.09000,32232000
1480602600,54.08000,54.80000,53.19000,53.24000,11775300
1480689000,53.25000,54.52000,53.11000,54.17000,7174900
1480948200,54.38000,54.74000,53.72000,53.90000,9235300
1481034600,53.25000,54.27000,52.91000,54.02000,9056100
1481121000,54.02000,54.50000,52.89000,53.54000,8987100
1481207400,53.76000,54.49000,53.33000,54.43000,9037500
1481293800,54.50000,54.51000,53.77000,54.20000,6003100
1481553000,55.05000,56.08000,54.36000,54.49000,10575100
1481639400,54.59000,55.56000,54.27000,54.90000,8600700
1481725800,54.23000,54.56000,53.41000,53.51000,9068000
1481812200,53.51000,54.02000,53.13000,53.79000,8359300
1481898600,54.23000,54.28000,53.75000,53.99000,12707800
1482157800,53.61000,54.03000,53.43000,53.72000,5563800
1482244200,54.15000,54.25000,53.12000,53.33000,8164300
1482330600,53.76000,55.28000,53.35000,54.96000,10087800
1482417000,54.63000,55.42000,54.63000,55.07000,5370500
1482503400,55.04000,55.26000,54.63000,54.84000,3168000
1482849000,55.02000,55.54000,54.70000,54.91000,3609800
1482935400,55.11000,55.22000,54.18000,54.30000,4956800
1483021800,54.14000,54.46000,53.84000,54.04000,4237500
1483108200,54.03000,54.36000,53.61000,54.09000,4655700
1483453800,54.96000,56.33000,54.95000,55.68000,10531700
1483540200,55.61000,56.15000,55.49000,55.89000,6265900
1483626600,56.19000,56.88000,56.04000,56.21000,7083300
1483713000,56.23000,56.98000,55.91000,56.66000,7899500
1483972200,56.10000,56.33000,55.81000,56.07000,9080500
1484058600,56.05000,56.06000,54.62000,54.64000,9774100
1484145000,55.09000,55.61000,54.69000,55.39000,9995100
1484231400,55.80000,55.85000,55.07000,55.18000,5954000
1484317800,54.70000,55.19000,54.49000,54.54000,5995600
1484663400,54.67000,55.06000,54.19000,55.01000,7712600
1484749800,54.50000,55.30000,54.43000,55.13000,6156300
1484836200,55.07000,55.40000,54.78000,55.34000,9144400
1484922600,56.12000,56.84000,55.99000,56.45000,14793600
1485181800,55.00000,55.20000,53.92000,54.80000,17718700
1485268200,55.24000,56.79000,55.09000,56.62000,11276700
1485354600,56.90000,57.70000,56.76000,57.41000,9837100
1485441000,57.46000,58.78000,57.46000,58.06000,8989800
1485527400,57.94000,58.47000,57.75000,58.21000,6893000
1485786600,58.02000,58.10000,55.37000,56.48000,10361100
1485873000,56.73000,56.78000,55.81000,56.57000,5849500
1485959400,57.18000,57.23000,55.41000,56.23000,7083000
1486045800,56.46000,56.59000,55.70000,56.29000,6183400
1486132200,56.25000,57.06000,56.13000,56.58000,5344500
1486391400,56.64000,56.76000,56.01000,56.10000,4745200
1486477800,55.74000,56.00000,54.60000,54.88000,8395900
1486564200,54.60000,55.45000,53.50000,55.44000,9849500
1486650600,55.87000,56.76000,55.65000,56.68000,9320900
1486737000,57.02000,57.38000,55.99000,56.13000,7937500
1486996200,56.14000,56.76000,55.96000,56.32000,7161800
1487082600,56.05000,56.58000,56.01000,56.54000,8102300
1487169000,56.18000,56.56000,55.66000,55.77000,5978500
1487255400,55.82000,56.00000,54.26000,54.31000,10925600
1487341800,54.02000,54.41000,53.53000,53.71000,9055800
1487687400,54.44000,54.93000,53.80000,53.84000,7496900
1487773800,53.49000,53.93000,52.99000,53.06000,7736100
1487860200,53.75000,54.28000,53.10000,53.19000,7971000
1487946600,52.75000,53.00000,52.35000,52.87000,6489600
1488205800,52.86000,53.71000,52.59000,53.20000,6902500
1488292200,53.00000,53.65000,52.50000,53.46000,6503700
1488378600,53.97000,55.21000,53.94000,54.70000,7176400
1488465000,54.37000,54.50000,53.68000,53.87000,5772100
1488551400,54.00000,54.40000,53.70000,53.87000,4092800
1488810600,53.79000,54.00000,53.34000,53.80000,5656100
1488897000,53.72000,53.78000,52.83000,52.97000,7246400
1488983400,52.63000,53.23000,51.20000,51.29000,14736900
1489069800,50.59000,50.99000,49.75000,50.89000,14967400
1489156200,51.39000,51.50000,50.61000,50.91000,7711100
1489411800,51.02000,51.33000,50.67000,50.88000,6272400
1489498200,50.88000,50.88000,48.54000,49.80000,13128100
1489584600,50.32000,51.92000,49.99000,51.54000,9993000
1489671000,51.65000,51.83000,50.81000,50.92000,7336000
1489757400,51.15000,51.47000,50.59000,50.78000,8131400
1490016600,50.36000,50.83000,49.84000,50.64000,7763200
1490103000,51.11000,51.26000,49.82000,50.15000,7673000
1490189400,49.87000,50.31000,49.36000,49.83000,7544900
1490275800,49.74000,50.16000,49.43000,49.71000,5620000
1490362200,49.20000,50.62000,49.19000,49.41000,9607400
1490621400,48.60000,48.77000,47.52000,47.78000,14193700
1490707800,47.92000,48.27000,47.55000,48.02000,10606800
1490794200,48.00000,49.52000,47.96000,49.22000,10831200
1490880600,49.76000,49.82000,48.65000,49.02000,11840200
1490967000,49.02000,49.52000,48.91000,49.21000,6392600
1491226200,49.46000,49.66000,48.81000,49.28000,6870700
1491312600,49.30000,49.69000,48.76000,49.55000,6288700
1491399000,50.25000,51.26000,49.82000,49.85000,12281900
1491485400,50.20000,50.45000,49.86000,50.15000,5773200
1491571800,50.33000,50.50000,49.50000,49.68000,6212000
1491831000,49.94000,50.23000,49.75000,49.97000,5588100
1491917400,49.97000,50.02000,49.09000,50.01000,6766900
1492003800,50.00000,50.23000,49.15000,49.33000,7358000
1492090200,49.19000,49.42000,48.18000,48.38000,6762400
1492435800,48.38000,48.85000,48.24000,48.84000,5249000
1492522200,48.47000,48.95000,48.29000,48.53000,4703300
1492608600,48.73000,48.84000,47.15000,47.43000,9432800
