time,open,high,low,close,tick_volume
1472477400,49.26852,49.61736,49.20696,49.24800,1917300
1472563800,49.37112,49.47372,48.57084,48.79656,4598635
1472650200,48.30408,49.20696,48.30408,48.98124,2733382
1472736600,49.37112,49.37112,48.42720,48.77604,4685673
1472823000,48.50928,49.14540,48.48876,48.71448,1457359
1473168600,48.71448,48.79656,48.13992,48.48876,1354045
1473255000,48.50928,48.75552,48.38616,48.52980,1443860
1473341400,48.44772,48.65292,47.93472,48.03732,1987232
1473427800,47.60640,47.79108,46.58040,46.64196,4347173
1473687000,46.27260,47.50380,46.17000,47.29860,3783138
1473773400,46.80612,47.31912,46.74456,47.05236,2821637
1473859800,47.03184,47.66796,46.62144,47.46276,2957212
1473946200,47.27808,47.77056,47.27808,47.40120,2129483
1474032600,47.23704,47.56536,47.09340,47.25756,2340741
1474291800,47.44224,47.70900,47.11392,47.23704,1670029
1474378200,47.46276,48.13992,47.42172,47.83212,2565302
1474464600,47.81160,47.89368,47.01132,47.83212,4356238
1474551000,48.05784,48.57084,48.01680,48.36564,2025195
1474637400,48.09888,48.63240,48.05784,48.42720,1511501
1474896600,47.99628,48.16044,47.03184,47.09340,3066423
1474983000,47.17548,47.50380,47.09340,47.31912,1780409
1475069400,47.48328,47.62692,46.66248,46.90872,6334211
1475155800,46.78560,47.40120,46.49832,46.82664,4898928
1475242200,46.88820,47.44224,46.78560,47.05236,2799464
1475501400,47.07288,47.38068,46.82664,46.94976,1738548
1475587800,47.15496,47.27808,46.62144,46.84716,3495565
1475674200,46.80612,47.03184,46.53936,46.66248,2435770
1475760600,46.68300,46.82664,46.00584,46.23156,3090692
1475847000,46.25208,46.51884,45.82116,46.02636,1582164
1476106200,46.29312,47.09340,46.23156,46.84716,3368129
1476192600,46.72404,46.84716,46.17000,46.27260,3558187
1476279000,46.31364,46.80612,46.17000,46.68300,3019688
1476365400,46.12896,46.92924,45.63648,46.62144,3303119
1476451800,46.78560,47.36016,46.72404,46.97028,4657895
1476711000,46.80612,47.23704,46.64196,46.68300,2450828
1476797400,47.11392,47.44224,46.84716,47.25756,2298002
