time,open,high,low,close,tick_volume
1472477400,51.40000,52.70000,50.96000,52.33000,1943500
1472563800,52.44000,53.28000,52.44000,52.75000,1077400
1472650200,52.50000,53.00000,51.92000,52.70000,1424100
1472736600,52.88000,53.27000,52.33000,52.89000,1110500
1472823000,53.17000,53.38000,52.76000,53.09000,960700
1473168600,53.33000,53.60000,52.36000,52.42000,2553800
1473255000,52.54000,53.08000,52.30000,52.71000,2013200
1473341400,52.70000,52.95000,51.65000,52.38000,1845000
1473427800,52.08000,52.31000,50.56000,50.57000,2603700
1473687000,49.51000,51.61000,49.11000,51.47000,2076700
1473773400,51.03000,52.10000,50.66000,51.28000,2025400
1473859800,51.24000,51.68000,50.65000,50.87000,1469600
1473946200,50.04000,51.82000,50.04000,51.44000,1959400
1474032600,51.06000,51.95000,50.98000,51.70000,3121200
1474291800,52.06000,52.63000,51.45000,52.01000,1494500
1474378200,52.18000,52.32000,50.36000,50.44000,1920000
1474464600,50.69000,54.12000,50.66000,52.42000,9445800
1474551000,52.78000,53.00000,51.72000,51.95000,1710600
1474637400,51.68000,52.55000,51.57000,52.52000,1659800
1474896600,52.05000,52.38000,51.58000,51.69000,1157900
1474983000,51.72000,52.30000,51.56000,52.14000,1116500
1475069400,52.20000,52.90000,51.97000,52.84000,1103000
1475155800,52.56000,53.40000,52.26000,52.48000,1780900
1475242200,52.91000,53.08000,51.96000,52.59000,1746600
1475501400,52.43000,52.73000,50.83000,51.00000,2809900
1475587800,51.05000,51.46000,50.41000,50.52000,1655500
1475674200,50.54000,51.76000,50.54000,51.30000,2037500
1475760600,51.04000,51.26000,50.00000,50.16000,4186800
1475847000,50.38000,50.49000,49.40000,50.00000,1682900
1476106200,50.35000,50.94000,50.33000,50.52000,942700
1476192600,50.33000,50.59000,49.76000,50.02000,1047700
1476279000,49.84000,50.44000,49.73000,50.19000,1070900
1476365400,49.05000,50.91000,48.55000,50.42000,3030100
1476451800,50.79000,50.90000,49.66000,49.83000,2193700
1476711000,49.85000,50.27000,49.60000,49.70000,2352000
1476797400,50.74000,54.55000,49.57000,54.19000,7621600
1476883800,54.43000,55.35000,54.43000,54.75000,5193900
1476970200,54.84000,56.49000,54.45000,55.61000,3910600
1477056600,55.13000,56.43000,55.00000,56.37000,2476000
1477315800,56.53000,57.43000,56.45000,57.10000,2256700
1477402200,56.75000,56.88000,55.96000,56.60000,2879400
1477488600,56.29000,56.96000,56.19000,56.55000,1775600
1477575000,56.91000,56.91000,55.43000,55.51000,2197300
1477661400,55.61000,56.67000,55.42000,56.07000,1451800
1477920600,56.36000,58.35000,55.79000,57.02000,4979500
1478007000,57.35000,57.37000,55.72000,56.33000,1552700
1478093400,56.17000,56.68000,55.79000,55.98000,1680300
1478179800,56.00000,56.66000,55.83000,55.92000,1420400
1478266200,55.98000,56.54000,55.48000,55.88000,1425200
1478529000,56.85000,57.09000,56.30000,56.52000,2657800
1478615400,56.58000,57.14000,56.11000,57.00000,1845500
1478701800,56.06000,58.97000,55.72000,58.78000,3469100
1478788200,58.89000,61.35000,58.83000,59.44000,4405600
1478874600,59.19000,59.77000,58.82000,59.00000,3370100
1479133800,58.98000,60.05000,58.91000,59.02000,3239100
1479220200,59.16000,59.16000,57.46000,58.29000,2633700
1479306600,58.10000,58.32000,57.03000,57.68000,1855300
1479393000,58.07000,58.42000,57.81000,58.10000,1631400
1479479400,58.05000,58.60000,57.52000,58.14000,2149800
1479738600,58.55000,58.98000,58.32000,58.65000,1181600
1479825000,58.99000,59.82000,58.81000,59.75000,2205000
1479911400,59.62000,60.18000,59.42000,59.95000,1195000
1480084200,60.04000,60.28000,59.73000,60.16000,1073100
1480343400,60.15000,60.25000,59.47000,59.81000,1780200
1480429800,59.92000,60.47000,59.58000,59.92000,997300
1480516200,60.26000,61.14000,60.04000,60.89000,2163800
1480602600,61.15000,62.35000,60.92000,62.07000,2122000
1480689000,61.90000,62.08000,59.38000,59.71000,3249300
1480948200,60.08000,60.73000,59.90000,59.98000,1728300
1481034600,60.25000,60.37000,59.53000,60.35000,1291900
1481121000,60.41000,61.75000,60.28000,61.71000,2276700
1481207400,61.96000,62.08000,60.54000,61.57000,1433800
1481293800,61.54000,61.54000,60.54000,60.81000,1503100
1481553000,60.92000,61.32000,60.11000,60.75000,1532300
1481639400,60.85000,61.12000,59.90000,61.06000,2442600
1481725800,60.56000,60.98000,59.92000,60.00000,2822800
1481812200,60.20000,60.61000,59.18000,59.83000,3510300
1481898600,59.98000,60.02000,58.94000,59.17000,3673000
1482157800,59.34000,59.58000,57.92000,59.23000,1950400
1482244200,59.40000,60.33000,59.14000,59.79000,2578200
1482330600,59.82000,59.96000,59.45000,59.71000,2029400
1482417000,59.00000,59.24000,56.81000,57.84000,2172900
1482503400,57.96000,58.25000,57.63000,58.18000,1019400
1482849000,58.50000,58.59000,57.99000,58.44000,695500
1482935400,58.54000,58.67000,57.76000,57.91000,761200
1483021800,58.00000,58.57000,57.92000,58.16000,1357700
1483108200,58.40000,58.46000,57.97000,58.34000,958800
1483453800,58.70000,59.63000,58.63000,58.94000,1477100
1483540200,59.26000,59.75000,58.51000,59.59000,1637400
1483626600,59.30000,60.00000,59.01000,59.65000,1394700
1483713000,59.00000,59.58000,57.94000,59.10000,1824800
1483972200,59.12000,59.19000,57.83000,58.15000,3611600
1484058600,58.38000,58.80000,58.30000,58.50000,1506000
1484145000,58.46000,58.62000,57.58000,58.01000,1285800
1484231400,57.72000,58.96000,57.44000,58.32000,1808600
1484317800,58.47000,58.94000,58.32000,58.73000,1505100
1484663400,58.53000,59.39000,58.42000,58.95000,1683700
1484749800,58.98000,59.42000,58.31000,58.52000,1565400
1484836200,58.52000,58.69000,57.83000,58.23000,1470700
1484922600,58.38000,59.79000,57.80000,58.62000,2453400
1485181800,58.48000,59.37000,58.35000,59.26000,2035600
1485268200,59.04000,59.93000,59.04000,59.70000,1453800
1485354600,60.10000,60.18000,59.03000,60.02000,1523000
1485441000,60.00000,60.91000,59.83000,60.18000,1353700
1485527400,60.19000,60.20000,58.78000,59.09000,1478700
1485786600,59.10000,59.10000,57.49000,57.92000,2762000
1485873000,55.02000,57.19000,54.75000,57.04000,6755400
1485959400,57.10000,57.62000,55.95000,56.59000,4032800
1486045800,56.60000,57.17000,56.11000,56.25000,2064900
1486132200,56.50000,56.81000,56.04000,56.45000,2426600
1486391400,56.24000,57.54000,56.01000,56.66000,1994100
1486477800,56.73000,57.24000,56.46000,56.61000,3453300
1486564200,56.75000,56.86000,56.24000,56.84000,1287400
1486650600,56.84000,57.28000,56.31000,56.76000,1659500
1486737000,56.87000,57.48000,56.72000,57.34000,1615800
1486996200,57.32000,57.48000,56.79000,57.16000,1155700
1487082600,56.91000,57.86000,56.91000,57.74000,998800
1487169000,57.47000,57.65000,57.07000,57.31000,1581100
1487255400,57.34000,57.47000,56.39000,56.42000,1845400
1487341800,56.41000,56.95000,56.17000,56.93000,1068000
1487687400,56.90000,57.45000,56.63000,57.13000,1456700
1487773800,57.05000,57.58000,56.90000,57.55000,2482100
1487860200,57.90000,57.97000,57.41000,57.68000,1789600
1487946600,57.34000,57.34000,55.99000,56.56000,2307800
1488205800,55.89000,57.18000,55.53000,57.02000,2183600
1488292200,56.99000,57.36000,56.28000,56.38000,2568500
1488378600,57.54000,58.85000,57.29000,58.40000,2471300
1488465000,58.09000,58.81000,57.96000,58.64000,2314700
1488551400,58.65000,58.87000,58.09000,58.82000,1397900
1488810600,58.45000,58.51000,57.54000,57.58000,1660000
1488897000,57.50000,57.93000,56.95000,57.78000,1719500
1488983400,57.83000,58.57000,57.67000,58.53000,1701200
1489069800,58.50000,58.96000,58.31000,58.75000,2425400
1489156200,59.34000,61.12000,59.34000,60.05000,2884400
1489411800,60.16000,60.57000,59.49000,60.51000,2717500
1489498200,60.36000,60.61000,59.88000,60.10000,1332200
1489584600,61.94000,63.04000,61.54000,62.94000,2768100
1489671000,62.86000,63.40000,62.40000,62.47000,1606200
1489757400,62.45000,62.69000,62.18000,62.25000,1473700
1490016600,62.27000,62.59000,61.75000,61.85000,1611900
1490103000,62.04000,62.36000,60.54000,60.57000,1336100
1490189400,60.61000,60.70000,59.85000,60.53000,1603500
1490275800,60.55000,60.91000,60.32000,60.53000,891100
1490362200,60.80000,60.81000,59.90000,60.20000,761700
1490621400,60.05000,60.33000,59.61000,60.18000,1059900
1490707800,60.08000,60.98000,60.08000,60.69000,880700
1490794200,60.64000,60.82000,60.33000,60.60000,537500
1490880600,60.45000,61.05000,60.18000,61.01000,1044500
1490967000,60.97000,61.20000,60.45000,60.50000,2951500
1491226200,61.07000,61.85000,60.70000,61.48000,2236900
1491312600,61.16000,61.55000,60.91000,60.99000,1661900
1491399000,61.26000,61.48000,59.99000,60.02000,1544100
1491485400,60.28000,60.98000,60.00000,60.84000,1630200
1491571800,60.57000,61.30000,60.46000,60.91000,1546600
1491831000,60.94000,62.95000,60.93000,61.84000,4141800
1491917400,61.88000,62.12000,61.66000,62.05000,1985600
