time,open,high,low,close,tick_volume
1472477400,12.64707,12.86211,12.62963,12.69356,10135630
1472563800,12.69356,12.76331,12.46689,12.54245,15767186
1472650200,12.51920,12.60057,12.29834,12.48433,16448183
1472736600,12.45527,12.97254,12.25185,12.87955,32542619
1472823000,12.88536,12.96092,12.75168,12.90861,11299759
1473168600,12.89117,12.89117,12.64125,12.70519,14693214
1473255000,12.79237,12.97254,12.50176,12.83886,35346783
1473341400,12.78656,12.90280,12.39133,12.42621,50323029
1473427800,12.29253,12.47852,12.15885,12.15885,27124584
1473687000,12.04261,12.44655,11.99030,12.37390,21937448
1473773400,12.26347,12.42039,12.23441,12.29834,20650988
1473859800,12.28090,12.44655,12.25766,12.41458,18886212
1473946200,12.39133,12.86792,12.37390,12.86211,22183488
1474032600,12.82724,12.97254,12.76331,12.93767,28129562
1474291800,13.00160,13.36776,12.99579,13.18178,20660279
1474378200,13.22537,13.33580,13.14690,13.14690,16635035
1474464600,13.13528,13.43751,13.11784,13.43751,18368841
1474551000,13.44913,13.67580,13.44913,13.50725,17617129
1474637400,13.44332,13.52178,13.31545,13.35614,12469050
1474896600,13.28639,13.34742,13.15853,13.24571,13948729
1474983000,13.18759,13.38229,13.11261,13.32127,22581969
1475069400,13.36776,13.47819,13.26315,13.39101,12168813
1475155800,13.34451,13.54794,13.29511,13.30964,15577065
1475242200,13.41426,13.53631,13.12947,13.22246,27890404
1475501400,13.12947,13.27186,13.10622,13.16434,20113314
1475587800,13.18178,13.32708,12.93767,13.01323,15717118
1475674200,13.05391,13.29221,13.05391,13.25152,12511204
1475760600,13.21665,13.28058,13.15272,13.18178,11269994
1475847000,13.17596,13.19340,12.88536,12.98417,16110609
1476106200,13.06553,13.18759,13.04229,13.07716,15833256
1476192600,13.07716,13.07716,12.72553,12.77493,17394317
1476279000,12.83305,12.85630,12.67031,12.78656,13356341
1476365400,12.65869,12.75749,12.47270,12.64707,23763648
1476451800,12.51920,12.75749,12.48142,12.51339,23332992
1476711000,12.49595,12.60638,12.32740,12.36227,20037265
1476797400,12.51920,12.54826,12.26347,12.47852,20106431
1476883800,12.55989,12.76912,12.52501,12.62963,30091857
1476970200,12.57151,12.73425,12.51920,12.71681,18222937
1477056600,12.61219,12.62963,12.46689,12.57151,20590424
1477315800,12.60057,12.66450,12.54826,12.60057,15560891
1477402200,12.60057,12.61219,12.43202,12.55407,15908616
1477488600,12.51339,12.67613,12.47852,12.67031,13082601
1477575000,12.71681,13.01323,12.71681,12.89699,21757478
