time,open,high,low,close,tick_volume
1472477400,24.33000,24.56000,24.28000,24.55000,2299300
1472563800,24.55000,24.55000,23.98000,24.20000,2525800
1472650200,23.10000,23.17000,20.58000,21.66000,18632400
1472736600,21.70000,21.91000,21.49000,21.57000,4978100
1472823000,21.63000,21.77000,21.37000,21.65000,3763000
1473168600,21.70000,21.78000,20.97000,21.39000,4221500
1473255000,21.46000,21.92000,21.28000,21.83000,4607000
1473341400,21.85000,22.28000,21.76000,22.17000,3938700
1473427800,22.01000,22.05000,21.80000,21.94000,2882900
1473687000,21.53000,22.31000,21.50000,22.25000,3254700
1473773400,22.09000,22.21000,22.01000,22.13000,3098200
1473859800,22.17000,22.32000,21.93000,22.20000,2903900
1473946200,22.09000,22.45000,21.94000,22.39000,2770800
1474032600,22.35000,22.43000,22.19000,22.41000,4518500
1474291800,22.46000,22.49000,22.20000,22.36000,1924300
1474378200,22.39000,22.60000,22.31000,22.45000,1969200
1474464600,22.43000,23.00000,22.43000,22.84000,2455100
1474551000,22.85000,23.14000,22.82000,23.06000,1285500
1474637400,22.90000,23.22000,22.84000,23.09000,1712400
1474896600,22.94000,23.07000,22.71000,22.78000,1727600
1474983000,22.86000,22.95000,22.67000,22.75000,1752400
1475069400,22.89000,23.00000,22.58000,22.92000,1926900
1475155800,22.87000,23.04000,22.58000,22.65000,1498000
1475242200,22.79000,23.24000,22.60000,23.15000,2235600
1475501400,23.06000,23.24000,22.81000,22.82000,1384000
1475587800,22.89000,22.96000,22.53000,22.59000,2161500
1475674200,22.64000,22.95000,22.61000,22.88000,1508400
1475760600,22.87000,23.00000,22.75000,22.77000,1368600
1475847000,22.85000,22.87000,22.53000,22.65000,1939000
1476106200,22.74000,22.95000,22.69000,22.83000,922700
1476192600,22.80000,23.01000,22.67000,22.82000,1249700
1476279000,22.80000,23.05000,22.77000,23.01000,1050000
1476365400,22.85000,23.03000,22.67000,22.95000,994000
1476451800,23.01000,23.31000,23.01000,23.07000,1108800
1476711000,23.04000,23.30000,23.00000,23.12000,1543300
1476797400,23.28000,23.28000,23.03000,23.09000,1817000
1476883800,23.19000,23.30000,23.09000,23.21000,1372200
1476970200,23.17000,23.31000,23.10000,23.29000,2333800
1477056600,23.24000,23.63000,23.11000,23.39000,2106300
1477315800,23.54000,23.72000,23.46000,23.49000,2658900
1477402200,23.50000,23.55000,23.00000,23.00000,1827500
1477488600,23.01000,23.21000,22.79000,22.79000,1750700
1477575000,22.85000,22.92000,22.63000,22.69000,2190300
1477661400,22.68000,22.95000,22.57000,22.73000,2256200
1477920600,22.83000,23.02000,22.64000,22.97000,2637500
1478007000,23.06000,23.14000,22.26000,22.35000,1746100
1478093400,22.39000,22.53000,22.31000,22.35000,1838400
1478179800,22.41000,22.52000,22.11000,22.17000,1400000
1478266200,22.18000,22.24000,21.92000,21.93000,1584300
1478529000,22.23000,22.40000,21.94000,22.03000,2079700
1478615400,21.99000,22.31000,21.85000,22.14000,2166900
1478701800,21.72000,21.72000,20.91000,21.30000,6586500
1478788200,21.37000,22.33000,21.30000,22.04000,4422100
1478874600,21.92000,23.00000,21.84000,22.83000,3223900
1479133800,22.94000,23.62000,22.85000,23.57000,3610000
1479220200,23.63000,23.96000,23.44000,23.90000,2161500
1479306600,23.35000,23.42000,22.08000,22.23000,4387900
1479393000,22.23000,23.09000,22.09000,23.03000,2958800
1479479400,23.00000,23.43000,22.94000,23.15000,2278600
1479738600,23.23000,23.62000,23.18000,23.25000,2180300
1479825000,23.40000,23.66000,23.28000,23.39000,2216500
1479911400,23.38000,23.88000,23.35000,23.68000,1751400
1480084200,23.66000,24.06000,23.66000,23.98000,956400
1480343400,23.20000,23.33000,21.78000,21.82000,5283400
1480429800,21.91000,22.62000,21.68000,22.38000,3555000
1480516200,22.37000,22.44000,22.16000,22.16000,2694000
1480602600,21.99000,22.19000,21.65000,21.78000,2773500
1480689000,21.78000,22.16000,21.55000,21.72000,2043200
1480948200,21.72000,22.16000,21.59000,22.14000,3533100
1481034600,22.15000,22.73000,21.99000,22.69000,4076300
1481121000,22.74000,23.60000,22.69000,23.34000,6374800
1481207400,23.17000,23.17000,21.45000,22.79000,9291000
1481293800,22.76000,23.06000,22.38000,22.95000,4322000
1481553000,22.84000,23.44000,22.78000,23.44000,4803500
1481639400,23.41000,23.86000,23.24000,23.25000,6318400
1481725800,23.13000,23.22000,22.74000,22.89000,2458700
