time,open,high,low,close,tick_volume
1472477400,11.13250,11.93000,10.98750,11.72500,2404800
1472563800,11.71750,11.74250,11.36500,11.36500,892800
1472650200,11.35500,11.47750,11.15750,11.15750,281600
1472736600,11.15000,11.29250,10.93000,11.25000,626800
1472823000,11.34250,11.34250,11.17500,11.28500,358400
1473168600,11.32500,11.42750,11.29000,11.39250,798400
1473255000,11.36000,11.40750,11.23750,11.32750,1102000
1473341400,11.31500,11.43750,11.25250,11.27750,425200
1473427800,11.32750,11.40500,11.06250,11.09750,1022800
1473687000,11.01250,11.52000,10.87500,11.50000,1290800
1473773400,11.35500,11.50000,11.23250,11.25750,436800
1473859800,11.29000,11.47500,11.13000,11.35500,558400
1473946200,11.39250,11.50000,11.39250,11.47500,335600
1474032600,11.39500,11.50000,11.14500,11.17250,690400
1474291800,11.26000,11.32250,11.19500,11.28750,466400
1474378200,11.37500,11.74500,11.32000,11.39500,382000
1474464600,11.40000,11.50500,11.20750,11.46250,514000
1474551000,11.64500,11.72250,11.47500,11.68500,625600
1474637400,11.60250,11.64500,11.51250,11.57500,455600
1474896600,11.53750,11.57500,11.22250,11.33250,562000
1474983000,11.32750,11.37250,11.14750,11.31250,244400
1475069400,11.36250,11.41250,11.23250,11.39500,426400
1475155800,11.39500,11.86250,11.33250,11.55500,1066400
1475242200,11.55750,11.58500,11.16250,11.27250,827200
1475501400,11.29250,11.46250,11.29250,11.41000,253600
1475587800,11.46250,11.55000,11.33250,11.52000,404800
1475674200,11.61750,11.73750,11.57250,11.59000,256400
1475760600,11.59000,11.65500,11.47000,11.60500,342800
1475847000,11.59000,11.62750,11.48000,11.58250,844400
1476106200,11.62250,11.75000,11.58250,11.59250,368800
1476192600,11.55000,11.67500,11.13500,11.20750,402800
1476279000,11.17750,11.34250,10.91000,11.28250,304800
1476365400,11.15000,11.28000,11.06750,11.17000,452000
1476451800,11.26000,11.38000,11.00250,11.14500,264000
1476711000,11.10000,11.26500,11.08000,11.13250,333200
1476797400,11.33000,11.41750,11.22000,11.28500,615600
1476883800,11.34500,11.35500,10.99000,11.19500,450800
1476970200,11.18750,11.50000,11.05500,11.30750,591200
1477056600,11.25250,11.52250,11.11750,11.39750,378800
