time,open,high,low,close,tick_volume
1472477400,56.73000,57.03000,56.02000,56.30000,229800
1472563800,56.75000,57.03000,55.78000,56.02000,692800
1472650200,55.71000,56.14000,53.77000,55.74000,346900
1472736600,54.90000,56.47000,54.89000,56.13000,179500
1472823000,56.34000,57.03000,56.14000,57.01000,246300
1473168600,57.00000,57.48000,56.64000,57.45000,446900
1473255000,57.63000,57.98000,57.21000,57.59000,291000
1473341400,57.38000,57.46000,55.87000,56.31000,239800
1473427800,55.63000,56.06000,53.72000,53.75000,391200
1473687000,53.16000,55.22000,53.14000,55.21000,280800
1473773400,55.42000,55.73900,52.84000,53.39000,458800
1473859800,53.52000,55.14000,53.31000,54.50000,467900
1473946200,54.44000,55.15000,53.60000,55.14000,319100
1474032600,54.94000,56.14000,54.50000,55.87000,1055100
1474291800,55.99000,56.68000,54.81000,54.82000,181600
1474378200,55.15000,55.65000,54.83000,55.47000,204000
1474464600,55.85000,57.63000,55.70000,57.53000,227700
1474551000,57.88000,59.01000,57.29000,59.01000,387500
1474637400,58.78000,58.78000,56.52000,56.77000,267900
1474896600,56.15000,56.30000,55.21000,55.28000,405000
1474983000,55.29000,55.88000,54.90000,55.29000,402900
1475069400,55.53000,56.95000,55.53000,56.92000,170500
1475155800,56.54000,56.90000,55.81000,56.38000,143400
1475242200,56.83000,57.83000,56.09000,57.62000,197200
1475501400,57.00000,57.70000,56.95000,57.60000,140800
1475587800,57.45000,58.00000,56.49300,57.55000,177800
1475674200,57.30000,58.65000,57.20000,58.25000,208400
1475760600,58.35000,59.00000,57.00000,58.00000,430300
1475847000,58.00000,58.35000,56.72500,57.55000,196200
1476106200,57.40000,58.85000,57.40000,58.05000,189000
1476192600,57.60000,57.65000,55.50000,55.65000,119900
1476279000,55.60000,55.85000,54.55000,54.80000,162400
1476365400,54.45000,54.50000,53.00000,53.65000,211400
1476451800,54.05000,54.70000,52.90000,53.25000,233000
1476711000,53.10000,53.55000,51.25000,51.50000,233500
1476797400,52.30000,52.85000,51.45000,52.00000,326800
1476883800,53.05000,54.65000,52.50000,52.85000,184400
1476970200,52.65000,53.50000,52.40000,52.55000,181300
1477056600,52.00000,53.25000,51.85000,52.75000,217300
1477315800,53.30000,53.80000,53.00000,53.45000,155100
1477402200,53.30000,53.50000,51.95000,52.75000,306600
1477488600,52.40000,53.20000,51.75000,51.90000,198900
1477575000,52.40000,52.85000,51.90000,52.30000,341500
1477661400,52.55000,53.85000,52.25000,52.35000,277000
1477920600,53.85000,53.85000,52.05000,52.45000,443800
1478007000,52.45000,52.80000,50.80000,51.60000,367900
1478093400,50.80000,53.20000,48.55000,48.90000,689100
1478179800,54.90000,54.90000,49.45000,49.95000,1282500
1478266200,49.40000,52.10000,49.10000,50.90000,777800
1478529000,51.95000,54.90000,51.95000,54.45000,690400
1478615400,53.70000,55.25000,52.95000,54.60000,269000
1478701800,53.45000,56.85000,53.20000,56.75000,450500
1478788200,57.25000,58.00000,55.75000,57.55000,651300
1478874600,57.60000,58.00000,56.95000,57.85000,408000
1479133800,58.10000,58.25000,55.90000,56.00000,260700
1479220200,55.05000,57.05000,54.85500,56.30000,181900
1479306600,56.15000,58.22500,55.85000,57.60000,321300
1479393000,57.90000,58.05000,56.85000,57.55000,300100
1479479400,58.15000,58.35000,57.15000,57.30000,338900
1479738600,57.95000,58.00000,56.55000,57.25000,195000
1479825000,57.30000,57.90000,56.20000,57.45000,169500
1479911400,57.10000,58.10000,56.75000,57.70000,188000
1480084200,57.50000,58.00000,57.00000,57.75000,109400
1480343400,57.80000,59.20000,57.60000,58.40000,390700
1480429800,58.20000,58.70000,56.55000,56.75000,246000
1480516200,57.30000,57.60000,56.05000,56.10000,334500
1480602600,56.00000,56.40000,52.20000,52.75000,694900
1480689000,52.55000,52.75000,49.00000,51.80000,797100
1480948200,52.00000,53.20000,51.35000,51.85000,425200
1481034600,51.85000,52.00000,50.45000,51.90000,590000
1481121000,52.20000,52.24100,50.75000,51.65000,255100
1481207400,51.60000,52.05000,50.55000,51.90000,261100
1481293800,52.10000,52.35000,49.45000,49.85000,668600
1481553000,49.45000,50.05000,48.15000,48.95000,319800
1481639400,49.45000,50.05000,49.30000,49.65000,265400
1481725800,49.60000,49.85000,47.90000,48.70000,394100
1481812200,48.70000,48.75000,45.35000,45.95000,1019600
1481898600,46.15000,47.80000,44.90000,47.40000,1022600
1482157800,48.85000,50.60000,47.40000,48.00000,619800
1482244200,48.15000,48.70000,47.00000,47.95000,390800
1482330600,48.00000,48.05000,46.90000,47.30000,403100
