time,open,high,low,close,tick_volume
1472477400,177.33000,178.96001,176.75000,176.92999,529400
1472563800,176.52000,178.63000,176.16000,178.47000,603800
1472650200,178.48000,179.00999,177.42000,178.71001,430500
1472736600,179.23000,179.23000,176.30000,176.53000,566100
1472823000,177.14000,178.07001,176.03000,177.33000,469400
1473168600,177.17999,178.91000,175.14000,176.78000,683300
1473255000,176.20000,177.71001,175.52000,176.16000,606300
1473341400,176.13000,177.53000,174.91000,176.42000,687700
1473427800,175.33000,178.20000,174.96001,176.50000,895700
1473687000,176.50000,176.89999,175.53999,176.78000,807500
1473773400,175.73000,176.88000,174.61000,175.78999,1188300
1473859800,175.59000,176.05000,174.75000,174.99001,735300
1473946200,174.39000,176.55000,174.27000,174.78000,401200
1474032600,174.35001,177.56000,173.53000,174.62000,2016300
1474291800,175.02000,175.28999,174.12000,174.58000,689600
1474378200,174.62000,175.42000,174.28000,174.52000,394100
1474464600,174.49001,176.00000,174.30000,175.85001,676900
1474551000,176.57001,176.87000,175.67999,175.99001,453000
1474637400,175.31000,176.87000,174.81000,175.55000,502500
1474896600,175.42999,176.85001,174.92000,175.31000,673100
1474983000,175.78999,178.19000,175.33000,177.22000,620600
1475069400,177.63000,177.99001,175.37000,176.58000,488400
1475155800,176.41000,176.98000,174.95000,175.82001,367400
1475242200,176.28999,177.45000,175.63000,176.89000,825800
1475501400,176.89000,177.44000,174.86000,176.63000,895700
1475587800,177.00999,177.50999,175.78000,177.22000,963200
1475674200,177.28999,178.37000,176.86000,177.80000,1040000
1475760600,177.86000,178.21001,176.30000,177.23000,538800
1475847000,177.92000,177.92000,176.36000,177.74001,861500
1476106200,177.78999,178.71001,177.42999,178.50999,1226800
1476192600,178.16000,178.75000,176.63000,177.53000,1618700
1476279000,178.00000,180.00000,163.50000,168.44000,6325600
1476365400,168.02000,170.46001,166.00999,169.48000,1635300
1476451800,170.21001,172.87000,169.88000,170.82001,1447900
1476711000,170.45000,171.50999,169.44000,169.89000,525300
1476797400,171.96001,174.10001,171.00000,173.27000,908100
1476883800,173.69000,175.99001,172.67000,173.89999,1219100
1476970200,174.25999,174.97000,173.25000,174.55000,756400
1477056600,173.06000,177.37000,173.06000,175.88000,1316100
1477315800,176.03999,176.61000,174.20000,176.27000,645000
1477402200,176.42999,176.50000,174.32001,174.86000,756700
1477488600,174.89000,175.49001,174.13000,174.64999,559500
1477575000,175.39999,175.98000,172.92999,174.19000,698400
1477661400,174.03999,174.27000,170.03999,171.06000,965800
1477920600,171.57001,172.77000,170.37000,171.53000,524400
1478007000,172.00000,172.12000,167.66000,168.66000,838300
1478093400,169.00000,171.17000,168.08000,168.19000,724000
1478179800,168.19000,169.66000,165.03000,165.31000,992000
1478266200,165.75999,169.89999,165.52000,167.42000,923500
1478529000,170.87000,175.91000,169.62000,174.91000,1513300
1478615400,174.73000,180.00000,174.00999,179.03000,1498500
1478701800,179.12000,189.06000,178.92000,186.00000,3979900
1478788200,189.30000,194.05000,188.20000,192.88000,3477500
1478874600,193.91000,196.45000,192.00000,193.19000,3204300
1479133800,193.00000,203.48000,192.99001,198.84000,3146000
1479220200,199.58000,201.80000,197.39999,198.82001,1476900
1479306600,198.83000,201.12000,198.39000,200.47000,954000
1479393000,200.45000,203.95000,199.64999,202.06000,1733100
1479479400,201.99001,202.39999,199.96001,200.16000,938000
1479738600,199.52000,201.91000,199.52000,199.99001,1168900
1479825000,200.13000,205.91000,199.17999,205.71001,1820400
1479911400,206.66000,208.25000,203.24001,207.92999,1787600
1480084200,208.67999,210.30000,207.39999,207.88000,498500
1480343400,207.99001,208.60001,206.82001,208.00000,1871600
1480429800,208.71001,211.71001,208.16000,210.00000,1732200
1480516200,209.64999,212.94000,208.33000,212.64000,2125000
1480602600,211.92999,216.92000,211.42000,216.75999,2227800
1480689000,217.00000,217.80000,212.57001,213.63000,1219400
1480948200,214.00000,214.87000,204.71001,208.83000,2856500
1481034600,210.00999,210.69000,202.16000,204.30000,2109000
1481121000,203.39999,204.80000,200.53999,203.00000,2908500
1481207400,202.62000,207.39000,202.13000,206.70000,897900
1481293800,206.32001,207.31000,200.62000,203.28999,1097400
1481553000,202.82001,204.34000,201.35001,202.92999,1234100
1481639400,204.11000,206.33000,200.50000,204.57001,1285700
1481725800,204.11000,205.67000,201.80000,205.24001,1112000
1481812200,205.02000,208.99001,204.20000,204.64999,1359000
1481898600,205.50000,206.52000,203.25000,205.64000,1540500
1482157800,205.75999,205.75999,200.07001,200.41000,1280200
1482244200,200.83000,202.64000,199.88000,200.25000,1284400
1482330600,200.17000,201.32001,198.36000,199.80000,983500
1482417000,199.73000,204.00000,197.61000,202.92999,1980100
1482503400,203.00000,207.14000,202.62000,205.53000,1815600
1482849000,205.53000,206.66000,203.49001,206.06000,502000
1482935400,206.06000,207.00000,204.50000,204.60001,732700
1483021800,205.33000,206.00000,202.74001,202.92000,484300
1483108200,202.92000,205.00000,202.06000,204.03000,1336500
1483453800,202.87000,204.00000,195.00000,197.61000,2784600
1483540200,198.41000,199.44000,195.91000,197.78000,1512400
1483626600,198.45000,201.59000,197.19000,200.73000,1826200
1483713000,200.50000,202.89000,199.62000,201.73000,1139700
1483972200,201.05000,203.47000,199.75000,202.99001,1063800
1484058600,202.00000,203.27000,200.67000,200.95000,1352700
1484145000,200.50000,203.81000,199.81000,203.48000,1809300
1484231400,203.77000,205.89999,203.00000,205.25000,1470400
1484317800,205.00000,206.59000,202.42999,202.92000,1297800
1484663400,203.11000,204.71001,201.46001,204.03999,902900
1484749800,204.61000,206.42000,202.41000,206.11000,1924700
1484836200,206.32001,208.69000,202.71001,206.00000,2434500
1484922600,207.39999,207.39999,200.34000,200.53000,2596000
1485181800,200.89000,205.83000,186.25000,205.02000,8935400
