time,open,high,low,close,tick_volume
1520519400,17.91000,18.72000,17.91000,17.98500,5480
1520605800,17.69000,17.69000,17.51000,17.63500,680
1520861400,16.77000,16.77000,16.77000,16.77000,20
1520947800,16.25000,16.59500,15.64500,15.64500,1280
1521034200,14.85500,14.85500,14.85500,14.85500,120
1521120600,15.10000,15.10000,15.07500,15.07500,1300
1521207000,14.90000,14.90000,14.90000,14.90000,100
1521466200,14.99000,14.99000,14.60000,14.60000,1280
1521552600,14.60000,14.60000,14.60000,14.60000,80
1521639000,14.01000,14.01000,14.01000,14.01000,40
1521725400,14.01000,14.01000,14.01000,14.01000,0
1521811800,13.70000,13.70000,13.70000,13.70000,160
1522071000,12.76500,12.76500,12.76500,12.76500,2000
1522157400,12.86500,12.86500,12.86500,12.86500,400
1522243800,12.86500,12.86500,12.86500,12.86500,0
1522330200,12.77500,12.77500,12.77500,12.77500,80
1522675800,12.77500,12.77500,12.77500,12.77500,0
1522762200,12.77500,12.77500,12.77500,12.77500,0
1522848600,12.77500,12.77500,12.77500,12.77500,0
1522935000,12.77500,12.77500,12.77500,12.77500,0
1523021400,13.40000,13.67000,13.36000,13.67000,120
1523280600,13.67000,13.67000,13.67000,13.67000,0
1523367000,13.67000,13.67000,13.67000,13.67000,0
1523453400,13.67000,13.67000,13.67000,13.67000,0
1523539800,13.62500,14.40000,13.62500,14.31500,420
1523626200,14.31500,14.31500,14.31500,14.31500,0
1523885400,14.48000,14.48000,14.29500,14.29500,1020
1523971800,14.29500,14.29500,14.29500,14.29500,0
1524058200,15.00000,15.00000,14.49500,14.49500,1300
1524144600,14.53000,14.76500,14.39000,14.54500,840
1524231000,14.99500,15.25000,14.99000,15.00000,1800
1524490200,15.31500,15.81500,15.31500,15.80000,240
1524576600,16.75500,16.94500,16.75000,16.89500,3140
1524663000,17.40500,17.52000,17.10000,17.14500,3140
1524749400,17.31500,17.51000,17.31500,17.47500,460
1524835800,17.11500,17.31000,17.11500,17.31000,600
1525095000,16.73500,16.73500,16.73500,16.73500,100
1525181400,16.36000,16.55500,15.60000,15.60000,800
1525267800,15.47500,15.47500,14.94000,15.22500,2800
1525354200,16.07000,16.07000,16.07000,16.07000,200
1525440600,16.35000,16.35000,15.50000,15.50000,140
1525699800,15.29000,15.29000,15.29000,15.29000,20
1525786200,15.29000,15.29000,15.29000,15.29000,0
1525872600,14.40000,14.45000,14.40000,14.40000,420
1525959000,15.12500,15.44000,15.04500,15.20000,1220
1526045400,15.20000,15.20000,15.20000,15.20000,0
1526304600,15.49500,15.62500,15.37500,15.62500,300
